Database:Monthly
Month:2016-2020
Indicators,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016
Consumer Price Index (preceding month=100),100.7,99.4,99.7,100.2,100.4,100.6,99.9,99.2,99.1,98.8,100.8,101.4,100.0,100.4,100.9,100.9,100.7,100.4,99.9,100.0,100.1,99.6,101.0,100.5,100.0,99.7,100.2,100.7,100.7,100.3,99.9,99.8,99.8,98.9,101.2,100.6,100.3,100.0,100.1,100.5,100.4,100.1,99.8,99.9,100.1,99.7,99.8,101.0,100.2,100.1,99.9,100.7,100.1,100.2,99.9,99.5,99.8,99.6,101.6,100.5
Consumer Price Indices (preceding month=100) Food&Tobacco,102.0,98.4,98.8,100.3,101.0,102.0,100.1,97.6,97.9,97.3,103.0,103.1,99.8,101.5,102.7,102.6,102.2,100.7,99.8,100.1,100.0,99.4,102.3,101.1,100.8,99.2,99.9,101.5,101.7,100.2,99.5,99.2,98.8,97.2,103.1,101.5,100.8,99.7,100.0,100.4,100.9,100.0,99.3,99.6,99.7,98.7,99.7,101.7,100.3,100.2,99.4,101.2,100.3,99.9,99.1,98.2,99.1,98.7,104.6,101.4
Consumer Price Indices (preceding month=100) Clothing,100.0,100.3,100.4,100.9,99.8,99.5,99.8,100.2,99.9,99.9,99.7,99.5,99.9,100.3,100.3,100.8,99.7,99.6,99.9,100.1,100.0,100.6,99.8,99.7,100.1,100.5,100.8,100.7,99.9,99.6,99.8,100.2,100.2,100.6,99.4,99.7,100.0,100.5,100.5,100.9,99.8,99.6,99.8,100.1,100.2,100.6,99.7,99.6,99.9,100.6,100.6,100.8,99.9,99.6,99.7,100.1,100.1,100.5,99.6,99.6
Consumer Price Indices (preceding month=100) Residence,100.1,100.0,100.1,100.0,100.1,100.0,99.8,99.8,99.8,99.7,99.9,100.0,100.1,100.0,100.0,100.1,100.1,100.1,100.0,100.0,100.0,100.1,100.1,100.0,100.0,100.0,100.2,100.4,100.5,100.2,100.2,100.1,100.1,100.2,100.0,100.1,100.2,100.2,100.2,100.3,100.4,100.1,100.2,100.1,100.1,100.2,100.4,100.3,100.2,100.2,100.2,100.3,100.2,100.1,100.1,100.1,100.2,100.3,100.1,100.1
Consumer Price Indices (preceding month=100) Household Articles and Services,100.1,100.0,100.1,100.0,100.0,100.0,99.9,100.0,99.9,99.9,99.9,100.2,100.1,99.9,100.1,100.0,100.0,100.1,99.9,100.0,100.1,99.7,100.1,100.3,100.2,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.2,99.8,100.3,100.3,100.2,100.1,100.2,100.1,100.1,100.1,100.1,100.2,100.2,100.0,100.0,100.3,100.2,100.0,100.1,100.0,100.0,100.0,100.0,100.0,100.1,99.8,100.1,100.1
Consumer Price Indices (preceding month=100) Transportation and Communication,100.9,99.7,99.8,99.9,100.3,100.3,99.7,99.8,98.8,97.5,98.5,101.4,100.2,99.7,100.1,99.6,99.8,100.1,99.3,100.0,100.0,99.7,101.0,99.8,98.1,99.0,100.6,100.3,100.0,100.3,100.3,100.4,100.6,98.5,100.9,100.4,100.4,100.5,100.2,100.1,100.3,99.7,99.7,99.7,99.8,99.6,99.6,101.4,100.5,100.0,99.9,100.3,99.4,100.1,100.7,100.3,100.1,99.3,100.3,100.0
Consumer Price Indices (preceding month=100) Education Culture and Recreation,99.9,99.2,100.6,100.8,99.7,99.8,99.7,100.0,99.8,99.9,100.0,101.4,100.0,99.3,100.1,100.1,100.0,101.3,100.0,99.8,100.3,98.4,101.3,101.0,100.0,99.4,100.0,100.5,100.2,101.5,100.2,99.8,100.2,98.4,101.8,100.5,100.1,99.5,99.7,100.9,99.9,101.0,100.3,99.9,100.4,99.8,99.1,101.6,100.1,99.7,99.7,101.2,99.9,101.0,100.3,99.9,100.1,99.3,100.6,100.6
Consumer Price Indices (preceding month=100) Health Cares,100.0,100.0,100.1,100.0,100.1,100.0,100.0,100.0,100.2,100.2,100.1,100.6,100.2,100.1,100.1,100.1,100.2,100.2,100.3,100.1,100.1,100.1,100.2,100.4,100.1,100.2,100.2,100.2,100.4,100.2,100.2,100.2,100.2,100.2,100.1,100.2,100.1,100.2,100.2,101.8,100.7,100.5,100.3,100.4,100.7,100.5,100.3,100.6,100.5,100.4,100.6,100.2,100.3,100.7,100.5,100.2,100.3,100.3,100.1,100.3
Consumer Price Indices (preceding month=100) Miscellanous Goods and Services,99.6,99.4,98.3,99.1,102.4,100.8,100.4,100.5,99.9,100.4,99.8,101.8,99.9,99.2,100.1,100.9,101.4,100.9,100.6,100.0,100.4,99.5,100.2,101.4,100.0,100.2,100.3,99.8,100.1,100.2,100.0,99.8,100.4,99.5,100.4,100.8,99.9,100.0,99.8,100.2,100.2,99.9,100.1,99.8,100.7,100.0,100.0,101.5,99.7,100.0,99.4,100.2,100.1,101.4,100.1,100.3,100.1,100.3,101.6,100.7
"Note:According to the regulations of the statistical system, China?s CPI rotates at a base period every five years. After each base period rotation, the survey classification catalogue, representative specifications and survey outlets are adjusted, and the cla"
Data Sources:National Bureau of Statistics
