Database:Monthly
Month:2021-2025
Indicators,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021
Consumer Price Index (preceding month=100),100.2,99.9,100.2,100.1,100.0,100.4,99.9,99.8,100.1,99.6,99.8,100.7,100.0,99.4,99.7,100.0,100.4,100.5,99.8,99.9,100.1,99.0,101.0,100.3,100.1,99.5,99.9,100.2,100.3,100.2,99.8,99.8,99.9,99.7,99.5,100.8,100.0,99.8,100.1,100.3,99.9,100.5,100.0,99.8,100.4,100.0,100.6,100.4,99.7,100.4,100.7,100.0,100.1,100.3,99.6,99.8,99.7,99.5,100.6,101.0
Consumer Price Indices (preceding month=100) Food&Tobacco,100.2,100.3,100.2,100.5,100.3,99.9,99.7,99.8,100.2,99.1,99.8,100.9,99.7,98.3,99.2,100.5,102.2,100.7,99.6,100.0,99.3,97.8,102.2,100.3,100.6,99.4,99.6,100.2,100.4,99.4,99.8,99.6,99.4,99.1,98.7,102.0,100.4,99.5,100.2,101.3,100.4,101.9,99.0,99.1,100.7,99.1,101.2,101.1,99.7,101.6,101.2,99.6,100.5,99.8,98.6,99.0,98.5,97.6,101.2,102.8
Consumer Price Indices (preceding month=100) Clothing,100.0,100.7,100.0,100.7,99.9,99.7,99.9,100.6,99.9,100.7,99.9,99.6,100.2,100.6,100.0,100.8,99.8,99.6,99.8,100.4,99.9,100.6,99.8,99.7,100.1,100.6,100.2,100.8,99.9,99.7,99.8,100.4,99.9,100.5,99.9,99.5,100.1,100.3,100.3,100.8,99.8,99.6,99.9,100.4,99.8,100.4,99.7,99.5,100.1,100.3,100.3,100.8,99.9,99.6,99.8,100.3,100.0,100.4,99.5,99.6
Consumer Price Indices (preceding month=100) Residence,99.9,99.9,99.9,100.0,100.0,100.1,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.0,100.0,99.9,100.0,100.0,100.1,99.9,100.0,100.1,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.1,100.1,99.9,100.0,100.0,100.1,100.0,99.9,100.0,99.9,99.9,100.0,100.0,100.0,99.9,99.9,100.1,100.1,100.0,99.9,100.0,100.4,100.2,100.1,100.2,100.1,100.1,100.1,100.2,100.1,100.1
Consumer Price Indices (preceding month=100) Household Articles and Services,100.4,99.6,99.8,100.3,99.9,100.8,100.2,99.2,100.0,101.3,99.9,100.7,100.3,99.4,100.1,100.0,99.3,100.4,99.6,99.3,100.4,100.0,99.5,101.0,100.8,99.8,100.1,100.1,99.7,100.6,99.5,100.0,100.0,99.5,100.0,100.0,100.3,99.7,100.3,100.0,100.0,100.3,99.8,100.2,100.6,100.2,100.2,99.9,100.3,99.6,100.3,99.9,100.1,100.4,99.8,99.9,100.3,99.9,100.1,100.2
Consumer Price Indices (preceding month=100) Transportation and Communication,100.0,99.1,99.8,99.1,99.7,101.5,100.0,98.8,99.7,98.6,99.6,101.7,100.3,99.9,99.3,98.7,98.9,100.9,99.4,99.2,101.0,98.6,101.6,100.1,98.8,98.6,100.0,100.1,101.0,101.2,99.5,99.4,99.6,99.6,99.5,100.2,98.6,100.1,99.6,99.4,98.3,99.3,102.2,100.1,101.1,101.6,101.4,101.1,98.7,100.3,101.0,99.8,99.4,101.5,100.1,100.4,100.4,101.3,101.1,100.9
Consumer Price Indices (preceding month=100) Education Culture and Recreation,100.1,99.2,100.3,99.6,99.9,101.3,99.9,100.1,100.4,99.2,99.5,101.5,100.0,99.3,100.2,99.7,99.9,101.3,99.8,99.9,100.5,97.9,101.7,100.7,100.1,99.1,100.0,100.4,100.2,101.3,99.8,99.9,100.5,99.9,99.2,101.3,100.1,99.6,100.2,100.4,100.1,100.5,100.1,100.1,100.1,99.7,100.4,100.2,100.0,99.5,100.2,100.7,100.0,101.0,99.8,100.3,100.7,99.6,100.8,100.4
Consumer Price Indices (preceding month=100) Health Cares,100.1,100.1,100.3,100.2,100.3,100.2,100.1,100.1,100.2,100.0,100.0,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.1,100.0,100.2,100.1,100.4,100.1,100.1,100.0,100.0,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.2,100.3,100.0,100.0,100.0,100.0,100.1,100.0,100.0,100.1,100.1,100.1,100.0,100.1,100.0,100.0,100.2,100.0,100.0,100.1,100.0,100.0,100.1,100.0,100.0,100.1
Consumer Price Indices (preceding month=100) Miscellanous Goods and Services,102.8,101.2,103.8,101.3,100.0,100.9,100.5,100.7,102.4,100.4,100.7,101.6,100.0,99.9,101.1,100.0,99.4,100.9,99.8,100.1,102.0,100.6,99.8,101.1,100.3,99.4,100.1,99.9,100.0,100.9,99.4,100.2,101.0,100.8,99.7,101.1,100.4,99.9,100.4,99.7,100.3,99.3,100.1,100.6,100.0,101.0,100.1,100.9,99.9,99.5,100.1,100.3,99.1,100.2,100.1,100.6,100.4,99.2,99.7,100.5
Consumer Price Indices (preceding month=100) Non-food,100.1,99.8,100.2,99.9,99.9,100.5,100.0,99.8,100.1,99.8,99.9,100.6,100.1,99.9,100.0,99.8,99.7,100.4,99.8,99.8,100.3,99.5,100.5,100.2,99.9,99.6,100.0,100.2,100.2,100.5,99.9,99.9,100.1,100.0,99.8,100.3,99.8,100.0,100.0,100.0,99.7,99.9,100.4,100.1,100.2,100.3,100.4,100.2,99.8,100.0,100.4,100.2,99.9,100.5,100.0,100.2,100.2,100.2,100.4,100.3
