Database:Monthly
Month:2026-
Indicators,Feb. 2026,Jan. 2026
Consumer Price Index (preceding month=100),,100.2
Consumer Price Indices (preceding month=100) Food&Tobacco,,100.0
Consumer Price Indices (preceding month=100) Clothing,,99.8
Consumer Price Indices (preceding month=100) Residence,,100.0
Consumer Price Indices (preceding month=100) Household Articles and Services,,100.9
Consumer Price Indices (preceding month=100) Transportation and Communication,,100.1
Consumer Price Indices (preceding month=100) Education Culture and Recreation,,100.3
Consumer Price Indices (preceding month=100) Health Cares,,100.3
Consumer Price Indices (preceding month=100) Miscellanous Goods and Services,,102.7
Consumer Price Indices (preceding month=100) Non-food,,100.2
Consumer Price Indices (preceding month=100) Consumer Goods,,100.2
Consumer Price Indices (preceding month=100) Services,,100.2
Consumer Price Indices (preceding month=100) Excluding Food and Energy,,100.3
"Note:According to the regulations of the statistical system, China?s CPI rotates at a base period every five years. After each base period rotation, the survey classification catalogue, representative specifications and survey outlets are adjusted, and the cla"
Data Sources:National Bureau of Statistics
