2011年1月20日,11:00,9.80%,9.50%,9.60%
2011年4月15日,11:00,9.70%,9.40%,9.80%
2011年7月13日,11:00,9.50%,9.50%,9.70%
2011年10月18日,11:00,9.10%,9.20%,9.50%
2012年1月17日,11:00,8.90%,8.80%,9.10%
2012年4月13日,11:00,8.10%,8.30%,8.90%
2012年7月13日,11:00,7.60%,7.60%,8.10%
2012年10月18日,11:00,7.40%,7.40%,7.60%
2013年1月18日,11:00,7.90%,7.80%,7.40%
2013年4月15日,11:00,7.70%,8.00%,7.90%
2013年7月15日,11:00,7.50%,7.50%,7.70%
2013年10月18日,11:00,7.80%,7.80%,7.50%
2014年1月20日,11:00,7.70%,7.60%,7.80%
2014年4月16日,11:00,7.40%,7.30%,7.70%
2014年7月16日,11:00,7.50%,7.40%,7.40%
2014年10月21日 (Q3),11:00,7.30%,7.20%,7.50%
2015年1月20日 (Q4),11:00,7.30%,7.20%,7.30%
2015年4月15日 (Q1),11:00,7.00%,7.00%,7.30%
2015年7月15日 (Q2),11:00,7.00%,6.90%,7.00%
2015年10月19日 (Q3),11:00,6.90%,6.80%,7.00%
2016年1月19日 (Q4),11:00,6.80%,6.80%,6.90%
2016年4月15日 (Q1),11:00,6.70%,6.70%,6.80%
2016年7月15日 (Q2),11:00,6.70%,6.60%,6.70%
2016年10月19日 (Q3),11:00,6.70%,6.70%,6.70%
2017年1月20日 (Q4),11:00,6.80%,6.70%,6.70%
2017年4月17日 (Q1),11:00,6.90%,6.80%,6.80%
2017年7月17日 (Q2),11:00,6.90%,6.80%,6.90%
2017年10月19日 (Q3),11:00,6.80%,6.80%,6.90%
2018年1月18日 (Q4),16:00,6.80%,6.70%,6.80%
2018年4月17日 (Q1),11:00,6.80%,6.80%,6.80%
2018年7月16日 (Q2),11:00,6.70%,6.70%,6.80%
2018年10月19日 (Q3),11:00,6.50%,6.60%,6.70%
2019年1月21日 (Q4),11:00,6.40%,6.40%,6.50%
2019年4月17日 (Q1),11:00,6.40%,6.30%,6.40%
2019年7月15日 (Q2),11:00,6.20%,6.20%,6.40%
2019年10月18日 (Q3),11:00,6.00%,6.10%,6.20%
2020年1月17日 (Q4),11:00,6.00%,6.00%,6.00%
2020年4月17日 (Q1),11:00,-6.80%,-6.50%,6.00%
2020年7月16日 (Q2),11:00,3.20%,2.50%,-6.80%
2020年10月19日 (Q3),11:00,4.90%,5.20%,3.20%
2021年1月18日 (Q4),11:00,6.50%,6.10%,4.90%
2021年4月16日 (Q1),11:00,18.30%,19.00%,6.50%
2021年7月15日 (Q2),11:00,7.90%,8.10%,18.30%
2021年10月18日 (Q3),11:00,4.90%,5.20%,7.90%
2022年1月17日 (Q4),11:00,4.00%,3.60%,4.90%
2022年4月18日 (Q1),11:00,4.80%,4.40%,4.00%
2022年7月15日 (Q2),11:00,0.40%,1.00%,4.80%
2022年10月24日 (Q3),11:00,3.90%,3.40%,0.40%
2023年1月17日 (Q4),11:00,2.90%,1.80%,3.90%
2023年4月18日 (Q1),11:00,4.50%,4.00%,2.90%
2023年7月17日 (Q2),11:00,6.30%,7.30%,4.50%
2023年10月18日 (Q3),11:00,4.90%,4.40%,6.30%
2024年1月17日 (Q4),11:00,5.20%,5.30%,4.90%
2024年4月16日 (Q1),11:00,5.30%,4.80%,5.20%
2024年7月15日 (Q2),11:00,4.70%,5.10%,5.30%
2024年10月18日 (Q3),11:00,4.60%,4.60%,4.70%
2025年1月17日 (Q4),11:00,5.40%,5.00%,4.60%
2025年4月16日 (Q1),11:00,5.40%,5.20%,5.40%
2025年7月15日 (Q2),11:00,5.20%,,5.40%
2025年10月20日 (Q3),11:00,4.80%,4.70%,5.20%
2026年1月19日 (Q4),11:00,4.50%,4.50%,4.80%
2026年4月16日 (Q1),11:00,5.00%,4.80%,4.50%
