2013年7月15日,11:00,1.70%,1.80%,1.60%
2013年10月18日,11:00,2.20%,1.90%,1.70%
2014年1月20日,11:00,1.80%,2.00%,2.20%
2014年4月16日,11:00,1.40%,1.40%,1.80%
2014年7月16日,11:00,2.00%,1.80%,1.40%
2014年10月21日 (Q3),11:00,1.90%,1.80%,2.00%
2015年1月20日 (Q4),11:00,1.50%,1.70%,1.90%
2015年4月15日 (Q1),11:00,1.30%,1.40%,1.50%
2015年7月15日 (Q2),11:00,1.70%,1.70%,1.30%
2015年10月19日 (Q3),11:00,1.80%,1.70%,1.70%
2016年1月19日 (Q4),11:00,1.60%,1.70%,1.80%
2016年4月15日 (Q1),11:00,1.10%,1.50%,1.60%
2016年7月15日 (Q2),11:00,1.80%,1.60%,1.10%
2016年10月19日 (Q3),11:00,1.80%,1.80%,1.80%
2017年1月20日 (Q4),11:00,1.70%,1.70%,1.80%
2017年4月17日 (Q1),11:00,1.30%,1.60%,1.70%
2017年7月17日 (Q2),11:00,1.70%,1.70%,1.30%
2017年10月19日 (Q3),11:00,1.70%,1.70%,1.70%
2018年1月18日 (Q4),16:00,1.60%,1.60%,1.70%
2018年4月17日 (Q1),11:00,1.40%,1.50%,1.60%
2018年7月16日 (Q2),11:00,1.80%,1.60%,1.40%
2018年10月19日 (Q3),11:00,1.60%,1.60%,1.80%
2019年1月21日 (Q4),11:00,1.50%,1.50%,1.60%
2019年4月17日 (Q1),11:00,1.40%,1.40%,1.50%
2019年7月15日 (Q2),11:00,1.60%,1.50%,1.40%
2019年10月18日 (Q3),11:00,1.50%,1.50%,1.60%
2020年1月17日 (Q4),11:00,1.50%,1.50%,1.50%
2020年4月17日 (Q1),11:00,-9.80%,-9.90%,1.50%
2020年7月16日 (Q2),11:00,11.50%,9.60%,-9.80%
2020年10月19日 (Q3),11:00,2.70%,3.20%,11.70%
2021年1月18日 (Q4),11:00,2.60%,3.20%,3.00%
2021年4月16日 (Q1),11:00,0.60%,1.50%,3.20%
2021年7月15日 (Q2),11:00,1.30%,1.20%,0.60%
2021年10月18日 (Q3),11:00,0.20%,0.50%,1.20%
2022年1月17日 (Q4),11:00,1.60%,1.10%,0.20%
2022年4月18日 (Q1),11:00,1.30%,0.60%,1.50%
2022年7月15日 (Q2),11:00,-2.60%,-1.50%,1.40%
2022年10月24日 (Q3),11:00,3.90%,3.50%,-2.70%
2023年1月17日 (Q4),11:00,0.00%,-0.80%,3.90%
2023年4月18日 (Q1),11:00,2.20%,2.20%,0.60%
2023年7月17日 (Q2),11:00,0.80%,0.50%,2.20%
2023年10月18日 (Q3),11:00,1.30%,1.00%,0.50%
2024年1月17日 (Q4),11:00,1.00%,1.00%,1.50%
2024年4月16日 (Q1),11:00,1.60%,,1.20%
2024年7月15日 (Q2),11:00,0.70%,1.10%,1.50%
2024年10月18日 (Q3),11:00,0.90%,1.00%,0.70%
2025年1月17日 (Q4),11:00,1.60%,1.60%,1.30%
2025年4月16日 (Q1),11:00,1.20%,1.40%,1.60%
2025年7月15日 (Q2),11:00,1.10%,0.90%,1.20%
2025年10月20日 (Q3),11:00,1.10%,0.80%,1.00%
2026年1月19日 (Q4),11:00,1.20%,1.00%,1.10%
2026年4月16日 (Q1),11:00,1.30%,1.30%,1.20%
