公表日,時刻,結果,予想,前回
2011/1,,5.9,,
2011/2,,5.7,,
2011/3,,5.2,,
2011/4,,4.3,,
2011/5,,4.1,,
2011/6,,4.2,,
2011/7,,4.3,,
2011/8,,4.1,,
2011/9,,3.5,,
2011/10,,2.8,,
2011/11,,2.2,,
2011/12,,1.4,,
2012/1,,0.5,,
2012/2,,0,,
2012/3,,-0.7,,
2012/4,,-1.2,,
2012/5,,-1.4,,
2012/6,,,,
2012/7,,,,
2012/8,,-1.5,,
2012/9,,-1.3,,
2012/10,,-1.1,,
2012/11,,-0.7,,
2012/12,,0,,
2013/1,,0.8,,
2013/2,,2.1,,
2013/3,,3.6,,
2013/4,,4.9,,
2013/5,,6,,
2013/6,,6.8,,
2013/7,,7.5,,
2013/8,,8.3,,
2013/9,,9.1,,
2013/10,,9.6,,
2013/11,,9.9,,
2013/12,,9.9,,
2014/1,,9.6,,
2014/2,,8.7,,
2014/3,,7.7,,
2014/4,,6.7,,
2014/5,,5.6,,
2014/6,,4.2,,
2014/7,,2.5,,
2014/8,,0.5,,
2014/9,,-1.3,,
2014/10,,-2.6,,
2014/11,,-3.7,,
2014/12,,-4.3,,
2015/1,,-5.1,,
2015/2,,-5.7,,
2015/3,,-6.1,,
2015/4,,-6.1,,
2015/5,,-5.7,,
2015/6,,-4.9,,
2015/7,,-3.7,,
2015/8,,-2.3,,
2015/9,,-0.9,,
2015/10,,0.1,,
2015/11,,0.9,,
2015/12,,1.6,,
2016/1,,2.5,,
2016/2,,3.6,,
2016/3,,4.9,,
2016/4,,6.2,,
2016/5,,6.9,,
2016/6,,7.3,,
2016/7,,7.9,,
2016/8,,9.2,,
2016/9,,11.2,,
2016/10,,12.3,,
2016/11,,12.6,,
2016/12,,12.4,,
2017/1,,12.2,,
2017/2,,11.8,,
2017/3,,11.3,,
2017/4,,10.7,,
2017/5,,10.4,,
2017/6,,10.2,,
2017/7,,9.7,,
2017/8,,8.3,,
2017/9,,6.3,,
2017/10,,5.4,,
2017/11,,5.1,,
2017/12,,5.3,,
2018/1,,5,,
2018/2,,5.2,,
2018/3,,4.9,,
2018/4,,4.7,,
2018/5,,4.7,,
2018/6,,5,,
2018/7,,5.8,,
2018/8,,7,,
2018/9,,7.9,,
2018/10,,8.6,,
2018/11,,9.3,,
2018/12,,9.7,,
2019/1,,10,,
2019/2,,10.4,,
2019/3,,10.6,,
2019/4,,10.7,,
2019/5,,10.7,,
2019/6,,10.3,,
2019/7,,9.7,,
2019/8,,8.8,,
2019/9,,8.4,,
2019/10,,7.8,,
2019/11,,7.1,,
2019/12,,6.6,,
2020/1,,6.3,,
2020/2,,5.8,,
2020/3,,5.3,,
2020/4,,5.1,,
2020/5,,4.9,,
2020/6,,4.9,,
2020/7,,4.8,,
2020/8,,4.8,,
2020/9,,4.6,,
2020/10,,4.3,,
2020/11,,4,,
2020/12,,3.8,,
2021/1,,3.9,,
2021/2,,4.3,,
2021/3,,4.6,,
2021/4,,4.8,,
2021/5,,4.9,,
2021/6,,4.7,,
2021/7,,4.6,,
2021/8,,4.2,,
2021/9,,3.8,,
2021/10,,3.4,,
2021/11,,3,,
2021/12,,2.6,,
2022/1,,2.3,,
2022/2,,2,,
2022/3,,1.5,,
2022/4,,0.7,,
2022/5,,-0.1,,
2022/6,,-0.5,,
2022/7,,-0.9,,
2022/8,,-1.3,,
2022/9,,-1.5,,
2022/10,,-1.6,,
2022/11,,-1.6,,
2022/12,,-1.5,,
2023/1,,-1.5,,
2023/2,,-1.2,,
2023/3,,-0.8,,
2023/4,,-0.2,,
2023/5,,0.1,,
2023/6,,0,,
2023/7,,-0.1,,
2023/8,,-0.1,,
2023/9,,-0.1,,
2023/10,,-0.1,,
2023/11,,-0.2,,
2023/12,,-0.4,,
2024/1,,-0.7,,
2024/2,,-1.4,,
2024/3,,-2.2,,
2024/4,,-3.1,,
2024/5,,-3.9,,
2024/6,,-4.5,,
2024/7,,-4.9,,
2024/8,,-5.3,,
2024/9,,-5.8,,
2024/10,,-5.9,,
2024/11,,-5.7,,
2024/12,,-5.3,,
2025/1,,-5,,
2025/2,,-4.8,,
2025/3,,-4.5,,
2025/4,,-4,,
2025/5,,-3.5,,
2025/6,,-3.2,,
2025/7,,-2.8,,
2025/8,,-2.5,,
2025/9,,-2.2,,
2025/10,,-2.2,,
2025/11,,-2.4,,
2025/12,,-2.7,,
2026/1,,-3.1,,
2026/2,,,,
2026/3,,,,
