date,value
2010-03-01,89125.0
2010-06-01,101075.0
2010-09-01,107792.9
2010-12-01,121260.4
2011-03-01,106218.9
2011-06-01,120776.8
2011-09-01,128561.5
2011-12-01,140150.3
2012-03-01,119377.5
2012-06-01,133491.2
2012-09-01,140384.0
2012-12-01,154258.0
2013-03-01,131879.7
2013-06-01,146113.9
2013-09-01,154972.1
2013-12-01,170694.7
2014-03-01,143539.4
2014-06-01,159462.4
2014-09-01,168601.7
2014-12-01,184179.4
2015-03-01,154171.4
2015-06-01,171887.0
2015-09-01,180118.7
2015-12-01,196334.4
2016-03-01,165735.3
2016-06-01,185002.2
2016-09-01,194837.5
2016-12-01,215617.9
2017-03-01,185274.4
2017-06-01,205665.6
2017-09-01,216755.3
2017-12-01,239687.6
2018-03-01,205735.3
2018-06-01,228042.4
2018-09-01,238796.8
2018-12-01,263435.6
2019-03-01,221453.9
2019-06-01,246193.9
2019-09-01,256023.2
2019-12-01,282201.4
2020-03-01,209671.1
2020-06-01,253450.0
2020-09-01,269910.2
2020-12-01,301836.2
2021-03-01,255055.2
2021-06-01,287979.2
2021-09-01,297961.9
2021-12-01,332826.7
2022-03-01,277175.8
2022-06-01,299111.5
2022-09-01,315399.6
2022-12-01,342342.4
2023-03-01,292368.8
2023-06-01,316237.5
2023-09-01,328440.7
2023-12-01,357224.8
2024-03-01,304525.2
2024-06-01,328585.4
2024-09-01,341443.2
2024-12-01,373512.4
2025-03-01,318466.4
2025-06-01,341395.3
2025-09-01,354106.2
2025-12-01,387911.3
