公表日,国有土地使用权出让收入,同比
2023/3,8728亿元,-27.0%
2023/4,11761亿元,-21.7%
2023/5,14893亿元,-20.0%
2023/6,8687亿元,-20.9%
2023/7,22875亿元,-19.1%
2023/8,27096亿元,-19.6%
2023/9,30875亿元,-19.8%
2023/10,34992亿元,-20.5%
2023/11,42031亿元,-17.9%
2023/12,57996亿元,-13.2%
2024/2,5625亿元,0.0%
2024/3,8147亿元,-6.7%
2024/4,10536亿元,-10.4%
2024/5,12810亿元,-14.0%
2024/6,15263亿元,-18.3%
2024/7,17763亿元,-22.3%
2024/8,20218亿元,-25.4%
2024/9,23287亿元,-24.6%
2024/10,26971亿元,-22.9%
2024/11,32626亿元,-22.4%
2024/12,48699亿元,-16.0%
2025/2,4744亿元,-15.7%
2025/3,6849亿元,-15.9%
2025/4,9340亿元,-11.4%
2025/5,11281亿元,-11.9%
2025/6,14271亿元,-6.5%
2025/7,16950亿元,-4.6%
2025/8,19263亿元,-4.7%
2025/9,22302亿元,-4.2%
2025/10,24982亿元,-7.4%
2025/11,29119亿元,-10.7%
2025/12,41518亿元,-14.7%
2026/2,3547亿元,-25.2%
2026/3,5176亿元,-24.4%
2026/4,6801亿元,-27.2%
