公表月,当月総発行額(億元),当月新増合計(億元),当月新増一般(億元),当月新増専項(億元),当月再融資合計(億元),当月再融資一般(億元),当月再融資専項(億元),当月平均発行期限(年),当月平均発行利率(%),年初来総発行額(億元),年初来新増合計(億元),年初来新増一般(億元),年初来新増専項(億元),年初来再融資合計(億元),年初来再融資一般(億元),年初来再融資専項(億元),年初来平均発行期限(年),年初来平均発行利率(%),債務限額合計(億元),債務限額一般(億元),債務限額専項(億元),債務残高合計(億元),債務残高一般(億元),債務残高専項(億元)
2021/10,8761,6145,,,2616,,,13.5,3.35,64916,36625,7553,29071,28291,17152,11139,11.6,3.37,332774.3,151089.22,181685.08,296549,137549,159000
2021/11,6804,5949,188,5761,855,410,445,16.8,3.38,71719,42573,7741,34832,29146,17562,11584,12.1,3.37,332774.3,151089.22,181685.08,301962,137498,164464
2021/12,3179,1136,125,1011,2043,242,1801,9,3.14,74898,43709,7865,35844,31189,17804,13385,11.9,3.36,332774.3,151089.22,181685.08,304700,137709,166991
2022/1,6989,5837,993,4844,1152,231,921,14.2,3.05,6989,5837,993,4844,1152,231,921,14.2,3.05,376474.3,158289.22,218185.08,311401,138714,172687
2022/2,5071,4939,1008,3931,132,109,23,15.1,3.16,12060,10776,2001,8775,1284,340,944,14.6,3.1,376474.3,158289.22,218185.08,316364,139809,176555
2022/3,6187,4926,720,4206,1261,566,695,14.7,3.14,18246,15701,2721,12980,2545,906,1639,14.6,3.11,376474.3,158289.22,218185.08,321396,140650,180746
2022/4,2842,1208,170,1038,1634,774,860,11.2,2.95,21088,16909,2890,14019,4179,1680,2499,14.2,3.09,376474.3,158289.22,218185.08,322871,140942,181929
2022/5,12077,7536,1216,6320,4541,3107,1434,13,3.04,33165,24445,4106,20339,8720,4787,3933,13.7,3.07,376474.3,158289.22,218185.08,332509,143668,188841
2022/6,19337,15765,2041,13724,3572,2383,1189,14.8,3.08,52502,40210,6148,34062,12292,7169,5123,14.1,3.08,376474.3,158289.22,218185.08,347503,144858,202645
2022/7,4063,1248,635,613,2815,1851,964,9.7,2.97,56565,41458,6783,34675,15107,9021,6086,13.8,3.07,376474.3,158289.22,218185.08,346646,144223,202423
2022/8,3909,642,126,516,3267,1634,1633,8.5,2.77,60474,42100,6909,35191,18374,10655,7719,13.5,3.05,376474.3,158289.22,218185.08,347838,144422,203416
2022/9,3011,322,81,241,2689,1723,966,9.9,2.74,63485,42422,6990,35432,21063,12378,8685,13.3,3.03,376474.3,158289.22,218185.08,347124,144546,202578
2022/10,6807,4555,156,4399,2252,1191,1061,14.6,2.95,70292,46977,7146,39831,23315,13568,9747,13.4,3.03,376474.3,158289.22,218185.08,351688,144628,207060
2022/11,2469,491,36,455,1978,1207,771,9.9,2.83,72761,47468,7182,40286,25293,14775,10518,13.3,3.02,376474.3,158289.22,218185.08,350364,143841,206523
2022/12,915,98,0,98,817,403,414,6.1,2.77,73676,47566,7182,40384,26110,15178,10932,13.2,3.02,376474.3,158289.22,218185.08,350618,143896,206722
2023/1,6435,6258,1346,4912,177,103,74,16.6,3.12,6435,6258,1346,4912,177,103,74,16.6,3.12,421674.3,165489.22,256185.08,357018,145344,211674
2023/2,5761,4419,1062,3357,1342,857,485,15.5,3.13,12196,10677,2408,8269,1519,960,559,16.1,3.12,421674.3,165489.22,256185.08,362269,146934,215335
2023/3,8900,6017,718,5299,2883,1830,1053,13.6,3.05,21097,16694,3126,13568,4403,2790,1613,15.1,3.09,421674.3,165489.22,256185.08,368091,147611,220480
2023/4,6728,2825,178,2647,3903,2480,1423,13.1,3,27825,19519,3303,16216,8306,5270,3036,14.6,3.07,421674.3,165489.22,256185.08,370527,147328,223199
2023/5,7554,3019,264,2755,4535,3136,1399,12.5,2.85,35379,22538,3568,18970,12841,8405,4436,14.1,3.02,421674.3,165489.22,256185.08,375579,149103,226476
2023/6,8302,4814,776,4038,3488,2564,924,12.7,2.8,43681,27353,4344,23009,16328,10969,5359,13.9,2.98,421674.3,165489.22,256185.08,377999,148608,229391
2023/7,6191,2353,390,1963,3838,2296,1542,10.1,2.74,49872,29706,4735,24971,20166,13264,6902,13.4,2.95,421674.3,165489.22,256185.08,380234,148593,231641
2023/8,13159,7143,1136,6007,6016,2204,3812,12.6,2.74,63032,36849,5871,30978,26183,15469,10714,13.2,2.91,421674.3,165489.22,256185.08,387480,149314,238166
2023/9,7751,4240,620,3620,3511,506,3005,12.5,2.81,70783,41089,6491,34598,29694,15974,13720,13.1,2.9,421674.3,165489.22,256185.08,388996,149731,239265
2023/10,13963,2267,83,2184,11696,8229,3467,9.7,2.92,84746,43356,6574,36782,41390,24203,17187,12.6,2.9,421674.3,165489.22,256185.08,401011,157086,243925
2023/11,6672,2109,257,1852,4563,1844,2719,10.5,2.93,91418,45465,6831,38634,45953,26047,19906,12.4,2.9,421674.3,165489.22,256185.08,406386,158459,247927
2023/12,1956,1106,185,921,850,411,439,10.2,2.83,93374,46571,7016,39555,46803,26458,20345,12.4,2.9,421674.3,165489.22,256185.08,407373,158688,248685
2024/1,3845,1754,1186,568,2091,752,1339,8.7,2.6,3845,1754,1186,568,2091,752,1339,8.7,2.6,467874.3,172689.22,295185.08,409959,160203,249756
2024/2,5600,4006,540,3466,1594,616,978,15.3,2.57,9444,5759,1725,4034,3685,1368,2317,12.6,2.58,467874.3,172689.22,295185.08,414092,160952,253140
2024/3,6295,2664,356,2308,3631,1590,2041,12.8,2.46,15739,8423,2082,6341,7316,2958,4358,12.7,2.53,467874.3,172689.22,295185.08,416940,161585,255355
2024/4,3439,1285,402,883,2154,933,1221,11.6,2.41,19178,9708,2484,7224,9470,3891,5579,12.5,2.51,467874.3,172689.22,295185.08,417489,161677,255812
2024/5,9036,4819,436,4383,4217,2000,2217,13.7,2.45,28213,14527,2919,11608,13686,5891,7795,12.9,2.49,467874.3,172689.22,295185.08,423838,162693,261145
2024/6,6714,3731,404,3327,2983,1228,1755,11.9,2.34,34928,18259,3324,14935,16669,7119,9550,12.7,2.46,467874.3,172689.22,295185.08,426098,162582,263516
2024/7,7108,3200,385,2815,3908,1780,2128,10.2,2.24,42036,21459,3710,17749,20577,8899,11678,12.3,2.42,467874.3,172689.22,295185.08,428009,162425,265584
2024/8,12091,9474,1423,8051,2617,1110,1507,14.2,2.24,54128,30933,5133,25800,23195,10009,13186,12.7,2.38,467874.3,172689.22,295185.08,436297,163635,272662
2024/9,12893,11371,1042,10329,1522,632,890,15,2.15,67021,42303,6174,36129,24718,10642,14076,13.1,2.34,467874.3,172689.22,295185.08,447403,164491,282912
2024/10,6861,3385,394,2991,3476,1808,1668,15.5,2.24,73882,45689,6568,39121,28193,12450,15743,13.4,2.33,467874.3,172689.22,295185.08,453160,166016,287144
2024/11,13141,1051,195,856,12090,639,11451,17,2.23,87023,46740,6763,39977,40283,13089,27194,13.9,2.31,527874.3,172689.22,355185.08,464974,166293,298681
2025/1,5575,3053,1005,2048,2522,173,2349,16.4,1.87,5575,3053,1005,2048,2522,173,2349,16.4,1.87,579874.3,180689.22,399185.08,480131,168069,312062
2025/2,13057,4966,1046,3920,8091,130,7961,17.4,1.93,18633,8019,2051,5968,10614,304,10310,17.1,1.91,579874.3,180689.22,399185.08,492859,169153,323706
2025/3,9788,4375,740,3635,5413,1008,4405,17.3,2.09,28421,12394,2791,9603,16027,1311,14716,17.2,1.97,579874.3,180689.22,399185.08,501650,170225,331425
2025/4,6933,2534,233,2301,4399,1174,3225,15.8,1.92,35354,14927,3023,11904,20427,2486,17941,16.9,1.96,579874.3,180689.22,399185.08,506931,170692,336239
2025/5,7795,4919,487,4432,2876,2113,763,14.2,1.87,43148,19846,3510,16336,23302,4598,18704,16.4,1.95,579874.3,180689.22,399185.08,512475,171838,340637
2025/6,11753,6281,1010,5271,5472,2674,2798,13.9,1.8,54902,26127,4520,21607,28775,7273,21502,15.9,1.92,579874.3,180689.22,399185.08,519503,171704,347799
2025/7,12135,7032,863,6169,5103,2586,2517,14.6,1.85,67036,33159,5383,27776,33877,9858,24019,15.6,1.9,579874.3,180689.22,399185.08,527627,172483,355144
2025/8,9801,5715,825,4890,4086,2231,1855,14.4,2.04,76838,38874,6208,32666,37964,12089,25875,15.5,1.92,579874.3,180689.22,399185.08,532484,172728,359756
2025/9,8619,4741,550,4191,3878,1710,2168,16.8,2.18,85457,43615,6758,36857,41842,13799,28043,15.6,1.95,579874.3,180689.22,399185.08,536995,173119,363876
