Database:??????
Month:2010-
????¡§?,2026???2???,2026???1???,2025???12???,2025???11???,2025???10???,2025???9???,2025???8???,2025???7???,2025???6???,2025???5???,2025???4???,2025???3???,2025???2???,2025???1???,2024???12???,2024???11???,2024???10???,2024???9???,2024???8???,2024???7???,2024???6???,2024???5???,2024???4???,2024???3???,2024???2???,2024???1???,2023???12???,2023???11???,2023???10???,2023???9???,2023???8???,2023???7???,2023???6???,2023???5???,2023???4???,2023???3???,2023???2???,2023???1???,2022???12???,2022???11???,2022???10???,2022???9???,2022???8???,2022???7???,2022???6???,2022???5???,2022???4???,2022???3???,2022???2???,2022???1???,2021???12???,2021???11???,2021???10???,2021???9???,2021???8???,2021???7???,2021???6???,2021???5???,2021???4???,2021???3???,2021???2???,2021???1???,2020???12???,2020???11???,2020???10???,2020???9???,2020???8???,2020???7???,2020???6???,2020???5???,2020???4???,2020???3???,2020???2???,2020???1???,2019???12???,2019???11???,2019???10???,2019???9???,2019???8???,2019???7???,2019???6???,2019???5???,2019???4???,2019???3???,2019???2???,2019???1???,2018???12???,2018???11???,2018???10???,2018???9???,2018???8???,2018???7???,2018???6???,2018???5???,2018???4???,2018???3???,2018???2???,2018???1???,2017???12???,2017???11???,2017???10???,2017???9???,2017???8???,2017???7???,2017???6???,2017???5???,2017???4???,2017???3???,2017???2???,2017???1???,2016???12???,2016???11???,2016???10???,2016???9???,2016???8???,2016???7???,2016???6???,2016???5???,2016???4???,2016???3???,2016???2???,2016???1???,2015???12???,2015???11???,2015???10???,2015???9???,2015???8???,2015???7???,2015???6???,2015???5???,2015???4???,2015???3???,2015???2???,2015???1???,2014???12???,2014???11???,2014???10???,2014???9???,2014???8???,2014???7???,2014???6???,2014???5???,2014???4???,2014???3???,2014???2???,2014???1???,2013???12???,2013???11???,2013???10???,2013???9???,2013???8???,2013???7???,2013???6???,2013???5???,2013???4???,2013???3???,2013???2???,2013???1???,2012???12???,2012???11???,2012???10???,2012???9???,2012???8???,2012???7???,2012???6???,2012???5???,2012???4???,2012???3???,2012???2???,2012???1???,2011???12???,2011???11???,2011???10???,2011???9???,2011???8???,2011???7???,2011???6???,2011???5???,2011???4???,2011???3???,2011???2???,2011???1???,2010???12???,2010???11???,2010???10???,2010???9???,2010???8???,2010???7???,2010???6???,2010???5???,2010???4???,2010???3???,2010???2???,2010???1???
¨¦?????¨¨???????????????¡è¡À??????(%),,5.2,5.1,5.1,5.1,5.2,5.3,5.2,5.0,5.0,5.1,5.2,5.4,5.2,5.1,5.0,5.0,5.1,5.3,5.2,5.0,5.0,5.0,5.2,5.3,5.2,5.1,5.0,5.0,5.0,5.2,5.3,5.2,5.2,5.2,5.3,5.6,5.5,5.5,5.7,5.5,5.5,5.3,5.4,5.5,5.9,6.1,5.8,5.5,5.3,5.1,5.0,4.9,4.9,5.1,5.1,5.0,5.0,5.1,5.3,5.5,5.4,5.2,5.2,5.3,5.4,5.6,5.7,5.7,5.9,6.0,5.9,6.2,5.3,5.2,5.1,5.1,5.2,5.2,5.3,5.1,5.0,5.0,5.2,5.3,5.1,4.9,4.8,4.9,4.9,5.0,5.1,4.8,4.8,4.9,5.1,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§¨¨??????????????31??????¨¨??¨¦??????????????????¡è¡À??????(%),,5.0,5.1,5.1,5.1,5.2,5.3,5.2,5.0,5.0,5.1,5.2,5.2,5.1,5.0,5.0,5.0,5.1,5.4,5.3,4.9,4.9,5.0,5.1,5.1,4.9,5.0,5.0,5.0,5.2,5.3,5.4,5.5,5.5,5.5,5.5,5.7,5.8,6.1,6.7,6.0,5.8,5.4,5.6,5.8,6.9,6.7,6.0,5.4,5.4,5.1,5.1,5.1,5.0,5.3,5.2,5.2,5.2,5.2,5.3,5.5,5.4,5.1,5.2,5.3,5.5,5.7,5.8,5.8,5.9,5.8,5.7,5.7,5.2,5.2,5.1,5.1,5.2,5.2,5.2,5.0,5.0,5.0,5.1,5.0,4.8,4.7,4.7,4.7,4.7,4.9,5.0,4.7,4.7,4.7,4.9,4.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§¨¨????????????????¡ã????????????¨¦?????????¡è¡À??????(%),,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.1,5.0,5.2,5.3,5.6,5.4,5.3,5.2,5.1,5.2,5.4,5.2,5.0,5.1,5.1,5.3,5.5,5.4,5.2,5.1,5.0,5.1,5.3,5.3,5.1,5.1,5.1,5.1,5.4,5.4,5.4,5.5,5.4,5.4,5.3,5.3,5.3,5.5,5.7,5.6,5.5,5.4,5.1,5.1,4.9,5.0,5.2,5.1,5.0,5.1,5.1,5.3,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦????¡ã????????????¨¦??????????¡è¨¦?????¨¦?¡§???¨¨??????¡è¡À??????(%),,4.8,4.7,4.7,4.7,4.9,5.0,5.1,4.8,5.0,4.8,4.9,5.0,4.7,4.6,4.6,4.8,4.8,4.9,5.1,4.8,4.7,4.9,5.1,4.8,4.7,4.7,4.7,4.9,4.9,4.8,5.2,5.3,5.4,5.4,5.6,5.9,5.6,5.7,6.2,5.7,5.6,5.3,5.5,5.8,6.6,6.9,6.3,5.6,5.1,4.9,4.8,4.8,4.8,5.0,5.0,5.1,5.0,5.1,5.4,5.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§¨¨????????¨¨¡À????16?????????24???????¡è¡À??????(%),,16.3,16.5,16.9,17.3,17.7,18.9,17.8,14.5,14.9,15.8,16.5,16.9,16.1,15.7,16.1,17.1,17.6,18.8,17.1,13.2,14.2,14.7,15.3,15.3,14.6,14.9,,,,,,21.3,20.8,20.4,19.6,18.1,17.3,16.7,17.1,17.9,17.9,18.7,19.9,19.3,18.4,18.2,16.0,15.3,15.3,14.3,14.3,14.2,14.6,15.3,16.2,15.4,13.8,13.6,13.6,13.1,12.7,12.3,12.8,13.2,15.0,16.8,16.8,15.4,14.8,13.8,13.3,13.6,12.5,12.2,12.5,12.4,13.0,13.1,13.9,11.6,10.5,9.9,11.3,11.0,11.2,10.1,10.0,9.8,11.2,13.1,13.3,10.0,9.6,10.1,10.4,11.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§¨¨????????¨¨¡À????25?????????29???????¡è¡À??????(%),,6.8,6.9,7.2,7.2,7.2,7.2,6.9,6.7,7.0,7.1,7.2,7.3,6.9,6.6,6.7,6.8,6.7,6.9,6.5,6.4,6.6,7.1,7.2,6.4,6.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§¨¨????????¨¨¡À????30?????????59???????¡è¡À??????(%),,4.0,3.9,3.8,3.8,3.9,3.9,3.9,4.0,3.9,4.0,4.1,4.3,4.0,3.9,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.2,4.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§¨¨????????¨¨¡À????25?????????59????????¡ì?????????????¡è¡À??????(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,4.2,4.3,4.8,4.7,4.8,5.0,4.7,4.7,4.3,4.3,4.5,5.1,5.3,5.2,4.8,4.6,4.4,4.3,4.2,4.2,4.3,4.2,4.2,4.4,4.6,4.8,5.0,4.9,4.7,4.7,4.8,4.8,4.8,5.0,5.2,5.4,5.5,5.4,5.6,4.7,4.7,4.6,4.6,4.6,4.5,4.6,4.6,4.5,4.7,4.8,4.9,4.6,4.4,4.4,4.4,4.3,4.3,4.4,4.4,4.4,4.4,4.6,4.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨¦?????¨¦?¡§???????????????????????????????????????¨¦?¡À?????????¨¦??(???¨¦????????),,48.3,48.6,48.6,48.4,48.6,48.5,48.5,48.5,48.5,48.3,48.5,47.1,49.1,49.0,48.9,48.6,48.8,48.7,48.7,48.6,48.7,48.5,48.6,48.0,49.0,49.0,48.9,48.7,48.8,48.7,48.7,48.7,48.6,48.8,48.7,47.9,47.9,47.9,47.7,47.9,47.8,48.0,48.0,47.7,47.2,46.2,47.3,46.7,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??¡§:?¡è¡À????????????¨¦????????¨¨¡§????2023???12??????¨¦?????¨¨¡§????????????????????????????¨¨¡§??????????????????????????????????????????????????????????????????????
