Database:Monthly
Month:2015-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Retail Sales of Consumer Goods Current Period(100 million yuan),,,45135.9,43898.0,46291.3,41971.0,39667.6,38780.2,42287.4,41325.8,37174.1,40940.5,,,45171.5,43763.0,45396.4,41112.3,38725.8,37757.4,40731.6,39211.0,35699.1,39019.9,,,43550.2,42505.0,43333.0,39826.0,37932.7,36760.7,39951.4,37803.3,34910.5,37855.4,,,40542.3,38615.1,40270.5,37744.9,36257.9,35870.1,38742.5,33547.0,29483.1,34233.1,,,41268.9,41043.2,40453.9,36833.0,34394.9,34925.1,37585.8,35945.1,33152.6,35484.1,,,40566.0,39514.2,38576.5,35294.7,33570.6,32202.5,33525.9,31972.8,28177.8,26449.9,,,38776.7,38093.8,38104.3,34494.9,33896.3,33073.3,33878.1,32955.7,30586.1,31725.7,,,35893.5,35259.7,35534.4,32005.4,31542.3,30733.7,30841.6,30359.1,28541.9,29193.6,,,34734.1,34108.2,34240.9,30870.3,30329.7,29609.8,29807.6,29459.2,27278.5,27863.7,,,31757.0,30958.5,31119.2,27976.4,27539.6,26827.4,26857.4,26610.7,24645.8,25114.1,,,28634.6,27937.3,28278.9,25270.6,24893.4,24338.8,24280.3,24194.8,22386.7,22722.8,,
Total Retail Sales of Consumer Goods Accumulated(100 million yuan),,,501202.4,456066.6,412168.5,365877.2,323906.2,284238.5,245458.4,203171.0,161845.2,124671.1,83730.6,,487894.8,442723.3,398960.3,353564.0,312451.7,273725.9,235969.0,195236.9,156025.8,120326.8,81306.9,,471495.2,427945.0,385440.0,342107.0,302281.0,264348.4,227587.6,187636.3,149832.9,114922.4,77067.0,,439732.5,399190.2,360575.1,320304.6,282559.7,246301.8,210431.7,171689.3,138142.2,108659.1,74426.0,,440823.2,399554.3,358511.1,318057.2,281224.2,246829.4,211904.3,174318.5,138373.4,105220.8,69736.8,,391980.6,351414.7,311900.5,273324.0,238029.4,204458.7,172256.2,138730.3,106757.5,78579.7,52129.8,,411649.0,372872.3,334778.5,296674.2,262179.3,228282.9,195209.7,161331.6,128375.8,97789.7,66064.0,,380986.9,345093.4,309833.7,274299.3,242293.9,210751.6,180017.9,149176.4,118817.3,90275.4,61081.8,,366261.6,331527.5,297419.4,263178.4,232308.2,201978.5,172368.7,142561.1,113101.9,85823.4,57959.7,,332316.0,300559.5,269601.0,238481.8,210505.4,182965.8,156138.3,129280.9,102670.2,78024.4,52910.3,,300930.8,272296.1,244358.8,216079.9,190809.3,165915.9,141577.1,117296.9,93102.0,70715.3,47992.5,
Total Retail Sales of Consumer Goods Growth Rate (The same period last year=100)(%),,,0.9,1.3,2.9,3.0,3.4,3.7,4.8,6.4,5.1,5.9,,,3.7,3.0,4.8,3.2,2.1,2.7,2.0,3.7,2.3,3.1,,,7.4,10.1,7.6,5.5,4.6,2.5,3.1,12.7,18.4,10.6,,,-1.8,-5.9,-0.5,2.5,5.4,2.7,3.1,-6.7,-11.1,-3.5,,,1.7,3.9,4.9,4.4,2.5,8.5,12.1,12.4,17.7,34.2,,,4.6,5.0,4.3,3.3,0.5,-1.1,-1.8,-2.8,-7.5,-15.8,,,8.0,8.0,7.2,7.8,7.5,7.6,9.8,8.6,7.2,8.7,,,8.2,8.1,8.6,9.2,9.0,8.8,9.0,8.5,9.4,10.1,,,9.4,10.2,10.0,10.3,10.1,10.4,11.0,10.7,10.7,10.9,,,10.9,10.8,10.0,10.7,10.6,10.2,10.6,10.0,10.1,10.5,,,11.1,11.2,11.0,10.9,10.8,10.5,10.6,10.1,10.0,10.2,,
Total Retail Sales of Consumer Goods Accumulated Growth Rate(%),,,3.7,4.0,4.3,4.5,4.6,4.8,5.0,5.0,4.7,4.6,4.0,,3.5,3.5,3.5,3.3,3.4,3.5,3.7,4.1,4.1,4.7,5.5,,7.2,7.2,6.9,6.8,7.0,7.3,8.2,9.3,8.5,5.8,3.5,,-0.2,-0.1,0.6,0.7,0.5,-0.2,-0.7,-1.5,-0.2,3.3,6.7,,12.5,13.7,14.9,16.4,18.1,20.7,23.0,25.7,29.6,33.9,33.8,,-3.9,-4.8,-5.9,-7.2,-8.6,-9.9,-11.4,-13.5,-16.2,-19.0,-20.5,,8.0,8.0,8.1,8.2,8.2,8.3,8.4,8.1,8.0,8.3,8.2,,9.0,9.1,9.2,9.3,9.3,9.3,9.4,9.5,9.7,9.8,9.7,,10.2,10.3,10.3,10.4,10.4,10.4,10.4,10.3,10.2,10.0,9.5,,10.4,10.4,10.3,10.4,10.3,10.3,10.3,10.2,10.3,10.3,10.2,,10.7,10.6,10.6,10.5,10.5,10.4,10.4,10.4,10.4,10.6,10.7,
Retail Sales of Consumer Goods of Enterprises above Designated SizeCurrent Period(100 million yuan),,,19546.7,17810.3,17781.5,17776.1,15841.5,15213.7,18327.3,16715.8,14991.6,17239.0,,,19453.4,17748.1,16985.5,16901.2,14925.5,14282.8,16994.0,14988.2,13640.9,15535.1,,,17885.4,16857.8,15362.6,15890.3,14460.8,13762.0,16658.3,14033.4,13228.1,15459.1,,,17070.7,15606.6,14290.6,15234.4,14017.9,13737.1,16540.6,12713.0,11012.0,13630.7,,,16703.2,16030.8,13866.7,13902.0,12342.5,12425.2,14890.7,13214.4,12592.4,13699.7,,,16300.8,15190.3,13095.0,13376.4,12136.1,11351.3,13106.9,11664.2,10588.3,9984.3,,,15337.6,13964.7,12322.1,12835.4,11772.1,11412.1,13163.4,11693.8,11120.1,11952.5,,,15084.0,13678.7,12478.6,12761.7,11832.2,11419.0,12448.3,11476.7,11240.6,11831.8,,,17409.4,15778.7,14373.8,14629.7,13229.4,12812.6,14222.0,12937.1,12253.3,12873.3,,,16945.0,14791.8,13507.7,13503.9,12249.7,11805.7,13005.8,11884.9,11264.3,11717.1,,,15367.0,13502.7,12612.2,12484.1,11256.6,11005.3,12009.4,11180.1,10564.2,10833.5,,
Retail Sales of Consumer Goods of Enterprises above Designated SizeAccumulated(100 million yuan),,,201618.2,182664.6,164935.4,147726.2,130021.7,114258.2,99219.7,80749.1,64082.2,49216.5,31952.5,,192552.5,173397.6,155131.4,137676.5,120304.4,105321.1,91056.9,73858.0,58873.8,45450.8,29919.7,,178563.1,161540.2,144741.9,129424.6,113364.2,98981.8,85341.3,68720.6,55500.7,43691.3,28485.8,,170903.3,153895.3,138115.8,123844.7,108653.1,94749.6,81231.2,64614.0,51586.5,40600.2,27229.6,,164148.1,147515.5,131281.0,117587.9,103568.4,91259.5,78939.3,63974.4,50752.8,38140.0,24374.5,,143322.9,127123.6,111887.7,98573.5,85316.9,73332.1,62374.8,49317.2,37607.7,27049.1,16949.8,,148009.9,132639.1,118918.8,106691.9,93880.9,82446.2,71124.2,57924.0,46211.9,35078.2,23096.0,,145311.3,130829.9,117177.5,104792.1,92367.7,81125.2,69937.6,57517.7,46136.9,34941.0,23242.0,,160612.5,145752.6,131617.9,117750.5,103070.0,89820.7,76953.0,62689.3,49764.5,37460.5,24679.7,,154286.0,137203.2,122312.3,108343.7,95101.0,82920.9,71075.1,58010.4,46111.3,34625.5,23080.0,,142558.0,126906.0,113833.2,101089.3,88576.0,77264.8,66255.7,54230.0,43014.6,32471.6,21840.4,
Retail Sales of Consumer Goods of Enterprises above Designated SizeGrowth Rate (The same period last year=100)(%),,,-1.9,-2.0,1.6,2.3,2.4,2.8,5.0,8.0,6.3,8.5,,,4.0,1.3,6.2,2.6,-0.6,-0.1,-0.6,3.4,0.9,2.6,,,6.6,10.0,8.7,5.2,3.1,0.3,2.3,12.5,19.0,10.1,,,-1.3,-5.8,-0.5,6.1,9.3,6.8,8.1,-6.5,-14.0,-1.4,,,1.6,4.2,4.6,2.8,0.5,8.5,13.2,12.7,18.5,38.6,,,6.4,8.3,7.1,5.3,4.4,2.2,-0.4,1.3,-3.2,-15.0,,,4.4,4.4,1.2,3.1,2.0,2.9,9.7,5.1,2.0,5.1,,,2.4,2.1,3.7,5.7,6.0,5.7,6.5,5.5,7.8,9.0,,,6.7,7.8,7.2,7.8,7.5,8.6,10.2,9.2,9.2,10.0,,,9.8,9.5,7.5,8.8,8.5,7.3,8.1,6.5,6.7,8.6,,,8.6,8.8,8.4,8.2,8.0,7.3,7.8,6.8,6.7,7.1,,
Retail Sales of Consumer Goods of Enterprises above Designated SizeAccumulated Growth Rate(%),,,3.3,3.8,4.5,4.9,5.2,5.6,6.1,6.3,5.9,5.7,4.3,,2.7,2.6,2.7,2.3,2.3,2.7,3.1,4.0,4.2,5.2,6.7,,6.5,6.5,6.1,5.9,5.9,6.4,7.4,8.7,7.8,4.8,2.1,,1.4,1.7,2.6,3.0,2.6,1.7,0.8,-0.9,0.6,5.4,9.1,,13.4,14.9,16.4,17.9,20.3,23.6,26.4,29.9,35.3,42.0,43.9,,-1.9,-2.8,-4.2,-5.5,-7.0,-8.6,-10.3,-12.7,-16.3,-20.5,-23.4,,3.9,3.9,3.8,4.1,4.3,4.6,4.9,3.9,3.5,4.1,3.5,,5.7,6.1,6.6,6.9,7.1,7.3,7.5,7.8,8.4,8.5,8.3,,8.1,8.3,8.3,8.5,8.6,8.7,8.7,8.4,8.2,7.9,6.8,,8.1,7.9,7.8,7.8,7.6,7.5,7.5,7.4,7.7,8.0,7.6,,7.8,7.7,7.6,7.5,7.4,7.3,7.4,7.3,7.5,7.8,8.1,
Note:Figures of total retail sales of consumer goods from 1993 to 2019 are revised according to the result of the Forth National Economic Census and relevan.
Data Sources:National Bureau of Statistics
