"Foreign Holdings*
(Month-end)",Shanghai Clearing House (SHCH),China Central Depository & Clearing (CCDC),"Total
(RMB billion)"
March 2026,480.4,"2,709.6","3,190.00"
February 2026,544.4,"2,779.8","3,324.20"
January 2026,620.4,"2,734.1","3,354.50"
December 2025,709.3,"2,752.9","3,462.30"
November 2025,824.9,"2,788.3","3,613.10"
October 2025,924.9,"2,805.0","3,729.90"
September 2025,"1,001.3","2,782.8","3,784.10"
August 2025,"1,057.0","2,771.7","3,828.70"
July 2025,"1,126.6","2,801.7","3,928.30"
June 2025,"1,301.2","2,931.0","4,232.10"
May 2025,"1,387.8","2,960.4","4,348.20"
April 2025,"1,466.3","2,978.2","4,444.50"
March 2025,"1,438.2","2,910.9","4,349.10"
February 2025,"1,296.5","2,910.8","4,207.30"
January 2025,"1,233.5","2,904.0","4,137.50"
December 2024,"1,200.7","2,960.0","4,160.70"
November 2024,"1,138.9","3,006.7","4,145.60"
October 2024,"1,202.1","3,045.7","4,247.80"
September 2024,"1,250.7","3,139.1","4,389.80"
August 2024,"1,260.8","3,262.8","4,523.60"
July 2024,"1,226.0","3,229.9","4,455.90"
June 2024,"1,102.2","3,206.2","4,308.40"
May 2024,"1,007.7","3,213.1","4,220.80"
April 2024,910.0,"3,138.4","4,048.40"
March 2024,869.1,"3,128.0","3,997.10"
February 2024,743.4,"3,208.7","3,952.10"
January 2024,647.8,"3,224.0","3,871.80"
December 2023,529.0,"3,139.9","3,668.90"
November 2023,469.2,"3,019.2","3,488.40"
October 2023,375.2,"2,861.9","3,237.10"
September 2023,370.3,"2,824.6","3,194.90"
August 2023,337.5,"2,839.6","3,177.10"
July 2023,350.5,"2,889.4","3,239.50"
June 2023,335.5,"2,940.6","3,276.10"
May 2023,281.4,"2,904.2","3,185.60"
April 2023,281.2,"2,885.0","3,166.20"
March 2023,294.8,"2,913.1","3,207.90"
February 2023,261.2,"2,943.2","3,204.40"
January 2023,253.1,"3,027.6","3,280.70"
December 2022,272.8,"3,114.4","3,387.20"
November 2022,232.1,"3,097.2","3,329.30"
October 2022,240.9,"3,137.5","3,378.40"
September 2022,233.3,"3,171.6","3,404.90"
August 2022,242.5,"3,233.1","3,475.60"
July 2022,250.1,"3,260.9","3,511.00"
June 2022,276.6,"3,289.0","3,565.60"
May 2022,274.8,"3,384.1","3,658.90"
April 2022,287.9,"3,480.4","3,768.30"
March 2022,308.4,"3,568.4","3,876.80"
February 2022,322.7,"3,666.6","3,989.30"
January 2022,336.2,"3,733.5","4,069.70"
December 2021,320.0,"3,683.4","4,003.40"
November 2021,328.9,"3,604.8","3,933.60"
October 2021,336.2,"3,516.7","3,852.90"
September 2021,350.8,"3,494.1","3,844.90"
August 2021,369.7,"3,405.7","3,775.40"
July 2021,391.8,"3,375.2","3,767.00"
June 2021,443.8,"3,299.8","3,743.60"
May 2021,414.5,"3,263.3","3,677.70"
April 2021,394.3,"3,221.9","3,616.20"
March 2021,401.0,"3,157.1","3,558.10"
February 2021,414.6,"3,152.5","3,567.10"
January 2021,420.8,"3,056.8","3,477.60"
December 2020,369.9,"2,884.8","3,254.70"
November 2020,325.2,"2,766.3","3,091.50"
October 2020,312.1,"2,682.7","2,994.80"
September 2020,344.3,"2,596.1","2,940.30"
August 2020,340.9,"2,462.0","2,802.90"
July 2020,328.3,"2,344.1","2,672.40"
June 2020,311.5,"2,196.0","2,507.50"
May 2020,313.0,"2,113.1","2,426.00"
April 2020,310.3,"2,001.1","2,311.40"
March 2020,303.2,"1,957.8","2,261.00"
February 2020,326.2,"1,951.6","2,277.80"
January 2020,316.4,"1,885.9","2,202.30"
December 2019,310.7,"1,877.0","2,187.60"
November 2019,326.9,"1,870.6","2,197.50"
October 2019,321.5,"1,806.1","2,127.60"
September 2019,322.3,"1,794.5","2,116.80"
August 2019,304.3,"1,723.9","2,028.20"
July 2019,317.7,"1,698.6","2,016.30"
June 2019,309.0,"1,645.2","1,954.20"
May 2019,269.0,"1,610.6","1,879.60"
April 2019,236.3,"1,534.0","1,770.30"
March 2019,249.0,"1,515.2","1,764.20"
February 2019,239.9,"1,512.5","1,752.40"
January 2019,246.7,"1,508.2","1,754.90"
December 2018,222.9,"1,507.0","1,729.90"
November 2018,221.8,"1,424.3","1,646.10"
October 2018,236.8,"1,442.6","1,679.40"
September 2018,246.7,"1,442.3","1,689.00"
August 2018,271.8,"1,412.1","1,683.90"
July 2018,258.2,"1,354.1","1,612.30"
June 2018,249.9,"1,295.9","1,545.80"
May 2018,226.6,"1,208.8","1,435.40"
April 2018,221.5,"1,153.4","1,374.90"
March 2018,217.9,"1,087.0","1,304.90"
February 2018,210.4,"1,066.3","1,276.70"
January 2018,208.6,"1,037.2","1,245.70"
December 2017,173.3,974.1,"1,147.40"
November 2017,170.6,936.6,"1,107.20"
October 2017,184.3,921.3,"1,105.60"
September 2017,165.0,896.0,"1,061.00"
August 2017,107.6,857.4,965.00
July 2017,40.9,841.5,882.40
