公表日,時間,結果,予想,前回
2012/1,,52.5,,
2012/2,,53.9,,
2012/3,,53.3,,
2012/4,,54.1,,
2012/5,,54.7,,
2012/6,,52.3,,
2012/7,,53.1,,
2012/8,,52,,
2012/9,,54.3,,
2012/10,,53.5,,
2012/11,,52.1,,
2012/12,,51.7,,
2013/1,,54,,
2013/2,,52.1,,
2013/3,,54.3,,
2013/4,,51.1,,
2013/5,,51.2,,
2013/6,,51.3,,
2013/7,,51.3,,
2013/8,,52.8,,
2013/9,,52.4,,
2013/10,,52.6,,
2013/11,,52.5,,
2013/12,,50.9,,
2014/1,,50.7,,
2014/2,,51,,
2014/3,,51.9,,
2014/4,,51.4,,
2014/5,,50.7,,
2014/6,,53.1,,
2014/7,,50,,
2014/8,,54.1,,
2014/9,,53.5,,
2014/10,,52.9,,
2014/11,,53,,
2014/12,,53.4,,
2015/1,,51.8,,
2015/2,,52,,
2015/3,,52.3,,
2015/4,,52.9,,
2015/5,,53.5,,
2015/6,,51.8,,
2015/7,,53.8,,
2015/8,,51.5,,
2015/9,,50.5,,
2015/10,,52,,
2015/11,,51.2,,
2015/12,,50.2,,
2016/1,,52.4,,
2016/2,,51.2,,
2016/3,,52.2,,
2016/4,,51.8,,
2016/5,,51.2,,
2016/6,,52.7,,
2016/7,,51.7,,
2016/8,,52.1,,
2016/9,,52,,
2016/10,,52.4,,
2016/11,,53.1,,
2016/12,,53.4,,
2017/1,,53.1,,
2017/2,,52.6,,
2017/3,,52.2,,
2017/4,,51.5,,
2017/5,,52.8,,
2017/6,,51.6,,
2017/7,,51.5,,
2017/8,,52.7,,
2017/9,,50.6,,
2017/10,,51.2,,
2017/11,,51.9,,
2017/12,,53.9,,
2018/1,,54.7,,
2018/2,,54.2,,
2018/3,,52.3,,
2018/4,,52.9,,
2018/5,,52.9,,
2018/6,,53.9,,
2018/7,,52.8,,
2018/8,,51.5,,
2018/9,,53.1,,
2018/10,,50.8,,
2018/11,,53.8,,
2018/12,,53.9,,
2019/1,,53.6,,
2019/2,,51.1,,
2019/3,,54.4,,
2019/4,,54.5,,
2019/5,,52.7,,
2019/6,,52,,
2019/7,,51.6,,
2019/8,,52.1,,
2019/9,,51.3,,
2019/10,,51.1,,
2019/11,,53.5,,
2019/12,,52.5,,
2020/1,,51.8,,
2020/2,,26.5,,
2020/3,,43,,
2020/4,,44.4,,
2020/5,,55,,
2020/6,,58.4,,
2020/7,,54.1,,
2020/8,,54,,
2020/9,,54.8,,
2020/10,,56.8,,
2020/11,,57.8,,
2020/12,,56.3,,
2021/1,,52,,
2021/2,,51.5,,
2021/3,,54.3,,
2021/4,,56.3,,
2021/5,,55.1,,
2021/6,,50.3,,
2021/7,,54.9,,
2021/8,,46.7,,
2021/9,,53.4,,
2021/10,,53.8,,
2021/11,,52.1,,
2021/12,,53.1,,
2022/1,,51.4,,
2022/2,,50.2,,
2022/3,,42,,
2022/4,,36.2,,
2022/5,,41.4,,
2022/6,,54.5,,
2022/7,,55.5,,
2022/8,,55,,
2022/9,,49.3,,
2022/10,,48.4,,
2022/11,,46.7,,
2022/12,,48,,
2023/1,,52.9,,
2023/2,,55,,
2023/3,,57.8,,
2023/4,,56.4,,
2023/5,,57.1,,
2023/6,,53.9,,
2023/7,,54.1,,
2023/8,,51.8,,
2023/9,,50.2,,
2023/10,,50.4,,
2023/11,,51.5,,
2023/12,,52.9,,
2024/1,,52.7,,
2024/2,,52.5,,
2024/3,,52.7,,
2024/4,,52.5,,
2024/5,,54,,
2024/6,,51.2,,
2024/7,,52.1,,
2024/8,,51.6,,
2024/9,,50.3,,
2024/10,,52,,
2024/11,,51.5,,
2024/12,,52.2,,
2025/1,,51,,
2025/2,,51.4,,
2025/3,,51.9,,
2025/4,,50.7,,
2025/5,,51.1,,
2025/6,,50.6,,
2025/7,,52.6,,
2025/8,,53,,
2025/9,,52.9,,
2025/10,,52.6,,
2025/11,,52.1,,
2025/12,,52,,
2026/1,,52.3,,
2026/2,,56.7,,
