公表日,時間,結果,予想,前回
2010/1,,57.4,,
2010/2,,55.8,,
2010/3,,57.6,,
2010/4,,55.2,,
2010/5,,52.7,,
2010/6,,50.4,,
2010/7,,49.4,,
2010/8,,51.9,,
2010/9,,55.2,,
2010/10,,54.8,,
2010/11,,55.3,,
2010/12,,54.4,,
2011/1,,54.5,,
2011/2,,52.5,,
2011/3,,51.8,,
2011/4,,51.8,,
2011/5,,50.1,,
2011/6,,48.9,,
2011/7,,49.3,,
2011/8,,49.9,,
2011/9,,49.4,,
2011/10,,51,,
2011/11,,47.7,,
2011/12,,48.7,,
2012/1,,48.8,,
2012/2,,48.1,,
2012/3,,48.3,,
2012/4,,49.3,,
2012/5,,48.1,,
2012/6,,48.2,,
2012/7,,49.3,,
2012/8,,47.6,,
2012/9,,47.9,,
2012/10,,50.4,,
2012/11,,50.5,,
2012/12,,51.9,,
2013/1,,52.3,,
2013/2,,50.4,,
2013/3,,51.6,,
2013/4,,50.4,,
2013/5,,49.2,,
2013/6,,48.2,,
2013/7,,47.7,,
2013/8,,50.1,,
2013/9,,50.2,,
2013/10,,50.9,,
2013/11,,50.8,,
2013/12,,50.5,,
2014/1,,49.5,,
2014/2,,48.5,,
2014/3,,48,,
2014/4,,48.1,,
2014/5,,49.4,,
2014/6,,50.7,,
2014/7,,51.7,,
2014/8,,50.2,,
2014/9,,50.2,,
2014/10,,50.4,,
2014/11,,50,,
2014/12,,49.6,,
2015/1,,49.7,,
2015/2,,50.7,,
2015/3,,49.6,,
2015/4,,48.9,,
2015/5,,49.2,,
2015/6,,49.4,,
2015/7,,47.8,,
2015/8,,47.3,,
2015/9,,47.2,,
2015/10,,48.3,,
2015/11,,48.6,,
2015/12,,48.2,,
2016/1,,48.4,,
2016/2,,48,,
2016/3,,49.7,,
2016/4,,49.4,,
2016/5,,49.2,,
2016/6,,48.6,,
2016/7,,50.6,,
2016/8,,50,,
2016/9,,50.1,,
2016/10,,51.2,,
2016/11,,50.9,,
2016/12,,51.9,,
2017/1,,51,,
2017/2,,51.7,,
2017/3,,51.2,,
2017/4,,50.3,,
2017/5,,49.6,,
2017/6,,50.4,,
2017/7,,51.1,,
2017/8,,51.6,,
2017/9,,51,,
2017/10,,51,,
2017/11,,50.8,,
2017/12,,51.7,,
2018/1,,51.5,,
2018/2,,51.6,,
2018/3,,51,,
2018/4,,51.1,,
2018/5,,51.1,,
2018/6,,51,,
2018/7,,50.8,,
2018/8,,50.6,,
2018/9,,50,,
2018/10,,50.1,,
2018/11,,50.2,,
2018/12,,49.7,,
2019/1,,48.3,,
2019/2,,49.9,,
2019/3,,50.8,,
2019/4,,50.2,,
2019/5,,50.2,,
2019/6,,49.4,,
2019/7,,49.9,,
2019/8,,50.4,,
2019/9,,51.4,,
2019/10,,51.7,,
2019/11,,51.8,,
2019/12,,51.5,,
2020/1,,51.1,,
2020/2,,40.3,,
2020/3,,50.1,,
2020/4,,49.4,,
2020/5,,50.7,,
2020/6,,51.2,,
2020/7,,52.8,,
2020/8,,53.1,,
2020/9,,53,,
2020/10,,53.6,,
2020/11,,54.9,,
2020/12,,53,,
2021/1,,51.5,,
2021/2,,50.9,,
2021/3,,50.6,,
2021/4,,51.9,,
2021/5,,52,,
2021/6,,51.3,,
2021/7,,50.3,,
2021/8,,49.2,,
2021/9,,50,,
2021/10,,50.6,,
2021/11,,49.9,,
2021/12,,50.9,,
2022/1,,49.1,,
2022/2,,50.4,,
2022/3,,48.1,,
2022/4,,46,,
2022/5,,48.1,,
2022/6,,51.7,,
2022/7,,50.4,,
2022/8,,49.5,,
2022/9,,48.1,,
2022/10,,49.2,,
2022/11,,49.4,,
2022/12,,49,,
2023/1,,49.2,,
2023/2,,51.6,,
2023/3,,50,,
2023/4,,49.5,,
2023/5,,50.9,,
2023/6,,50.5,,
2023/7,,49.2,,
2023/8,,51,,
2023/9,,50.6,,
2023/10,,49.5,,
2023/11,,50.7,,
2023/12,,50.8,,
2024/1,,50.8,,
2024/2,,50.9,,
2024/3,,51.1,,
2024/4,,51.4,,
2024/5,,51.7,,
2024/6,,51.8,,
2024/7,,49.8,,
2024/8,,50.4,,
2024/9,,49.3,,
2024/10,,50.3,,
2024/11,,51.5,,
2024/12,,50.5,,
2025/1,,50.1,,
2025/2,,50.8,,
2025/3,,51.2,,
2025/4,,50.4,,
2025/5,,48.3,,
2025/6,,50.4,,
2025/7,,49.5,,
2025/8,,50.5,,
2025/9,,51.2,,
2025/10,,50.6,,
2025/11,,49.9,,
2025/12,,50.1,,
2026/1,,50.3,,
2026/2,,52.1,,
