Database:Monthly
Month:2010-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015,Dec 2014,Nov 2014,Oct 2014,Sep 2014,Aug 2014,Jul 2014,Jun 2014,May 2014,Apr 2014,Mar 2014,Feb 2014,Jan 2014,Dec 2013,Nov 2013,Oct 2013,Sep 2013,Aug 2013,Jul 2013,Jun 2013,May 2013,Apr 2013,Mar 2013,Feb 2013,Jan 2013,Dec 2012,Nov 2012,Oct2012,Sep 2012,Aug 2012,Jul 2012,Jun2012,May 2012,Apr 2012,Mar 2012,Feb 2012,Jan 2012,Dec 2011,Nov 2011,Oct 2011,Sep 2011,Aug 2011,Jul 2011,Jun 2011,May 2011,Apr 2011,Mar 2011,Feb 2011,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Jan 2010
Total Value of Imports and Exports Current Period(1000 US dollars),,,601387138,549025184,520632154,566683350,541291509,545323230,535714213,528981542,535204603,525181123,398626225,510740164,566416164,527177794,522398028,525713746,526272970,516466125,516662500,522073917,512555308,500812286,400853131,530011412,531896338,515473900,493125600,520427864,501383692,482915402,500023800,501176023,500627771,542987948,411230628,484486823,534144936,521753372,511589648,560767084,550447670,564661249,564587051,537735611,496120251,504788873,404249368,569200293,586534153,579339168,515903015,544716847,530299727,508735832,511307785,482305116,484987380,468470355,371830507,462659051,485681681,460747151,415921986,442516723,411592986,412933153,380727151,350699571,355134209,350359336,222879878,368492000,429324834,404748448,382814169,396597945,394745790,398494544,374695654,386032988,373128980,364640162,266320173,395976434,385442692,410186049,400550396,421671250,406857991,403081000,391724412,400817104,371688501,353225743,309481182,380633747,408908054,394549958,339774414,367856966,356765596,340477446,350429225,341234306,321944001,337284922,249305614,314161658,378016588,342863237,306969670,327018366,329135339,315056873,312459054,312143222,299958011,291769733,219697006,291084568,387977840,339181636,323148187,350767303,333496775,347168095,337412104,321247714,318527152,286055898,277762096,340484185,405413212,368848960,368327943,396411570,367095251,378481575,342012378,355024110,358628525,332512681,251176182,382394944,389843996,370608687,339704440,356069938,352697865,354164683,321507187,345107274,355961467,365203096,263509010,345584884,366840927,339128259,319095518,345029990,329286043,328733311,328686836,343582201,308076236,325968900,260424706,272600339,332914539,334400118,297948470,324832092,328872435,318772463,301688971,301267415,299947165,304259379,200800092,295007361,295217729,283761707,244811120,273095589,258568382,262308256,254769304,243988412,238160128,231459885,181433048,204782346
Total Value of Imports and Exports Growth Rate (The same period last year=100)(%),,,6.2,4.3,-0.3,7.9,3.1,5.9,3.9,1.3,4.6,5.0,-1.0,-3.4,6.5,2.1,6.1,1.5,5.2,7.1,3.9,5.1,4.4,-5.1,-1.1,11.1,1.4,0.0,-2.5,-6.2,-8.2,-13.6,-10.1,-6.2,1.1,7.4,1.3,-15.1,-8.9,-9.5,-0.4,3.4,4.1,11.0,10.3,11.1,2.1,7.5,8.1,22.2,20.3,26.1,24.3,23.3,28.8,23.1,34.2,37.4,37.0,34.2,67.0,25.6,12.9,13.6,8.4,11.4,4.2,3.4,1.5,-9.3,-5.1,-4.0,-11.0,-7.3,11.5,-0.3,-3.5,-5.7,-3.2,-0.7,-4.0,-3.4,0.4,3.1,-13.8,4.1,-5.8,4.3,18.2,14.4,14.3,18.8,12.5,18.5,16.6,5.3,24.5,22.0,8.0,14.7,11.2,12.7,8.8,8.8,13.8,11.3,9.7,18.2,15.8,11.4,-2.2,2.9,-4.9,-6.6,-1.1,-7.9,-6.4,-2.6,-5.8,2.0,-20.8,-14.3,-4.1,-7.6,-12.1,-11.4,-9.1,-8.2,-1.2,-9.3,-11.1,-13.8,10.8,-10.9,4.0,-0.5,8.4,11.3,4.0,6.9,6.4,3.0,0.8,-9.0,-4.8,10.3,6.2,9.3,6.5,3.3,7.1,7.8,-2.0,0.4,15.7,12.1,1.0,26.7,10.2,1.5,7.3,6.3,0.2,2.7,9.0,14.1,2.7,7.1,29.4,-7.8,12.6,17.6,21.6,18.9,27.1,21.5,18.5,23.5,25.9,31.4,10.6,43.9,21.4,36.2,24.0,24.7,34.7,30.8,39.2,48.4,39.4,42.8,45.2,44.4
Total Value of Imports and Exports Accumulated(1000 US dollars),,,6354738560,5753617523,5204595635,4684189206,4118255565,3577211920,3032126089,2497809312,1969369494,1434367498,909366389,510740164,6162288695,5596742585,5067645943,4545818016,4021034959,3495040968,2980142696,2464319773,1943480816,1431335299,930864543,530011412,5936826301,5406637600,4899955600,4410194366,3893225386,3400238782,2918167800,2441216579,1939719754,1438954424,895717500,484486823,6309600204,5777533940,5256800351,4752035001,4191415657,3643068618,3079124688,2514681125,1975776755,1478899556,973449661,569200293,6051488832,5471180348,4891637639,4374110411,3827790352,3295630291,2785203522,2271749023,1789485334,1303602300,834489558,462659051,4646257387,4173404547,3712657396,3296735410,2854218807,2442625821,2029692426,1648617437,1298175462,943006086,591371878,368492000,4576126042,4142071583,3735342388,3351780889,2954790401,2560024270,2161147818,1786210455,1399806550,1027148357,662486214,395976434,4623038037,4245028619,3835484553,3431904855,3014873509,2608215758,2204741445,1814439834,1413703043,1042145651,690362145,380633747,4104503850,3703150803,3307205484,2968701491,2601722110,2249345609,1909549443,1562910498,1222091595,899937929,563498874,314161658,3684925029,3305813434,2972351156,2677312895,2350968216,2024994704,1711368636,1410121963,1101897043,802136292,510720459,291084568,3956900729,3564146225,3225270628,2904138616,2556161909,2224447127,1880493868,1543537962,1222507012,904165825,618170523,340484185,4303036849,3898254223,3530573594,3162575488,2766395743,2399661087,2020860753,1679099782,1324317057,965873404,633528026,382394944,4160307789,3770491793,3399962000,3060353721,2704314453,2351750972,1997691569,1676252245,1330752719,974608267,609344742,345584884,3866760327,3500275214,3161512417,2842471316,2497624177,2168373266,1839840323,1510900770,1167180601,859223263,533032254,272600339,3642057738,3309615839,2975383005,2677441457,2352531394,2022546772,1703667122,1401785714,1100318986,800281439,495852578,295007361,2972760961,2677276812,2393404303,2148674293,1875576306,1617047178,1354881321,1100093985,855991910,617848281,386401048,204782346
Total Value of Imports and Exports Accumulated Growth Rate(%),,,3.2,2.9,2.7,3.1,2.5,2.4,1.8,1.3,1.3,0.2,-2.4,-3.4,3.8,3.6,3.7,3.4,3.7,3.5,2.9,2.8,2.2,1.5,5.5,11.1,-5.0,-5.6,-6.0,-6.4,-6.5,-6.1,-4.7,-2.8,-1.9,-2.9,-8.3,-15.1,4.4,5.9,7.7,8.7,9.5,10.4,10.3,10.3,10.1,13.0,15.9,22.2,30.0,31.3,31.9,32.8,34.2,35.1,37.4,38.1,38.2,38.6,41.2,25.6,1.5,0.6,-0.8,-1.8,-3.6,-4.8,-6.3,-8.0,-7.6,-8.5,-11.1,-7.3,-1.0,-2.3,-2.5,-2.4,-2.0,-1.8,-2.0,-1.6,-1.1,-1.5,-3.9,4.0,12.6,14.8,16.1,15.7,16.1,16.4,15.9,16.8,16.4,16.3,23.1,21.9,11.4,12.0,11.6,11.7,11.6,12.3,13.0,13.0,13.6,15.0,13.3,11.4,-6.8,-7.3,-7.9,-7.8,-7.9,-8.8,-8.8,-8.6,-9.9,-11.3,-17.3,-14.5,-8.0,-8.5,-8.6,-8.1,-7.5,-7.2,-6.9,-8.0,-7.6,-6.3,-2.3,-10.9,3.4,3.4,3.8,3.3,2.3,2.0,1.2,0.2,-0.5,-1.0,3.8,10.3,7.6,7.7,7.6,7.7,8.3,8.5,8.6,10.9,14.0,13.4,14.2,26.7,6.2,5.8,6.3,6.2,6.2,7.1,8.0,7.7,6.0,7.2,7.3,-7.8,22.5,23.6,24.3,24.6,25.4,25.1,25.8,27.4,28.5,29.5,28.3,43.9,34.7,36.3,36.3,37.9,40.0,40.9,43.1,44.0,42.7,44.1,44.8,44.4
Total Value of Exports Current Period(1000 US dollars),,,357747170,330350566,305353192,328565399,321810157,321783930,325232738,316100980,315692375,313911793,215172519,324768272,335627038,312310466,309058423,303712134,308647262,300556525,307854505,302348019,292453498,279681675,220279326,307734618,303618345,291934500,274827000,299129677,284790965,281755999,285321600,283484005,295417981,315589337,214025811,292275545,306078766,295500770,298371747,322755333,314920505,332964256,331264197,308244886,273619664,276084613,217416504,327285953,340498780,325525287,300221418,305737341,294315479,282662343,281417178,263922347,263923793,241134158,204855176,264018839,281927726,268074093,237182561,239757675,235259186,237631279,213574174,206812825,200233629,185146228,80380286,211590876,238267589,221337434,212916095,218123102,214786135,221553908,212835863,213845417,193481260,198655790,135200630,217566642,221249124,227445523,217283435,226686815,217372208,215565384,216597141,212869326,200035315,174121483,171616391,200491435,231796372,217382015,188979730,198231216,199342432,193601151,196590894,191014115,179988316,180600668,120078967,182752414,209417479,193546446,177867030,184498014,190592312,182642116,180183971,181059364,172757807,160813329,126144745,177185706,223683502,196463224,192395789,205554591,196868247,195096520,191975441,190057568,176330816,144568557,169190546,200258035,227512544,211662669,206866715,213687462,208465863,212891063,186788537,195472920,188540548,170107988,114093694,207132123,207742423,202204803,185405576,185643576,190608317,185991317,174315796,182766116,187061474,182189999,139367235,187365572,199229682,179380767,175571102,186349509,177973297,176940032,180204470,181140762,163251712,165658100,114470693,149939113,174717651,174464123,157490772,169673012,173315697,175128036,161980774,157157191,155684084,152199071,96736127,150734151,154148895,153325762,135978419,144985285,139302230,145519322,137395578,131760663,119920666,112111793,94522714,109475299
Total Value of Exports Growth Rate (The same period last year=100)(%),,,6.6,5.9,-1.1,8.3,4.4,7.2,5.9,4.8,8.1,12.4,-3.0,6.0,10.7,6.7,12.7,2.4,8.7,7.0,8.6,7.6,1.5,-7.5,5.6,8.2,2.3,0.5,-6.4,-6.2,-8.8,-14.5,-12.4,-7.5,8.5,14.8,-1.3,-10.5,-9.9,-8.7,-0.3,5.7,7.1,18.0,17.9,16.9,3.9,14.7,6.2,24.1,20.9,22.0,27.1,28.1,25.6,19.3,32.2,27.9,32.3,30.6,154.9,24.8,18.1,21.1,11.4,9.9,9.5,7.2,0.5,-3.3,3.5,-6.6,-17.2,-2.9,7.9,-1.3,-0.9,-3.2,-1.0,3.3,-1.3,1.1,-2.7,14.2,-20.8,9.3,-4.4,5.4,15.6,14.5,9.8,12.2,11.2,12.6,12.6,-2.7,44.5,11.1,10.9,12.3,6.9,8.1,5.5,7.2,11.3,8.7,8.0,16.4,-1.3,7.9,-6.1,0.1,-7.3,-10.0,-2.8,-4.4,-4.8,-4.1,-1.8,11.5,-25.4,-11.2,-1.4,-6.8,-6.9,-3.7,-5.5,-8.3,2.8,-2.5,-6.4,-15.0,48.3,-3.3,9.7,4.7,11.6,15.3,9.4,14.5,7.2,7.0,0.9,-6.6,-18.1,10.6,4.3,12.7,5.6,-0.3,7.2,5.1,-3.1,1.0,14.7,10.0,21.8,25.0,14.1,2.9,11.6,9.9,2.7,1.0,11.3,15.3,4.9,8.9,18.4,-0.5,13.4,13.8,15.9,17.1,24.5,20.4,17.9,19.4,29.9,35.8,2.4,37.7,17.9,34.9,22.9,25.1,34.4,38.1,43.9,48.5,30.5,24.3,45.7,21.0
Total Value of Exports Accumulated(1000 US dollars),,,3771842417,3414732833,3084707174,2779636639,2451795301,2130363006,1809035500,1484848377,1169063320,853667442,539940791,324768272,3577222028,3240708326,2926455405,2617660293,2314765892,2006521332,1707567002,1400763016,1099570361,807496550,528013944,307734618,3380024480,3077381700,2791997600,2520307791,2223239357,1944902508,1663429800,1400339760,1116956792,821830961,506301400,292275545,3593601450,3288213216,2992248880,2698594062,2375970258,2062684099,1732279883,1402569219,1094352236,820921214,544702458,327285953,3363959427,3026447448,2701136167,2400823284,2095141128,1800874738,1518360276,1237597120,973695500,709978153,468874015,264018839,2590645558,2316651274,2048577181,1811394619,1571636944,1336377758,1098746249,884988085,678219965,478031766,291971162,211590876,2499028927,2260094505,2037923161,1825105773,1607027826,1392637735,1171153002,958341376,744599088,551740641,353180779,217566642,2487400743,2272300873,2044843140,1826644975,1604261934,1387158383,1171658789,957054066,744726311,545266277,372343311,200491435,2263521997,2039566277,1820993456,1632420370,1436638278,1240506913,1047272560,853330596,662699684,482755392,302812328,182752414,2097444193,1888944599,1702552137,1536871130,1352930462,1165014972,984229001,813807797,636469408,463931114,303307326,177185706,2274949842,2051406446,1855108340,1664115321,1460525784,1264823230,1071871351,880069405,690156552,513932580,369410752,200258035,2342746552,2115366752,1903840528,1697088751,1483463721,1275111245,1061863191,875198581,679777847,491303221,321213290,207132123,2210019089,2002318725,1800210813,1614862472,1429259983,1238733726,1052822615,878562006,695868437,508871059,326714660,187365572,2048934762,1849906263,1670901318,1495388843,1309114857,1131237113,954375859,774404029,593240444,430016787,264395323,149939113,1898599840,1724007327,1549705501,1392269836,1222628936,1049377982,874298541,712374855,555299866,399642564,247469923,150734151,1577932252,1423844330,1270589601,1134635371,989738698,850489914,705089725,567743785,436051879,316168516,204081750,109475299
Total Value of Exports Accumulated Growth Rate(%),,,5.5,5.4,5.3,6.1,5.9,6.1,5.9,6.0,6.4,5.8,2.3,6.0,5.9,5.4,5.1,4.3,4.6,4.0,3.6,2.7,1.5,1.5,7.1,8.2,-4.6,-5.2,-5.6,-5.7,-5.6,-5.0,-3.2,0.3,2.5,0.5,-6.8,-10.5,7.0,9.0,11.1,12.5,13.5,14.6,14.2,13.5,12.5,15.8,16.3,24.1,29.9,31.1,32.3,33.0,33.7,35.2,38.6,40.2,44.0,49.0,60.6,24.8,3.6,2.5,0.5,-0.8,-2.3,-4.1,-6.2,-7.7,-9.0,-13.3,-17.4,-2.9,0.5,-0.3,-0.2,-0.1,0.4,0.6,0.1,0.4,0.2,1.4,-4.6,9.1,9.9,11.8,12.6,12.2,12.2,12.6,12.7,13.3,13.6,14.1,24.4,11.1,7.9,8.0,7.4,7.5,7.6,8.3,8.5,8.2,8.1,8.2,4.0,7.9,-7.7,-7.9,-8.2,-7.5,-7.1,-7.6,-7.8,-7.3,-7.6,-9.6,-17.8,-11.4,-2.9,-3.0,-2.5,-1.9,-1.5,-0.8,0.9,0.6,1.6,4.7,15.0,-3.3,6.1,5.7,5.8,5.1,3.8,3.0,0.9,-0.4,-2.3,-3.4,-1.6,10.6,7.9,8.3,7.8,8.0,9.2,9.5,10.4,13.5,17.4,18.4,23.6,25.0,7.9,7.3,7.8,7.4,7.1,7.8,9.2,8.7,6.9,7.6,6.9,-0.5,20.3,21.1,22.0,22.7,23.6,23.4,24.0,25.5,27.4,26.5,21.3,37.7,31.3,33.0,32.7,34.0,35.5,35.6,35.2,33.2,29.2,28.7,31.4,21.0
Total Value of Imports Current Period(1000 US dollars),,,243639968,218674618,215278962,238117951,219481352,223539300,210481474,212880563,219512228,211269329,183453706,185971892,230789126,214867327,213339605,222001611,217625707,215909600,208807983,219725898,220101810,221130611,180573806,222276794,228277992,223539300,218298600,221298188,216592727,201159403,214702200,217692018,205209790,227398611,197204817,192211279,228066170,226252602,213217901,238011751,235527165,231696993,233322854,229490725,222500588,228704260,186832863,241914340,246035373,253813881,215681597,238979506,235984248,226073489,229890607,218382769,221063587,227336197,166975331,198640212,203753955,192673058,178739425,202759047,176333799,175301874,167152978,143886746,154900580,165213108,142499591,156901124,191057245,183411013,169898075,178474843,179959655,176940637,161859791,172187571,179647719,165984372,131119542,178409792,164193569,182740526,183266962,194984435,189485783,187515616,175127271,187947777,171653187,179104260,137864792,180142312,177111682,177167943,150794685,169625750,157423163,146876295,153838330,150220190,141955685,156684253,129226647,131409245,168599109,149316792,129102640,142520352,138543027,132414757,132275084,131083858,127200204,130956404,93552261,113898862,164294338,142718411,130752399,145212712,136628528,152071574,145436663,131190146,142196335,141487341,108571550,140226150,177900669,157186291,161461228,182724108,158629387,165590512,155223841,159551189,170087977,162404693,137082488,175262820,182101573,168403885,154298864,170426362,162089547,168173366,147191392,162341158,168899994,183013097,124141775,158219313,167611245,159747492,143524416,158680480,151312746,151793278,148482365,162441440,144824524,160310799,145954014,122661227,158196889,159935995,140457698,155159080,155556739,143644427,139708198,144110223,144263081,152060308,104063964,144273210,141068833,130435945,108832701,128110304,119266152,116788934,117373726,112227749,118239462,119348092,86910333,95307047
Total Value of Imports Growth Rate (The same period last year=100)(%),,,5.7,1.9,1.0,7.4,1.3,4.1,1.1,-3.4,-0.2,-4.3,1.5,-16.5,1.0,-3.9,-2.3,0.3,0.5,7.2,-2.3,1.8,8.4,-1.9,-8.2,15.4,0.2,-0.6,3.0,-6.2,-7.3,-12.4,-6.8,-4.5,-7.9,-1.4,4.2,-21.4,-7.5,-10.6,-0.7,0.3,0.3,2.3,1.0,4.1,0.0,-0.1,10.4,19.8,19.5,31.7,20.6,17.6,33.1,28.1,36.7,51.1,43.1,38.1,17.3,26.6,6.5,4.5,4.7,13.2,-2.1,-1.4,2.7,-16.7,-14.2,-1.0,-4.0,-12.7,16.5,0.8,-6.5,-8.5,-5.6,-5.3,-7.3,-8.5,4.0,-7.6,-5.2,-1.6,-7.6,3.0,21.4,14.3,19.9,27.3,14.1,26.0,21.5,14.4,6.3,36.9,4.5,17.7,17.2,18.7,13.3,11.0,17.2,14.8,11.9,20.3,38.1,16.7,3.1,6.7,-1.4,-1.9,1.5,-12.5,-8.4,-0.4,-10.9,-7.6,-13.8,-18.8,-7.6,-8.7,-18.8,-20.4,-13.8,-8.1,-6.1,-17.6,-16.2,-12.7,-20.5,-19.9,-2.4,-6.7,4.6,7.0,-2.4,-1.6,5.5,-1.6,0.8,-11.3,10.1,10.0,8.3,5.3,7.6,7.4,7.0,10.9,-0.7,-0.3,16.8,14.1,-15.2,28.8,6.0,0.0,2.4,2.4,-2.6,4.7,6.3,12.7,0.3,5.3,39.6,-15.3,11.8,22.1,28.7,20.9,30.2,22.9,19.3,28.4,21.8,27.3,19.4,51.0,25.6,37.7,25.3,24.1,35.2,22.7,34.1,48.3,49.7,66.0,44.7,85.5
