公表日,結果
2010/1,94.7
2010/2,94.5
2010/3,101.4
2010/4,99.3
2010/5,102.2
2010/6,103.4
2010/7,104
2010/8,106.5
2010/9,104.9
2010/10,104.8
2010/11,107.6
2010/12,104.9
2011/1,111
2011/2,111.4
2011/3,107.5
2011/4,110.9
2011/5,109.4
2011/6,110.9
2011/7,110.3
2011/8,109.2
2011/9,109.5
2011/10,109.5
2011/11,109.6
2011/12,111.1
2012/1,106.9
2012/2,105.1
2012/3,102.1
2012/4,104.8
2012/5,102.9
2012/6,102.9
2012/7,101.1
2012/8,101.3
2012/9,99
2012/10,99.3
2012/11,99.5
2012/12,101.8
2013/1,100.7
2013/2,99.8
2013/3,99.1
2013/4,99.9
2013/5,99.1
2013/6,99.3
2013/7,97.7
2013/8,97.9
2013/9,100.7
2013/10,100.1
2013/11,97.8
2013/12,100.1
2014/1,98.7
2014/2,99.2
2014/3,96.6
2014/4,96.7
2014/5,98.8
2014/6,98.5
2014/7,99.2
2014/8,100.5
2014/9,102.1
2014/10,101.9
2014/11,99.5
2014/12,100.2
2015/1,100.4
2015/2,96.7
2015/3,99.7
2015/4,98.5
2015/5,97.7
2015/6,100.5
2015/7,99.3
2015/8,96.5
2015/9,101.1
2015/10,101.3
2015/11,101
2015/12,97.1
2016/1,93.9
2016/2,98.95
2016/3,96.3
2016/4,97.38
2016/5,96.7
2016/6,97.7
2016/7,98.1
2016/8,99.14
2016/9,96.93
2016/10,98.66
2016/11,97.89
2016/12,102.11
2017/1,104.06
2017/2,106.68
2017/3,104.55
2017/4,106.86
2017/5,105.44
2017/6,106.22
2017/7,103.99
2017/8,102.94
2017/9,102.7
2017/10,102.33
2017/11,103.1
2017/12,100.44
2018/1,100.52
2018/2,98.08
2018/3,103.2
2018/4,100.2
2018/5,100.6
2018/6,100.4
2018/7,101
2018/8,104.1
2018/9,107
2018/10,109.4
2018/11,107.5
2018/12,105.3
2019/1,103.2
2019/2,109.6
2019/3,102.2
2019/4,103.9
2019/5,103.4
2019/6,105.1
2019/7,103.8
2019/8,103
2019/9,102
2019/10,101.1
2019/11,101.4
2019/12,98.6
2020/1,
2020/2,
2020/3,101.2
2020/4,107.7
2020/5,108.4
2020/6,104.3
2020/7,104.3
2020/8,101.3
2020/9,96.2
2020/10,97.8
2020/11,99.9
2020/12,100.5
2021/1,101
2021/2,97.9
2021/3,98.3
2021/4,97.8
2021/5,99.6
2021/6,100.8
2021/7,102.6
2021/8,106.5
2021/9,110.6
2021/10,108.1
2021/11,107.5
2021/12,109.3
2022/1,109.5
2022/2,111.7
2022/3,111.1
2022/4,108.93
2022/5,109.6
2022/6,115.7
2022/7,114.35
2022/8,112.71
2022/9,113.1
2022/10,115.3
2022/11,113.2
2022/12,113.1
2023/1,111.87
2023/2,106.6
2023/3,107
2023/4,105.32
2023/5,99.5
2023/6,93.3
2023/7,94.5
2023/8,91.4
2023/9,92.1
2023/10,90.3
2023/11,90.8
2023/12,91.6
2024/1,91.2
2024/2,92.5
2024/3,97.4
2024/4,95.6
2024/5,96.8
2024/6,94.8
2024/7,93.1
2024/8,93.7
2024/9,95.1
2024/10,94.8
2024/11,94.7
2024/12,94.6
2025/1,95.1
2025/2,97.9
2025/3,96
2025/4,96.7
2025/5,98.7
2025/6,100.5
2025/7,98
2025/8,97.4
2025/9,97.3
2025/10,96.1
2025/11,95.8
2025/12,96.4
