2000年2月01日 (1月),18:00,8.90%,,7.40%
2000年3月01日 (2月),18:00,12.00%,,8.90%
2000年4月01日 (3月),18:00,11.90%,,12.00%
2000年5月01日 (4月),18:00,11.40%,,11.90%
2000年6月01日 (5月),18:00,11.50%,,11.40%
2000年7月01日 (6月),18:00,12.20%,,11.50%
2000年8月01日 (7月),18:00,12.80%,,12.20%
2000年9月01日 (8月),18:00,12.80%,,12.80%
2000年10月01日 (9月),18:00,12.00%,,12.80%
2000年11月01日 (10月),18:00,11.40%,,12.00%
2000年12月01日 (11月),18:00,10.60%,,11.40%
2001年1月01日 (12月),18:00,10.40%,,10.60%
2001年2月01日 (1月),18:00,2.30%,,10.40%
2001年3月01日 (2月),18:00,19.00%,,2.30%
2001年4月01日 (3月),18:00,12.10%,,19.00%
2001年5月01日 (4月),18:00,11.50%,,12.10%
2001年6月01日 (5月),18:00,10.20%,,11.50%
2001年7月01日 (6月),18:00,10.10%,,10.20%
2001年8月01日 (7月),18:00,8.10%,,10.10%
2001年9月01日 (8月),18:00,8.10%,,8.10%
2001年10月01日 (9月),18:00,9.50%,,8.10%
2001年11月01日 (10月),18:00,8.80%,,9.50%
2001年12月01日 (11月),18:00,7.90%,,8.80%
2002年1月01日 (12月),18:00,8.70%,,7.90%
2002年2月01日 (1月),18:00,18.60%,,8.70%
2002年3月01日 (2月),18:00,2.70%,,18.60%
2002年4月01日 (3月),18:00,10.90%,,2.70%
2002年5月01日 (4月),18:00,12.10%,,10.90%
2002年6月01日 (5月),18:00,12.90%,,12.10%
2002年7月01日 (6月),18:00,12.40%,,12.90%
2002年8月01日 (7月),18:00,12.80%,,12.40%
2002年9月01日 (8月),18:00,12.70%,,12.80%
2002年10月01日 (9月),18:00,13.80%,,12.70%
2002年11月01日 (10月),18:00,14.20%,,13.80%
2002年12月01日 (11月),18:00,14.50%,,14.20%
2003年1月01日 (12月),18:00,14.90%,,14.50%
2003年2月01日 (1月),18:00,14.80%,,14.90%
2003年3月01日 (2月),18:00,19.80%,,14.80%
2003年4月01日 (3月),18:00,16.90%,,19.80%
2003年5月01日 (4月),18:00,14.90%,,16.90%
2003年6月01日 (5月),18:00,13.70%,,14.90%
2003年7月01日 (6月),18:00,16.90%,,13.70%
2003年8月01日 (7月),18:00,16.50%,,16.90%
2003年9月01日 (8月),18:00,17.10%,,16.50%
2003年10月01日 (9月),18:00,16.30%,,17.10%
2003年11月01日 (10月),18:00,17.20%,,16.30%
2003年12月01日 (11月),18:00,17.90%,,17.20%
2004年1月01日 (12月),18:00,18.10%,,17.90%
2004年2月01日 (1月),18:00,7.20%,,18.10%
2004年3月01日 (2月),18:00,23.20%,,7.20%
2004年4月01日 (3月),18:00,19.40%,,23.20%
2004年5月01日 (4月),18:00,19.10%,,19.40%
2004年6月01日 (5月),18:00,17.50%,,19.10%
2004年7月01日 (6月),18:00,16.20%,,17.50%
2004年8月01日 (7月),18:00,15.50%,,16.20%
2004年9月01日 (8月),18:00,15.90%,,15.50%
2004年10月01日 (9月),18:00,16.10%,,15.90%
2004年11月01日 (10月),18:00,15.70%,,16.10%
2004年12月01日 (11月),18:00,14.80%,,15.70%
2005年1月01日 (12月),18:00,14.40%,,14.80%
2005年2月01日 (1月),18:00,20.90%,,14.40%
2005年3月01日 (2月),18:00,7.60%,,20.90%
2005年4月01日 (3月),18:00,15.10%,,7.60%
2005年5月01日 (4月),18:00,16.00%,,15.10%
2005年6月01日 (5月),18:00,16.60%,,16.00%
2005年7月01日 (6月),18:00,16.80%,,16.60%
2005年8月01日 (7月),18:00,16.10%,,16.80%
2005年9月01日 (8月),18:00,16.00%,,16.10%
2005年10月01日 (9月),18:00,16.50%,,16.00%
2005年11月01日 (10月),18:00,16.10%,,16.50%
2005年12月01日 (11月),18:00,16.60%,,16.10%
2006年1月01日 (12月),18:00,16.50%,,16.60%
2006年3月01日 (2月),18:00,20.10%,,16.50%
2006年4月01日 (3月),18:00,17.80%,,20.10%
2006年5月01日 (4月),18:00,16.60%,,17.80%
2006年6月01日 (5月),18:00,17.90%,,16.60%
2006年7月01日 (6月),18:00,19.50%,,17.90%
2006年8月01日 (7月),18:00,16.70%,,19.50%
2006年9月01日 (8月),18:00,15.70%,,16.70%
2006年10月01日 (9月),18:00,16.10%,,15.70%
2006年11月01日 (10月),18:00,14.70%,,16.10%
2006年12月01日 (11月),18:00,14.90%,,14.70%
2007年1月01日 (12月),18:00,14.70%,,14.90%
2007年3月01日 (2月),18:00,12.60%,,14.70%
2007年4月01日 (3月),18:00,17.60%,,12.60%
