Database:Monthly
Month:2012-2017
Indicators,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015,Dec 2014,Nov 2014,Oct 2014,Sep 2014,Aug 2014,Jul 2014,Jun 2014,May 2014,Apr 2014,Mar 2014,Feb 2014,Jan 2014,Dec 2013,Nov 2013,Oct 2013,Sep 2013,Aug 2013,Jul 2013,Jun 2013,May 2013,Apr 2013,Mar 2013,Feb 2013,Jan 2013,Dec 2012,Nov 2012,Oct2012,Sep 2012,Aug 2012,Jul 2012,Jun2012,May 2012,Apr 2012,Mar 2012,Feb 2012,Jan 2012
Inventories of Industrial Enterprises month-end(100 million yuan),112551.80,115059.50,113787.40,111925.50,111312.00,110233.40,108929.20,109141.20,108113.50,106122.90,104041.20,,105241.80,105382.90,103463.00,102203.90,101840.60,100774.10,99308.30,99563.10,98764.40,97776.10,97169.30,,100107.20,102649.50,102542.30,101977.10,102233.10,101977.70,100887.20,100640.50,99569.70,98365.40,98177.70,,99565.70,101297.40,101084.00,100138.20,99729.40,98652.20,97449.70,97291.60,96130.40,95189.10,93736.17,,95402.36,95803.92,94576.99,93663.78,92976.12,92347.75,91480.81,91422.14,90622.46,89257.63,87806.52,,86475.76,87170.21,86471.41,85689.35,85444.03,85045.84,84541.29,84455.05,83227.39,81643.19,79559.18,
Inventories of Industrial Enterprises The Same Period of Previous Year(100 million yuan),102923.70,103763.30,102477.80,101541.80,101387.80,100389.20,98868.00,98975.00,97663.40,96703.50,96100.60,,99771.60,102210.70,102020.00,101482.50,101741.30,101448.20,100334.70,100063.00,99746.80,98419.10,97728.80,,100170.40,101851.90,101582.60,100528.60,100121.40,99078.60,97790.70,97571.60,96278.20,94712.50,94218.20,,93795.40,94248.50,92952.10,91921.00,91211.00,90604.20,89695.40,89544.30,88696.20,87886.10,86362.78,,88041.00,88577.42,88068.75,87166.09,86829.13,86460.67,85803.97,85641.93,84380.78,82546.97,80296.20,,79850.01,80273.07,79453.82,78437.70,77515.63,76332.32,75093.05,74401.32,72568.39,70536.21,67658.84,
Inventories of Industrial Enterprises Accumulated Growth Rate(%),9.4,10.9,11.0,10.2,9.8,9.8,10.2,10.3,10.7,9.7,8.3,,5.5,3.1,1.4,0.7,0.1,-0.7,-1.0,-0.5,-1.0,-0.7,-0.6,,-0.1,0.8,0.9,1.4,2.1,2.9,3.2,3.1,3.4,3.9,4.2,,6.2,7.5,8.7,8.9,9.3,8.9,8.6,8.7,8.4,8.3,8.5,,8.4,8.2,7.4,7.5,7.1,6.8,6.6,6.8,7.4,8.1,9.4,,8.3,8.6,8.8,9.3,10.2,11.4,12.6,13.5,14.7,15.8,17.6,
Inventories of Mining and Washing of Coal month-end (100 million yuan),1819.10,1969.90,1931.70,1896.90,1895.00,1907.10,1935.10,1926.60,1896.90,1892.60,1923.20,,2217.20,2264.10,2224.60,2232.10,2241.60,2240.60,2237.90,2212.90,2237.20,2219.10,2391.70,,2444.70,2538.20,2524.30,2548.20,2559.40,2555.60,2522.10,2472.20,2481.10,2365.10,2328.30,,2524.80,2477.20,2511.30,2490.30,2453.40,2407.40,2381.30,2314.20,2318.10,2280.60,2212.28,,2192.57,2270.63,2273.65,2292.29,2232.49,2206.70,2185.36,2126.15,2081.40,2011.51,1916.07,,1943.43,2040.88,2035.62,2046.12,2014.44,1984.48,1942.58,1945.20,1888.53,1758.56,1675.09,
Inventories of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),1911.40,2047.60,2012.90,2025.70,2032.10,2028.70,2027.70,2001.40,1991.70,1978.20,1998.30,,2273.00,2363.20,2361.20,2383.60,2396.00,2398.50,2375.90,2331.40,2348.40,2232.40,2295.80,,2380.40,2427.60,2464.60,2443.30,2406.90,2360.40,2339.10,2273.90,2279.50,2222.10,2195.10,,2175.60,2254.50,2256.10,2275.70,2213.70,2189.60,2158.40,2100.10,2055.60,2022.10,1929.97,,1997.56,2078.45,2076.44,2086.14,2055.46,2025.22,1980.94,1976.99,1917.31,1849.33,1745.73,,1669.41,1660.52,1595.24,1549.14,1510.66,1491.83,1468.36,1486.19,1450.89,1327.55,1263.56,
Inventories of Mining and Washing of Coal Accumulated Growth Rate(%),-4.8,-3.8,-4.0,-6.4,-6.7,-6.0,-4.6,-3.7,-4.8,-4.3,-3.8,,-2.5,-4.2,-5.8,-6.4,-6.4,-6.6,-5.8,-5.1,-4.7,-0.6,4.2,,2.7,4.6,2.4,4.3,6.3,8.3,7.8,8.7,8.8,6.4,6.1,,16.1,9.9,11.3,9.4,10.8,9.9,10.3,10.2,12.8,12.8,14.6,,9.8,9.3,9.5,9.9,8.6,9.0,10.3,7.5,8.6,8.8,9.8,,16.4,22.9,27.6,32.1,33.4,33.0,32.3,30.9,30.2,32.5,32.6,
Inventories of Extraction of Petroleum and Natural Gas month-end(100 million yuan),203.30,249.20,257.10,263.90,269.60,269.60,268.60,268.50,274.90,254.60,253.10,,229.70,266.30,269.30,272.30,259.20,266.50,270.10,273.20,264.10,267.50,263.90,,264.00,291.60,295.00,303.80,305.70,301.50,290.50,289.60,284.60,282.50,295.60,,290.40,326.00,326.80,328.60,322.20,314.90,288.60,296.60,285.80,286.80,288.95,,296.97,343.90,334.36,324.72,330.60,322.28,311.96,304.75,286.87,288.18,279.97,,295.89,341.11,343.10,340.62,329.95,331.27,334.39,318.63,300.09,283.27,279.16,
Inventories of Extraction of Petroleum and Natural Gas The Same Period of Previous Year(100 million yuan),229.80,266.90,269.90,272.90,259.80,267.00,270.60,273.90,264.50,267.70,264.20,,264.10,292.40,295.00,303.80,305.80,301.60,290.40,289.10,284.30,282.10,295.10,,290.20,325.40,326.30,328.50,322.00,314.40,289.70,299.60,288.70,287.70,289.10,,288.50,330.10,321.00,309.90,317.80,309.60,298.70,292.20,275.40,288.10,279.92,,294.52,338.48,341.09,338.91,328.40,329.93,333.49,317.27,299.13,292.73,285.55,,255.76,299.79,293.40,289.91,274.62,265.58,244.56,253.47,242.50,241.51,229.24,
Inventories of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),-11.5,-6.6,-4.7,-3.3,3.8,1.0,-0.7,-2.0,3.9,-4.9,-4.2,,-13.0,-8.9,-8.7,-10.4,-15.2,-11.6,-7.0,-5.5,-7.1,-5.2,-10.6,,-9.0,-10.4,-9.6,-7.5,-5.1,-4.1,0.3,-3.3,-1.4,-1.8,2.2,,0.7,-1.2,1.8,6.0,1.4,1.7,-3.4,1.5,3.8,-0.5,3.2,,0.8,1.6,-2.0,-4.2,0.7,-2.3,-6.5,-4.0,-4.1,-1.6,-2.0,,15.7,13.8,16.9,17.5,20.2,24.7,36.7,25.7,23.8,17.3,21.8,
Inventories of Mining and Processing of Ferrous Metal Ores month-end(100 million yuan),359.70,366.90,362.30,375.60,369.20,369.50,364.90,368.80,359.40,345.10,345.50,,454.10,446.00,433.60,418.50,431.20,429.80,426.30,423.20,435.90,438.90,403.20,,498.10,512.60,512.70,512.40,515.50,514.00,519.40,509.80,517.50,519.80,530.20,,593.90,604.30,602.70,595.60,588.80,576.80,564.70,549.60,528.20,524.80,488.79,,520.67,522.61,528.96,523.24,502.69,506.62,505.81,490.84,481.23,483.11,456.56,,485.65,478.04,482.59,486.89,465.31,458.19,452.09,449.48,440.42,423.08,408.44,
Inventories of Mining and Processing of Ferrous Metal Ores The Same Period of Previous Year(100 million yuan),378.40,383.30,372.50,362.10,360.30,361.60,361.40,358.40,354.80,360.10,361.20,,497.00,514.50,518.40,516.50,519.10,511.60,512.80,495.20,529.90,529.70,499.50,,584.50,594.70,593.70,587.60,579.60,567.40,559.00,546.30,523.70,514.00,485.70,,516.70,518.40,528.10,519.80,504.20,510.30,505.60,488.90,479.00,487.50,462.09,,498.04,489.17,493.79,497.23,475.50,467.74,461.97,454.75,446.33,439.57,421.09,,437.64,435.67,413.86,393.97,388.82,378.05,366.49,357.57,338.21,307.78,295.18,
