Database:Monthly
Month:2024-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
Inventories of Industrial Enterprises month-end(100 million yuan),,,175222.20,178621.30,176615.10,174496.10,174186.90,172362.70,170572.80,172251.70,171340.70,168863.40,167344.60,,166692.70,170288.40,168887.70,167138.90,168301.50,167703.30,165532.30,166939.50,165430.20,162496.70,161019.20,
Inventories of Industrial Enterprises The Same Period of Previous Year(100 million yuan),,,167641.90,171248.70,170024.50,168515.90,169710.20,168879.60,166516.30,167910.60,166241.90,163194.40,161565.30,,161961.10,166280.00,165067.30,162686.10,163067.50,161721.10,159943.00,161995.10,162026.20,160930.10,159747.20,
Inventories of Industrial Enterprises Accumulated Growth Rate(%),,,4.5,4.3,3.9,3.5,2.6,2.1,2.4,2.6,3.1,3.5,3.6,,2.9,2.4,2.3,2.7,3.2,3.7,3.5,3.1,2.1,1.0,0.8,
Inventories of Mining month-end (100 million yuan),,,3095.20,3222.00,3196.20,3160.40,3151.10,3161.20,3163.80,3131.60,3100.60,3070.30,3017.50,,2962.10,3081.90,3111.00,3069.70,3029.00,3001.60,2987.50,2933.00,3019.80,3001.40,2954.90,
Inventories of Mining The Same Period of Previous Year(100 million yuan),,,2964.20,3068.90,3087.00,3083.30,3058.50,3026.30,3013.20,2964.60,3002.20,2979.20,2938.80,,2985.10,3125.30,3093.70,3030.60,3007.30,2998.60,2980.90,2954.60,2987.60,2928.80,2856.20,
Inventories of Mining Accumulated Growth Rate(%),,,4.4,5.0,3.5,2.5,3.0,4.5,5.0,5.6,3.3,3.1,2.7,,-0.8,-1.4,0.6,1.3,0.7,0.1,0.2,-0.7,1.1,2.5,3.5,
Inventories of Mining and Washing of Coal month-end (100 million yuan),,,1523.10,1557.20,1552.00,1550.80,1567.70,1583.70,1612.20,1583.70,1569.00,1560.60,1514.70,,1485.40,1511.90,1513.50,1501.80,1498.30,1494.50,1485.70,1460.90,1485.50,1477.60,1462.30,
Inventories of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),,,1505.10,1536.20,1537.20,1526.90,1525.90,1518.30,1511.10,1484.80,1509.50,1495.50,1481.70,,1480.70,1565.70,1545.00,1515.00,1496.70,1514.90,1512.40,1486.30,1491.50,1480.50,1422.10,
Inventories of Mining and Washing of Coal Accumulated Growth Rate(%),,,1.2,1.4,1.0,1.6,2.7,4.3,6.7,6.7,3.9,4.4,2.2,,0.3,-3.4,-2.0,-0.9,0.1,-1.3,-1.8,-1.7,-0.4,-0.2,2.8,
Inventories of Extraction of Petroleum and Natural Gas month-end(100 million yuan),,,208.30,238.00,221.40,212.30,200.30,206.60,200.70,202.10,202.20,195.40,186.70,,179.40,192.50,206.60,200.10,200.00,199.60,193.40,184.70,185.30,184.90,185.80,
