Database:Monthly
Month:2016-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016
Consumer Price Indices (The same month last year=100) Food,,99.3,101.1,100.2,97.1,95.6,95.7,98.4,99.7,99.6,99.8,98.6,96.7,100.4,99.5,101.0,102.9,103.3,102.8,100.0,97.9,98.0,97.3,97.3,99.1,94.1,96.3,95.8,96.0,96.8,98.3,98.3,102.3,101.0,100.4,102.4,102.6,106.2,104.8,103.7,107.0,108.8,106.1,106.3,102.9,102.3,101.9,98.5,96.1,96.2,98.8,101.6,97.6,94.8,95.9,96.3,98.3,100.3,99.3,99.3,99.8,101.6,101.2,98.0,102.2,107.9,111.2,113.2,111.1,110.6,114.8,118.3,121.9,120.6,117.4,119.1,115.5,111.2,110.0,109.1,108.3,107.7,106.1,104.1,100.7,101.9,102.5,102.5,103.3,103.6,101.7,100.5,100.3,100.1,100.7,102.1,104.4,99.5,99.6,98.9,99.6,98.6,99.8,98.9,98.8,98.4,96.5,95.6,95.7,102.7,102.4,104.0,103.7,103.2,101.3,103.3,104.6,105.9,107.4,107.6,107.3,104.1
Consumer Price Indices (The same month last year=100) Grain,,99.9,99.7,99.6,99.3,99.3,99.2,99.0,98.8,98.6,98.6,98.5,98.7,98.6,98.7,98.9,99.3,99.3,99.9,100.1,100.4,100.5,100.5,100.5,100.3,100.5,100.4,100.5,100.6,100.7,100.6,100.3,100.5,100.5,101.1,102.0,102.7,102.7,102.6,103.0,103.6,103.6,103.3,103.4,103.2,103.2,102.7,102.0,101.5,101.6,102.0,101.5,100.9,100.7,100.8,100.7,100.7,100.8,101.1,101.4,101.4,101.6,101.4,101.4,101.5,101.5,101.5,101.6,101.6,101.5,101.2,100.7,100.7,100.5,100.6,100.7,100.5,100.6,100.7,100.6,100.6,100.5,100.4,100.4,100.5,100.5,100.5,100.6,100.6,100.5,100.5,100.6,100.7,100.9,101.0,101.1,101.1,101.2,101.3,101.5,101.6,101.7,101.6,101.6,101.5,101.4,101.5,101.4,101.2,101.2,100.9,100.7,100.4,100.2,100.3,100.4,100.6,100.6,100.4,100.5,100.6,100.7
Consumer Price Indices (The same month last year=100) Meat,,93.9,93.9,93.4,92.6,91.6,92.0,95.4,95.8,100.7,100.6,99.9,98.2,102.5,101.7,102.4,102.8,103.8,103.8,104.9,103.5,97.8,96.8,95.7,97.1,88.4,84.1,80.8,82.1,87.2,89.5,86.0,96.7,99.0,102.2,104.6,101.9,106.6,111.6,117.6,123.6,116.0,110.1,108.4,95.3,87.1,80.4,75.2,74.0,74.4,77.8,80.3,73.3,71.5,72.9,74.5,80.5,88.7,89.7,90.9,92.7,99.6,100.6,92.7,102.0,122.6,142.0,161.1,157.4,157.4,166.7,178.0,187.6,176.7,166.4,174.5,166.8,146.9,130.9,118.2,114.4,112.5,110.1,104.7,99.1,100.2,100.8,100.8,100.4,99.6,98.0,95.1,93.2,90.7,91.2,93.9,96.9,94.1,95.8,95.2,94.3,92.5,91.6,90.2,89.5,92.2,95.4,98.7,99.9,105.7,104.8,104.3,103.8,104.4,105.0,111.3,119.2,120.8,120.1,116.5,115.1,110.8
Consumer Price Indices (The same month last year=100) Meat Poultry and Processed Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Eggs,,90.8,87.3,87.5,88.4,88.1,87.6,88.8,92.3,96.5,99.5,98.4,97.3,100.7,99.9,99.5,97.5,95.9,96.5,100.4,96.1,92.6,89.4,91.1,94.9,93.6,93.0,91.2,95.0,100.7,103.2,99.5,100.6,98.5,101.2,107.8,107.8,108.4,109.6,109.9,111.8,107.3,101.7,105.9,106.5,110.6,112.1,107.0,102.6,101.9,112.7,117.6,112.6,112.6,113.9,115.6,117.9,114.3,106.8,103.4,103.0,101.2,89.2,82.9,83.7,84.2,89.0,85.5,86.4,87.7,97.3,101.9,101.0,102.4,106.2,110.1,110.4,108.2,103.6,110.5,106.2,108.7,103.7,98.1,95.3,100.3,100.7,106.4,108.5,107.1,110.2,111.7,115.1,120.8,114.9,117.6,122.5,114.2,111.4,105.6,103.1,103.7,104.3,95.1,90.7,85.6,88.6,88.2,85.1,90.9,95.5,97.8,97.6,95.4,92.6,98.0,100.3,99.8,98.4,94.2,96.4,96.1
Consumer Price Indices (The same month last year=100) Aquatic Products,,100.7,101.6,101.5,102.0,100.9,102.2,103.4,103.4,102.5,101.5,99.8,96.4,101.2,101.0,101.8,101.4,102.0,101.7,101.2,101.2,100.1,100.2,101.2,104.1,96.6,99.4,98.9,99.5,98.5,100.2,100.4,100.5,100.0,99.1,99.8,98.5,104.8,103.4,103.4,102.8,102.8,99.5,97.1,96.7,98.4,102.4,104.2,104.9,108.8,107.9,108.5,108.3,109.8,111.7,113.8,114.2,113.8,111.3,108.1,105.9,100.2,101.7,101.0,102.5,102.6,103.4,104.7,104.8,103.7,102.3,102.8,102.8,103.8,101.3,102.4,102.7,102.9,101.5,100.2,99.5,99.6,98.6,97.0,97.5,101.2,102.0,102.0,100.8,101.2,100.9,100.1,100.3,100.6,102.8,105.6,108.7,102.4,104.0,103.2,103.8,102.5,103.8,104.3,105.1,106.9,105.9,104.8,102.2,106.4,104.3,105.0,105.0,106.1,105.4,105.8,105.5,104.9,104.1,102.7,103.5,102.7
Consumer Price Indices (The same month last year=100) Fresh Vegetables,,106.9,118.2,114.5,92.7,86.3,84.8,92.4,99.6,91.7,95.0,93.2,87.4,102.4,100.5,110.0,121.6,122.9,121.8,103.3,92.7,102.3,101.3,98.7,102.9,87.3,100.5,100.6,96.2,93.6,96.7,98.5,110.8,98.3,86.5,88.9,96.2,106.7,92.0,78.8,91.9,112.1,106.0,112.9,103.7,111.6,124.0,117.2,99.9,95.9,110.6,130.6,115.9,97.5,98.5,96.0,100.1,105.4,98.7,100.2,103.3,110.9,106.5,108.6,116.7,117.2,111.7,107.9,104.2,91.5,96.3,99.9,110.9,117.1,110.8,103.9,89.8,88.2,99.2,105.2,104.2,113.3,117.4,116.2,101.7,103.8,104.2,101.5,110.1,114.6,104.3,103.8,109.3,110.0,108.2,108.8,117.7,94.2,91.4,90.5,100.3,99.0,109.7,109.1,105.8,93.7,78.4,72.1,74.0,101.6,102.6,115.8,113.0,107.5,96.1,95.7,93.5,106.4,122.6,135.8,130.6,114.7
Consumer Price Indices (The same month last year=100) Fresh Fruits,,103.2,104.4,100.7,98.0,95.8,96.3,102.8,106.1,105.5,105.2,100.9,98.2,100.6,97.0,99.7,104.7,106.7,104.1,95.8,91.3,93.3,90.3,91.5,95.9,90.9,99.7,102.7,102.2,99.7,101.3,105.0,106.4,103.4,105.3,111.5,108.5,113.1,111.0,109.6,112.6,117.8,116.3,116.9,119.0,119.0,114.1,104.3,106.6,109.9,104.8,104.1,100.5,99.2,105.0,105.2,103.1,101.4,102.7,104.0,103.1,101.3,106.5,103.6,100.4,93.1,80.2,72.3,71.0,80.7,89.5,93.9,94.4,95.0,92.0,93.2,99.7,107.7,124.0,139.1,142.7,126.7,111.9,107.7,104.8,105.9,109.4,113.3,111.5,110.2,105.5,100.4,94.7,97.3,104.2,107.4,108.7,106.4,106.3,103.7,99.3,97.0,100.0,101.7,109.9,111.8,105.9,103.0,102.1,104.8,103.2,102.8,106.0,106.7,99.4,100.5,96.6,92.4,92.1,89.8,92.1,93.2
Consumer Price Indices (The same month last year=100) Edible Oil and Fats,,99.3,99.0,98.8,98.9,98.6,98.5,98.6,98.2,98.3,98.2,97.9,98.0,97.5,96.8,96.4,96.2,96.3,95.9,95.9,95.8,94.9,94.7,94.7,94.6,95.1,95.4,95.9,96.5,96.9,98.1,98.7,101.1,103.6,104.8,105.8,106.4,106.5,107.2,107.6,108.4,108.3,107.5,106.8,105.0,103.8,103.5,103.5,103.7,104.1,106.4,107.2,106.4,106.5,106.8,107.2,107.7,108.1,107.5,106.9,106.2,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Pork,,86.3,85.4,85.0,84.0,83.0,83.9,90.5,91.5,103.1,105.0,106.7,104.1,113.8,112.5,113.7,114.2,116.2,116.1,120.4,118.1,104.6,101.4,97.6,100.2,82.7,73.9,68.2,69.9,78.0,82.1,74.0,92.8,96.8,104.0,109.6,103.9,111.8,122.2,134.4,151.8,136.0,122.4,120.2,94.0,78.9,66.7,58.6,57.5,58.4,63.3,67.3,56.0,53.1,55.1,56.5,63.5,76.2,78.6,81.6,85.1,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
