公表日,時間,結果,予想,前回
2016/1,,-12.4,,
2016/2,,-7.4,,
2016/3,,-4.7,,
2016/4,,-11.1,,
2016/5,,-5.8,,
2016/6,,-2.4,,
2016/7,,-3.4,,
2016/8,,8.3,,
2016/9,,3.9,,
2016/10,,0.3,,
2016/11,,7.0,,
2016/12,,6.3,,
2017/1,,5.2,,
2017/2,,22.0,,
2017/3,,12.3,,
2017/4,,7.4,,
2017/5,,9.1,,
2017/6,,13.0,,
2017/7,,10.5,,
2017/8,,7.5,,
2017/9,,6.9,,
2017/10,,9.2,,
2017/11,,11.6,,
2017/12,,17.5,,
2018/1,,19.7,,
2018/2,,-3.8,,
2018/3,,3.1,,
2018/4,,9.8,,
2018/5,,11.7,,
2018/6,,-0.1,,
2018/7,,8.0,,
2018/8,,7.1,,
2018/9,,4.2,,
2018/10,,5.1,,
2018/11,,-2.1,,
2018/12,,-10.5,,
2019/1,,-5.9,,
2019/2,,-10.8,,
2019/3,,-8.9,,
2019/4,,-3.6,,
2019/5,,-5.7,,
2019/6,,-4.4,,
2019/7,,-2.9,,
2019/8,,-8.2,,
2019/9,,-4.8,,
2019/10,,-3.4,,
2019/11,,-6.5,,
2019/12,,1.0,,
2020/1,,-12.8,,
2020/2,,-0.7,,
2020/3,,4.4,,
2020/4,,2.3,,
2020/5,,0.5,,
2020/6,,6.5,,
2020/7,,12.4,,
2020/8,,13.6,,
2020/9,,9.9,,
2020/10,,9.1,,
2020/11,,29.8,,
2020/12,,38.3,,
2021/1,,49.2,,
2021/2,,48.4,,
2021/3,,33.2,,
2021/4,,42.5,,
2021/5,,34.5,,
2021/6,,31.1,,
2021/7,,21.4,,
2021/8,,17.7,,
2021/9,,25.9,,
2021/10,,14.7,,
2021/11,,13.5,,
2021/12,,12.2,,
2022/1,,11.7,,
2022/2,,21.1,,
2022/3,,16.9,,
2022/4,,-5.4,,
2022/5,,6.1,,
2022/6,,9.7,,
2022/7,,-1.7,,
2022/8,,2.2,,
2022/9,,-3.0,,
2022/10,,-6.2,,
2022/11,,-23.4,,
2022/12,,-23.1,,
2023/1,,-19.1,,
2023/2,,-18.1,,
2023/3,,-25.5,,
2023/4,,-18.1,,
2023/5,,-17.6,,
2023/6,,-24.9,,
2023/7,,-12.1,,
2023/8,,-15.7,,
2023/9,,-15.7,,
2023/10,,-4.7,,
2023/11,,0.8,,
2023/12,,-16.1,,
2024/1,,1.7,,
2024/2,,-10.6,,
2024/3,,1.0,,
2024/4,,10.6,,
2024/5,,6.9,,
2024/6,,3.0,,
2024/7,,4.7,,
2024/8,,9.0,,
2024/9,,4.6,,
2024/10,,4.9,,
2024/11,,3.2,,
2024/12,,20.7,,
2025/1,,-0.9,,
2025/2,,36.5,,
2025/3,,16.3,,
2025/4,,25.2,,
2025/5,,24.2,,
2025/6,,31.0,,
2025/7,,20.8,,
2025/8,,19.5,,
2025/9,,30.6,,
2025/10,,25.0,,
2025/11,,39.5,,
2025/12,,43.8,,
2026/1,,60.1,,
