公表日,結果
2015/1,"7,558"
2015/2,"6,056"
2015/3,"7,333"
2015/4,"7,137"
2015/5,"7,344"
2015/6,"6,674"
2015/7,"7,531"
2015/8,"7,366"
2015/9,"7,214"
2015/10,"7,865"
2015/11,"6,922"
2015/12,"6,913"
2016/1,"7,060"
2016/2,"5,711"
2016/3,"7,227"
2016/4,"6,890"
2016/5,"7,227"
2016/6,"7,441"
2016/7,"7,957"
2016/8,"8,453"
2016/9,"8,423"
2016/10,"9,064"
2016/11,"8,787"
2016/12,"8,592"
2017/1,"7,772"
2017/2,"7,401"
2017/3,"8,681"
2017/4,"7,623"
2017/5,"7,769"
2017/6,"8,889"
2017/7,"8,705"
2017/8,"9,637"
2017/9,"10,177"
2017/10,"10,013"
2017/11,"10,195"
2017/12,"10,350"
2018/1,"8,689"
2018/2,"7,000"
2018/3,"10,544"
2018/4,"8,552"
2018/5,"9,001"
2018/6,"8,741"
2018/7,"9,335"
2018/8,"9,757"
2018/9,"10,121"
2018/10,"10,112"
2018/11,"9,617"
2018/12,"9,329"
2019/1,"8,761"
2019/2,"6,419"
2019/3,"9,142"
2019/4,"8,115"
2019/5,"9,046"
2019/6,"9,026"
2019/7,"9,501"
2019/8,"10,483"
2019/9,"10,367"
2019/10,"10,650"
2019/11,"10,581"
2019/12,"10,437"
2020/1,"9,011"
2020/2,"9,384"
2020/3,"10,801"
2020/4,"10,079"
2020/5,"10,240"
2020/6,"11,180"
2020/7,"10,981"
2020/8,"12,485"
2020/9,"13,072"
2020/10,"12,970"
2020/11,"12,638"
2020/12,"12,755"
2021/1,"13,289"
2021/2,"10,735"
2021/3,"13,451"
2021/4,"13,504"
2021/5,"13,269"
2021/6,"14,514"
2021/7,"14,669"
2021/8,"15,218"
2021/9,"16,582"
2021/10,"14,582"
2021/11,"15,929"
2021/12,"16,263"
2022/1,"15,907"
2022/2,"15,732"
2022/3,"18,235"
2022/4,"17,212"
2022/5,"16,705"
2022/6,"17,272"
2022/7,"16,955"
2022/8,"17,045"
2022/9,"16,986"
2022/10,"16,901"
2022/11,"15,151"
2022/12,"16,047"
2023/1,"12,716"
2023/2,"12,940"
2023/3,"15,566"
2023/4,"15,734"
2023/5,"15,054"
2023/6,"13,581"
2023/7,"15,613"
2023/8,"15,136"
2023/9,"16,264"
2023/10,"15,644"
2023/11,"14,602"
2023/12,"15,855"
2024/1,"13,567"
2024/2,"11,588"
2024/3,"14,693"
2024/4,"12,936"
2024/5,"13,404"
2024/6,"14,579"
2024/7,"13,739"
2024/8,"15,155"
2024/9,"17,057"
2024/10,"16,569"
2024/11,"16,728"
2024/12,"17,211"
2025/1,"13,990"
2025/2,"14,435"
2025/3,"17,526"
2025/4,"16,407"
2025/5,"17,206"
2025/6,"19,116"
2025/7,"18,424"
2025/8,"20,390"
2025/9,"21,431"
2025/10,"20,252"
2025/11,"21,635"
2025/12,"21,364"
2026/1,"22,359"
