公表日,時間,結果,予想,前回
2010/1,,189.4,,
2010/2,,217.4,,
2010/3,,262.2,,
2010/4,,220.9,,
2010/5,,192.5,,
2010/6,,143.8,,
2010/7,,144.9,,
2010/8,,170,,
2010/9,,113.6,,
2010/10,,71,,
2010/11,,104.2,,
2010/12,,64,,
2011/1,,89.8,,
2011/2,,73.9,,
2011/3,,49.6,,
2011/4,,32.3,,
2011/5,,34,,
2011/6,,53.5,,
2011/7,,34.6,,
2011/8,,15.3,,
2011/9,,20.1,,
2011/10,,26,,
2011/11,,15.8,,
2011/12,,17.4,,
2012/1,,-6.9,,
2012/2,,-8.4,,
2012/3,,2.4,,
2012/4,,0.4,,
2012/5,,-3,,
2012/6,,-15.5,,
2012/7,,-6.7,,
2012/8,,-2.7,,
2012/9,,-2.8,,
2012/10,,-6.7,,
2012/11,,-21.3,,
2012/12,,-27.5,,
2013/1,,-26.4,,
2013/2,,-21.5,,
2013/3,,-21.5,,
2013/4,,-23.6,,
2013/5,,-7.4,,
2013/6,,-12.4,,
2013/7,,-12.1,,
2013/8,,-1.7,,
2013/9,,-6.3,,
2013/10,,8.4,,
2013/11,,15.4,,
2013/12,,28.1,,
2014/1,,40.3,,
2014/2,,26.1,,
2014/3,,41.8,,
2014/4,,48.7,,
2014/5,,24.1,,
2014/6,,34.1,,
2014/7,,37.7,,
2014/8,,35.5,,
2014/9,,34.7,,
2014/10,,30.8,,
2014/11,,36.6,,
2014/12,,33.9,,
2015/1,,20.4,,
2015/2,,28.9,,
2015/3,,14.9,,
2015/4,,10.5,,
2015/5,,15,,
2015/6,,6.6,,
2015/7,,1.7,,
2015/8,,-16.5,,
2015/9,,-19.1,,
2015/10,,-22.9,,
2015/11,,-17.7,,
2015/12,,-25.7,,
2016/1,,-17.2,,
2016/2,,-22.5,,
2016/3,,-21.2,,
2016/4,,-26.3,,
2016/5,,-24.7,,
2016/6,,-19.9,,
2016/7,,-19.7,,
2016/8,,-8.4,,
2016/9,,-6.3,,
2016/10,,-8.9,,
2016/11,,-5.6,,
2016/12,,4.4,,
2017/1,,3.5,,
2017/2,,9.1,,
2017/3,,22.8,,
2017/4,,34.7,,
2017/5,,24.5,,
2017/6,,31.1,,
2017/7,,28,,
2017/8,,36.2,,
2017/9,,45,,
2017/10,,49.8,,
2017/11,,46.8,,
2017/12,,48.3,,
2018/1,,48.8,,
2018/2,,39.5,,
2018/3,,28.1,,
2018/4,,22,,
2018/5,,14.9,,
2018/6,,11.4,,
2018/7,,13.1,,
2018/8,,5.1,,
2018/9,,2.9,,
2018/10,,-0.7,,
2018/11,,-17,,
2018/12,,-18.3,,
2019/1,,-18.8,,
2019/2,,-29.3,,
2019/3,,-28.5,,
2019/4,,-33.4,,
2019/5,,-27.3,,
2019/6,,-37.9,,
2019/7,,-33,,
2019/8,,-37,,
2019/9,,-35.5,,
2019/10,,-37.4,,
2019/11,,-37.9,,
2019/12,,-33.5,,
2020/1,,-35.6,,
2020/2,,-29.6,,
2020/3,,-40.7,,
2020/4,,-48.3,,
2020/5,,-52.8,,
2020/6,,-32.1,,
2020/7,,-31.1,,
2020/8,,-23.2,,
2020/9,,-15,,
2020/10,,-6,,
2020/11,,8.6,,
2020/12,,9.9,,
2021/1,,9.7,,
2021/2,,36.7,,
2021/3,,65.1,,
2021/4,,120.8,,
2021/5,,141.9,,
2021/6,,96.6,,
2021/7,,93.4,,
2021/8,,85.2,,
2021/9,,71.9,,
2021/10,,81.5,,
2021/11,,64,,
2021/12,,40.5,,
2022/1,,61.4,,
2022/2,,31.6,,
2022/3,,30.2,,
2022/4,,25,,
2022/5,,23.7,,
2022/6,,17.1,,
2022/7,,5.5,,
2022/8,,10.7,,
2022/9,,4.3,,
2022/10,,-5.5,,
2022/11,,-7.8,,
2022/12,,1,,
2023/1,,-9.7,,
2023/2,,-10.7,,
2023/3,,-15.2,,
2023/4,,-14.4,,
2023/5,,-22.2,,
2023/6,,-22.2,,
2023/7,,-19.7,,
2023/8,,-17.5,,
2023/9,,-11.2,,
2023/10,,-20.6,,
2023/11,,-13.6,,
2023/12,,-9.6,,
2024/1,,-14.1,,
2024/2,,-8,,
2024/3,,-8.5,,
2024/4,,-11.6,,
2024/5,,4.2,,
2024/6,,9.7,,
2024/7,,8.4,,
2024/8,,-3.5,,
2024/9,,-6.4,,
2024/10,,9.4,,
2024/11,,3,,
2024/12,,12.6,,
2025/1,,4.7,,
2025/2,,3.5,,
2025/3,,11.4,,
2025/4,,7.7,,
2025/5,,3.4,,
2025/6,,-0.5,,
2025/7,,-0.5,,
2025/8,,8.5,,
2025/9,,9.9,,
