日付,売残,買残,売残増減,買残増減,信用倍率
2014/7/18,633,"35,015",633,"35,015",55.32
2014/7/25,244,"41,974",-389,"6,959",172.02
2014/8/1,"13,509","79,699","13,265","37,725",5.9
2014/8/8,"16,585","44,782","3,076","-34,917",2.7
2014/8/15,"15,915","77,772",-670,"32,990",4.89
2014/8/22,"22,622","234,432","6,707","156,660",10.36
2014/8/29,"12,765","232,253","-9,857","-2,179",18.19
2014/9/5,"22,988","369,992","10,223","137,739",16.1
2014/9/12,"25,489","474,166","2,501","104,174",18.6
2014/9/19,"27,089","667,652","1,600","193,486",24.65
2014/9/26,"27,426","814,003",337,"146,351",29.68
2014/10/3,"39,057","685,022","11,631","-128,981",17.54
2014/10/10,"57,436","360,293","18,379","-324,729",6.27
2014/10/17,"72,955","238,500","15,519","-121,793",3.27
2014/10/24,"65,296","622,791","-7,659","384,291",9.54
2014/10/31,"47,794","1,293,300","-17,502","670,509",27.06
2014/11/7,"66,960","1,406,692","19,166","113,392",21.01
2014/11/14,"135,607","2,221,122","68,647","814,430",16.38
2014/11/21,"133,028","2,268,218","-2,579","47,096",17.05
2014/11/28,"139,454","2,532,487","6,426","264,269",18.16
2014/12/5,"207,436","3,463,152","67,982","930,665",16.7
2014/12/12,"272,271","2,306,704","64,835","-1,156,448",8.47
2014/12/19,"279,174","1,707,663","6,903","-599,041",6.12
2015/1/2,"220,719","2,094,432","-58,455","386,769",9.49
2015/1/9,"252,249","1,325,161","31,530","-769,271",5.25
2015/1/16,"270,044","1,028,424","17,795","-296,737",3.81
2015/1/23,"195,782","1,335,607","-74,262","307,183",6.82
2015/1/30,"192,153","3,363,722","-3,629","2,028,115",17.51
2015/2/6,"176,096","3,192,544","-16,057","-171,178",18.13
2015/2/13,"162,124","4,892,377","-13,972","1,699,833",30.18
2015/2/20,"173,901","7,392,964","11,777","2,500,587",42.51
2015/2/27,"191,513","9,381,961","17,612","1,988,997",48.99
2015/3/6,"163,289","10,631,779","-28,224","1,249,818",65.11
2015/3/13,"171,516","10,505,818","8,227","-125,961",61.25
2015/3/20,"191,198","9,337,733","19,682","-1,168,085",48.84
2015/3/27,"192,227","8,766,102","1,029","-571,631",45.6
2015/4/3,"193,561","9,017,279","1,334","251,177",46.59
2015/4/10,"317,447","10,729,716","123,886","1,712,437",33.8
2015/4/17,"192,335","10,100,539","-125,112","-629,177",52.52
2015/4/24,"255,005","10,888,104","62,670","787,565",42.7
2015/5/1,"329,445","9,226,912","74,440","-1,661,192",28.01
