公表日,時刻,結果,予想,前回
2008/9,,4.4,,
2008/10,,4.4,,
2008/11,,3.3,,
2008/12,,2.5,,
2009/1,,2.7,,
2009/2,,2.3,,
2009/3,,2.2,,
2009/4,,2.4,,
2009/5,,2.3,,
2009/6,,2.8,,
2009/7,,3.2,,
2009/8,,3.5,,
2009/9,,3.5,,
2009/10,,3.5,,
2009/11,,3.2,,
2009/12,,3.6,,
2010/1,,3.5,,
2010/2,,3.2,,
2010/3,,3.2,,
2010/4,,4.1,,
2010/5,,3.6,,
2010/6,,3.4,,
2010/7,,3.3,,
2010/8,,2.8,,
2010/9,,3.1,,
2010/10,,3.8,,
2010/11,,3.1,,
2010/12,,2.8,,
2011/1,,4.6,,
2011/2,,4.3,,
2011/3,,3.6,,
2011/4,,3.5,,
2011/5,,3.3,,
2011/6,,3.3,,
2011/7,,3.4,,
2011/8,,2.7,,
2011/9,,2.8,,
2011/10,,3.1,,
2011/11,,2.5,,
2011/12,,2.4,,
2012/1,,2.8,,
2012/2,,2.5,,
2012/3,,2.7,,
2012/4,,3.3,,
2012/5,,3.1,,
2012/6,,2.3,,
2012/7,,3.3,,
2012/8,,2.4,,
2012/9,,2.4,,
2012/10,,2.6,,
2012/11,,2.2,,
2012/12,,1.8,,
2013/1,,2,,
2013/2,,2.2,,
2013/3,,2.3,,
2013/4,,2.2,,
2013/5,,2.3,,
2013/6,,2.3,,
2013/7,,2.6,,
2013/8,,2.3,,
2013/9,,1.5,,
2013/10,,2,,
2013/11,,1.9,,
2013/12,,2.1,,
2014/1,,2.3,,
2014/2,,2.3,,
2014/3,,2.1,,
2014/4,,2.4,,
2014/5,,4.4,,
2014/6,,4,,
2014/7,,3.8,,
2014/8,,3.1,,
2014/9,,3.5,,
2014/10,,3.4,,
2014/11,,4.1,,
2014/12,,3.4,,
2015/1,,3.2,,
2015/2,,4,,
2015/3,,3.2,,
2015/4,,3.4,,
2015/5,,3.6,,
2015/6,,3,,
2015/7,,3.4,,
2015/8,,3.7,,
2015/9,,3.2,,
2015/10,,3.5,,
2015/11,,3.5,,
2015/12,,4,,
2016/1,,3.6,,
2016/2,,3.6,,
2016/3,,3.4,,
2016/4,,3.6,,
2016/5,,3.2,,
2016/6,,3.5,,
2016/7,,3.7,,
2016/8,,3.5,,
2016/9,,3.3,,
2016/10,,3.7,,
2016/11,,3.2,,
2016/12,,3.4,,
2017/1,,4.3,,
2017/2,,4.1,,
2017/3,,4,,
2017/4,,4.1,,
2017/5,,4,,
2017/6,,3.6,,
2017/7,,4.4,,
2017/8,,4.2,,
2017/9,,3.8,,
2017/10,,4.3,,
2017/11,,3.7,,
2017/12,,3.7,,
2018/1,,3.7,,
2018/2,,3.6,,
2018/3,,3.7,,
2018/4,,3.6,,
2018/5,,3.7,,
2018/6,,4.2,,
2018/7,,3.9,,
2018/8,,4,,
2018/9,,4,,
2018/10,,4,,
2018/11,,3.6,,
2018/12,,4,,
2019/1,,3.5,,
2019/2,,3.7,,
2019/3,,4.1,,
2019/4,,3.9,,
2019/5,,3.3,,
2019/6,,3.3,,
2019/7,,3.2,,
2019/8,,3.5,,
2019/9,,3.1,,
2019/10,,3.6,,
2019/11,,4,,
2019/12,,4,,
2020/1,,4.7,,
2020/2,,4,,
2020/3,,4,,
2020/4,,4.6,,
2020/5,,3.4,,
2020/6,,3.3,,
2020/7,,3.2,,
2020/8,,3.3,,
2020/9,,3.1,,
2020/10,,3.4,,
2020/11,,3.5,,
2020/12,,3.5,,
2021/1,,3.4,,
2021/2,,3.7,,
2021/3,,4.1,,
2021/4,,3.2,,
2021/5,,3.5,,
2021/6,,4.4,,
2021/7,,3.7,,
2021/8,,3.3,,
2021/9,,4.4,,
2021/10,,3.6,,
2021/11,,4.6,,
2021/12,,4.8,,
2022/1,,4.4,,
2022/2,,4.6,,
2022/3,,4.9,,
2022/4,,5.2,,
2022/5,,5,,
2022/6,,6.7,,
2022/7,,6.3,,
2022/8,,5.9,,
2022/9,,5.4,,
2022/10,,5.4,,
2022/11,,6,,
2022/12,,5.2,,
2023/1,,5.6,,
2023/2,,5.1,,
2023/3,,5,,
2023/4,,4.6,,
2023/5,,5,,
2023/6,,5.2,,
2023/7,,5.2,,
2023/8,,1.2,,
2023/9,,1,,
2023/10,,1.3,,
2023/11,,1.2,,
2023/12,,1.3,,
2024/1,,4.5,,
2024/2,,4.5,,
2024/3,,4.3,,
2024/4,,4.6,,
2024/5,,4.1,,
2024/6,,4.4,,
2024/7,,4.3,,
2024/8,,4.5,,
2024/9,,4.4,,
2024/10,,4,,
2024/11,,3.8,,
2024/12,,4.2,,
2025/1,,4,,
2025/2,,4.6,,
2025/3,,3.6,,
2025/4,,4.2,,
2025/5,,4.1,,
2025/6,,5,,
2025/7,,4.7,,
2025/8,,3.9,,
2025/9,,4.7,,
2025/10,,4.8,,
2025/11,,4.5,,
2025/12,,4.7,,
2026/1,,4.6,,
2026/2,,5,,
