公表日,時間,結果,予想,前回
2016/3,,-8.1,,
2016/4,,-11.2,,
2016/5,,-6,,
2016/6,,-2.7,,
2016/7,,-10.3,,
2016/8,,2.6,,
2016/9,,-5.9,,
2016/10,,-3.2,,
2016/11,,2.5,,
2016/12,,6.4,,
2017/1,,6.4,,
2017/2,,20.2,,
2017/3,,13.7,,
2017/4,,24.2,,
2017/5,,13.4,,
2017/6,,13.6,,
2017/7,,19.5,,
2017/8,,17.3,,
2017/9,,35,,
2017/10,,7.1,,
2017/11,,9.5,,
2017/12,,8.9,,
2018/1,,22.3,,
2018/2,,3.9,,
2018/3,,6.1,,
2018/4,,-1.5,,
2018/5,,13.2,,
2018/6,,-0.2,,
2018/7,,6.2,,
2018/8,,8.7,,
2018/9,,-8.2,,
2018/10,,22.7,,
2018/11,,4.1,,
2018/12,,-1.3,,
2019/1,,-5.9,,
2019/2,,-11.4,,
2019/3,,-8.2,,
2019/4,,-2,,
2019/5,,-9.5,,
2019/6,,-13.7,,
2019/7,,-11,,
2019/8,,-13.8,,
2019/9,,-11.7,,
2019/10,,-14.8,,
2019/11,,-14.4,,
2019/12,,-5.2,,
2020/1,,-6.3,,
2020/2,,4.3,,
2020/3,,-0.7,,
2020/4,,-25.1,,
2020/5,,-23.6,,
2020/6,,-10.9,,
2020/7,,-7.1,,
2020/8,,-10.1,,
2020/9,,7.6,,
2020/10,,-3.8,,
2020/11,,4.1,,
2020/12,,12.6,,
2021/1,,11.4,,
2021/2,,9.5,,
2021/3,,16.5,,
2021/4,,41.2,,
2021/5,,45.6,,
2021/6,,39.8,,
2021/7,,29.6,,
2021/8,,34.8,,
2021/9,,16.7,,
2021/10,,24.1,,
2021/11,,32,,
2021/12,,18.3,,
2022/1,,15.2,,
2022/2,,20.6,,
2022/3,,18.2,,
2022/4,,12.9,,
2022/5,,21.3,,
2022/6,,5.2,,
2022/7,,9.2,,
2022/8,,6.6,,
2022/9,,2.7,,
2022/10,,-5.7,,
2022/11,,-14,,
2022/12,,-9.6,,
2023/1,,-16.6,,
2023/2,,-7.5,,
2023/3,,-13.6,,
2023/4,,-14.3,,
2023/5,,-15.2,,
2023/6,,-6,,
2023/7,,-16.4,,
2023/8,,-8.3,,
2023/9,,-4.4,,
2023/10,,5.1,,
2023/11,,7.7,,
2023/12,,5,,
2024/1,,18,,
2024/2,,4.8,,
2024/3,,3.1,,
2024/4,,13.8,,
2024/5,,11.5,,
2024/6,,5.1,,
2024/7,,13.9,,
2024/8,,11.2,,
2024/9,,7.5,,
2024/10,,4.6,,
2024/11,,1.4,,
2024/12,,6.6,,
2025/1,,-10.2,,
2025/2,,0.7,,
2025/3,,3,,
2025/4,,3.7,,
2025/5,,-1.3,,
2025/6,,4.3,,
2025/7,,5.8,,
2025/8,,1.2,,
2025/9,,12.6,,
2025/10,,3.5,,
2025/11,,8.4,,
2025/12,,13.3,,
2026/1,,33.8,,
2026/2,,29,,
