time,open,high,low,close
2001-05-01,1379.5,1441,1308.72,1310.8101
2001-06-01,1320.3101,1326.53,1245.8199,1300.98
2001-07-02,1300.0699,1300.0699,1156.91,1190.3101
2001-08-01,1196.84,1237.02,1094.08,1103.67
2001-09-03,1104.14,1104.5601,984.54999,1023.42
2001-10-01,1026.8,1118.15,1018.04,1059.37
2001-11-01,1065.24,1092.21,1007.61,1050.5699
2001-12-03,1052.66,1069.9301,983,1032.14
2002-01-01,1032.14,1057.67,958.45001,971.77002
2002-02-01,976.19,1028.36,921.08002,1013.8
2002-03-01,1018.62,1128.36,1009.2,1060.1899
2002-04-01,1065.14,1108.6899,1047.66,1082.0601
2002-05-01,1085.52,1144.02,1068.99,1120.08
2002-06-03,1123.7,1133.75,983.47998,1024.89
2002-07-01,1029.49,1061.9399,941.27002,965
2002-08-01,967.14001,984.14001,931.47998,941.64001
2002-09-02,937.77002,963.21997,880.57001,921.04999
2002-10-01,913.25,914.95001,814.70001,862.23999
2002-11-01,864.76001,901.06,808.15002,892.71002
2002-12-02,893.81,897.98999,807.34998,843.28998
2003-01-01,851.79999,870.69,817.52002,821.17999
2003-02-03,819.02002,867.02002,810.28998,818.72998
2003-03-03,820.45001,831.42999,770.62,788
2003-04-01,783.33002,810.58002,770.46002,796.56
2003-05-01,793.79999,840.88,789.57001,837.70001
2003-06-02,842.73999,908.42999,842.72998,903.44
2003-07-01,904.92999,986.65002,904.17999,939.40002
2003-08-01,947.03003,1012.46,911.85999,1002.01
2003-09-01,1008.88,1085.64,1007.87,1018.8
2003-10-01,1019.58,1114.4,1014.44,1043.36
2003-11-03,1055.3199,1071.53,953.19,999.75
2003-12-01,990.79999,1043.6899,976.28003,1043.6899
2004-01-05,1058.99,1084.5601,1043.4,1047.51
2004-02-02,1048.7,1083.52,1017.84,1082.47
2004-03-01,1105.4399,1189.38,1088.73,1179.23
2004-04-01,1178.17,1225.97,1168.86,1186.3101
2004-05-06,1189.64,1191.42,1051.5699,1139.9399
2004-06-01,1142.49,1190.14,1114.6,1189.6
2004-07-01,1194.73,1197.74,1114.39,1139.3
2004-08-02,1137.58,1140.58,1073.6899,1129.55
2004-09-01,1132.76,1150.35,1083.4399,1102.11
2004-10-01,1105.85,1149.85,1068.85,1085.4301
2004-11-01,1081.62,1127.45,1077.17,1098.79
2004-12-01,1090.35,1149.63,1083.64,1149.63
2005-01-04,1147.24,1158.4301,1128.75,1146.14
2005-02-01,1149.25,1177.41,1137.23,1177.41
2005-03-01,1175.9399,1206.9301,1165.26,1182.1801
2005-04-01,1176.16,1202.46,1104.3,1129.9301
2005-05-02,1126.4399,1154.25,1108.67,1144.33
2005-06-01,1140.16,1179.1801,1137.6,1177.2
2005-07-01,1177.08,1207.48,1174.92,1204.98
2005-08-01,1207.41,1283.23,1174.16,1271.29
2005-09-01,1283.3,1430.8,1274.63,1412.28
2005-10-03,1412.89,1447.45,1363.66,1444.73
2005-11-01,1444.73,1553.27,1444.73,1536.21
2005-12-01,1541.1899,1673.1801,1538.99,1649.76
2006-01-04,1666.75,1721.92,1538.85,1710.77
2006-02-01,1704.88,1719.17,1568.5,1660.42
2006-03-01,1645.0601,1735.25,1595.9301,1728.16
2006-04-03,1735.4399,1783.72,1700.15,1716.4301
2006-05-01,1716.01,1763.76,1574.45,1579.9399
2006-06-01,1596.14,1606.11,1439,1586.96
2006-07-03,1593.15,1606.86,1473.59,1572.01
2006-08-01,1568.46,1645.4301,1540.12,1634.46
2006-09-01,1628.7,1655.27,1546.03,1610.73
2006-10-02,1614.8199,1672.02,1596.24,1617.42
2006-11-01,1615.58,1629.29,1526.37,1603.03
2006-12-01,1606.27,1685.76,1594.72,1681.0699
2007-01-02,1692.9399,1749.1801,1650.8199,1721.96
2007-02-01,1722.66,1823.89,1712.28,1752.74
2007-03-01,1754.46,1755.7,1656.74,1713.61
2007-04-02,1719.78,1743.5,1682.49,1701
2007-05-01,1704.01,1757.09,1686.84,1755.6801
2007-06-01,1763.96,1793.61,1731.41,1774.88
2007-07-02,1776.8,1796.89,1676.6899,1706.1801
2007-08-01,1698.33,1698.33,1479.8199,1608.25
2007-09-03,1605.66,1622.49,1506.1899,1616.62
2007-10-01,1614.23,1679.71,1539.09,1620.0699
2007-11-01,1626.51,1638.71,1417.47,1531.88
2007-12-03,1543.17,1578.39,1447.54,1475.6801
2008-01-02,1461.23,1461.3101,1219.95,1346.3101
2008-02-01,1342.54,1372.8199,1274.08,1324.28
2008-03-03,1306.8,1307.03,1139.62,1212.96
2008-04-01,1218.64,1372.96,1214.92,1358.65
2008-05-01,1352.77,1411.87,1327.21,1408.14
2008-06-02,1409.09,1449.14,1311.35,1320.1
2008-07-01,1324.11,1334.52,1240.91,1303.62
2008-08-01,1294.38,1296.0699,1212.95,1254.71
2008-09-01,1242.1,1242.1,1069.6899,1087.41
2008-10-01,1099.34,1107.6801,721.53003,867.12
2008-11-04,878.42999,966.90997,753.90997,834.82001
2008-12-01,832.62,859.65997,782.15997,859.23999
2009-01-02,871.01001,896.21002,767.82001,794.03003
2009-02-02,785.65997,803.59998,717.84998,756.71002
2009-03-02,745.73999,845.64001,698.46002,773.65997
2009-04-01,780.51001,856.08002,778.21002,837.78998
2009-05-01,840.13,906.46997,837.67999,897.90997
2009-06-01,898.34998,954.08002,895.56,929.76001
2009-07-01,924.17999,950.38,852.10999,950.26001
2009-08-03,953.53003,987.27002,938.81,965.72998
2009-09-01,962.28998,971.90997,898.08002,909.84003
2009-10-01,905.39001,914.96002,863.78003,894.66998
2009-11-02,884.08002,884.08002,809.23999,839.94
2009-12-01,833.52002,920.53998,829.56,907.59003
2010-01-04,912.47998,966.40002,901.12,901.12
2010-02-01,900.38,921.90002,876.77002,894.09998
2010-03-01,895.22998,984.06,893.81,978.81
2010-04-01,983.98999,1001.77,968.78998,987.03998
2010-05-06,970.44,970.46002,850.88,880.46002
2010-06-01,879.42999,904.03003,835.90997,841.41998
2010-07-01,834.71997,874.25,822.02002,849.5
2010-08-02,851.45001,864.25,803.78003,804.66998
2010-09-01,804.25,858.77002,800.69,829.51001
2010-10-01,833.46002,850.13,803.53998,810.90997
2010-11-01,806.54999,878.64001,799.64001,860.94
2010-12-01,860.70001,909.66998,858.87,898.79999
2011-01-03,909.44,939.70001,904.25,910.08002
2011-02-01,914.34003,976.28003,910.82001,951.27002
2011-03-01,956.34003,964.17999,725.90002,869.38
2011-04-01,870.96002,874.34998,824.60999,851.84998
2011-05-02,861.59998,866.65002,812.52002,838.47998
2011-06-01,839.40997,850.32001,801.78003,849.21997
2011-07-01,854.83002,879.47998,841.37,841.37
2011-08-01,847.12,858.53003,740.51001,770.59998
2011-09-01,776.03998,780.98999,727.33002,761.16998
2011-10-03,748.79999,779.08002,724.77002,764.06
2011-11-01,757.77002,761.03998,703.88,728.46002
2011-12-01,740.70001,750.60999,712.27002,728.60999
2012-01-04,737.52002,769.35999,722.84998,755.27002
2012-02-01,755.09998,847.83002,754.84003,835.96002
2012-03-01,840.22998,872.41998,815.84998,854.34998
2012-04-02,862.07001,863.22998,800.54999,804.27002
2012-05-01,801.76001,801.96997,711.38,719.48999
2012-06-01,712.17999,773.21002,692.17999,770.08002
2012-07-02,778.65997,781.94,703.31,736.31
2012-08-01,731.10999,769.78998,720.03003,731.64001
2012-09-03,731.87,769.53998,715.04999,737.41998
2012-10-01,732.78003,757.59003,710.32001,742.33002
2012-11-01,743.02002,787.73999,718.35999,781.46002
2012-12-03,785.47998,861.57001,776.83002,859.79999
2013-01-04,876.96997,942.08002,862.62,940.25
2013-02-01,945.53998,981.79999,930.03998,975.65997
2013-03-01,971.98999,1061.75,971.21997,1034.71
2013-04-01,1031.75,1176.36,971.33002,1165.13
