date,market_cap_basis,index_weight_basis
2005-01-04,19.02,14.31
2005-01-05,18.85,14.21
2005-01-06,18.94,14.28
2005-01-07,18.87,14.2
2005-01-11,19.03,14.34
2005-01-12,18.85,14.23
2005-01-13,18.69,14.11
2005-01-14,18.78,14.21
2005-01-17,18.8,14.27
2005-01-18,18.72,14.19
2005-01-19,18.69,14.17
2005-01-20,18.5,13.99
2005-01-21,18.38,13.93
2005-01-24,18.48,13.99
2005-01-25,18.47,13.98
2005-01-26,18.59,14.09
2005-01-27,18.53,14.14
2005-01-28,18.58,14.15
2005-01-31,18.96,14.41
2005-02-01,19.06,14.4
2005-02-02,19.1,14.43
2005-02-03,19.12,14.39
2005-02-04,19.04,14.36
2005-02-07,19.19,14.53
2005-02-08,19.27,14.55
2005-02-09,19.3,14.54
2005-02-10,19.43,14.63
2005-02-14,19.56,14.73
2005-02-15,19.55,14.73
2005-02-16,19.52,14.67
2005-02-17,19.45,14.6
2005-02-18,19.56,14.66
2005-02-21,19.51,14.64
2005-02-22,19.45,14.58
2005-02-23,19.32,14.54
2005-02-24,19.38,14.58
2005-02-25,19.55,14.74
2005-02-28,19.7,14.84
2005-03-01,20.53,14.93
2005-03-02,20.64,14.98
2005-03-03,20.7,15.04
2005-03-04,20.7,15.06
2005-03-07,20.86,15.12
2005-03-08,20.78,15.07
2005-03-09,20.91,15.17
2005-03-10,20.8,15.05
2005-03-11,20.87,15.09
2005-03-14,20.77,15.03
2005-03-15,20.73,14.99
2005-03-16,20.83,15.06
2005-03-17,20.68,14.96
2005-03-18,20.88,15.09
2005-03-22,20.84,15.09
2005-03-23,20.76,14.98
2005-03-24,20.72,14.98
2005-03-25,20.81,15.01
2005-03-28,21.13,15.1
2005-03-29,20.85,14.85
2005-03-30,20.75,14.8
2005-03-31,20.89,14.94
2005-04-01,21.06,15.02
2005-04-04,20.93,14.94
2005-04-05,21.06,15.06
2005-04-06,21.18,15.17
2005-04-07,21.26,15.05
2005-04-08,21.19,15.13
2005-04-11,20.98,14.96
2005-04-12,20.79,14.86
2005-04-13,20.72,14.79
2005-04-14,20.55,14.7
2005-04-15,20.23,14.45
2005-04-18,19.52,13.9
2005-04-19,19.78,14.06
2005-04-20,19.85,14.1
2005-04-21,19.82,13.98
2005-04-22,19.85,14.05
2005-04-25,19.89,14.09
2005-04-26,19.83,14.03
2005-04-27,19.79,13.77
2005-04-28,19.35,13.45
2005-05-02,17.96,13.45
2005-05-06,18.3,13.68
2005-05-09,18.28,13.5
2005-05-10,18.1,13.38
2005-05-11,18.21,13.38
2005-05-12,18.06,13.32
2005-05-13,18.51,19.22
2005-05-16,18.37,19.25
2005-05-17,18.32,19.19
2005-05-18,18.2,19.13
2005-05-19,18.57,19.47
2005-05-20,18.51,19.39
2005-05-23,18.74,19.43
2005-05-24,18.38,19.25
2005-05-25,17.44,19.23
2005-05-26,16.24,19.19
2005-05-27,16.38,19.21
2005-05-30,16.4,19.35
2005-05-31,16.4,19.36
2005-06-01,16.49,19.46
2005-06-02,16.46,19.37
2005-06-03,16.46,19.37
2005-06-06,16.42,19.32
2005-06-07,16.34,19.23
2005-06-08,16.44,19.35
2005-06-09,16.27,19.11
2005-06-10,16.42,19.36
2005-06-13,16.43,19.37
2005-06-14,16.47,19.41
2005-06-15,16.58,19.55
2005-06-16,16.66,19.57
2005-06-17,16.83,19.73
2005-06-20,16.76,19.68
2005-06-21,16.76,19.69
2005-06-22,16.83,19.79
2005-06-23,16.86,19.85
2005-06-24,16.82,19.78
2005-06-27,16.64,19.57
2005-06-28,16.75,19.74
2005-06-29,16.84,19.85
2005-06-30,16.87,19.83
2005-07-01,16.94,19.9
2005-07-04,16.98,19.94
2005-07-05,16.94,19.86
2005-07-06,16.93,19.84
2005-07-07,16.89,19.82
2005-07-08,16.86,19.78
2005-07-11,16.98,19.95
2005-07-12,17.0,19.82
2005-07-13,16.97,19.76
2005-07-14,17.07,19.94
2005-07-15,17.11,19.93
2005-07-19,17.07,19.94
2005-07-20,17.11,19.98
2005-07-21,17.1,19.98
2005-07-22,16.97,19.82
2005-07-25,17.01,19.93
2005-07-26,16.99,19.89
2005-07-27,17.14,20.01
2005-07-28,17.16,20.13
2005-07-29,17.31,20.2
2005-08-01,17.43,20.27
2005-08-02,17.43,20.25
2005-08-03,17.48,20.32
2005-08-04,17.36,20.08
2005-08-05,17.04,19.91
2005-08-08,17.07,19.92
2005-08-09,17.24,20.05
2005-08-10,17.54,20.16
2005-08-11,17.79,20.44
2005-08-12,17.82,20.43
2005-08-15,17.89,20.44
2005-08-16,17.91,20.56
2005-08-17,17.9,20.48
2005-08-18,17.94,20.5
2005-08-19,17.91,20.46
2005-08-22,18.23,20.74
2005-08-23,18.21,20.76
2005-08-24,18.3,20.81
2005-08-25,18.15,20.65
2005-08-26,17.93,20.37
2005-08-29,17.7,20.16
2005-08-30,17.96,20.39
2005-08-31,17.91,20.33
2005-09-01,17.96,20.48
2005-09-02,18.22,20.74
2005-09-05,18.34,20.8
2005-09-06,18.31,20.74
2005-09-07,18.33,20.75
2005-09-08,18.13,20.45
2005-09-09,18.31,20.7
2005-09-12,18.57,21.01
2005-09-13,18.63,21.01
2005-09-14,18.54,20.9
2005-09-15,18.79,21.16
2005-09-16,18.82,21.19
2005-09-20,19.23,21.49
2005-09-21,19.24,21.24
2005-09-22,19.2,21.22
2005-09-26,19.7,21.6
2005-09-27,19.66,21.47
2005-09-28,20.11,21.71
2005-09-29,20.68,22.02
2005-09-30,20.42,21.94
2005-10-03,20.88,22.0
2005-10-04,20.98,22.31
2005-10-05,20.79,22.23
2005-10-06,20.16,21.79
2005-10-07,20.19,21.57
2005-10-11,20.79,22.1
2005-10-12,20.7,21.95
2005-10-13,20.74,21.87
2005-10-14,20.55,21.79
2005-10-17,20.44,21.77
2005-10-18,20.51,21.69
2005-10-19,20.28,21.33
2005-10-20,20.32,21.42
2005-10-21,20.36,21.57
2005-10-24,20.22,21.41
2005-10-25,20.48,21.61
2005-10-26,20.63,21.76
2005-10-27,20.79,21.75
2005-10-28,20.63,21.48
2005-10-31,20.66,21.83
2005-11-01,21.15,22.22
2005-11-02,21.21,22.24
2005-11-04,21.51,22.69
2005-11-07,21.58,22.69
2005-11-08,21.64,22.59
2005-11-09,21.37,22.67
2005-11-10,21.13,22.65
2005-11-11,21.11,22.49
2005-11-14,20.9,22.43
2005-11-15,20.8,22.42
2005-11-16,21.05,22.57
2005-11-17,21.43,22.97
2005-11-18,21.77,23.37
2005-11-21,21.9,23.47
2005-11-22,21.62,23.5
2005-11-24,21.36,23.52
2005-11-25,21.33,23.59
2005-11-28,21.48,23.92
2005-11-29,21.46,23.82
2005-11-30,21.29,23.73
2005-12-01,21.6,24.14
2005-12-02,21.94,24.61
2005-12-05,22.09,24.81
2005-12-06,22.06,24.62
2005-12-07,22.19,24.72
2005-12-08,21.76,24.23
2005-12-09,22.21,25.16
2005-12-12,22.6,25.71
2005-12-13,22.72,25.78
2005-12-14,22.33,25.26
2005-12-15,22.03,24.91
2005-12-16,22.0,24.78
2005-12-19,22.16,25.13
2005-12-20,22.51,25.54
2005-12-21,22.79,26.07
2005-12-22,22.82,26.05
2005-12-26,22.97,26.32
2005-12-27,22.8,26.08
2005-12-28,22.99,26.45
2005-12-29,23.1,26.69
2005-12-30,22.91,26.31
2006-01-04,23.25,26.81
2006-01-05,23.37,26.92
2006-01-06,23.28,26.92
2006-01-10,22.83,26.42
2006-01-11,23.08,26.81
2006-01-12,23.19,26.95
2006-01-13,23.13,26.96
2006-01-16,22.92,26.66
2006-01-17,22.46,25.9
2006-01-18,21.77,25.14
2006-01-19,22.35,25.7
2006-01-20,22.4,25.7
2006-01-23,21.99,25.17
2006-01-24,22.31,25.64
2006-01-25,22.34,25.63
2006-01-26,22.67,25.81
2006-01-27,23.31,26.73
2006-01-30,23.51,26.83
2006-01-31,23.59,26.97
2006-02-01,23.2,26.74
2006-02-02,23.49,27.06
2006-02-03,23.37,26.9
2006-02-06,23.33,26.96
2006-02-07,23.28,26.88
2006-02-08,22.71,26.15
2006-02-09,22.78,26.44
2006-02-10,22.53,26.11
2006-02-13,22.02,25.5
2006-02-14,22.33,25.99
2006-02-15,22.15,25.42
2006-02-16,21.93,25.59
2006-02-17,21.61,25.28
2006-02-20,21.34,24.84
2006-02-21,21.88,25.58
2006-02-22,21.8,25.41
2006-02-23,22.18,25.92
2006-02-24,22.28,25.93
2006-02-27,22.46,26.08
2006-02-28,22.55,26.1
2006-03-01,22.3,25.79
2006-03-02,22.25,25.71
2006-03-03,21.96,25.3
2006-03-06,22.15,25.68
2006-03-07,22.03,25.4
2006-03-08,21.88,25.24
2006-03-09,22.28,26.14
2006-03-10,22.32,26.25
2006-03-13,22.66,26.67
2006-03-14,22.55,26.47
2006-03-15,22.57,26.61
2006-03-16,22.04,25.97
2006-03-17,22.28,26.36
2006-03-20,22.62,26.82
2006-03-22,22.53,26.61
2006-03-23,22.44,26.62
2006-03-24,22.59,27.1
2006-03-27,22.71,27.26
2006-03-28,22.62,27.26
2006-03-29,22.85,27.64
2006-03-30,23.07,27.81
2006-03-31,23.08,27.82
2006-04-03,23.41,28.3
2006-04-04,23.35,28.24
2006-04-05,23.39,28.17
2006-04-06,23.69,28.39
2006-04-07,23.79,28.51
2006-04-10,23.7,28.34
2006-04-11,23.63,28.27
2006-04-12,23.26,27.77
2006-04-13,23.17,27.82
2006-04-14,23.21,27.89
2006-04-17,22.9,27.52
2006-04-18,23.2,27.88
2006-04-19,23.28,28.1
2006-04-20,23.33,28.04
2006-04-21,23.49,28.25
2006-04-24,22.95,27.39
2006-04-25,23.02,27.42
2006-04-26,23.02,27.63
2006-04-27,23.16,26.05
2006-04-28,22.34,26.03
2006-05-01,21.88,25.03
2006-05-02,22.15,25.37
2006-05-08,22.4,25.54
2006-05-09,22.3,25.71
2006-05-10,22.05,25.31
2006-05-11,21.8,24.89
2006-05-12,21.32,24.24
2006-05-15,21.2,23.88
2006-05-16,20.68,23.23
2006-05-17,20.75,23.49
2006-05-18,20.36,22.81
2006-05-19,20.06,22.82
2006-05-22,19.76,22.37
2006-05-23,19.19,22.0
2006-05-24,19.75,22.44
2006-05-25,19.41,22.13
2006-05-26,19.79,22.51
2006-05-29,19.83,22.43
2006-05-30,19.8,22.33
2006-05-31,19.34,21.79
2006-06-01,19.01,21.85
2006-06-02,19.32,22.25
2006-06-05,19.15,22.03
2006-06-06,18.86,21.63
2006-06-07,18.45,21.23
2006-06-08,17.86,20.59
2006-06-09,18.01,20.76
2006-06-12,18.11,20.88
2006-06-13,17.45,20.01
2006-06-14,17.52,20.14
2006-06-15,17.71,20.37
2006-06-16,18.3,20.94
2006-06-19,18.22,20.91
2006-06-20,18.03,20.62
2006-06-21,18.04,20.61
2006-06-22,18.56,21.3
2006-06-23,18.54,21.29
2006-06-26,18.61,21.33
2006-06-27,18.6,21.41
2006-06-28,18.35,21.01
2006-06-29,18.63,21.34
2006-06-30,19.15,21.89
2006-07-03,19.24,21.98
2006-07-04,19.22,22.01
2006-07-05,19.1,21.84
2006-07-06,18.87,21.52
2006-07-07,18.89,21.5
2006-07-10,19.2,21.84
2006-07-11,19.11,21.74
2006-07-12,18.95,21.43
2006-07-13,18.81,21.21
2006-07-14,18.45,20.86
2006-07-18,17.93,20.28
2006-07-19,17.94,20.37
2006-07-20,18.55,20.98
2006-07-21,18.44,20.81
2006-07-24,18.44,20.78
2006-07-25,18.7,21.07
2006-07-26,18.54,20.9
2006-07-27,18.81,21.28
2006-07-28,18.99,21.45
2006-07-31,19.08,21.49
2006-08-01,18.95,21.47
2006-08-02,18.96,21.5
2006-08-03,18.98,21.51
2006-08-04,19.01,21.58
2006-08-07,18.67,21.1
2006-08-08,18.98,21.54
2006-08-09,19.19,21.83
2006-08-10,19.21,21.8
2006-08-11,19.12,21.7
2006-08-14,19.4,22.1
2006-08-15,19.41,22.05
2006-08-16,19.72,22.4
2006-08-17,19.74,22.33
2006-08-18,19.85,22.45
2006-08-21,19.65,22.29
2006-08-22,19.88,22.59
2006-08-23,19.86,22.56
2006-08-24,19.62,22.28
2006-08-25,19.58,22.25
2006-08-28,19.38,22.0
2006-08-29,19.57,22.18
2006-08-30,19.53,22.16
2006-08-31,19.79,22.53
2006-09-01,19.79,22.53
2006-09-04,19.98,22.84
2006-09-05,19.97,22.88
2006-09-06,19.75,22.45
2006-09-07,19.4,22.07
2006-09-08,19.45,22.16
2006-09-11,19.15,21.77
2006-09-12,19.04,21.67
2006-09-13,19.04,21.71
2006-09-14,19.29,22.24
2006-09-15,19.22,22.17
2006-09-19,19.34,22.19
2006-09-20,19.05,21.97
2006-09-21,19.18,22.11
2006-09-22,18.98,21.82
