date,series_name,value,source_slug,source_url
2008-01-02,US - S&amp;P 500 - Forward PE Ratio,29.2297,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-03,US - S&amp;P 500 - Forward PE Ratio,29.2297,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-04,US - S&amp;P 500 - Forward PE Ratio,28.512,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-07,US - S&amp;P 500 - Forward PE Ratio,28.6039,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-08,US - S&amp;P 500 - Forward PE Ratio,28.079,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-09,US - S&amp;P 500 - Forward PE Ratio,28.4615,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-10,US - S&amp;P 500 - Forward PE Ratio,28.6877,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-11,US - S&amp;P 500 - Forward PE Ratio,28.2977,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-14,US - S&amp;P 500 - Forward PE Ratio,28.6053,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-15,US - S&amp;P 500 - Forward PE Ratio,27.8923,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-16,US - S&amp;P 500 - Forward PE Ratio,27.7358,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-17,US - S&amp;P 500 - Forward PE Ratio,26.9289,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-18,US - S&amp;P 500 - Forward PE Ratio,26.7661,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-22,US - S&amp;P 500 - Forward PE Ratio,26.4694,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-23,US - S&amp;P 500 - Forward PE Ratio,27.037,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-24,US - S&amp;P 500 - Forward PE Ratio,27.309,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-25,US - S&amp;P 500 - Forward PE Ratio,26.8756,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-28,US - S&amp;P 500 - Forward PE Ratio,27.3474,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-29,US - S&amp;P 500 - Forward PE Ratio,27.5157,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-30,US - S&amp;P 500 - Forward PE Ratio,27.3846,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-01-31,US - S&amp;P 500 - Forward PE Ratio,27.8439,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-01,US - S&amp;P 500 - Forward PE Ratio,28.1846,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-04,US - S&amp;P 500 - Forward PE Ratio,27.8897,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-05,US - S&amp;P 500 - Forward PE Ratio,26.9974,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-06,US - S&amp;P 500 - Forward PE Ratio,26.7916,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-07,US - S&amp;P 500 - Forward PE Ratio,27.0028,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-08,US - S&amp;P 500 - Forward PE Ratio,26.8893,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-11,US - S&amp;P 500 - Forward PE Ratio,27.0477,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-12,US - S&amp;P 500 - Forward PE Ratio,27.2442,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-13,US - S&amp;P 500 - Forward PE Ratio,27.6148,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-14,US - S&amp;P 500 - Forward PE Ratio,27.2442,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-15,US - S&amp;P 500 - Forward PE Ratio,27.2672,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-19,US - S&amp;P 500 - Forward PE Ratio,27.2426,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-20,US - S&amp;P 500 - Forward PE Ratio,27.4698,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-21,US - S&amp;P 500 - Forward PE Ratio,27.1163,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-22,US - S&amp;P 500 - Forward PE Ratio,27.33,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-25,US - S&amp;P 500 - Forward PE Ratio,27.7075,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-26,US - S&amp;P 500 - Forward PE Ratio,27.8992,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-27,US - S&amp;P 500 - Forward PE Ratio,27.8736,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-28,US - S&amp;P 500 - Forward PE Ratio,27.6243,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-02-29,US - S&amp;P 500 - Forward PE Ratio,26.876,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-03-03,US - S&amp;P 500 - Forward PE Ratio,26.8903,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-03-04,US - S&amp;P 500 - Forward PE Ratio,26.7976,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
