データコード,CO'TK99G1000109CFY11000,CO'TK99G2000109CFY11000
系列名称,"設備投資額（含む土地投資額）/前年比・年度/大企業/製造業/実績見込","設備投資額（含む土地投資額）/前年比・年度/大企業/非製造業/実績見込"
1983,-1.3,5.7
1984,21.5,-0.5
1985,10.7,8.1
1986,-9.4,13.3
1987,0.7,4.8
1988,31.3,13.2
1989,24.9,10.4
1990,19.6,17.6
1991,5.2,11.4
1992,-17.7,-1
1993,-17,-8.7
1994,-5.8,-8
1995,13.6,0.7
1996,8.5,1.8
1997,8.2,-4.1
1998,-12.2,-1
1999,-11.8,-11.2
2000,14.6,-1.4
2001,-6.7,-5.7
2002,-12.9,-5.9
2003,9.4,1.2
2004,22.7,0.8
2005,16.9,7
2006,15.6,9.7
2007,9.5,5.2
2008,-2.4,-3.8
2009,-30,-5.6
2010,0.5,2.1
2011,2.7,0.2
2012,5.7,4.9
2013,2.1,4.8
2014,6.7,8.8
2015,13.3,8.1
2016,6.2,-1.1
2017,7.3,4
2018,11,15.7
2019,8.3,4.8
2020,-3,-4.3
2021,7.9,4.7
2022,17.8,15.6
2023,14.5,9.8
2024,13.4,6.1
2025,12.3,10.2
