ÉfÅ[É^ÉRÅ[Éh,CO'TK99F0000607GCQ01000,CO'TK99F0000607GCQ11000,CO'TK99F1000607GCQ01000,CO'TK99F1000607GCQ11000,CO'TK99F0000608GCQ01000,CO'TK99F0000608GCQ11000,CO'TK99F1000608GCQ01000,CO'TK99F1000608GCQ11000,CO'TK99F0000201HCQ00000,CO'TK99F0000204HCQ00000
ånóÒñºèÃ,"D.I./ê∂éYê›îı/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./ê∂éYê›îı/ëÂäÈã∆/ëSéYã∆/ó\ë™","D.I./ê∂éYê›îı/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./ê∂éYê›îı/ëÂäÈã∆/êªë¢ã∆/ó\ë™","D.I./åŸópêlàı/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./åŸópêlàı/ëÂäÈã∆/ëSéYã∆/ó\ë™","D.I./åŸópêlàı/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./åŸópêlàı/ëÂäÈã∆/êªë¢ã∆/ó\ë™","îÃîÑâøäiå©í Çµ/ÇPîNå„/äÈã∆ÇÃï®âøå©í ÇµÇÃïΩãœ/ëSãKñÕ/ëSéYã∆","ï®âøëSî ÇÃå©í Çµ/ÇPîNå„/äÈã∆ÇÃï®âøå©í ÇµÇÃïΩãœ/ëSãKñÕ/ëSéYã∆"
1983/03,,,29,26,,,23,18,,
1983/06,,,25,26,17,,21,22,,
1983/09,,,21,23,16,12,19,18,,
1983/12,,,19,21,11,14,14,18,,
1984/03,,,15,17,9,9,10,12,,
1984/06,,,13,16,10,10,10,12,,
1984/09,,,9,12,9,6,8,8,,
1984/12,,,9,10,8,7,8,8,,
1985/03,,,8,9,6,6,6,7,,
1985/06,,,8,8,9,5,8,5,,
1985/09,,,9,7,8,5,8,6,,
1985/12,,,14,9,10,4,12,6,,
1986/03,,,15,13,9,8,12,11,,
1986/06,,,16,12,12,9,16,12,,
1986/09,,,17,16,14,11,19,15,,
1986/12,,,24,19,16,12,24,18,,
1987/03,,,23,22,17,15,25,23,,
1987/06,,,21,22,17,18,24,24,,
1987/09,,,17,21,14,15,18,22,,
1987/12,,,12,17,6,10,12,16,,
1988/03,,,8,11,3,5,8,10,,
1988/06,,,2,8,2,5,6,10,,
1988/09,,,1,3,-2,1,1,7,,
1988/12,,,-3,1,-9,-4,-6,2,,
1989/03,,,-3,0,-15,-9,-8,-2,,
1989/06,,,-6,1,-14,-11,-8,-3,,
1989/09,,,-6,-2,-20,-15,-16,-7,,
1989/12,,,-6,-3,-26,-20,-21,-14,,
1990/03,,,-8,-4,-31,-27,-25,-20,,
1990/06,,,-8,-6,-28,-29,-22,-22,,
1990/09,,,-11,-7,-32,-30,-27,-22,,
1990/12,-12,,-12,-7,-37,-34,-31,-27,,
1991/03,-11,-10,-10,-8,-40,-37,-33,-30,,
1991/06,-9,-9,-7,-7,-32,-36,-25,-29,,
1991/09,-7,-8,-5,-7,-31,-35,-24,-26,,
1991/12,-3,-7,-2,-5,-28,-33,-19,-24,,
1992/03,0,-3,5,-2,-24,-29,-15,-20,,
1992/06,4,-2,11,2,-12,-22,-2,-13,,
1992/09,6,2,15,6,-3,-14,6,-3,,
1992/12,12,5,20,12,5,-6,15,3,,
1993/03,14,10,24,18,11,2,21,11,,
1993/06,14,11,23,20,16,10,25,20,,
1993/09,16,11,25,19,19,10,27,18,,
1993/12,20,13,31,22,26,15,36,23,,
1994/03,22,19,32,29,29,22,39,32,,
1994/06,21,20,31,31,28,26,38,36,,
1994/09,18,17,28,26,27,22,34,31,,
1994/12,17,15,25,23,26,21,33,29,,
1995/03,15,16,23,23,24,22,30,29,,
1995/06,12,12,19,19,24,20,30,27,,
1995/09,13,12,20,18,25,20,30,28,,
1995/12,13,13,20,21,24,21,30,28,,
1996/03,10,11,17,18,23,21,29,28,,
1996/06,11,11,18,17,22,21,27,28,,
1996/09,10,10,17,16,20,17,26,23,,
1996/12,9,9,14,15,17,14,22,20,,
1997/03,6,9,11,13,11,14,15,20,,
1997/06,5,6,9,11,11,10,13,16,,
1997/09,4,4,6,8,10,8,13,12,,
1997/12,6,4,10,8,12,9,15,12,,
1998/03,11,6,16,10,14,10,21,13,,
1998/06,13,11,20,17,21,16,29,22,,
1998/09,16,12,25,18,25,19,33,25,,
1998/12,19,16,28,24,29,23,38,32,,
1999/03,19,17,29,27,32,26,41,37,,
1999/06,19,16,30,25,32,27,41,36,,
1999/09,18,16,29,25,30,25,36,33,,
1999/12,18,16,28,26,29,25,36,32,,
2000/03,15,16,24,25,28,25,34,31,,
2000/06,13,13,20,20,25,23,30,29,,
2000/09,10,11,16,17,21,19,26,25,,
2000/12,11,9,17,14,20,17,25,22,,
2001/03,13,10,19,16,19,16,25,21,,
2001/06,14,11,23,17,21,17,26,22,,
2001/09,18,13,28,21,24,16,32,23,,
2001/12,20,15,31,25,28,21,38,30,,
2002/03,21,18,33,28,27,22,36,31,,
2002/06,18,17,26,27,24,22,28,29,,
2002/09,17,14,25,22,22,19,27,24,,
2002/12,16,16,23,24,22,19,26,26,,
2003/03,14,14,20,21,20,18,25,24,,
2003/06,13,12,19,18,19,19,22,23,,
2003/09,13,11,17,17,17,16,20,20,,
2003/12,11,11,14,15,16,16,18,19,,
2004/03,6,9,11,12,8,13,13,16,,
2004/06,5,5,5,8,6,7,10,11,,
2004/09,4,3,5,5,4,4,7,8,,
2004/12,3,4,5,7,3,3,6,6,,
2005/03,3,2,4,5,1,0,6,4,,
2005/06,2,2,3,4,0,0,4,4,,
2005/09,1,1,3,3,-1,-1,3,2,,
2005/12,0,1,2,4,-2,-4,2,-1,,
2006/03,0,1,-1,3,-6,-5,-1,-2,,
2006/06,-2,-1,-1,0,-7,-6,-2,-3,,
2006/09,-1,-1,-2,0,-8,-10,-2,-6,,
2006/12,-2,-1,-3,-1,-11,-11,-5,-6,,
2007/03,-1,-2,0,-1,-13,-13,-7,-7,,
2007/06,-2,-2,-3,-2,-11,-14,-6,-8,,
2007/09,-2,-3,-2,-3,-12,-14,-7,-9,,
2007/12,-2,-3,-2,-1,-13,-14,-7,-8,,
