公表日,時間,結果,予想,前回
2010/8,,24.8,,
2010/9,,24.5,,
2010/10,,24.4,,
2010/11,,24.9,,
2010/12,,24.5,,
2011/1,,,,
2011/2,,24.9,,
2011/3,,25,,
2011/4,,25.4,,
2011/5,,25.8,,
2011/6,,25.6,,
2011/7,,25.4,,
2011/8,,25,,
2011/9,,24.9,,
2011/10,,24.9,,
2011/11,,24.5,,
2011/12,,23.8,,
2012/1,,,,
2012/2,,21.5,,
2012/3,,20.9,,
2012/4,,20.2,,
2012/5,,20.1,,
2012/6,,20.4,,
2012/7,,20.4,,
2012/8,,20.2,,
2012/9,,20.5,,
2012/10,,20.7,,
2012/11,,20.7,,
2012/12,,20.6,,
2013/1,,,,
2013/2,,21.2,,
2013/3,,20.9,,
2013/4,,20.6,,
2013/5,,20.4,,
2013/6,,20.1,,
2013/7,,20.1,,
2013/8,,20.3,,
2013/9,,20.2,,
2013/10,,20.1,,
2013/11,,19.9,,
2013/12,,19.6,,
2014/1,,,,
2014/2,,17.9,,
2014/3,,17.6,,
2014/4,,17.3,,
2014/5,,17.2,,
2014/6,,17.3,,
2014/7,,17,,
2014/8,,16.5,,
2014/9,,16.1,,
2014/10,,15.9,,
2014/11,,15.8,,
2014/12,,15.7,,
2015/1,,,,
2015/2,,13.9,,
2015/3,,13.5,,
2015/4,,12,,
2015/5,,11.4,,
2015/6,,11.4,,
2015/7,,11.2,,
2015/8,,10.9,,
2015/9,,10.3,,
2015/10,,10.2,,
2015/11,,10.2,,
2015/12,,10,,
2016/1,,,,
2016/2,,10.2,,
2016/3,,10.7,,
2016/4,,10.5,,
2016/5,,9.6,,
2016/6,,9,,
2016/7,,8.1,,
2016/8,,6.1,,
2016/9,,8.2,,
2016/10,,8.3,,
2016/11,,8.3,,
2016/12,,8.1,,
2017/1,,,,
2017/2,,8.9,,
2017/3,,9.2,,
2017/4,,8.9,,
2017/5,,8.6,,
2017/6,,8.6,,
2017/7,,8.3,,
2017/8,,7.8,,
2017/9,,7.5,,
2017/10,,7.3,,
2017/11,,7.2,,
2017/12,,7.2,,
2018/1,,,,
2018/2,,7.9,,
2018/3,,7.5,,
2018/4,,7,,
2018/5,,6.1,,
2018/6,,6,,
2018/7,,5.5,,
2018/8,,5.3,,
2018/9,,5.4,,
2018/10,,5.7,,
2018/11,,5.9,,
2018/12,,5.9,,
2019/1,,,,
2019/2,,6.1,,
2019/3,,6.3,,
2019/4,,6.1,,
2019/5,,5.6,,
2019/6,,5.8,,
2019/7,,5.7,,
2019/8,,5.5,,
2019/9,,5.4,,
2019/10,,5.2,,
2019/11,,5.2,,
2019/12,,5.4,,
2020/1,,,,
2020/2,,-24.5,,
2020/3,,-16.1,,
2020/4,,-10.3,,
2020/5,,-6.3,,
2020/6,,-3.1,,
2020/7,,-1.6,,
2020/8,,-0.3,,
2020/9,,0.8,,
2020/10,,1.8,,
2020/11,,2.6,,
2020/12,,2.9,,
2021/1,,,,
2021/2,,35,,
2021/3,,25.6,,
2021/4,,19.9,,
2021/5,,15.4,,
2021/6,,12.6,,
2021/7,,10.3,,
2021/8,,8.9,,
2021/9,,7.3,,
2021/10,,6.1,,
2021/11,,5.2,,
2021/12,,4.9,,
2022/1,,,,
2022/2,,12.2,,
2022/3,,9.3,,
2022/4,,6.8,,
2022/5,,6.2,,
2022/6,,6.1,,
2022/7,,5.7,,
2022/8,,5.8,,
2022/9,,5.9,,
2022/10,,5.8,,
2022/11,,5.3,,
2022/12,,5.1,,
2023/1,,,,
2023/2,,5.5,,
2023/3,,5.1,,
2023/4,,4.7,,
2023/5,,4,,
2023/6,,3.8,,
2023/7,,3.4,,
2023/8,,3.2,,
2023/9,,3.1,,
2023/10,,2.9,,
2023/11,,2.9,,
2023/12,,3,,
2024/1,,,,
2024/2,,4.2,,
2024/3,,4.5,,
2024/4,,4.2,,
2024/5,,4,,
2024/6,,3.9,,
2024/7,,3.6,,
2024/8,,3.4,,
2024/9,,3.4,,
2024/10,,3.4,,
2024/11,,3.3,,
2024/12,,3.2,,
2025/1,,,,
2025/2,,4.1,,
2025/3,,4.2,,
2025/4,,4,,
2025/5,,3.7,,
2025/6,,2.8,,
2025/7,,1.6,,
2025/8,,0.5,,
2025/9,,-0.5,,
2025/10,,-1.7,,
2025/11,,-2.6,,
2025/12,,-3.8,,
2026/1,,,,
2026/2,,1.8,,
2026/3,,1.7,,
