Database：Monthly 
Time： 
Indicators	,May 2026	,Apr 2026	,Mar 2026	,Feb 2026	,Jan 2026	,Dec 2025	,Nov 2025	,Oct 2025	,Sep 2025	,Aug 2025	,Jul 2025	,Jun 2025	,May 2025	,
The Urban Surveyed Unemployment Rate (%) 	,5.1	,5.2	,5.4	,5.3	,5.2	,5.1	,5.1	,5.1	,5.2	,5.3	,5.2	,5.0	,5.0	,
The Urban Surveyed Unemployment Rate in 31 Major Cities (%)	,5.1	,5.2	,5.3	,5.1	,5.0	,5.1	,5.1	,5.1	,5.2	,5.3	,5.2	,5.0	,5.0	,
The Urban Surveyed Unemployment Rate of Population with Local Household Registration (%) 	,5.2	,5.3	,5.4	,5.4	,5.3	,5.3	,5.3	,5.3	,5.3	,5.4	,5.3	,5.1	,5.0	,
The Urban Surveyed Unemployment Rate of Population with Non-local Household Registration (%) 	,4.9	,5.0	,5.3	,5.0	,4.8	,4.7	,4.7	,4.7	,4.9	,5.0	,5.1	,4.8	,5.0	,
The Urban Surveyed Unemployment Rate of the Population Aged from 16 to 24(%)	,15.6	,16.3	,16.9	,16.1	,16.3	,16.5	,16.9	,17.3	,17.7	,18.9	,17.8	,14.5	,14.9	,
The Urban Surveyed Unemployment Rate of the Population Aged from 25 to 29 (%)	,7.2	,7.4	,7.7	,7.2	,6.8	,6.9	,7.2	,7.2	,7.2	,7.2	,6.9	,6.7	,7.0	,
The Urban Surveyed Unemployment Rate of the Population Aged from 30 to 59 (%)	,4.1	,4.2	,4.3	,4.2	,4.0	,3.9	,3.8	,3.8	,3.9	,3.9	,3.9	,4.0	,3.9	,
Average Weekly Working Hours of Urban Employess in Enterprises (hour) 	,48.2	,48.0	,48.1	,48.1	,48.3	,48.6	,48.6	,48.4	,48.6	,48.5	,48.5	,48.5	,48.5	,
Note：1. The age-group breakdown of the unemployment rate has been revised since December 2023. Historical data prior to this revision included students.
Data Sources：National Bureau of Statistics
