公表日,結果
2016/1,50.9
2016/2,50
2016/3,50.5
2016/4,50.1
2016/5,50
2016/6,50.4
2016/7,51
2016/8,50.8
2016/9,51
2016/10,52
2016/11,52.1
2016/12,52.7
2017/1,52.7
2017/2,52.9
2017/3,53
2017/4,52.7
2017/5,51.4
2017/6,52.6
2017/7,52.7
2017/8,53.1
2017/9,53.3
2017/10,53.5
2017/11,54.1
2017/12,54.5
2018/1,54.4
2018/2,54.1
2018/3,53.3
2018/4,53.5
2018/5,53.1
2018/6,53
2018/7,52.7
2018/8,52.5
2018/9,52.2
2018/10,52.1
2018/11,52
2018/12,51.5
2019/1,50.7
2019/2,50.6
2019/3,50.6
2019/4,50.3
2019/5,49.8
2019/6,49.4
2019/7,49.3
2019/8,49.5
2019/9,48.8
2019/10,49.8
2019/11,50.3
2019/12,50.1
2020/1,50.4
2020/2,47.2
2020/3,46.2
2020/4,39.6
2020/5,42.4
2020/6,47.9
2020/7,50.3
2020/8,51.8
2020/9,52.3
2020/10,53
2020/11,53.7
2020/12,53.8
2021/1,53.5
2021/2,53.9
2021/3,55
2021/4,55.8
2021/5,56
2021/6,55.5
2021/7,55.4
2021/8,54.1
2021/9,54.1
2021/10,54.3
2021/11,54.2
2021/12,54.2
2022/1,53.2
2022/2,53.6
2022/3,53
2022/4,52.2
2022/5,52.4
2022/6,52.2
2022/7,51.1
2022/8,50.3
2022/9,49.8
2022/10,49.4
2022/11,48.8
2022/12,48.6
2023/1,49.1
2023/2,50
2023/3,49.6
2023/4,49.6
2023/5,49.6
2023/6,48.8
2023/7,48.7
2023/8,49
2023/9,49.1
2023/10,48.8
2023/11,49.3
2023/12,49
2024/1,50
2024/2,50.3
2024/3,50.6
2024/4,50.3
2024/5,50.9
2024/6,50.9
2024/7,49.7
2024/8,49.5
2024/9,48.8
2024/10,49.4
2024/11,50
2024/12,49.6
2025/1,50.1
2025/2,50.6
2025/3,50.3
2025/4,49.8
2025/5,49.6
2025/6,50.3
2025/7,49.7
2025/8,50.9
2025/9,50.8
2025/10,50.8
2025/11,50.5
2025/12,50.4
2026/1,50.9
2026/2,51.9
2026/3,51.3
2026/4,52.6
