公表日,時間,結果,予想,前回
2008/9,,-16,,
2008/10,,-14,,
2008/11,,-25,,
2008/12,,-42,,
2009/1,,-64,,
2009/2,,-76,,
2009/3,,-74,,
2009/4,,-78,,
2009/5,,-76,,
2009/6,,-69,,
2009/7,,-50,,
2009/8,,-43,,
2009/9,,-42,,
2009/10,,-33,,
2009/11,,-35,,
2009/12,,-28,,
2010/1,,-27,,
2010/2,,-19,,
2010/3,,-13,,
2010/4,,-8,,
2010/5,,0,,
2010/6,,4,,
2010/7,,9,,
2010/8,,12,,
2010/9,,22,,
2010/10,,17,,
2010/11,,19,,
2010/12,,16,,
2011/1,,7,,
2011/2,,11,,
2011/3,,14,,
2011/4,,15,,
2011/5,,-13,,
2011/6,,-9,,
2011/7,,-3,,
2011/8,,1,,
2011/9,,6,,
2011/10,,8,,
2011/11,,6,,
2011/12,,1,,
2012/1,,-5,,
2012/2,,-5,,
2012/3,,-11,,
2012/4,,2,,
2012/5,,1,,
2012/6,,2,,
2012/7,,-3,,
2012/8,,-2,,
2012/9,,-4,,
2012/10,,-5,,
2012/11,,-17,,
2012/12,,-19,,
2013/1,,-18,,
2013/2,,-17,,
2013/3,,-13,,
2013/4,,-11,,
2013/5,,-4,,
2013/6,,7,,
2013/7,,15,,
2013/8,,13,,
2013/9,,16,,
2013/10,,12,,
2013/11,,12,,
2013/12,,14,,
2014/1,,17,,
2014/2,,19,,
2014/3,,18,,
2014/4,,18,,
2014/5,,25,,
2014/6,,19,,
2014/7,,19,,
2014/8,,19,,
2014/9,,10,,
2014/10,,8,,
2014/11,,13,,
2014/12,,10,,
2015/1,,9,,
2015/2,,11,,
2015/3,,16,,
2015/4,,12,,
2015/5,,13,,
2015/6,,14,,
2015/7,,14,,
2015/8,,17,,
2015/9,,9,,
2015/10,,7,,
2015/11,,3,,
2015/12,,9,,
2016/1,,6,,
2016/2,,7,,
2016/3,,6,,
2016/4,,10,,
2016/5,,2,,
2016/6,,3,,
2016/7,,3,,
2016/8,,1,,
2016/9,,5,,
2016/10,,10,,
2016/11,,14,,
2016/12,,16,,
2017/1,,18,,
2017/2,,20,,
2017/3,,25,,
2017/4,,26,,
2017/5,,24,,
2017/6,,26,,
2017/7,,26,,
2017/8,,27,,
2017/9,,25,,
2017/10,,31,,
2017/11,,27,,
2017/12,,27,,
2018/1,,35,,
2018/2,,29,,
2018/3,,28,,
2018/4,,21,,
2018/5,,22,,
2018/6,,26,,
2018/7,,25,,
2018/8,,30,,
2018/9,,26,,
2018/10,,28,,
2018/11,,26,,
2018/12,,23,,
2019/1,,18,,
2019/2,,13,,
2019/3,,10,,
2019/4,,8,,
2019/5,,12,,
2019/6,,6,,
2019/7,,3,,
2019/8,,-4,,
2019/9,,-7,,
2019/10,,-5,,
2019/11,,-9,,
2019/12,,-6,,
2020/1,,-6,,
2020/2,,-5,,
2020/3,,-20,,
2020/4,,-30,,
2020/5,,-44,,
2020/6,,-46,,
2020/7,,-44,,
2020/8,,-33,,
2020/9,,-29,,
2020/10,,-26,,
2020/11,,-13,,
2020/12,,-9,,
2021/1,,-1,,
2021/2,,3,,
2021/3,,6,,
2021/4,,13,,
2021/5,,21,,
2021/6,,22,,
2021/7,,25,,
2021/8,,33,,
2021/9,,18,,
2021/10,,16,,
2021/11,,13,,
2021/12,,22,,
2022/1,,17,,
2022/2,,6,,
2022/3,,8,,
2022/4,,11,,
2022/5,,5,,
2022/6,,9,,
2022/7,,9,,
2022/8,,13,,
2022/9,,10,,
2022/10,,5,,
2022/11,,2,,
2022/12,,8,,
2023/1,,-6,,
2023/2,,-5,,
2023/3,,-3,,
2023/4,,-3,,
2023/5,,6,,
2023/6,,8,,
2023/7,,3,,
2023/8,,12,,
2023/9,,4,,
2023/10,,4,,
2023/11,,6,,
2023/12,,12,,
2024/1,,6,,
2024/2,,-1,,
2024/3,,10,,
2024/4,,9,,
2024/5,,9,,
2024/6,,6,,
2024/7,,11,,
2024/8,,10,,
2024/9,,4,,
2024/10,,7,,
2024/11,,5,,
2024/12,,-1,,
2025/1,,2,,
2025/2,,3,,
2025/3,,-1,,
2025/4,,9,,
2025/5,,8,,
2025/6,,6,,
2025/7,,7,,
2025/8,,9,,
2025/9,,13,,
2025/10,,8,,
2025/11,,17,,
2025/12,,10,,
2026/1,,7,,
2026/2,,13,,
2026/3,,18,,
2026/4,,7,,
2026/5,,8,,
