公表日,時間,結果,予想,前回
2008/9,,-10,,
2008/10,,-9,,
2008/11,,-16,,
2008/12,,-26,,
2009/1,,-31,,
2009/2,,-39,,
2009/3,,-37,,
2009/4,,-38,,
2009/5,,-44,,
2009/6,,-31,,
2009/7,,-38,,
2009/8,,-38,,
2009/9,,-34,,
2009/10,,-33,,
2009/11,,-35,,
2009/12,,-39,,
2010/1,,-34,,
2010/2,,-31,,
2010/3,,-22,,
2010/4,,-14,,
2010/5,,-15,,
2010/6,,-8,,
2010/7,,-12,,
2010/8,,-10,,
2010/9,,-4,,
2010/10,,-6,,
2010/11,,-13,,
2010/12,,-12,,
2011/1,,-2,,
2011/2,,3,,
2011/3,,3,,
2011/4,,-15,,
2011/5,,-4,,
2011/6,,-10,,
2011/7,,3,,
2011/8,,7,,
2011/9,,3,,
2011/10,,1,,
2011/11,,3,,
2011/12,,6,,
2012/1,,6,,
2012/2,,5,,
2012/3,,5,,
2012/4,,10,,
2012/5,,11,,
2012/6,,11,,
2012/7,,8,,
2012/8,,8,,
2012/9,,7,,
2012/10,,7,,
2012/11,,1,,
2012/12,,5,,
2013/1,,10,,
2013/2,,8,,
2013/3,,12,,
2013/4,,12,,
2013/5,,19,,
2013/6,,20,,
2013/7,,18,,
2013/8,,23,,
2013/9,,20,,
2013/10,,18,,
2013/11,,22,,
2013/12,,25,,
2014/1,,27,,
2014/2,,30,,
2014/3,,31,,
2014/4,,35,,
2014/5,,21,,
2014/6,,29,,
2014/7,,23,,
2014/8,,19,,
2014/9,,22,,
2014/10,,20,,
2014/11,,18,,
2014/12,,23,,
2015/1,,20,,
2015/2,,22,,
2015/3,,21,,
2015/4,,25,,
2015/5,,33,,
2015/6,,36,,
2015/7,,24,,
2015/8,,27,,
2015/9,,23,,
2015/10,,27,,
2015/11,,22,,
2015/12,,18,,
2016/1,,27,,
2016/2,,21,,
2016/3,,24,,
2016/4,,23,,
2016/5,,19,,
2016/6,,17,,
2016/7,,15,,
2016/8,,18,,
2016/9,,14,,
2016/10,,9,,
2016/11,,15,,
2016/12,,19,,
2017/1,,30,,
2017/2,,26,,
2017/3,,26,,
2017/4,,28,,
2017/5,,30,,
2017/6,,33,,
2017/7,,33,,
2017/8,,29,,
2017/9,,34,,
2017/10,,30,,
2017/11,,31,,
2017/12,,34,,
2018/1,,33,,
2018/2,,33,,
2018/3,,35,,
2018/4,,36,,
2018/5,,39,,
2018/6,,35,,
2018/7,,34,,
2018/8,,25,,
2018/9,,33,,
2018/10,,24,,
2018/11,,30,,
2018/12,,31,,
2019/1,,31,,
2019/2,,22,,
2019/3,,22,,
2019/4,,24,,
2019/5,,27,,
2019/6,,22,,
2019/7,,25,,
2019/8,,13,,
2019/9,,19,,
2019/10,,25,,
2019/11,,12,,
2019/12,,14,,
2020/1,,14,,
2020/2,,15,,
2020/3,,-10,,
2020/4,,-23,,
2020/5,,-36,,
2020/6,,-32,,
2020/7,,-26,,
2020/8,,-23,,
2020/9,,-18,,
2020/10,,-16,,
2020/11,,-13,,
2020/12,,-4,,
2021/1,,-11,,
2021/2,,-7,,
2021/3,,-5,,
2021/4,,-3,,
2021/5,,2,,
2021/6,,0,,
2021/7,,-3,,
2021/8,,5,,
2021/9,,-2,,
2021/10,,-1,,
2021/11,,1,,
2021/12,,6,,
2022/1,,8,,
2022/2,,3,,
2022/3,,-1,,
2022/4,,8,,
2022/5,,13,,
2022/6,,13,,
2022/7,,14,,
2022/8,,19,,
2022/9,,11,,
2022/10,,15,,
2022/11,,20,,
2022/12,,25,,
2023/1,,20,,
2023/2,,17,,
2023/3,,21,,
2023/4,,24,,
2023/5,,25,,
2023/6,,24,,
2023/7,,23,,
2023/8,,32,,
2023/9,,23,,
2023/10,,24,,
2023/11,,27,,
2023/12,,26,,
2024/1,,29,,
2024/2,,26,,
2024/3,,32,,
2024/4,,25,,
2024/5,,26,,
2024/6,,31,,
2024/7,,26,,
2024/8,,44.6,,
2024/9,,23,,
2024/10,,20,,
2024/11,,19,,
2024/12,,30,,
2025/1,,31,,
2025/2,,30,,
2025/3,,25,,
2025/4,,30,,
2025/5,,30,,
2025/6,,30,,
2025/7,,30,,
2025/8,,24,,
2025/9,,27,,
2025/10,,27,,
2025/11,,27,,
2025/12,,33,,
2026/1,,32,,
2026/2,,25,,
2026/3,,25,,
2026/4,,31,,
2026/5,,29,,
2026/6,,32,,
