time,open,high,low,close
1979-12-24,1.2974,1.2974,1.2974,1.2974
1979-12-27,1.30009997,1.30009997,1.30009997,1.30009997
1979-12-28,1.29709995,1.29709995,1.29709995,1.29709995
1979-12-31,1.29299998,1.29299998,1.29299998,1.29299998
1980-01-02,1.29229999,1.29229999,1.29229999,1.29229999
1980-01-03,1.29900002,1.29900002,1.29900002,1.29900002
1980-01-04,1.2974,1.2974,1.2974,1.2974
1980-01-07,1.30250001,1.30250001,1.30250001,1.30250001
1980-01-08,1.30209994,1.30209994,1.30209994,1.30209994
1980-01-09,1.30139995,1.30139995,1.30139995,1.30139995
1980-01-10,1.29639995,1.29639995,1.29639995,1.29639995
1980-01-11,1.29499996,1.29499996,1.29499996,1.29499996
1980-01-14,1.29659998,1.29659998,1.29659998,1.29659998
1980-01-15,1.29700005,1.29700005,1.29700005,1.29700005
1980-01-16,1.29419994,1.29419994,1.29419994,1.29419994
1980-01-17,1.28970003,1.28970003,1.28970003,1.28970003
1980-01-18,1.29009998,1.29009998,1.29009998,1.29009998
1980-01-21,1.28859997,1.28859997,1.28859997,1.28859997
1980-01-22,1.28600001,1.28600001,1.28600001,1.28600001
1980-01-23,1.29079998,1.29079998,1.29079998,1.29079998
1980-01-24,1.28390002,1.28390002,1.28390002,1.28390002
1980-01-25,1.28760004,1.28760004,1.28760004,1.28760004
1980-01-28,1.28929996,1.28929996,1.28929996,1.28929996
1980-01-29,1.28760004,1.28760004,1.28760004,1.28760004
1980-01-30,1.28530002,1.28530002,1.28530002,1.28530002
1980-01-31,1.28260005,1.28260005,1.28260005,1.28260005
1980-02-01,1.27849996,1.27849996,1.27849996,1.27849996
1980-02-04,1.28269994,1.28269994,1.28269994,1.28269994
1980-02-05,1.28699994,1.28699994,1.28699994,1.28699994
1980-02-06,1.28559995,1.28559995,1.28559995,1.28559995
1980-02-07,1.28530002,1.28530002,1.28530002,1.28530002
1980-02-08,1.28380001,1.28380001,1.28380001,1.28380001
1980-02-11,1.28369999,1.28369999,1.28369999,1.28369999
1980-02-13,1.2859,1.2859,1.2859,1.2859
1980-02-14,1.28299999,1.28299999,1.28299999,1.28299999
1980-02-15,1.2902,1.2902,1.2902,1.2902
1980-02-19,1.2802,1.2802,1.2802,1.2802
1980-02-20,1.27509999,1.27509999,1.27509999,1.27509999
1980-02-21,1.2701,1.2701,1.2701,1.2701
1980-02-22,1.26950002,1.26950002,1.26950002,1.26950002
1980-02-25,1.26660001,1.26660001,1.26660001,1.26660001
1980-02-26,1.26470006,1.26470006,1.26470006,1.26470006
1980-02-27,1.25989997,1.25989997,1.25989997,1.25989997
1980-02-28,1.26049995,1.26049995,1.26049995,1.26049995
1980-02-29,1.25600004,1.25600004,1.25600004,1.25600004
1980-03-03,1.25399995,1.25399995,1.25399995,1.25399995
1980-03-04,1.2658,1.2658,1.2658,1.2658
1980-03-05,1.25960004,1.25960004,1.25960004,1.25960004
1980-03-06,1.26320004,1.26320004,1.26320004,1.26320004
1980-03-07,1.26839995,1.26839995,1.26839995,1.26839995
1980-03-10,1.2737,1.2737,1.2737,1.2737
1980-03-11,1.27719998,1.27719998,1.27719998,1.27719998
1980-03-12,1.27909994,1.27909994,1.27909994,1.27909994
1980-03-13,1.27970004,1.27970004,1.27970004,1.27970004
1980-03-14,1.28929996,1.28929996,1.28929996,1.28929996
1980-03-17,1.29079998,1.29079998,1.29079998,1.29079998
1980-03-18,1.28380001,1.28380001,1.28380001,1.28380001
1980-03-19,1.27900004,1.27900004,1.27900004,1.27900004
1980-03-20,1.28240001,1.28240001,1.28240001,1.28240001
1980-03-21,1.28579998,1.28579998,1.28579998,1.28579998
1980-03-24,1.2888,1.2888,1.2888,1.2888
1980-03-25,1.29639995,1.29639995,1.29639995,1.29639995
1980-03-26,1.29170001,1.29170001,1.29170001,1.29170001
1980-03-27,1.29279995,1.29279995,1.29279995,1.29279995
