time,open,high,low,close
1979-12-03,1.2974,1.30009997,1.29299998,1.29299998
1980-01-01,1.29229999,1.30250001,1.28260005,1.28260005
1980-02-01,1.27849996,1.2902,1.25600004,1.25600004
1980-03-03,1.25399995,1.29639995,1.25399995,1.2888
1980-04-01,1.29079998,1.32710004,1.26810002,1.32410002
1980-05-01,1.32529998,1.33249998,1.31630003,1.32809997
1980-06-02,1.32679999,1.33229995,1.32389998,1.33099997
1980-07-01,1.33019996,1.34809995,1.3233,1.33819997
1980-08-01,1.33340001,1.34930003,1.33340001,1.34930003
1980-09-01,1.3527,1.37329996,1.3527,1.3707
1980-10-01,1.3757,1.38199997,1.36969995,1.37829995
1980-11-03,1.38129997,1.3901,1.38129997,1.38520002
1980-12-01,1.38699996,1.4109,1.38699996,1.4109
1981-01-01,1.41030002,1.41240001,1.39540005,1.39540005
1981-02-02,1.39479995,1.39769995,1.38610005,1.38610005
1981-03-02,1.38499999,1.39219999,1.37870002,1.38619995
1981-04-01,1.37880003,1.37880003,1.36670005,1.37619996
1981-05-01,1.37249994,1.37370002,1.36380005,1.37170005
1981-06-01,1.37580001,1.38610005,1.35720003,1.37979996
1981-07-01,1.38069999,1.40110004,1.37650001,1.40110004
1981-08-03,1.40100002,1.4073,1.38110006,1.38110006
1981-09-01,1.37909997,1.39139998,1.3721,1.37940001
1981-10-01,1.37849998,1.38499999,1.36679995,1.36679995
1981-11-02,1.37,1.37150002,1.35010004,1.3563
1981-12-01,1.35329998,1.35529995,1.33309996,1.33770001
1982-01-01,1.33969998,1.34140003,1.31659997,1.31659997
1982-02-01,1.31659997,1.32449996,1.31110001,1.31930006
1982-03-01,1.31369996,1.31369996,1.28550005,1.29130006
1982-04-01,1.29050004,1.29760003,1.27900004,1.29460001
1982-05-03,1.29960001,1.32019997,1.29820001,1.30659997
1982-06-01,1.30659997,1.33060002,1.30229998,1.32149994
1982-07-01,1.3118,1.33299994,1.24179995,1.24179995
1982-08-02,1.24559999,1.24689996,1.19480002,1.19480002
1982-09-01,1.19589996,1.20039999,1.17130005,1.17390001
1982-10-01,1.17180002,1.17299998,1.14670002,1.14740002
1982-11-01,1.14590001,1.18519998,1.14129996,1.18519998
1982-12-01,1.18850005,1.21780002,1.18659997,1.20510006
1983-01-03,1.21029997,1.2148,1.19679999,1.19679999
1983-02-01,1.19550002,1.19550002,1.17309999,1.17309999
1983-03-01,1.16589999,1.16589999,1.04519999,1.06649995
1983-04-01,1.07099998,1.07599998,1.0632,1.0632
1983-05-02,1.06229997,1.08870006,1.06229997,1.08379996
1983-06-01,1.08350003,1.08630002,1.07449996,1.07449996
1983-07-01,1.07509995,1.0862,1.07379997,1.08599997
1983-08-01,1.08500004,1.09319997,1.07819998,1.08369994
1983-09-01,1.08140004,1.10720003,1.07869995,1.10549998
1983-10-03,1.10669994,1.13469994,1.10669994,1.12600005
1983-11-01,1.12639999,1.13940001,1.12450004,1.13349998
1983-12-01,1.15320003,1.15320003,1.09580004,1.11570001
1984-01-02,1.11839998,1.14590001,1.11839998,1.14590001
1984-02-01,1.14880002,1.18210006,1.14750004,1.18120003
1984-03-01,1.18180001,1.2299,1.18089998,1.1961
1984-04-02,1.19550002,1.20350003,1.16840005,1.18050003
1984-05-01,1.19159997,1.20249999,1.15840006,1.1638
1984-06-01,1.16890001,1.171,1.12039995,1.13709998
1984-07-02,1.13,1.13680005,1.08399999,1.08399999
1984-08-01,1.08840001,1.11399996,1.08840001,1.10119998
1984-09-03,1.09089994,1.09990001,1.07869995,1.09290004
1984-10-01,1.09590006,1.11800003,1.09370005,1.11800003
1984-11-01,1.12310004,1.13810003,1.12310004,1.13510001
1984-12-03,1.13189995,1.13189995,1.09039998,1.09039998
1985-01-01,1.07990003,1.0862,1.06289995,1.08010006
1985-02-01,1.07319999,1.07319999,0.9199,0.98229998
1985-03-01,0.98379999,0.98379999,0.954,0.95730001
1985-04-01,0.92610002,0.92690003,0.85680002,0.88099998
1985-05-01,0.88419998,0.95950001,0.88419998,0.91159999
1985-06-03,0.90649998,0.91820002,0.90259999,0.90859997
1985-07-01,0.90649998,0.97839999,0.90439999,0.97839999
1985-08-01,0.96950001,0.97189999,0.94480002,0.95819998
1985-09-02,0.94150001,0.97780001,0.9152,0.96240002
1985-10-01,0.97460002,0.97460002,0.95020002,0.95539999
1985-11-01,0.95349997,0.95349997,0.91039997,0.94929999
1985-12-02,0.9393,0.95550001,0.9393,0.95349997
1986-01-01,0.95550001,1.01639998,0.95550001,1.01569998
1986-02-03,1.00940001,1.00940001,0.958,0.99339998
1986-03-03,0.99169999,1.01090002,0.97710001,0.99430001
1986-04-01,1.005,1.02069998,0.99119997,1.01769996
1986-05-01,1.01259995,1.02939999,0.9756,0.99010003
1986-06-02,0.98259997,0.98259997,0.9267,0.92879999
1986-07-01,0.90219998,0.90219998,0.8222,0.8222
1986-08-01,0.83660001,0.87599999,0.82920003,0.84399998
1986-09-01,0.84420002,0.87690002,0.84240001,0.87099999
1986-10-01,0.8743,0.89630002,0.87370002,0.89029998
1986-11-03,0.88870001,0.89899999,0.88590002,0.89749998
1986-12-01,0.89709997,0.92830002,0.89579999,0.9188
1987-01-01,0.91900003,0.92049998,0.8761,0.88319999
1987-02-02,0.88,0.89950001,0.88,0.89950001
1987-03-02,0.90560001,0.92070001,0.89490002,0.92070001
1987-04-01,0.92330003,0.9562,0.91869998,0.94169998
1987-05-01,0.94209999,0.9734,0.94209999,0.95389998
1987-06-01,0.9576,0.96579999,0.9533,0.95899999
1987-07-01,0.95889997,0.95889997,0.92580003,0.92580003
1987-08-03,0.92449999,0.95349997,0.92449999,0.9425
1987-09-01,0.94389999,0.96850002,0.92879999,0.92879999
1987-10-01,0.92930001,0.9461,0.8822,0.88279998
1987-11-02,0.88489997,0.92210001,0.8836,0.92210001
1987-12-01,0.9228,0.94209999,0.91289997,0.93760002
1988-01-01,0.935,0.935,0.90039998,0.90039998
1988-02-01,0.90460002,0.91549999,0.89300001,0.90380001
1988-03-01,0.90719998,0.92299998,0.90700001,0.91579998
1988-04-01,0.9152,0.93260002,0.9152,0.93180001
1988-05-02,0.93760002,0.99879998,0.93760002,0.9932
1988-06-01,0.9993,0.9993,0.95950001,0.96579999
1988-07-01,0.96160001,0.97820002,0.94410002,0.96950001
1988-08-01,0.97180003,1.00929999,0.96520001,0.99299997
1988-09-01,0.9806,0.99620003,0.9454,0.95160002
1988-10-03,0.94849998,1.00590003,0.94849998,1.00590003
1988-11-01,1.00750005,1.05700004,1.00750005,1.04050004
1988-12-01,1.03359997,1.04830003,1.00699997,1.01670003
1989-01-02,1.03400004,1.04990005,1.02499998,1.04990005
1989-02-01,1.05900002,1.05900002,0.95810002,0.96030003
1989-03-01,0.95609999,0.98500001,0.95609999,0.97600001
1989-04-03,0.98070002,0.98070002,0.93879998,0.93879998
1989-05-01,0.9382,0.94679999,0.89050001,0.90759999
1989-06-01,0.91240001,0.92519999,0.88739997,0.90499997
1989-07-03,0.91500002,0.92189997,0.88529998,0.89539999
1989-08-01,0.89719999,0.90249997,0.8908,0.89990002
1989-09-01,0.89660001,0.93269998,0.89560002,0.91289997
1989-10-02,0.912,0.9199,0.89789999,0.91579998
1989-11-01,0.91399997,0.92250001,0.90649998,0.91210002
1989-12-01,0.9084,0.9242,0.90609998,0.91329998
1990-01-01,0.90969998,0.93970001,0.90319997,0.91570002
1990-02-01,0.91500002,0.92079997,0.89740002,0.90549999
1990-03-01,0.9095,0.9102,0.87650001,0.88349998
1990-04-02,0.8858,0.89859998,0.87290001,0.87519997
1990-05-01,0.8671,0.91159999,0.8671,0.89920002
1990-06-01,0.90219998,0.93620002,0.89969999,0.92290002
1990-07-02,0.92479998,0.93879998,0.89609998,0.91500002
1990-08-01,0.91540003,0.95670003,0.8998,0.94160002
1990-09-03,0.93669999,0.96939999,0.93400002,0.95370001
1990-10-01,0.95700002,0.96630001,0.89780003,0.91460001
1990-11-01,0.91189998,0.91949999,0.88169998,0.90170002
1990-12-03,0.9091,0.91049999,0.87830001,0.89569998
1991-01-01,0.89389998,0.91579998,0.88669997,0.91000003
1991-02-01,0.90710002,0.91289997,0.89990002,0.9041
1991-03-01,0.90469998,0.9066,0.88169998,0.89569998
1991-04-01,0.89780003,0.9091,0.89029998,0.90240002
1991-05-01,0.8955,0.90570003,0.86570001,0.87080002
1991-06-03,0.8664,0.87870002,0.85979998,0.87529999
