time,open,high,low,close
1979-12-24,1.76259995,1.76259995,1.76259995,1.76259995
1979-12-27,1.75329995,1.75329995,1.75329995,1.75329995
1979-12-28,1.7622,1.7622,1.7622,1.7622
1979-12-31,1.76610005,1.76610005,1.76610005,1.76610005
1980-01-02,1.75139999,1.75139999,1.75139999,1.75139999
1980-01-03,1.74510002,1.74510002,1.74510002,1.74510002
1980-01-04,1.75419998,1.75419998,1.75419998,1.75419998
1980-01-07,1.75259995,1.75259995,1.75259995,1.75259995
1980-01-08,1.75610006,1.75610006,1.75610006,1.75610006
1980-01-09,1.7543,1.7543,1.7543,1.7543
1980-01-10,1.75409997,1.75409997,1.75409997,1.75409997
1980-01-11,1.75520003,1.75520003,1.75520003,1.75520003
1980-01-14,1.75759995,1.75759995,1.75759995,1.75759995
1980-01-15,1.77349997,1.77349997,1.77349997,1.77349997
1980-01-16,1.76359999,1.76359999,1.76359999,1.76359999
1980-01-17,1.76530004,1.76530004,1.76530004,1.76530004
1980-01-18,1.76429999,1.76429999,1.76429999,1.76429999
1980-01-21,1.77190006,1.77190006,1.77190006,1.77190006
1980-01-22,1.78219998,1.78219998,1.78219998,1.78219998
1980-01-23,1.78390002,1.78390002,1.78390002,1.78390002
1980-01-24,1.78199995,1.78199995,1.78199995,1.78199995
1980-01-25,1.7881,1.7881,1.7881,1.7881
1980-01-28,1.78779995,1.78779995,1.78779995,1.78779995
1980-01-29,1.78709996,1.78709996,1.78709996,1.78709996
1980-01-30,1.7931,1.7931,1.7931,1.7931
1980-01-31,1.80449998,1.80449998,1.80449998,1.80449998
1980-02-01,1.80410004,1.80410004,1.80410004,1.80410004
1980-02-04,1.80620003,1.80620003,1.80620003,1.80620003
1980-02-05,1.796,1.796,1.796,1.796
1980-02-06,1.78620005,1.78620005,1.78620005,1.78620005
1980-02-07,1.78989995,1.78989995,1.78989995,1.78989995
1980-02-08,1.79620004,1.79620004,1.79620004,1.79620004
1980-02-11,1.78999996,1.78999996,1.78999996,1.78999996
1980-02-12,1.79439998,1.79439998,1.79439998,1.79439998
1980-02-13,1.78380001,1.78380001,1.78380001,1.78380001
1980-02-14,1.78750002,1.78750002,1.78750002,1.78750002
