time,open,high,low,close
1979-12-03,1.76259995,1.76610005,1.75329995,1.76610005
1980-01-01,1.75139999,1.80449998,1.74510002,1.80449998
1980-02-01,1.80410004,1.86800003,1.78380001,1.86800003
1980-03-03,1.87989998,1.99969995,1.87510002,1.99969995
1980-04-01,2.01480007,2.01480007,1.85710001,1.85790002
1980-05-01,1.85510004,1.90289998,1.85510004,1.89559996
1980-06-02,1.89900005,1.89900005,1.86479998,1.88399994
1980-07-01,1.88129997,1.89709997,1.8398,1.89709997
1980-08-01,1.91299999,1.93340003,1.88660002,1.92499995
1980-09-01,1.92149997,1.94060004,1.89900005,1.93480003
1980-10-01,1.92939997,2.00530005,1.92019999,2.00530005
1980-11-03,2.01460004,2.04029989,1.99160004,2.02670002
1980-12-01,2.03649998,2.13129997,2.03649998,2.10249996
1981-01-01,2.11290002,2.24740005,2.07620001,2.24740005
1981-02-02,2.24710011,2.35730004,2.1947999,2.26259995
1981-03-02,2.29180002,2.29180002,2.18829989,2.23169994
1981-04-01,2.23270011,2.31960011,2.23110008,2.31960011
1981-05-01,2.31299996,2.37249994,2.31299996,2.36260009
1981-06-01,2.36199999,2.41540003,2.32310009,2.34310007
1981-07-01,2.3815999,2.43000007,2.37199998,2.43000007
1981-08-03,2.47490001,2.49460006,2.44070005,2.45230007
1981-09-01,2.47099996,2.47119999,2.21819997,2.25209999
1981-10-01,2.25399995,2.25399995,2.10419989,2.10419989
1981-11-02,2.06929994,2.07529998,2.01139998,2.03710008
1981-12-01,2.05240011,2.10100007,2.02519989,2.02519989
1982-01-01,2.02259994,2.07909989,2.02259994,2.04139996
1982-02-01,2.05439997,2.07730007,2.02160001,2.03859997
1982-03-01,2.02600002,2.03430009,1.9691,2.03430009
1982-04-01,2.04189992,2.0796001,2.03859997,2.07719994
1982-05-03,2.0632,2.10089993,2.0164001,2.09800005
1982-06-01,2.11820006,2.1861999,2.11209989,2.14590001
1982-07-01,2.14479995,2.2184999,2.02909994,2.07690001
1982-08-02,2.05879998,2.10719991,2.00139999,2.05089998
1982-09-01,2.05380011,2.07369995,2.03360009,2.06139994
1982-10-01,2.06229997,2.08310008,2.01760006,2.06579995
1982-11-01,2.05029988,2.09260011,2.02839994,2.02839994
1982-12-01,2.0244,2.03250003,1.949,1.96739995
1983-01-03,1.96210003,1.97090006,1.89740002,1.94990003
1983-02-01,1.95060003,1.97370005,1.92110002,1.96870005
1983-03-01,1.96309996,1.96309996,1.75849998,1.80229998
1983-04-01,1.79270005,1.79999995,1.77260005,1.79750001
1983-05-02,1.79550004,1.84679997,1.77750003,1.84679997
1983-06-01,1.8563,1.87230003,1.82690001,1.84029996
1983-07-01,1.84529996,1.8786,1.83710003,1.8786
1983-08-01,1.89419997,1.92060006,1.87940001,1.92060006
1983-09-01,1.91890001,1.93939996,1.90190005,1.90190005
1983-10-03,1.8973,1.9576,1.8973,1.9576
1983-11-01,1.97409999,2.00679994,1.96449995,1.97710001
1983-12-01,2.01160002,2.01290011,1.9375,1.95350003
1984-01-02,1.98930001,2.06649995,1.98930001,2.06649995
1984-02-01,2.05839992,2.08730006,2.02449989,2.04550004
1984-03-01,2.0546,2.07730007,2.01259995,2.0151999
1984-04-02,2.01999998,2.06450009,1.98670006,2.06450009
1984-05-01,2.07310009,2.09179997,2.01959991,2.0316999
1984-06-01,2.01390004,2.03649998,1.99699998,2.00819993
1984-07-02,2.01060009,2.04349995,1.98580003,2.04349995
1984-08-01,2.04959989,2.06469989,2.0078001,2.04520011
1984-09-03,2.0546999,2.11339998,2.03769994,2.09990001
1984-10-01,2.09910011,2.1329999,2.08010006,2.12039995
1984-11-01,2.10400009,2.19009995,2.07739997,2.19009995
1984-12-03,2.19149995,2.19149995,2.12639999,2.14580011
1985-01-01,2.13649988,2.19199991,2.12910008,2.17689991
1985-02-01,2.18580008,2.18580008,1.91989994,2.02850008
1985-03-01,2.02699995,2.03520012,1.82000005,1.82000005
1985-04-01,1.78659999,1.79419994,1.58570004,1.67569995
1985-05-01,1.70539999,1.83369994,1.70539999,1.70770001
1985-06-03,1.69920003,1.74399996,1.68830001,1.69869995
1985-07-01,1.70220006,1.7076,1.63320005,1.65760005
1985-08-01,1.66110003,1.68089998,1.5812,1.62049997
1985-09-02,1.61580002,1.65460002,1.54089999,1.54089999
1985-10-01,1.54139996,1.54139996,1.50349998,1.50349998
1985-11-01,1.48989999,1.48989999,1.41659999,1.42739999
1985-12-02,1.42299998,1.4562,1.40450001,1.40450001
1986-01-01,1.39810002,1.48160005,1.39810002,1.44620001
1986-02-03,1.4346,1.4346,1.30760002,1.32029998
1986-03-03,1.30900002,1.41390002,1.30900002,1.39189994
1986-04-01,1.40929997,1.44449997,1.32260001,1.34290004
1986-05-01,1.35739994,1.38209999,1.29219997,1.38209999
1986-06-02,1.36230004,1.36230004,1.20990002,1.20990002
1986-07-01,1.16110003,1.16110003,0.99989998,0.99989998
1986-08-01,1.01100004,1.04770005,0.99589998,0.99940002
1986-09-01,0.99860001,1.05060005,0.99860001,1.03419995
1986-10-01,1.03480005,1.09640002,1.02629995,1.09640002
1986-11-03,1.10000002,1.10950005,1.06860006,1.06860006
1986-12-01,1.06470001,1.13160002,1.06470001,1.07379997
1987-01-01,1.07200003,1.08710003,0.98589998,1.01750004
1987-02-02,1.00940001,1.04530001,1.00600004,1.03789997
1987-03-02,1.04799998,1.07389998,1.0438,1.06420004
1987-04-01,1.07840002,1.08200002,1.03359997,1.03419995
1987-05-01,1.02269995,1.0747,1.02190006,1.07360005
1987-06-01,1.08280003,1.10360003,1.05089998,1.09119999
1987-07-01,1.09430003,1.10140002,1.07270002,1.07350004
1987-08-03,1.08500004,1.10580003,1.05700004,1.07219994
1987-09-01,1.06920004,1.10660005,1.06879997,1.08809996
1987-10-01,1.08710003,1.10109997,0.96219999,0.96509999
1987-11-02,0.95069999,0.9619,0.92699999,0.94620001
1987-12-01,0.95200002,0.95410001,0.91570002,0.91570002
1988-01-01,0.92949998,0.97719997,0.92949998,0.96710002
1988-02-01,0.98030001,1.00619996,0.97939998,0.99870002
1988-03-01,1.00390005,1.0352,0.9989,1.01259995
1988-04-01,1.01049995,1.0575,1.00839996,1.0575
1988-05-02,1.0625,1.16400003,1.0625,1.16400003
1988-06-01,1.17299998,1.23510003,1.13370001,1.19790006
1988-07-01,1.19299996,1.25189996,1.17690003,1.25189996
1988-08-01,1.25080001,1.30599999,1.25080001,1.2701
1988-09-01,1.25209999,1.26400006,1.22979999,1.2378
1988-10-03,1.24049997,1.26390004,1.22150004,1.23459995
1988-11-01,1.22660005,1.27059996,1.22660005,1.27059996
1988-12-01,1.2615,1.28830004,1.23459995,1.27980006
1989-01-02,1.28260005,1.41579998,1.28260005,1.41579998
1989-02-01,1.42040002,1.42040002,1.23889995,1.24720001
1989-03-01,1.25109994,1.36020005,1.25109994,1.36020005
1989-04-03,1.35350001,1.35350001,1.29200006,1.32780004
1989-05-01,1.33150005,1.36000001,1.28400004,1.28820002
1989-06-01,1.28799999,1.30330002,1.26689994,1.26689994
1989-07-03,1.26849997,1.26849997,1.2105,1.21969998
1989-08-01,1.21270001,1.29480004,1.21270001,1.29480004
1989-09-01,1.29589999,1.32079995,1.25730002,1.25730002
1989-10-02,1.26110005,1.30439997,1.23280001,1.26049995
1989-11-01,1.26460004,1.29530001,1.23839998,1.24730003
1989-12-01,1.24880004,1.25259995,1.21089995,1.21469998
1990-01-01,1.23979998,1.24080002,1.12839997,1.15939999
1990-02-01,1.15170002,1.15480006,1.11170006,1.14049995
1990-03-01,1.15260005,1.16320002,1.12310004,1.13199997
1990-04-02,1.14059997,1.15279996,1.0898,1.0905
1990-05-01,1.08280003,1.09959996,1.05379999,1.09710002
1990-06-01,1.10329998,1.12709999,1.09529996,1.12259996
1990-07-02,1.11000001,1.13080001,1.06819999,1.06900001
1990-08-01,1.07550001,1.0905,1.03209996,1.0654
1990-09-03,1.06990004,1.10290003,1.04990005,1.07079995
1990-10-01,1.07609999,1.08539999,0.9673,1.00750005
1990-11-01,0.99769998,1.01709998,0.94450003,0.98890001
1990-12-03,1.00839996,1.02380002,0.95749998,0.98159999
1991-01-01,0.97589999,1.02330005,0.972,0.98409998
1991-02-01,0.97850001,1.04449999,0.96039999,1.04130006
1991-03-01,1.04820001,1.13660002,1.02639997,1.11740005
1991-04-01,1.10469997,1.16949999,1.09249997,1.12909997
1991-05-01,1.12629998,1.15820003,1.0948,1.13
1991-06-03,1.12909997,1.20060003,1.1221,1.19070005
1991-07-01,1.19840002,1.22319996,1.16980004,1.18369997
1991-08-01,1.18840003,1.23220003,1.15380001,1.19869995
1991-09-02,1.20079994,1.20410001,1.15760005,1.16009998
1991-10-01,1.15910006,1.19739997,1.13789999,1.14489996
1991-11-01,1.12629998,1.14960003,1.1038,1.1246
1991-12-02,1.1176,1.1239,1.0169,1.0313
