time,open,high,low,close
1982-01-04,1.36520004,1.36520004,1.36520004,1.36520004
1982-01-05,1.36720002,1.36720002,1.36720002,1.36720002
1982-01-06,1.36829996,1.36829996,1.36829996,1.36829996
1982-01-07,1.36539996,1.36539996,1.36539996,1.36539996
1982-01-08,1.36609995,1.36609995,1.36609995,1.36609995
1982-01-11,1.36940002,1.36940002,1.36940002,1.36940002
1982-01-12,1.37129998,1.37129998,1.37129998,1.37129998
1982-01-13,1.37020004,1.37020004,1.37020004,1.37020004
1982-01-14,1.37450004,1.37450004,1.37450004,1.37450004
1982-01-15,1.37020004,1.37020004,1.37020004,1.37020004
1982-01-18,1.37360001,1.37360001,1.37360001,1.37360001
1982-01-19,1.36960006,1.36960006,1.36960006,1.36960006
1982-01-20,1.36539996,1.36539996,1.36539996,1.36539996
1982-01-21,1.37230003,1.37230003,1.37230003,1.37230003
1982-01-22,1.37,1.37,1.37,1.37
1982-01-25,1.37199998,1.37199998,1.37199998,1.37199998
1982-01-26,1.37160003,1.37160003,1.37160003,1.37160003
1982-01-27,1.37150002,1.37150002,1.37150002,1.37150002
1982-01-28,1.37030005,1.37030005,1.37030005,1.37030005
1982-01-29,1.37030005,1.37030005,1.37030005,1.37030005
1982-02-01,1.36960006,1.36960006,1.36960006,1.36960006
1982-02-02,1.36790001,1.36790001,1.36790001,1.36790001
1982-02-03,1.36670005,1.36670005,1.36670005,1.36670005
1982-02-04,1.3664,1.3664,1.3664,1.3664
1982-02-05,1.3678,1.3678,1.3678,1.3678
1982-02-08,1.36619997,1.36619997,1.36619997,1.36619997
1982-02-09,1.36889994,1.36889994,1.36889994,1.36889994
1982-02-10,1.36930001,1.36930001,1.36930001,1.36930001
1982-02-11,1.36880004,1.36880004,1.36880004,1.36880004
1982-02-16,1.38030005,1.38030005,1.38030005,1.38030005
1982-02-17,1.36670005,1.36670005,1.36670005,1.36670005
1982-02-18,1.36619997,1.36619997,1.36619997,1.36619997
1982-02-19,1.36179996,1.36179996,1.36179996,1.36179996
1982-02-22,1.36370003,1.36370003,1.36370003,1.36370003
1982-02-23,1.36310005,1.36310005,1.36310005,1.36310005
1982-02-24,1.37020004,1.37020004,1.37020004,1.37020004
1982-02-25,1.36860001,1.36860001,1.36860001,1.36860001
1982-02-26,1.36749995,1.36749995,1.36749995,1.36749995
1982-03-01,1.36570001,1.36570001,1.36570001,1.36570001
1982-03-02,1.36749995,1.36749995,1.36749995,1.36749995
1982-03-03,1.36720002,1.36720002,1.36720002,1.36720002
1982-03-04,1.3642,1.3642,1.3642,1.3642
1982-03-05,1.36189997,1.36189997,1.36189997,1.36189997
1982-03-08,1.36179996,1.36179996,1.36179996,1.36179996
1982-03-09,1.36409998,1.36409998,1.36409998,1.36409998
1982-03-10,1.3635,1.3635,1.3635,1.3635
1982-03-11,1.36119998,1.36119998,1.36119998,1.36119998
1982-03-12,1.36099994,1.36099994,1.36099994,1.36099994
1982-03-15,1.36070001,1.36070001,1.36070001,1.36070001
1982-03-16,1.36500001,1.36500001,1.36500001,1.36500001
1982-03-17,1.36450005,1.36450005,1.36450005,1.36450005
1982-03-18,1.36269999,1.36269999,1.36269999,1.36269999
1982-03-19,1.36319995,1.36319995,1.36319995,1.36319995
1982-03-22,1.36230004,1.36230004,1.36230004,1.36230004
1982-03-23,1.36300004,1.36300004,1.36300004,1.36300004
1982-03-24,1.36389995,1.36389995,1.36389995,1.36389995
1982-03-25,1.36440003,1.36440003,1.36440003,1.36440003
1982-03-26,1.36689997,1.36689997,1.36689997,1.36689997
1982-03-29,1.36960006,1.36960006,1.36960006,1.36960006
1982-03-30,1.36950004,1.36950004,1.36950004,1.36950004
1982-03-31,1.37179995,1.37179995,1.37179995,1.37179995
1982-04-01,1.37010002,1.37010002,1.37010002,1.37010002
1982-04-02,1.37,1.37,1.37,1.37
1982-04-05,1.37329996,1.37329996,1.37329996,1.37329996
1982-04-06,1.37960005,1.37960005,1.37960005,1.37960005
1982-04-07,1.37489998,1.37489998,1.37489998,1.37489998
1982-04-08,1.36979997,1.36979997,1.36979997,1.36979997
1982-04-09,1.37320006,1.37320006,1.37320006,1.37320006
1982-04-12,1.37310004,1.37310004,1.37310004,1.37310004
1982-04-13,1.37380004,1.37380004,1.37380004,1.37380004
1982-04-14,1.37419999,1.37419999,1.37419999,1.37419999
1982-04-15,1.37450004,1.37450004,1.37450004,1.37450004
1982-04-16,1.37600005,1.37600005,1.37600005,1.37600005
1982-04-19,1.37320006,1.37320006,1.37320006,1.37320006
1982-04-20,1.35940003,1.35940003,1.35940003,1.35940003
1982-04-21,1.37249994,1.37249994,1.37249994,1.37249994
1982-04-22,1.37259996,1.37259996,1.37259996,1.37259996
1982-04-23,1.37290001,1.37290001,1.37290001,1.37290001
1982-04-26,1.37469995,1.37469995,1.37469995,1.37469995
1982-04-27,1.3757,1.3757,1.3757,1.3757
1982-04-28,1.37580001,1.37580001,1.37580001,1.37580001
1982-04-29,1.37940001,1.37940001,1.37940001,1.37940001
1982-04-30,1.37489998,1.37489998,1.37489998,1.37489998
1982-05-03,1.37740004,1.37740004,1.37740004,1.37740004
1982-05-04,1.37870002,1.37870002,1.37870002,1.37870002
1982-05-05,1.37670004,1.37670004,1.37670004,1.37670004
1982-05-06,1.37639999,1.37639999,1.37639999,1.37639999
1982-05-07,1.37629998,1.37629998,1.37629998,1.37629998
1982-05-10,1.37269998,1.37269998,1.37269998,1.37269998
1982-05-11,1.375,1.375,1.375,1.375
1982-05-12,1.37150002,1.37150002,1.37150002,1.37150002
1982-05-13,1.37269998,1.37269998,1.37269998,1.37269998
1982-05-14,1.37779999,1.37779999,1.37779999,1.37779999
1982-05-17,1.37109995,1.37109995,1.37109995,1.37109995
1982-05-18,1.37660003,1.37660003,1.37660003,1.37660003
1982-05-19,1.37240005,1.37240005,1.37240005,1.37240005
1982-05-20,1.37339997,1.37339997,1.37339997,1.37339997
1982-05-21,1.37730002,1.37730002,1.37730002,1.37730002
1982-05-24,1.37559998,1.37559998,1.37559998,1.37559998
1982-05-25,1.37279999,1.37279999,1.37279999,1.37279999
1982-05-26,1.37759995,1.37759995,1.37759995,1.37759995
1982-05-27,1.37660003,1.37660003,1.37660003,1.37660003
1982-05-28,1.3793,1.3793,1.3793,1.3793
1982-06-01,1.37450004,1.37450004,1.37450004,1.37450004
1982-06-02,1.37849998,1.37849998,1.37849998,1.37849998
1982-06-03,1.37829995,1.37829995,1.37829995,1.37829995
1982-06-04,1.37670004,1.37670004,1.37670004,1.37670004
1982-06-07,1.37759995,1.37759995,1.37759995,1.37759995
1982-06-08,1.37829995,1.37829995,1.37829995,1.37829995
1982-06-09,1.37940001,1.37940001,1.37940001,1.37940001
1982-06-10,1.37890005,1.37890005,1.37890005,1.37890005
1982-06-11,1.37750006,1.37750006,1.37750006,1.37750006
1982-06-14,1.37549996,1.37549996,1.37549996,1.37549996
1982-06-15,1.375,1.375,1.375,1.375
1982-06-16,1.37409997,1.37409997,1.37409997,1.37409997
1982-06-17,1.3743,1.3743,1.3743,1.3743
1982-06-18,1.37950003,1.37950003,1.37950003,1.37950003
1982-06-21,1.37989998,1.37989998,1.37989998,1.37989998
1982-06-22,1.37510002,1.37510002,1.37510002,1.37510002
1982-06-23,1.38139999,1.38139999,1.38139999,1.38139999
1982-06-24,1.37639999,1.37639999,1.37639999,1.37639999
1982-06-25,1.38049996,1.38049996,1.38049996,1.38049996
1982-06-28,1.37779999,1.37779999,1.37779999,1.37779999
1982-06-29,1.38020003,1.38020003,1.38020003,1.38020003
1982-06-30,1.37660003,1.37660003,1.37660003,1.37660003
1982-07-01,1.37629998,1.37629998,1.37629998,1.37629998
1982-07-02,1.37530005,1.37530005,1.37530005,1.37530005
1982-07-06,1.375,1.375,1.375,1.375
1982-07-07,1.37820005,1.37820005,1.37820005,1.37820005
1982-07-08,1.40390003,1.40390003,1.40390003,1.40390003
1982-07-09,1.37639999,1.37639999,1.37639999,1.37639999
1982-07-12,1.36919999,1.36919999,1.36919999,1.36919999
1982-07-13,1.37129998,1.37129998,1.37129998,1.37129998
1982-07-14,1.36730003,1.36730003,1.36730003,1.36730003
1982-07-15,1.36989999,1.36989999,1.36989999,1.36989999
1982-07-16,1.37,1.37,1.37,1.37
1982-07-19,1.36370003,1.36370003,1.36370003,1.36370003
1982-07-20,1.3628,1.3628,1.3628,1.3628
1982-07-21,1.36129999,1.36129999,1.36129999,1.36129999
1982-07-22,1.35870004,1.35870004,1.35870004,1.35870004
1982-07-23,1.35179996,1.35179996,1.35179996,1.35179996
1982-07-26,1.35469997,1.35469997,1.35469997,1.35469997
1982-07-27,1.35179996,1.35179996,1.35179996,1.35179996
1982-07-28,1.34940004,1.34940004,1.34940004,1.34940004
1982-07-29,1.35090005,1.35090005,1.35090005,1.35090005
1982-07-30,1.35479999,1.35479999,1.35479999,1.35479999
1982-08-02,1.34660006,1.34660006,1.34660006,1.34660006
1982-08-03,1.34829998,1.34829998,1.34829998,1.34829998
1982-08-04,1.35020006,1.35020006,1.35020006,1.35020006
1982-08-05,1.34909999,1.34909999,1.34909999,1.34909999
1982-08-06,1.34889996,1.34889996,1.34889996,1.34889996
1982-08-09,1.34710002,1.34710002,1.34710002,1.34710002
1982-08-10,1.34570003,1.34570003,1.34570003,1.34570003
1982-08-11,1.34599996,1.34599996,1.34599996,1.34599996
1982-08-12,1.34140003,1.34140003,1.34140003,1.34140003
1982-08-13,1.34259999,1.34259999,1.34259999,1.34259999
1982-08-16,1.34060001,1.34060001,1.34060001,1.34060001
1982-08-17,1.32210004,1.32210004,1.32210004,1.32210004
1982-08-18,1.3348,1.3348,1.3348,1.3348
1982-08-19,1.32799995,1.32799995,1.32799995,1.32799995
1982-08-20,1.32840002,1.32840002,1.32840002,1.32840002
1982-08-23,1.32869995,1.32869995,1.32869995,1.32869995
1982-08-24,1.32579994,1.32579994,1.32579994,1.32579994
1982-08-25,1.32560003,1.32560003,1.32560003,1.32560003
1982-08-26,1.32210004,1.32210004,1.32210004,1.32210004
1982-08-27,1.32519996,1.32519996,1.32519996,1.32519996
1982-08-30,1.3247,1.3247,1.3247,1.3247
1982-08-31,1.32570004,1.32570004,1.32570004,1.32570004
1982-09-01,1.32579994,1.32579994,1.32579994,1.32579994
1982-09-02,1.32340002,1.32340002,1.32340002,1.32340002
1982-09-03,1.32070005,1.32070005,1.32070005,1.32070005
1982-09-07,1.32179999,1.32179999,1.32179999,1.32179999
1982-09-08,1.32509995,1.32509995,1.32509995,1.32509995
1982-09-09,1.32490003,1.32490003,1.32490003,1.32490003
1982-09-10,1.32519996,1.32519996,1.32519996,1.32519996
1982-09-13,1.32430005,1.32430005,1.32430005,1.32430005
1982-09-14,1.32249999,1.32249999,1.32249999,1.32249999
1982-09-15,1.32190001,1.32190001,1.32190001,1.32190001
1982-09-16,1.32219994,1.32219994,1.32219994,1.32219994
1982-09-17,1.3233,1.3233,1.3233,1.3233
1982-09-20,1.32200003,1.32200003,1.32200003,1.32200003
1982-09-21,1.32239997,1.32239997,1.32239997,1.32239997
1982-09-22,1.32060003,1.32060003,1.32060003,1.32060003
1982-09-23,1.32360005,1.32360005,1.32360005,1.32360005
1982-09-24,1.32219994,1.32219994,1.32219994,1.32219994
1982-09-27,1.32449996,1.32449996,1.32449996,1.32449996
1982-09-28,1.3211,1.3211,1.3211,1.3211
1982-09-29,1.32270002,1.32270002,1.32270002,1.32270002
1982-09-30,1.32430005,1.32430005,1.32430005,1.32430005
1982-10-01,1.31930006,1.31930006,1.31930006,1.31930006
1982-10-04,1.32519996,1.32519996,1.32519996,1.32519996
1982-10-05,1.32490003,1.32490003,1.32490003,1.32490003
1982-10-06,1.32410002,1.32410002,1.32410002,1.32410002
1982-10-07,1.32480001,1.32480001,1.32480001,1.32480001
1982-10-08,1.3197,1.3197,1.3197,1.3197
1982-10-12,1.31879997,1.31879997,1.31879997,1.31879997
1982-10-13,1.31939995,1.31939995,1.31939995,1.31939995
1982-10-14,1.31930006,1.31930006,1.31930006,1.31930006
1982-10-15,1.31920004,1.31920004,1.31920004,1.31920004
1982-10-18,1.3175,1.3175,1.3175,1.3175
1982-10-19,1.31959999,1.31959999,1.31959999,1.31959999
1982-10-20,1.31850004,1.31850004,1.31850004,1.31850004
1982-10-21,1.32070005,1.32070005,1.32070005,1.32070005
1982-10-22,1.32050002,1.32050002,1.32050002,1.32050002
1982-10-25,1.32319999,1.32319999,1.32319999,1.32319999
1982-10-26,1.31939995,1.31939995,1.31939995,1.31939995
1982-10-27,1.32140005,1.32140005,1.32140005,1.32140005
1982-10-28,1.31980002,1.31980002,1.31980002,1.31980002
1982-10-29,1.32179999,1.32179999,1.32179999,1.32179999
1982-11-01,1.32179999,1.32179999,1.32179999,1.32179999
1982-11-03,1.32000005,1.32000005,1.32000005,1.32000005
1982-11-04,1.32200003,1.32200003,1.32200003,1.32200003
1982-11-05,1.32140005,1.32140005,1.32140005,1.32140005
1982-11-08,1.32290006,1.32290006,1.32290006,1.32290006
1982-11-09,1.32379997,1.32379997,1.32379997,1.32379997
1982-11-10,1.32420003,1.32420003,1.32420003,1.32420003
1982-11-12,1.32309997,1.32309997,1.32309997,1.32309997
1982-11-15,1.3247,1.3247,1.3247,1.3247
1982-11-16,1.32369995,1.32369995,1.32369995,1.32369995
1982-11-17,1.32969999,1.32969999,1.32969999,1.32969999
1982-11-18,1.32669997,1.32669997,1.32669997,1.32669997
1982-11-19,1.32589996,1.32589996,1.32589996,1.32589996
1982-11-22,1.32920003,1.32920003,1.32920003,1.32920003
1982-11-23,1.32939994,1.32939994,1.32939994,1.32939994
