time,open,high,low,close
1982-01-01,1.36520004,1.37450004,1.36520004,1.37030005
1982-02-01,1.36960006,1.38030005,1.36179996,1.36749995
1982-03-01,1.36570001,1.37179995,1.36070001,1.37179995
1982-04-01,1.37010002,1.37960005,1.35940003,1.37489998
1982-05-03,1.37740004,1.3793,1.37109995,1.3793
1982-06-01,1.37450004,1.38139999,1.37409997,1.37660003
1982-07-01,1.37629998,1.40390003,1.34940004,1.35479999
1982-08-02,1.34660006,1.35020006,1.32210004,1.32570004
1982-09-01,1.32579994,1.32579994,1.32060003,1.32430005
1982-10-01,1.31930006,1.32519996,1.3175,1.32179999
1982-11-01,1.32179999,1.33399999,1.32000005,1.33229995
1982-12-01,1.32920003,1.34319997,1.32770002,1.33790004
1983-01-03,1.34150004,1.35599995,1.33510005,1.34220004
1983-02-01,1.35070002,1.35070002,1.33399999,1.33399999
1983-03-01,1.33239996,1.33930004,1.30499995,1.32439995
1983-04-01,1.32500005,1.32500005,1.31389999,1.3154
1983-05-02,1.31710005,1.33560002,1.31490004,1.32939994
1983-06-01,1.3326,1.34259999,1.33140004,1.33529997
1983-07-01,1.33669996,1.3484,1.33179998,1.34780002
1983-08-01,1.34609997,1.35810006,1.34440005,1.35420001
1983-09-01,1.35099995,1.36660004,1.34979999,1.36339998
1983-10-03,1.3642,1.38800001,1.3642,1.38100004
1983-11-01,1.38320005,1.39849997,1.38320005,1.3901
1983-12-01,1.40480006,1.40480006,1.35940003,1.36969995
1984-01-02,1.3786,1.41260004,1.3786,1.41260004
1984-02-01,1.41410005,1.42970002,1.40840006,1.41620004
1984-03-01,1.41980004,1.44239998,1.40840006,1.41040003
1984-04-02,1.41270006,1.41830003,1.3865,1.4052
1984-05-01,1.41079998,1.41970003,1.38510001,1.38929999
1984-06-01,1.39180005,1.39180005,1.35389996,1.35880005
1984-07-02,1.35759997,1.67709994,1.34010005,1.67139995
1984-08-01,1.68219995,1.71130002,1.68219995,1.69930005
1984-09-03,1.69599998,1.70589995,1.67920005,1.70229995
1984-10-01,1.70840001,1.74189997,1.70319998,1.74189997
1984-11-01,1.74370003,1.76370001,1.7313,1.76020002
1984-12-03,1.76199996,1.76199996,1.72809994,1.73500001
1985-01-01,1.72599995,1.74339998,1.71109998,1.73150003
1985-02-01,1.72249997,1.72249997,1.53999996,1.59730005
1985-03-01,1.64769995,1.64769995,1.46019995,1.51189995
1985-04-01,1.46850002,1.48570001,1.39230001,1.41960001
1985-05-01,1.42449999,1.53740001,1.42449999,1.47150004
1985-06-03,1.46949995,1.49170005,1.38119996,1.38119996
1985-07-01,1.3707,1.44980001,1.34790003,1.37300003
1985-08-01,1.35860002,1.36409998,1.28149998,1.2931
1985-09-02,1.27699995,1.33360004,1.25469995,1.28219998
1985-10-01,1.27760005,1.28480005,1.19050002,1.21350002
1985-11-01,1.21089995,1.21459997,1.12880003,1.19700003
1985-12-02,1.18180001,1.42359996,1.18180001,1.36220002
1986-01-01,1.35860002,1.39219999,1.29900002,1.33299994
1986-02-03,1.3211,1.34969997,1.25899994,1.33710003
1986-03-03,1.33519995,1.35810006,1.32959998,1.32959998
1986-04-01,1.33210003,1.33210003,1.25269997,1.26769996
1986-05-01,1.27550006,1.30939996,1.26289999,1.26960003
1986-06-02,1.25689995,1.30550003,1.22189999,1.22679996
1986-07-01,1.21500003,1.21500003,1.14489996,1.14489996
1986-08-01,1.16610003,1.25950003,1.16320002,1.25179994
1986-09-01,1.25039995,1.329,1.25039995,1.28620005
1986-10-01,1.29209995,1.29209995,1.24950004,1.26390004
1986-11-03,1.26900005,1.27499998,1.24129999,1.27330005
1986-12-01,1.30569994,1.30900002,1.25409997,1.25409997
1987-01-01,1.2572,1.2572,1.21650004,1.21720004
1987-02-02,1.22010005,1.22669995,1.20930004,1.21039999
1987-03-02,1.21010005,1.24440002,1.2026,1.24440002
1987-04-01,1.23520005,1.24979997,1.21060002,1.21060002
1987-05-01,1.22080004,1.24820006,1.22080004,1.23950005
1987-06-01,1.24049997,1.24049997,1.20850003,1.21469998
1987-07-01,1.21029997,1.2342,1.16240001,1.23160005
1987-08-03,1.2141,1.22660005,1.17569995,1.1789
1987-09-01,1.17680001,1.18089998,1.07949996,1.07949996
1987-10-01,1.10339999,1.176,1.08969998,1.12650001
1987-11-02,1.12979996,1.12979996,1.08640003,1.08669996
1987-12-01,1.08669996,1.11160004,1.08669996,1.09829998
1988-01-01,1.09749997,1.09749997,1.05610001,1.06449997
1988-02-01,1.06990004,1.0855,1.06270003,1.08440006
1988-03-01,1.09619999,1.14419997,1.08749998,1.13740003
1988-04-01,1.13619995,1.13870001,1.1221,1.12740004
1988-05-02,1.13020003,1.16110003,1.11300004,1.16110003
1988-06-01,1.15709996,1.1925,1.13520002,1.17639995
1988-07-01,1.17410004,1.23559999,1.15429997,1.21169996
1988-08-01,1.2119,1.33650005,1.1846,1.32410002
1988-09-01,1.31659997,1.32379997,1.26740003,1.27960002
1988-10-03,1.28240001,1.32630002,1.28240001,1.31229997
1988-11-01,1.31429994,1.34109998,1.31429994,1.33899999
1988-12-01,1.34739995,1.37539995,1.31729996,1.35679996
1989-01-02,1.36720002,1.47570002,1.35759997,1.47570002
1989-02-01,1.4619,1.4619,1.28079998,1.29009998
1989-03-01,1.29390001,1.3398,1.29390001,1.33329999
1989-04-03,1.33920002,1.33920002,1.28789997,1.28849995
1989-05-01,1.28359997,1.28740001,1.25240004,1.28740001
1989-06-01,1.29149997,1.32809997,1.29149997,1.31889999
1989-07-03,1.33150005,1.33539999,1.28480005,1.2902
1989-08-01,1.29560006,1.29970002,1.27100003,1.28830004
1989-09-01,1.27869999,1.32560003,1.27869999,1.31589997
1989-10-02,1.32270002,1.33889997,1.29719996,1.32819998
1989-11-01,1.32609999,1.34189999,1.32029998,1.32770002
1989-12-01,1.32089996,1.3362,1.31060004,1.32739997
1990-01-01,1.31789994,1.31959999,1.27240002,1.28429997
1990-02-01,1.28349996,1.30519998,1.26189995,1.29390001
1990-03-01,1.29820001,1.30159998,1.28040004,1.30159998
1990-04-02,1.31120002,1.32739997,1.30280006,1.30589998
1990-05-01,1.30519998,1.34140003,1.30519998,1.33099997
1990-06-01,1.33179998,1.34809995,1.32579994,1.34800005
1990-07-02,1.34640002,1.37080002,1.31379998,1.33770001
1990-08-01,1.3355,1.34819996,1.29470003,1.3233
1990-09-03,1.32379997,1.35950005,1.30599999,1.33899999
1990-10-01,1.34300005,1.35930002,1.2658,1.2737
1990-11-01,1.28649998,1.29120004,1.2457,1.26999998
1990-12-03,1.27520001,1.32270002,1.25880003,1.31400001
1991-01-01,1.30610001,1.32809997,1.29760003,1.30579996
1991-02-01,1.30229998,1.31900001,1.28649998,1.31099999
1991-03-01,1.30449998,1.32420003,1.28050005,1.31690001
1991-04-01,1.31869996,1.33599997,1.30840003,1.32749999
1991-05-01,1.32210004,1.33430004,1.2967,1.30739999
1991-06-03,1.30139995,1.33340001,1.29250002,1.33080006
1991-07-01,1.3362,1.37699997,1.33270001,1.36140001
1991-08-01,1.35819995,1.37590003,1.34329998,1.36570001
1991-09-02,1.36829996,1.41340005,1.34039998,1.40830004
1991-10-01,1.40059996,1.42610002,1.3872,1.39839995
1991-11-01,1.38900006,1.41050005,1.36059999,1.39600003
1991-12-02,1.39180005,1.42279994,1.36010003,1.40209997
1992-01-01,1.40240002,1.41079998,1.33630002,1.38880002
1992-02-03,1.38839996,1.40129995,1.35189998,1.37730002
1992-03-02,1.37530005,1.41820002,1.34990001,1.41040003
1992-04-01,1.40849996,1.43700004,1.37440002,1.40629995
1992-05-01,1.40289998,1.42359996,1.37600005,1.41250002
1992-06-01,1.41139996,1.43139994,1.35730004,1.37339997
1992-07-01,1.37259996,1.38419998,1.33669996,1.36409998
1992-08-03,1.36300004,1.37709999,1.30229998,1.32519996
1992-09-01,1.32309997,1.35660005,1.30040002,1.32710004
1992-10-01,1.324,1.33589995,1.28820002,1.32389998
1992-11-02,1.32099998,1.3398,1.2931,1.33229995
1992-12-01,1.33029997,1.34909999,1.30999994,1.34169996
1993-01-01,1.3355,1.34179997,1.27740002,1.31519997
1993-02-01,1.3125,1.33749998,1.28550005,1.32869995
1993-03-01,1.32790005,1.35160005,1.30009997,1.32599998
1993-04-01,1.32539999,1.34019995,1.29320002,1.30490005
1993-05-03,1.30540001,1.30910003,1.24629998,1.25279999
1993-06-01,1.2507,1.27119994,1.22000003,1.24039996
1993-07-01,1.23860002,1.25170004,1.20580006,1.24469995
1993-08-02,1.24380004,1.25639999,1.19959998,1.21430004
1993-09-01,1.21319997,1.21469998,1.15190005,1.17490005
1993-10-01,1.17390001,1.20799994,1.16939998,1.20210004
1993-11-01,1.20270002,1.24259996,1.18200004,1.20539999
1993-12-01,1.20459998,1.22259998,1.18980002,1.2153
1994-01-03,1.2144,1.2526,1.2113,1.2458
1994-02-01,1.2455,1.2573,1.2339,1.2394
1994-03-01,1.2377,1.2571,1.2266,1.2518
1994-04-01,1.2523,1.2811,1.2339,1.2379
1994-05-02,1.2421,1.2532,1.221,1.2418
1994-06-01,1.2423,1.2535,1.2158,1.2256
1994-07-01,1.2258,1.2327,1.2069,1.2292
1994-08-01,1.2247,1.2466,1.2142,1.2326
1994-09-01,1.2323,1.2368,1.2187,1.2293
1994-10-03,1.2275,1.2327,1.1928,1.2047
1994-11-01,1.2049,1.2287,1.2003,1.2217
1994-12-01,1.2219,1.2264,1.2052,1.2085
1995-01-02,1.2109,1.2121,1.1829,1.1855
1995-02-01,1.1864,1.1905,1.1602,1.1647
1995-03-01,1.1643,1.1658,1.1122,1.1221
1995-04-03,1.1196,1.1273,1.0749,1.0823
1995-05-01,1.0835,1.1194,1.0704,1.0815
1995-06-01,1.0804,1.0894,1.0587,1.0602
1995-07-03,1.0609,1.1021,1.0503,1.0934
