time,open,high,low,close
1971-01-01,1.1127,1.1236,1.1124,1.1236
1971-02-01,1.1241,1.1245,1.1224,1.123
1971-03-01,1.1231,1.1246,1.1231,1.1234
1971-04-01,1.1224,1.1246,1.1213,1.1245
1971-05-03,1.1243,1.1246,1.1235,1.1238
1971-06-01,1.1231,1.1246,1.1231,1.1246
1971-07-01,1.1243,1.1244,1.1238,1.1241
1971-08-02,1.1237,1.1492,1.1235,1.1406
1971-09-01,1.1409,1.1549,1.1409,1.1549
1971-10-01,1.157,1.1595,1.1567,1.158
1971-11-01,1.1586,1.1592,1.1586,1.1591
1971-12-01,1.1592,1.1888,1.1588,1.1887
1972-01-03,1.191,1.193,1.188,1.191
1972-02-01,1.191,1.191,1.191,1.191
1972-03-01,1.191,1.191,1.191,1.191
1972-04-03,1.191,1.191,1.191,1.191
1972-05-01,1.191,1.191,1.191,1.191
1972-06-01,1.191,1.191,1.191,1.191
1972-07-03,1.191,1.191,1.191,1.191
1972-08-01,1.191,1.194,1.191,1.191
1972-09-01,1.191,1.191,1.191,1.191
1972-10-02,1.191,1.191,1.19,1.191
1972-11-01,1.191,1.191,1.19,1.191
1972-12-01,1.191,1.2732,1.191,1.2732
1973-01-01,1.2732,1.2732,1.271,1.271
1973-02-01,1.271,1.417,1.271,1.41
1973-03-01,1.41,1.42,1.41,1.415
1973-04-02,1.415,1.415,1.415,1.415
1973-05-01,1.415,1.415,1.415,1.415
1973-06-01,1.415,1.421,1.415,1.4155
1973-07-02,1.42,1.4225,1.4115,1.42
1973-08-01,1.41,1.418,1.41,1.416
1973-09-03,1.414,1.486,1.414,1.48
1973-10-01,1.48,1.485,1.48,1.48
1973-11-01,1.48,1.486,1.48,1.482
1973-12-03,1.483,1.4885,1.48,1.4825
1974-01-01,1.4825,1.485,1.4775,1.485
1974-02-01,1.4825,1.4875,1.4825,1.4875
1974-03-01,1.4875,1.4875,1.485,1.485
1974-04-01,1.485,1.485,1.4825,1.485
1974-05-01,1.485,1.485,1.48,1.4825
1974-06-03,1.4825,1.485,1.48,1.485
1974-07-01,1.485,1.485,1.475,1.4825
1974-08-01,1.4825,1.485,1.48,1.48
1974-09-02,1.48,1.487,1.306,1.31
1974-10-01,1.3125,1.314,1.3025,1.308
1974-11-01,1.3085,1.3165,1.303,1.314
1974-12-02,1.314,1.3245,1.3125,1.3245
1975-01-01,1.324,1.3453,1.3215,1.336
1975-02-03,1.34,1.364,1.3345,1.364
1975-03-03,1.364,1.3655,1.351,1.351
1975-04-01,1.346,1.35,1.3295,1.3385
1975-05-01,1.3375,1.344,1.3365,1.3405
1975-06-02,1.341,1.342,1.3235,1.3235
1975-07-01,1.3195,1.3215,1.298,1.3
1975-08-01,1.295,1.295,1.2745,1.277
1975-09-01,1.2755,1.282,1.2535,1.2535
1975-10-01,1.2555,1.2685,1.2555,1.2685
1975-11-03,1.27,1.27,1.257,1.257
1975-12-01,1.256,1.256,1.2518,1.2545
1976-01-01,1.2545,1.2595,1.2545,1.2563
1976-02-02,1.256,1.261,1.256,1.258
1976-03-01,1.2586,1.2586,1.2415,1.2461
1976-04-01,1.2465,1.2465,1.233,1.2365
1976-05-03,1.2372,1.2392,1.227,1.227
1976-06-01,1.2244,1.2331,1.2193,1.2331
1976-07-01,1.2331,1.2405,1.232,1.2405
1976-08-02,1.2393,1.2461,1.2388,1.2437
1976-09-01,1.2437,1.247,1.2323,1.2348
1976-10-01,1.2362,1.242,1.2234,1.228
1976-11-01,1.2227,1.2365,1.0099,1.0099
1976-12-01,1.0087,1.089,1.0054,1.089
1977-01-03,1.09,1.09,1.0822,1.0868
1977-02-01,1.0856,1.096,1.0848,1.096
1977-03-01,1.096,1.104,1.096,1.1028
1977-04-01,1.1042,1.1105,1.102,1.103
1977-05-02,1.103,1.105,1.102,1.103
1977-06-01,1.1035,1.115,1.1035,1.115
1977-07-01,1.1145,1.1253,1.1145,1.1218
1977-08-01,1.12,1.1212,1.0998,1.104
1977-09-01,1.1025,1.109,1.102,1.109
1977-10-03,1.1135,1.1275,1.104,1.1275
1977-11-01,1.1325,1.1325,1.123,1.126
1977-12-01,1.128,1.141,1.128,1.138
1978-01-02,1.146,1.15,1.1328,1.138
1978-02-01,1.1365,1.139,1.13,1.1365
1978-03-01,1.1383,1.1455,1.1325,1.1416
1978-04-03,1.1472,1.1472,1.128,1.1322
1978-05-01,1.1315,1.1315,1.123,1.1306
1978-06-01,1.1315,1.1475,1.1315,1.1475
1978-07-03,1.149,1.1575,1.1445,1.1574
1978-08-01,1.1607,1.1635,1.144,1.15
1978-09-01,1.1495,1.158,1.148,1.155
1978-10-02,1.156,1.186,1.156,1.181
1978-11-01,1.165,1.165,1.1345,1.1345
