time,open,high,low,close
2007-05-07,82.06,82.66,81.96,82.52
2007-05-08,82.06,83.01,81.96,82.85
2007-05-09,82.85,82.95,82.73,82.77
2007-05-10,82.85,83.29,82.73,82.81
2007-05-11,82.85,83.31,82.73,83.17
2007-05-14,83.23,83.27,83.2,83.24
2007-05-15,83.23,83.49,83.04,83.34
2007-05-16,83.23,83.49,82.36,82.39
2007-05-17,83.23,83.49,82.04,82.38
2007-05-18,82.23,82.59,82.15,82.37
2007-05-21,82.23,82.59,81.82,82.18
2007-05-22,82.23,82.59,81.82,81.92
2007-05-23,82.51,82.51,82.35,82.4
2007-05-24,82.51,82.51,81.8,81.86
2007-05-25,82.51,82.51,81.8,81.84
2007-05-29,81.86,81.89,81.84,81.85
2007-05-30,81.86,82.3,81.84,82.28
2007-05-31,81.86,82.9,81.84,82.82
2007-06-01,81.86,83.3,81.84,83.25
2007-06-04,83.35,83.48,83.29,83.42
2007-06-05,83.35,83.78,83.29,83.75
2007-06-06,83.35,84.4,83.29,84.07
2007-06-07,84.19,84.25,84.1,84.13
2007-06-08,84.19,84.48,84.1,84.45
2007-06-11,84.19,84.48,84.07,84.37
2007-06-12,84.16,84.19,84.14,84.14
2007-06-13,84.16,84.19,83.88,84.01
2007-06-14,84.16,84.19,83.43,83.6
2007-06-15,84.16,84.21,83.43,84.2
2007-06-18,84.21,84.41,84.14,84.32
2007-06-19,84.21,84.71,84.14,84.64
2007-06-20,84.21,84.71,84.14,84.4
2007-06-21,84.69,84.74,84.58,84.72
2007-06-22,84.69,84.93,84.56,84.64
2007-06-25,84.66,84.69,84.63,84.67
2007-06-26,84.66,85.04,84.62,84.63
2007-06-27,84.66,85.04,83.56,83.77
2007-06-28,84.63,84.65,84.57,84.62
2007-06-29,84.63,85.12,84.57,84.82
2007-07-02,84.63,85.99,84.57,85.87
2007-07-03,85.49,85.5,85.48,85.5
2007-07-05,85.49,85.78,85.48,85.63
2007-07-06,85.48,85.9,85.48,85.79
2007-07-09,85.94,86.04,85.93,85.98
2007-07-10,85.94,86.38,85.93,86.17
2007-07-11,85.94,86.42,85.93,86.22
2007-07-12,86.39,86.59,86.38,86.56
2007-07-13,86.38,87,86.38,86.99
2007-07-16,86.38,87.42,86.38,87.15
2007-07-17,87.29,87.44,87.18,87.23
2007-07-18,87.29,87.89,87.18,87.74
2007-07-19,88,88.02,87.91,87.99
2007-07-20,88,88.35,87.55,87.98
2007-07-23,88,88.42,87.55,88.31
2007-07-24,88.14,88.50999,88.06999,88.14
2007-07-25,88.17999,88.53999,88.17999,88.32999
2007-07-26,88,88,87.06999,87.2
2007-07-27,86.2,86.2,85.12,85.14
2007-07-30,85.14,85.64,84.92999,85.56999
2007-07-31,85.56999,85.99001,85.10999,85.15999
2007-08-01,85.15999,85.46001,84.79999,85.39
2007-08-02,85.64,86.03999,85.64,85.87
2007-08-03,85.87,86.03999,85.42,85.42999
2007-08-06,85.5,85.85001,85.5,85.78999
2007-08-07,85.67999,85.67999,85.14,85.45
2007-08-08,86.09,86.37,86.09,86.17999
2007-08-09,85.53,85.53,84.95,84.98
2007-08-10,84.74001,84.74001,84.23999,84.45999
2007-08-13,84.39,84.39,84.06,84.23
2007-08-14,83.95,83.95,83.40999,83.45
2007-08-15,82.67,82.67,82.03999,82.14999
2007-08-16,79.47,79.47,78.18999,79.28999
2007-08-17,79.28999,79.89999,78.56999,79.67999
2007-08-20,79.75999,80.94,79.75999,80.57999
2007-08-21,80.21001,80.21001,79.81999,80.12999
2007-08-22,80.14,80.71001,80.14,80.62999
2007-08-23,81.31,82.17,81.31,82.12999
2007-08-24,82.12999,82.7,82.09999,82.67999
2007-08-27,82.81,83.14999,82.81,82.84
2007-08-28,82.39999,82.39999,81.53999,81.57999
2007-08-29,81.57999,82.35001,81.25999,82.14999
2007-08-30,82.10001,82.10001,81.35999,81.54999
2007-08-31,81.54999,82.07001,81.06999,81.79999
2007-09-04,82.17,82.71001,82.17,82.42999
2007-09-05,82.42999,82.67,81.81999,82.17999
2007-09-06,82.43999,82.96001,82.43999,82.92
2007-09-07,82.92,83.09,82.28,82.64999
2007-09-10,82.64999,82.7,82.18999,82.59999
2007-09-11,82.73,83.48,82.73,83.42999
2007-09-12,83.53999,84.35001,83.53999,84.17
2007-09-13,84.17,84.19,83.67,84.03999
2007-09-14,84.03999,84.31,83.89999,84.23
2007-09-17,84.03999,84.03999,83.12,83.29999
2007-09-18,83.39,85.28999,83.39,85.28999
2007-09-19,85.28999,85.71001,85.23999,85.65999
2007-09-20,86.09999,86.60001,86.09999,86.12
2007-09-21,86.40999,86.74001,86.40999,86.62
2007-09-24,86.62,86.94,86.56999,86.89999
2007-09-25,86.89999,87.41,86.45,87.25999
2007-09-26,87.39,87.71001,87.39,87.65999
2007-09-27,87.73999,88.25999,87.73999,88.03999
2007-09-28,88.21999,88.88,88.21999,88.76999
2007-10-01,88.84999,89.5,88.84999,89.37999
