time,open,high,low,close
2007-05-01,82.06,83.49,81.8,82.82
2007-06-01,81.86,85.12,81.84,84.82
2007-07-02,84.63,88.53999,84.57,85.15999
2007-08-01,85.15999,86.37,78.18999,81.79999
2007-09-04,82.17,88.88,81.81999,88.76999
2007-10-01,88.84999,93.39999,87.67,93.28999
2007-11-01,92.39,94.02,86.70999,88.45
2007-12-03,88.42999,88.98,85.53999,87.53
2008-01-02,87.93999,90.03999,86.25999,89.56999
2008-02-01,89.70999,94.98,89.15999,93.12999
2008-03-03,93.48999,94.63,89.53999,91.28999
2008-04-01,91.05,95.00999,90.31,94.43999
2008-05-01,93.61,96.55,93.06999,95.54999
2008-06-02,95.54999,96.39999,93.28,95.82999
2008-07-01,95.58,98.5,93.96999,94.14999
2008-08-01,93.44,93.47,85.25999,85.81999
2008-09-02,83.92999,85.2,78.01999,79.07999
2008-10-01,79.07999,79.42999,60.09999,66.56999
2008-11-03,66.79999,70.14999,60.75,65.57999
2008-12-01,64.82001,71.17,62.95999,70.53
2009-01-02,70.53,72.67,63.46999,63.57999
2009-02-02,63.56,68.5,62.78999,63.90999
2009-03-02,63.56,70.60001,62.85999,69.15999
2009-04-01,69.15999,73.60001,69.09999,72.53
2009-05-01,72.53999,80.16,72.53999,80.07999
2009-06-01,80.64,82.37,78.39999,80.71999
2009-07-01,80.71999,83.67,77.23999,83.42999
2009-08-03,83.90999,84.67999,81.59,84.42
2009-09-01,84.11,88.47,82.45999,88.39
2009-10-01,88.14,93.25,85.73,89.81999
2009-11-02,89.84999,94.06,89.43999,91.62999
2009-12-01,92.07999,92.98,87.53,89.79999
2010-01-04,90.56,93.24001,88.34999,88.34999
2010-02-01,88.34999,90.37,85.81999,89.56999
2010-03-01,89.56999,92.5,89.42,91.67999
2010-04-01,91.67999,93.61,91.37,92.45999
2010-05-03,92.45999,92.74001,80.98,84.70999
2010-06-01,84.35001,88.37,64.7,84.00999
2010-07-01,84.00999,90.67,83.48,90.41
2010-08-02,91,92.21001,87.72,89.05
2010-09-01,90.42,97.31,90.42,96.99001
2010-10-01,96.99001,99.88,95.98,97.97
2010-11-01,98.37,101.75999,95.5,95.81
2010-12-01,96.14999,102.5,96.14999,102.32001
2011-01-03,102.10001,102.10001,98.33,99.74001
2011-02-01,100.59,101.99001,99.45,101.84
2011-03-01,101.84,103.73,97.53999,103.3
2011-04-01,103.3,109.78,103.00999,109.72
2011-05-02,109.72,110.12,104.71001,106.67999
2011-06-01,106.67999,107.75,103.91,107.22
2011-07-01,107.22,110.67999,105.61,110.00999
2011-08-01,110.00999,110.61,100.67999,107.02
2011-09-01,107.02,107.64999,96.7,97.05
2011-10-03,96.84,107.53,93.88,105.46001
2011-11-01,103.86,104.46001,96.64,102.63
