time,open,high,low,close
1982-01-04,1.50979996,1.50979996,1.50979996,1.50979996
1982-01-05,1.52250004,1.52250004,1.52250004,1.52250004
1982-01-06,1.52620006,1.52620006,1.52620006,1.52620006
1982-01-07,1.53970003,1.53970003,1.53970003,1.53970003
1982-01-08,1.54009998,1.54009998,1.54009998,1.54009998
1982-01-11,1.55920005,1.55920005,1.55920005,1.55920005
1982-01-12,1.55980003,1.55980003,1.55980003,1.55980003
1982-01-13,1.56200004,1.56200004,1.56200004,1.56200004
1982-01-14,1.55309999,1.55309999,1.55309999,1.55309999
1982-01-15,1.55369997,1.55369997,1.55369997,1.55369997
1982-01-18,1.54649997,1.54649997,1.54649997,1.54649997
1982-01-19,1.54719996,1.54719996,1.54719996,1.54719996
1982-01-20,1.55739999,1.55739999,1.55739999,1.55739999
1982-01-21,1.54789996,1.54789996,1.54789996,1.54789996
1982-01-22,1.55130005,1.55130005,1.55130005,1.55130005
1982-01-25,1.55999994,1.55999994,1.55999994,1.55999994
1982-01-26,1.54910004,1.54910004,1.54910004,1.54910004
1982-01-27,1.5503,1.5503,1.5503,1.5503
1982-01-28,1.55050004,1.55050004,1.55050004,1.55050004
1982-01-29,1.55050004,1.55050004,1.55050004,1.55050004
1982-02-01,1.56040001,1.56040001,1.56040001,1.56040001
1982-02-02,1.56050003,1.56050003,1.56050003,1.56050003
1982-02-03,1.5711,1.5711,1.5711,1.5711
1982-02-04,1.55789995,1.55789995,1.55789995,1.55789995
1982-02-05,1.56330001,1.56330001,1.56330001,1.56330001
1982-02-08,1.56780005,1.56780005,1.56780005,1.56780005
1982-02-09,1.57089996,1.57089996,1.57089996,1.57089996
1982-02-10,1.56789994,1.56789994,1.56789994,1.56789994
1982-02-11,1.56830001,1.56830001,1.56830001,1.56830001
1982-02-16,1.56830001,1.56830001,1.56830001,1.56830001
1982-02-17,1.57159996,1.57159996,1.57159996,1.57159996
1982-02-18,1.56019998,1.56019998,1.56019998,1.56019998
1982-02-19,1.54830003,1.54830003,1.54830003,1.54830003
1982-02-22,1.53900003,1.53900003,1.53900003,1.53900003
1982-02-23,1.53929996,1.53929996,1.53929996,1.53929996
1982-02-24,1.5381,1.5381,1.5381,1.5381
1982-02-25,1.53900003,1.53900003,1.53900003,1.53900003
1982-02-26,1.54519999,1.54519999,1.54519999,1.54519999
1982-03-01,1.54219997,1.54219997,1.54219997,1.54219997
1982-03-02,1.5323,1.5323,1.5323,1.5323
1982-03-03,1.5352,1.5352,1.5352,1.5352
1982-03-04,1.53429997,1.53429997,1.53429997,1.53429997
1982-03-05,1.52559996,1.52559996,1.52559996,1.52559996
1982-03-08,1.51779997,1.51779997,1.51779997,1.51779997
1982-03-09,1.5388,1.5388,1.5388,1.5388
1982-03-10,1.53289998,1.53289998,1.53289998,1.53289998
1982-03-11,1.54270005,1.54270005,1.54270005,1.54270005
1982-03-12,1.54709995,1.54709995,1.54709995,1.54709995
1982-03-15,1.54149997,1.54149997,1.54149997,1.54149997
1982-03-16,1.54659998,1.54659998,1.54659998,1.54659998
1982-03-17,1.54849994,1.54849994,1.54849994,1.54849994
1982-03-18,1.55130005,1.55130005,1.55130005,1.55130005
1982-03-19,1.55480003,1.55480003,1.55480003,1.55480003
1982-03-22,1.56149995,1.56149995,1.56149995,1.56149995
1982-03-23,1.55320001,1.55320001,1.55320001,1.55320001
1982-03-24,1.55159998,1.55159998,1.55159998,1.55159998
1982-03-25,1.55429995,1.55429995,1.55429995,1.55429995
1982-03-26,1.55760002,1.55760002,1.55760002,1.55760002
1982-03-29,1.57149994,1.57149994,1.57149994,1.57149994
1982-03-30,1.57079995,1.57079995,1.57079995,1.57079995
1982-03-31,1.57539999,1.57539999,1.57539999,1.57539999
