time,open,high,low,close
1982-01-01,1.50979996,1.56200004,1.50979996,1.55050004
1982-02-01,1.56040001,1.57159996,1.5381,1.54519999
1982-03-01,1.54219997,1.57539999,1.51779997,1.57539999
1982-04-01,1.58229995,1.62039995,1.58210003,1.60450006
1982-05-03,1.58759999,1.60909998,1.54359996,1.60570002
1982-06-01,1.62119997,1.65139997,1.60930002,1.62390006
1982-07-01,1.63489997,1.67639995,1.60529995,1.67250001
1982-08-02,1.65279996,1.73300004,1.65279996,1.71640003
1982-09-01,1.71730006,1.76590002,1.69599998,1.75600004
1982-10-01,1.75989997,1.80250001,1.72860003,1.80040002
1982-11-01,1.78929996,1.8326,1.71140003,1.71140003
1982-12-01,1.70340002,1.71290004,1.60950005,1.63250005
1983-01-03,1.62109995,1.64339995,1.56490004,1.6293
1983-02-01,1.63160002,1.67820001,1.6171,1.67820001
1983-03-01,1.68379998,1.70009995,1.67019999,1.68990004
1983-04-01,1.67379999,1.69060004,1.65450001,1.69060004
1983-05-02,1.69009995,1.70410001,1.64320004,1.70410001
1983-06-01,1.71319997,1.72730005,1.69200003,1.71270001
1983-07-01,1.71640003,1.73049998,1.70060003,1.72969997
1983-08-01,1.74580002,1.77499998,1.73290002,1.7723
1983-09-01,1.7744,1.77629995,1.72039998,1.72039998
1983-10-03,1.71440005,1.73860002,1.69690001,1.73860002
1983-11-01,1.75259995,1.76600003,1.74290001,1.74430001
1983-12-01,1.74440002,1.77499998,1.74440002,1.75090003
1984-01-02,1.77869999,1.80340004,1.77869999,1.80340004
1984-02-01,1.79190004,1.79729998,1.73029995,1.73179996
1984-03-01,1.73860002,1.73860002,1.66929996,1.68480003
1984-04-02,1.68970001,1.74890006,1.68970001,1.74890006
1984-05-01,1.73979998,1.76960003,1.73660004,1.7457
1984-06-01,1.72300005,1.78269994,1.71749997,1.76600003
1984-07-02,1.77929997,1.88520002,1.77929997,1.88520002
1984-08-01,1.88329995,1.88329995,1.82169998,1.85720003
1984-09-03,1.88339996,1.93729997,1.88339996,1.92139995
1984-10-01,1.91540003,1.94299996,1.88180006,1.89660001
1984-11-01,1.87349999,1.92949998,1.83529997,1.92949998
1984-12-03,1.93610001,1.96800005,1.91250002,1.96790004
1985-01-01,1.97850001,2.0237999,1.97850001,2.01550007
1985-02-01,2.03670001,2.09770012,2.03670001,2.06509995
1985-03-01,2.06049991,2.09159994,1.90129995,1.90129995
1985-04-01,1.92910004,1.95210004,1.83319998,1.90199995
1985-05-01,1.92869997,1.96239996,1.86759996,1.87339997
1985-06-03,1.87440002,1.90209997,1.85420001,1.86950004
1985-07-01,1.87769997,1.87769997,1.69420004,1.69420004
1985-08-01,1.71340001,1.73940003,1.65649998,1.69120002
1985-09-02,1.71630001,1.77760005,1.60099995,1.60099995
1985-10-01,1.58169997,1.60829997,1.57169998,1.57369995
1985-11-01,1.5625,1.57239997,1.5036,1.5036
1985-12-02,1.51489997,1.52919996,1.47300005,1.47300005
1986-01-01,1.46319997,1.49530005,1.42089999,1.42379999
1986-02-03,1.42120004,1.45070004,1.32910001,1.32910001
1986-03-03,1.32000005,1.39979994,1.31570005,1.39979994
1986-04-01,1.40240002,1.45190001,1.31210005,1.31949997
1986-05-01,1.3405,1.39579999,1.30879998,1.39579999
1986-06-02,1.3865,1.3865,1.30280006,1.30280006
1986-07-01,1.28699994,1.30089998,1.21619999,1.21619999
1986-08-01,1.20850003,1.22130001,1.18040001,1.18420005
1986-09-01,1.17789996,1.22710001,1.15980005,1.18739998
1986-10-01,1.18359995,1.23150003,1.16369998,1.23150003
1986-11-03,1.23769999,1.24580002,1.19070005,1.19070005
1986-12-01,1.1868,1.2392,1.16869998,1.16869998
1987-01-01,1.16639996,1.18089998,1.11510003,1.15209997
1987-02-02,1.14699996,1.1717,1.13660002,1.15390003
1987-03-02,1.15719998,1.18309999,1.1444,1.15579998
1987-04-01,1.16799998,1.16799998,1.09379995,1.09829998
1987-05-01,1.0855,1.12549996,1.079,1.12549996
1987-06-01,1.13069999,1.14839995,1.09529996,1.13779998
1987-07-01,1.14119995,1.17789996,1.14119995,1.1595
1987-08-03,1.17359996,1.18710005,1.12890005,1.13759995
1987-09-01,1.13269997,1.17159998,1.12720001,1.17159998
1987-10-01,1.16980004,1.17550004,1.0869,1.09319997
1987-11-02,1.07430005,1.07430005,1.02610004,1.02610004
1987-12-01,1.03170002,1.04499996,0.97670001,0.97670001
1988-01-01,0.99409997,1.07410002,0.99409997,1.07410002
1988-02-01,1.08369994,1.11269999,1.07589996,1.10510004
1988-03-01,1.10660005,1.12329996,1.08870006,1.10570002
1988-04-01,1.10409999,1.13479996,1.09990001,1.13479996
1988-05-02,1.13320005,1.17200005,1.12679994,1.17200005
1988-06-01,1.17379999,1.25,1.15840006,1.24030006
1988-07-01,1.24059999,1.29120004,1.24059999,1.29120004
1988-08-01,1.28719997,1.32019997,1.26569998,1.27900004
1988-09-01,1.27690005,1.3089,1.25569999,1.30069995
1988-10-03,1.30789995,1.31009996,1.22730005,1.22730005
1988-11-01,1.21739995,1.22360003,1.17299998,1.22119999
1988-12-01,1.22049999,1.26849997,1.21500003,1.25880003
1989-01-02,1.255,1.34850001,1.255,1.34850001
1989-02-01,1.34119999,1.34570003,1.29299998,1.29879999
1989-03-01,1.30859995,1.39359999,1.30859995,1.39359999
1989-04-03,1.38010001,1.41439998,1.3707,1.41439998
1989-05-01,1.41929996,1.49409997,1.41929996,1.41929996
1989-06-01,1.41170001,1.46099997,1.38549995,1.39989996
1989-07-03,1.38639998,1.39450002,1.34749997,1.36220002
1989-08-01,1.35160005,1.44449997,1.35160005,1.43889999
1989-09-01,1.4454,1.45350003,1.37720001,1.37720001
1989-10-02,1.38279998,1.43050003,1.36099994,1.37629998
1989-11-01,1.38300002,1.4059,1.35930002,1.36749995
1989-12-01,1.37409997,1.38030005,1.31990004,1.33000004
1990-01-01,1.36230004,1.36300004,1.24619997,1.26610005
1990-02-01,1.25820005,1.25950003,1.22979999,1.25950003
1990-03-01,1.26680005,1.29760003,1.25829995,1.28120005
1990-04-02,1.28709996,1.28929996,1.24539995,1.24609995
1990-05-01,1.24820006,1.24890006,1.18060005,1.22010005
1990-06-01,1.22249997,1.24300003,1.1868,1.21640003
1990-07-02,1.19980001,1.22969997,1.16680002,1.16820002
1990-08-01,1.17439997,1.19860005,1.1056,1.13150001
1990-09-03,1.14170003,1.14909995,1.09850001,1.12269998
1990-10-01,1.12399995,1.12820005,1.06850004,1.10239995
1990-11-01,1.09290004,1.10880005,1.06500006,1.09580004
1990-12-03,1.1085,1.13970006,1.07819998,1.09590006
1991-01-01,1.09119999,1.12839997,1.07519996,1.08150005
1991-02-01,1.0783,1.15480006,1.06330001,1.15199995
1991-03-01,1.15820003,1.26460004,1.14810002,1.24740005
1991-04-01,1.2299,1.30229998,1.2076,1.25119996
1991-05-01,1.2572,1.29809999,1.2385,1.29760003
1991-06-03,1.30280006,1.37320006,1.29410005,1.36039996
1991-07-01,1.37049997,1.39189994,1.29209995,1.32229996
1991-08-01,1.33099997,1.38460004,1.29639995,1.33720005
1991-09-02,1.34169996,1.34580004,1.27629995,1.28269994
1991-10-01,1.28569996,1.34220004,1.28219998,1.30760002
1991-11-01,1.28799999,1.30949998,1.2321,1.2631
1991-12-02,1.259,1.262,1.1516,1.1721
1992-01-01,1.177,1.2592,1.1689,1.215
1992-02-03,1.2187,1.2761,1.179,1.2568
1992-03-02,1.2632,1.2874,1.2428,1.2602
1992-04-01,1.2606,1.3134,1.2485,1.2682
1992-05-01,1.2684,1.2751,1.2063,1.2074
1992-06-01,1.2089,1.2291,1.1429,1.1454
1992-07-01,1.1458,1.1571,1.0713,1.1107
1992-08-03,1.1139,1.1275,1.0416,1.047
1992-09-01,1.0456,1.1033,0.977,0.9918
1992-10-01,0.9912,1.1155,0.9728,1.1104
1992-11-02,1.1082,1.1484,1.1038,1.113
1992-12-01,1.1108,1.1658,1.0837,1.1545
1993-01-01,1.1539,1.176,1.1272,1.174
1993-02-01,1.1738,1.2353,1.1725,1.2213
1993-03-01,1.2252,1.2452,1.183,1.1837
1993-04-01,1.1847,1.1898,1.115,1.1257
1993-05-03,1.1271,1.17,1.1048,1.1179
1993-06-01,1.117,1.1875,1.112,1.1805
1993-07-01,1.1818,1.2056,1.1611,1.1849
1993-08-02,1.188,1.1882,1.1075,1.1205
1993-09-01,1.1209,1.1226,1.0522,1.0684
1993-10-01,1.0683,1.1393,1.0471,1.1298
1993-11-01,1.1295,1.1663,1.1136,1.1213
1993-12-01,1.1223,1.1358,1.064,1.1254
1994-01-03,1.1214,1.138,1.0922,1.0953
1994-02-01,1.0954,1.1096,1.052,1.056
1994-03-01,1.0563,1.0692,1.0152,1.0214
1994-04-01,1.022,1.0545,1.0087,1.0146
1994-05-02,1.0155,1.0435,1.0057,1.014
1994-06-01,1.0137,1.0365,0.9468,0.9635
1994-07-01,0.9634,0.9861,0.9231,0.9664
1994-08-01,0.9616,0.9838,0.9346,0.9741
1994-09-01,0.9744,0.9753,0.9343,0.9597
1994-10-03,0.9572,0.9645,0.9104,0.9279
1994-11-01,0.9282,0.9696,0.9159,0.9635
1994-12-01,0.9637,0.9731,0.9265,0.9338
1995-01-02,0.9401,0.9438,0.888,0.9131
1995-02-01,0.9129,0.9342,0.881,0.8904
1995-03-01,0.8896,0.8924,0.7902,0.8083
1995-04-03,0.8045,0.8516,0.7974,0.8437
1995-05-01,0.845,0.9002,0.8238,0.8525
1995-06-01,0.8519,0.866,0.8264,0.8376
1995-07-03,0.8371,0.8718,0.8331,0.8441
1995-08-01,0.8441,0.9138,0.8287,0.8954
1995-09-01,0.8956,0.9133,0.8321,0.8596
1995-10-02,0.8639,0.8754,0.8164,0.8444
1995-11-01,0.8452,0.8671,0.8325,0.8646
1995-12-01,0.8644,0.8656,0.8294,0.8462
1996-01-01,0.8456,0.8852,0.844,0.8812
1996-02-01,0.8802,0.8907,0.8454,0.877
1996-03-01,0.8773,0.8845,0.8652,0.8757
1996-04-01,0.8747,0.9158,0.8747,0.914
1996-05-01,0.9137,0.9278,0.9,0.9123
1996-06-03,0.9121,0.9329,0.9061,0.9199
1996-07-01,0.9204,0.926,0.862,0.8711
1996-08-01,0.8712,0.8868,0.8668,0.8782
1996-09-02,0.8791,0.9239,0.8764,0.9213
1996-10-01,0.9213,0.9486,0.9176,0.9483
1996-11-01,0.9483,0.9682,0.9386,0.9649
1996-12-02,0.9656,0.9902,0.9483,0.9776
1997-01-01,0.9785,1.0729,0.9747,1.0559
1997-02-03,1.0564,1.0979,1.0492,1.081
1997-03-03,1.0815,1.0934,1.0371,1.0463
1997-04-01,1.0466,1.0659,1.0276,1.0541
1997-05-01,1.054,1.0718,1.0099,1.0276
1997-06-02,1.0272,1.061,1.0272,1.0581
1997-07-01,1.058,1.1029,1.0531,1.0979
1997-08-01,1.0976,1.1138,1.0637,1.0656
1997-09-01,1.0752,1.0905,1.0358,1.0489
1997-10-01,1.0481,1.0733,0.9829,0.9939
1997-11-03,0.9952,1.0121,0.9837,1.0018
1997-12-01,1,1.0271,0.9943,1.0153
