time,open,high,low,close
1982-01-04,184.30000305,184.30000305,184.30000305,184.30000305
1982-01-05,184.6499939,184.6499939,184.6499939,184.6499939
1982-01-06,185.05999756,185.05999756,185.05999756,185.05999756
1982-01-07,186.88000488,186.88000488,186.88000488,186.88000488
1982-01-08,186.58000183,186.58000183,186.58000183,186.58000183
1982-01-11,187.63999939,187.63999939,187.63999939,187.63999939
1982-01-12,187.19999695,187.19999695,187.19999695,187.19999695
1982-01-13,188.3500061,188.3500061,188.3500061,188.3500061
1982-01-14,187.96000671,187.96000671,187.96000671,187.96000671
1982-01-15,187.88000488,187.88000488,187.88000488,187.88000488
1982-01-18,188.42999268,188.42999268,188.42999268,188.42999268
1982-01-19,188,188,188,188
1982-01-20,188.72000122,188.72000122,188.72000122,188.72000122
1982-01-21,189.41000366,189.41000366,189.41000366,189.41000366
1982-01-22,190.32000732,190.32000732,190.32000732,190.32000732
1982-01-25,191.36999512,191.36999512,191.36999512,191.36999512
1982-01-26,190.97000122,190.97000122,190.97000122,190.97000122
1982-01-27,191.77999878,191.77999878,191.77999878,191.77999878
1982-01-28,192.77000427,192.77000427,192.77000427,192.77000427
1982-01-29,192.77000427,192.77000427,192.77000427,192.77000427
1982-02-01,193.52999878,193.52999878,193.52999878,193.52999878
1982-02-02,193.25,193.25,193.25,193.25
1982-02-03,194.41999817,194.41999817,194.41999817,194.41999817
1982-02-04,193.47000122,193.47000122,193.47000122,193.47000122
1982-02-05,193.6000061,193.6000061,193.6000061,193.6000061
1982-02-08,194.16999817,194.16999817,194.16999817,194.16999817
1982-02-09,194.30999756,194.30999756,194.30999756,194.30999756
1982-02-10,194.57000732,194.57000732,194.57000732,194.57000732
1982-02-11,194.82000732,194.82000732,194.82000732,194.82000732
1982-02-16,197.44999695,197.44999695,197.44999695,197.44999695
1982-02-17,197.25,197.25,197.25,197.25
1982-02-18,193.83999634,193.83999634,193.83999634,193.83999634
1982-02-19,191.92999268,191.92999268,191.92999268,191.92999268
1982-02-22,190.75999451,190.75999451,190.75999451,190.75999451
1982-02-23,192.38000488,192.38000488,192.38000488,192.38000488
1982-02-24,192.07000732,192.07000732,192.07000732,192.07000732
