time,open,high,low,close
1982-01-01,184.30000305,192.77000427,184.30000305,192.77000427
1982-02-01,193.52999878,197.44999695,190.75999451,192.99000549
1982-03-01,194.03999329,201.69999695,192.83999634,201.69999695
1982-04-01,200.6499939,203.25999451,192.94999695,193.32000732
1982-05-03,193.16999817,195.52999878,188.55999756,195.52999878
1982-06-01,195.52999878,200.11999512,194.88999939,197.17999268
1982-07-01,198.97999573,205.50999451,198.27999878,205.50999451
1982-08-02,205.22999573,213.02999878,203.44000244,210.6499939
1982-09-01,209.33999634,218.44999695,207.13000488,216.97000122
1982-10-01,217.63000488,226.02999878,214.32000732,225.94999695
1982-11-01,226.08000183,226.99000549,201.36000061,201.36000061
1982-12-01,200.55000305,200.55000305,187.77000427,190.80999756
1983-01-03,188.57000732,194.88999939,185.00999451,193.88999939
1983-02-01,193.75,195.55000305,190.05999756,193.47999573
1983-03-01,194.58999634,196.71000671,192.69000244,193.61000061
1983-04-01,193.02000427,194.28999329,191.49000549,194.28999329
1983-05-02,194.08000183,194.13999939,188.33000183,194.13999939
1983-06-01,194.78999329,196.58000183,192.49000549,194.86999512
1983-07-01,194.86000061,196.16000366,194.08000183,195.86000061
1983-08-01,197.36999512,199.86000061,196.75,199.66999817
1983-09-01,199.80000305,200.13000488,191.17999268,191.17999268
1983-10-03,189.92999268,189.96000671,187.6499939,189.83000183
1983-11-01,190.30999756,191.77999878,187.57000732,187.57000732
1983-12-01,187.47000122,189.58999634,186.13000488,186.13000488
1984-01-02,186.49000549,187.97000122,186.1499939,187.78999329
1984-02-01,187.75999451,188.19000244,186.07000732,186.41000366
1984-03-01,186.46000671,186.46000671,175.1000061,175.86999512
1984-04-02,176.22000122,176.80000305,174.22999573,176.66999817
1984-05-01,175.83999634,180.07000732,175.36999512,178.83000183
1984-06-01,177.77000427,181.53999329,177.08000183,179.74000549
1984-07-02,181.11000061,187,181.07000732,186.99000549
1984-08-01,187.69999695,187.86999512,184.61000061,186.3999939
1984-09-03,187.52000427,187.55000305,185.52999878,187.24000549
1984-10-01,187.00999451,188.16999817,185.49000549,186.78999329
1984-11-01,186.1499939,186.86000061,182.75999451,186.86000061
1984-12-03,187.25999451,190.30999756,186.3999939,190.30999756
1985-01-01,190.32000732,193.6000061,190.32000732,191.92999268
1985-02-01,193.30000305,196,186.61000061,187.47999573
1985-03-01,187.44999695,188.00999451,183.5,183.5
1985-04-01,184.49000549,186.11000061,183.02000427,183.92999268
1985-05-01,184.6000061,184.6000061,181.53999329,182.71000671
1985-06-03,181.8999939,182.69999695,180.69000244,182.69999695
1985-07-01,182.6000061,182.8999939,174.58000183,174.58000183
1985-08-01,175.47000122,175.53999329,174.02999878,174.92999268
1985-09-02,174.72000122,177.72999573,157.86000061,157.86000061
1985-10-01,156.80000305,158.58999634,154.72999573,154.72999573
1985-11-01,152.83999634,152.83999634,145.71000671,145.97999573
1985-12-02,146.78999329,147.13000488,143.13999939,143.13999939
1986-01-01,142.1000061,144.8999939,135.08999634,135.08999634
1986-02-03,133.69999695,136.11999512,127.05000305,127.05000305
1986-03-03,126.08999634,129.24000549,120.51000214,121.98000336
1986-04-01,127.65000153,131.86000061,120.51000214,121.88999939
1986-05-01,122.98999786,125.69000244,116.76000214,125.69000244
1986-06-02,128.44000244,128.44000244,118.48999786,118.48999786
1986-07-01,118.01000214,118.27999878,111.41999817,111.41999817
1986-08-01,111.27999878,112.37000275,110.13999939,111.41999817
1986-09-01,110.80999756,112.95999908,109.63999939,110.98000336
1986-10-01,111.13999939,117.48000336,110.77999878,117.48000336
1986-11-03,117.87000275,118.56999969,116.04000092,116.97000122
1986-12-01,117.16000366,118.61000061,113.98000336,113.98000336
1987-01-01,114.58000183,115.52999878,111.01999664,114.54000092
1987-02-02,114.51999664,115.54000092,113.97000122,114.91999817
1987-03-02,115.18000031,116.44000244,111.5,111.68000031
1987-04-01,112.06999969,112.06999969,103.38999939,105.18000031
1987-05-01,104.20999908,107.51999664,103.23999786,107.51999664
1987-06-01,108.26999664,110.22000122,104.80000305,110.22000122
1987-07-01,110.41999817,115.98000336,110.41999817,112.98000336
1987-08-03,114.26000214,114.59999847,107.38999939,107.90000153
1987-09-01,107.31999969,111.66000366,107.01000214,111.66000366
1987-10-01,111.66000366,112.34999847,105,105.12999725
1987-11-02,104.01000214,104.01000214,100.97000122,100.97000122
1987-12-01,101.47000122,101.47000122,93.15000153,93.15000153
1988-01-01,94.94999695,101.62999725,94.94999695,100.38999939
1988-02-01,101.44999695,103.52999878,100.48000336,101.83000183
1988-03-01,102.01000214,102.98999786,100,100.61000061
1988-04-01,100.31999969,102.48000336,99.95999908,101.65000153
1988-05-02,101.26999664,101.51000214,100.02999878,101.47000122
1988-06-01,101.94999695,109.75,101.94999695,109.69999695
1988-07-01,110.12000275,111.83999634,108.86000061,109.93000031
1988-08-01,109.72000122,111,107.83999634,110.12000275
1988-09-01,110.16999817,110.62999725,107.70999908,110.62999725
1988-10-03,112.01000214,113.08999634,102.26999664,102.26999664
1988-11-01,101.69000244,102.51000214,99.38999939,102.30999756
1988-12-01,102.09999847,105.31999969,102.04000092,104.80999756
1989-01-02,103.87999725,109.94999695,103.87999725,109.94999695
1989-02-01,109.48000336,109.48000336,105.16999817,105.91000366
1989-03-01,106.93000031,111.41000366,106.76999664,111.29000092
1989-04-03,110.83999634,112.19999695,110.26999664,112.19999695
1989-05-01,112.80000305,118.61000061,112.80000305,118.30999756
1989-06-01,118.19000244,124.44999695,116.06999969,120.26000214
1989-07-03,118.19000244,119.91999817,115.93000031,116.09999847
1989-08-01,115.51999664,123.34999847,115.51999664,122.90000153
1989-09-01,123.44000244,124.23999786,118.08999634,118.08999634
1989-10-02,118.44999695,122.94000244,118.44999695,121.75
1989-11-01,122.37000275,123.41999817,121.98000336,122.69000244
1989-12-01,123.09999847,124.41999817,122.26999664,124.25
1990-01-01,126.30999756,126.37000275,119.41000366,121.66999817
1990-02-01,122.12999725,125.15000153,119.56999969,125.15000153
1990-03-01,125.81999969,135.52000427,125.30000305,135.52000427
1990-04-02,136.3500061,137.27999878,134.49000549,136.47000122
1990-05-01,136.17999268,136.24000549,125.94999695,129.92999268
1990-06-01,129.22000122,133.05999756,128.47999573,130.86000061
1990-07-02,129.72999573,131.08000183,126.48999786,126.55999756
1990-08-01,127.72000122,131.88999939,123.98000336,124.27999878
1990-09-03,124.41999817,125.12000275,116.52999878,119.91000366
1990-10-01,118.36000061,119.86000061,105.58000183,111.55000305
1990-11-01,112.08999634,115.69000244,108.88999939,113.77999878
1990-12-03,115.51999664,118.18000031,112.40000153,116.95999908
1991-01-01,116.20999908,120.26999664,112.54000092,112.86000061
1991-02-01,113.41999817,116.37000275,109.87999725,115.68000031
1991-03-01,116.80999756,122.16999817,115.37000275,121.44999695
1991-04-01,120.25,121.73999786,116.65000153,118.01999664
1991-05-01,119.87999725,121.58000183,118.08999634,120.95999908
1991-06-03,121.47000122,124.33999634,120.37999725,120.43000031
1991-07-01,121.12999725,122.66000366,116.69000244,119.30999756
1991-08-01,119.62000275,122.05000305,117.81999969,119.86000061
1991-09-02,119.80000305,120.36000061,116.87000275,117.51000214
1991-10-01,117.86000061,118.27999878,113.95999908,116.51999664
1991-11-01,115.79000092,116.91999817,111.94999695,114.62999725
1991-12-02,114.77999878,115.19000244,107.54000092,108.04000092
1992-01-01,108.04000092,112.02999878,105.40000153,107.09999847
1992-02-03,107.33999634,110.27999878,105.13999939,109.55000305
1992-03-02,109.20999908,113.16000366,108.86000061,111.62999725
1992-04-01,112.84999847,114.38999939,110.62999725,111.81999969
1992-05-01,111.5,112.12000275,105.75,106.15000153
1992-06-01,106,107.38999939,104.34999847,104.75
1992-07-01,104.69999695,108.34999847,102.61000061,107.37999725
1992-08-03,107.34999847,108.44000244,102.45999908,103.01000214
1992-09-01,102.98000336,104.19000244,94.37999725,96.23000336
1992-10-01,96.15000153,99.83999634,94.98000336,99.70999908
1992-11-02,99.51999664,99.94000244,95.69999695,96.88999939
1992-12-01,96.76000214,99.15000153,95.84999847,98.20999908
1993-01-01,98.18000031,98.76000214,96,98.30999756
1993-02-01,98.25,99.13999939,91.80999756,94.55
1993-03-01,94.92,95.33,91.16,91.44
1993-04-01,91.48,91.49,86.31,87.4
1993-05-03,87.21,88.42,84.18,84.37
1993-06-01,84.27,87.81,81.82,83.65
1993-07-01,83.74,87.34,81.21,81.46
1993-08-02,81.38,81.89,76.42,79.38
1993-09-01,79.38,81.2,76.93,79.65
1993-10-01,79.69,83.45,78.46,82.22
