time,open,high,low,close
2007-05-07,90.45,90.85,90.29,90.73
2007-05-08,90.45,90.85,90.29,90.49
2007-05-09,90.36,90.49,90.35,90.43
2007-05-10,90.36,90.49,89.86,90.02
2007-05-11,90.36,90.49,89.58,90.02
2007-05-14,90.34,90.37,90.29,90.36
2007-05-15,90.34,91.2,90.29,91.05
2007-05-16,90.34,91.2,90.29,90.58
2007-05-17,90.34,91.2,90.29,91.05
2007-05-18,91.6,91.92,91.49,91.74
2007-05-21,91.6,92.32,91.49,92.14
2007-05-22,91.6,92.32,91.49,92.1
2007-05-23,92.44,92.45,92.28,92.4
2007-05-24,92.44,92.55,92.14,92.23
2007-05-25,92.44,92.73,92.14,92.64
2007-05-29,93.16,93.18,93.12,93.16
2007-05-30,93.16,93.18,92.96,93.11
2007-05-31,93.16,93.74,92.96,93.54
2007-06-01,93.16,94.32,92.96,94.23
2007-06-04,94.53,94.63,94.43,94.49
2007-06-05,94.53,94.63,94.04,94.09
2007-06-06,94.53,94.65,94.04,94.49
2007-06-07,94.23,94.23,94.01,94.04
2007-06-08,94.23,94.37,93.98,94.29
2007-06-11,94.23,94.37,93.98,94.29
2007-06-12,93.73,93.74,93.67,93.67
2007-06-13,93.73,93.86,93.36,93.79
2007-06-14,93.73,93.86,93.36,93.59
2007-06-15,93.73,94.12,93.36,93.61
2007-06-18,93.19,93.39,93.19,93.29
2007-06-19,93.19,94.17,93.19,94.1
2007-06-20,93.19,94.17,93.19,93.75
2007-06-21,93.26,93.41,92.96,93.06
2007-06-22,93.26,93.74,92.96,93.51
2007-06-25,93.44,93.47,93.39,93.41
2007-06-26,93.44,93.7,93.39,93.49
2007-06-27,93.44,93.7,93.22,93.41
2007-06-28,94.29,94.47,94.26,94.47
2007-06-29,94.29,94.47,93.82,93.93
2007-07-02,94.29,94.98,93.82,94.73
2007-07-03,94.24,94.25,94.23,94.25
2007-07-05,94.24,94.7,94.23,94.65
2007-07-06,94.24,95.56,94.23,95.31
2007-07-09,95.4,95.43,95.25,95.26
2007-07-10,95.4,95.43,94.91,95.05
2007-07-11,95.4,95.43,94.53,94.88
2007-07-12,95.54,95.69,95.47,95.63
2007-07-13,95.52,95.69,95.27,95.43
2007-07-16,95.52,95.99,95.27,95.83
2007-07-17,95.82,95.91,95.76,95.81
2007-07-18,95.82,95.95,95.68,95.78
2007-07-19,95.85,95.88,95.8,95.85
2007-07-20,95.85,96.01,95.27,95.37
2007-07-23,95.85,96.01,95.27,95.51
2007-07-24,96.50999,96.50999,96.50999,96.50999
2007-07-25,96.25,96.25,95.73,96.03
2007-07-26,95.39,95.39,94.78,94.89
2007-07-27,94.71001,94.71001,93.92,93.93999
2007-07-30,93.87,93.87,93.46999,93.7
2007-07-31,93.7,94.03999,93.62999,93.75
2007-08-01,94.03,94.72,94.03,94.68999
2007-08-02,94.68999,95.14,94.67,95.00999
2007-08-03,95.00999,95.2,94.62999,94.62999
2007-08-06,94.75999,95.19,94.75999,95.01999
2007-08-07,94.97,94.97,94.59999,94.87
2007-08-08,95.2,95.57001,95.2,95.39
2007-08-09,94.81,94.81,94.31999,94.53
2007-08-10,94.62,95.09,94.62,94.96999
2007-08-13,94.96999,95.35001,94.85999,94.85999
2007-08-14,94.33,94.33,93.62,93.65999
2007-08-15,93.17,93.17,92.67999,92.75999
2007-08-16,92.75999,93.57001,92.65999,92.87999
2007-08-17,93.82999,94.50999,93.82999,94.29999
2007-08-20,94.31999,94.91,94.31999,94.82999
2007-08-21,94.58,94.58,93.89999,94.04999
2007-08-22,94.04999,94.47,93.98999,94.09999
2007-08-23,94.59999,95.24001,94.59999,94.90999
2007-08-24,94.90999,95.27,94.85999,95.09999
2007-08-27,95.09999,95.42,94.82999,94.82999
2007-08-28,94.48,94.48,93.89,93.93999
2007-08-29,94.03999,94.48,94.03999,94.34
2007-08-30,94.34,94.83,93.92,94.50999
2007-08-31,94.50999,95.07001,94.43999,94.67999
2007-09-04,94.82999,95.38,94.82999,95.31999
2007-09-05,95.19,95.19,94.87,94.89
2007-09-06,94.89,95.12,94.78,94.98
2007-09-07,94.98,95.19,94.59,94.78
2007-09-10,94.78,95.07001,94.70999,95.03
2007-09-11,95.7,96.06,95.7,95.93999
2007-09-12,96.03999,96.57001,96.03999,96.45999
2007-09-13,96.45999,96.95,96.39999,96.73999
2007-09-14,96.82999,97.25999,96.82999,97.00999
2007-09-17,97.00999,97.48,97,97.31999
2007-09-18,97.62,98.75999,97.62,98.73999
2007-09-19,98.67999,98.67999,98.31,98.54999
2007-09-20,99.73999,100.06,99.73999,99.75999
2007-09-21,99.75999,100.27,99.73,99.90999
2007-09-24,99.90999,99.98,99.73,99.75
2007-09-25,99.75,99.99001,99.59,99.64
2007-09-26,99.63,99.63,99.31999,99.62
2007-09-27,99.62,99.89,99.56,99.82999
2007-09-28,100.28,100.83,100.28,100.59999
2007-10-01,100.59999,100.91,100.59,100.87999
2007-10-02,100.36,100.36,99.89999,100.20999
2007-10-03,100.20999,100.62,100.12999,100.12999
2007-10-04,100.12999,100.37,99.98999,100.31999
2007-10-05,101.45,102.10001,101.45,101.90999
2007-10-08,101.53,101.53,101.23999,101.25999
2007-10-09,101.25999,101.85001,101.12999,101.84999
2007-10-10,101.84999,102.03999,101.70999,101.95
2007-10-11,102.28999,102.77,102.28999,102.39
2007-10-12,102.57999,102.89,102.57999,102.85999
2007-10-15,102.77,102.77,102.26999,102.34
2007-10-16,102.34,102.5,101.98999,102.10999
2007-10-17,102.37,102.78999,102.37,102.64
2007-10-18,102.64,102.74001,102.28999,102.68999
2007-10-19,103.45,103.78999,103.45,103.46999
2007-10-22,102.25,102.25,101.78999,102.12999
2007-10-23,103.14999,103.7,103.14999,103.5
2007-10-24,103.37,103.37,102.73999,103.21999
2007-10-25,103.23999,103.64,103.23999,103.54999
2007-10-26,103.70999,104.03999,103.70999,103.95999
2007-10-29,103.95999,105.03999,103.85999,104.87999
2007-10-30,104.87999,105.09,104.57999,104.93999
2007-10-31,104.95999,106.13,104.95999,106.01999
2007-11-01,105.60001,105.60001,105.04999,105.09
2007-11-02,106.65999,107.11,106.65999,107.06
2007-11-05,107.06,107.22,106.92999,107.09
2007-11-06,107.67,108.59,107.67,108.53
2007-11-07,108.53,109.45,107.56999,107.62999
2007-11-08,107.62999,108.16,106.45999,107.03
2007-11-09,106.64,106.64,105.89999,105.89999
2007-11-12,104.44,104.44,103.04999,103.28
2007-11-13,103.54999,104.46001,103.54999,104.23999
2007-11-14,104.23999,104.89999,103.39999,103.39999
2007-11-15,102.64999,102.64999,101.39999,101.53
2007-11-16,101.84,103.03,101.84,102.81999
2007-11-19,102.13,102.13,101.53,101.60999
2007-11-20,101.60999,102.19,101.42,102.17999
2007-11-21,101.5,101.5,100.92999,101.35999
2007-11-23,101.35999,101.45,101.00999,101.37999
2007-11-26,101.37,101.37,100.90999,101.04999
2007-11-27,100.75,100.75,100.03999,100.37999
2007-11-28,100.45999,101.56,100.45999,101.56
2007-11-29,100.8,100.8,100.06,100.20999
2007-11-30,100.20999,100.23,99.87999,99.98
2007-12-03,99.98,100.06,99.67999,100.00999
2007-12-04,99.07001,99.07001,98.5,98.78
