time,open,high,low,close
2007-05-01,90.45,93.74,89.58,93.54
2007-06-01,93.16,94.65,92.96,93.93
2007-07-02,94.29,96.50999,93.46999,93.75
2007-08-01,94.03,95.57001,92.65999,94.67999
2007-09-04,94.82999,100.83,94.59,100.59999
2007-10-01,100.59999,106.13,99.89999,106.01999
2007-11-01,105.60001,109.45,99.87999,99.98
2007-12-03,99.98,102.48,97.71999,100.26999
2008-01-02,100.34999,101.25999,96.68999,99.73
2008-02-01,99.73,102.99001,98.06,101.39999
2008-03-03,101.39999,102.03999,97.14,97.43999
2008-04-01,97.43999,99.96001,96.84999,99.26999
2008-05-01,98.42,101.74001,97.73999,100.7
2008-06-02,100.39999,100.39999,97.12,97.89999
2008-07-01,97.89999,100.25,97.34999,97.62999
2008-08-01,97.62999,97.67999,93.32999,94.03999
2008-09-02,93.67,97.08,92.43999,93.93999
2008-10-01,93.98,94.39,77,82.64
2008-11-03,83.37,87.14,77.06,80.84
2008-12-01,80.84,83.96001,76.87999,81.29999
2009-01-02,81.98999,85.02,78.34999,81.50999
2009-02-02,80.83,82.28999,78.37999,78.40999
2009-03-02,77.88,81.92,76.59,79.37
2009-04-01,79.37,84.16,78.70999,83.76999
2009-05-01,83.76999,91.81,83.67,91.67
2009-06-01,91.67,92.64,85.93999,86.00999
2009-07-01,86.62999,92.89999,85.31999,92.76999
2009-08-03,93.50999,93.95,89.90999,91.39
2009-09-01,91.39,94.38,90.09,93.5
2009-10-01,93.5,97.69,91.26999,92.15999
2009-11-02,92.34,95.89999,92.34,94.67
2009-12-01,95.5,96.46001,93.07999,94.93999
2010-01-04,95.92,97.78999,93.40999,93.42999
2010-02-01,93.53,96.41,92.82999,95.07999
2010-03-01,95.07999,99.37,94.68999,98.5
2010-04-01,98.78,100.50999,98,98.23999
2010-05-03,98.39999,98.99001,92.17999,94.84
2010-06-01,94.84,98.61,81.02,93.95
2010-07-01,93.95,97.49001,93.74001,97.12
2010-08-02,97.58,98.91,93.7,93.97
2010-09-01,94.33,97.87,94.33,97.16
2010-10-01,97.25,100.10001,96.46001,98.03999
2010-11-01,98.03999,100.17999,97.24001,97.45
2010-12-01,97.89999,100.74001,97.89999,100.2
2011-01-03,100.59,101.58,99.53999,99.99001
2011-02-01,100.17999,102.97,100.17999,102.89999
2011-03-01,102.89999,103.42,100.25,103.06
2011-04-01,103.28999,105.85001,102.86,105.8
2011-05-02,105.52,105.52,101.87,103.23
2011-06-01,103.23,103.89999,100.92,103.78999
2011-07-01,103.78999,106.32001,102.88,104.77
2011-08-01,104.77,105.17,100.3,102.27
2011-09-01,102.27,102.71001,95.17999,95.24001
2011-10-03,95.24001,101.10001,93.84,99.97
2011-11-01,98.85001,99.45,95.03,98.17
2011-12-01,98.17,99.49001,95.92999,97.92
2012-01-03,98.73,100.36,97.13,99.73
2012-02-01,100.03999,101.59,99.60001,101.11
2012-03-01,101.32001,101.62,99.66,100.21001
2012-04-02,100.21001,102.05,99.50999,101.28999
2012-05-01,101.28999,101.73,96.46001,96.75
2012-06-01,96.59,98.38,95.75999,98.37
2012-07-02,98.37,99.94,97.55,99.69
2012-08-01,99.69,101.61,99.17,101.45
