time,open,high,low,close
1972-04-14,78.56,78.56,78.56,78.56
1972-04-17,78.33,78.33,78.33,78.33
1972-04-18,78.02,78.02,78.02,78.02
1972-04-19,78.06,78.06,78.06,78.06
1972-04-20,78.29,78.29,78.29,78.29
1972-04-21,78.35,78.35,78.35,78.35
1972-04-24,79.01,79.01,79.01,79.01
1972-04-25,78.67,78.67,78.67,78.67
1972-04-26,78.59,78.59,78.59,78.59
1972-04-27,78.77,78.77,78.77,78.77
1972-04-28,78.81,78.81,78.81,78.81
1972-05-01,78.73,78.73,78.73,78.73
1972-05-02,78.73,78.73,78.73,78.73
1972-05-03,78.79,78.79,78.79,78.79
1972-05-04,78.77,78.77,78.77,78.77
1972-05-05,78.73,78.73,78.73,78.73
1972-05-08,78.93,78.93,78.93,78.93
1972-05-09,78.99,78.99,78.99,78.99
1972-05-10,78.75,78.75,78.75,78.75
1972-05-11,78.66,78.66,78.66,78.66
1972-05-12,78.64,78.64,78.64,78.64
1972-05-15,78.67,78.67,78.67,78.67
1972-05-23,78.89,78.89,78.89,78.89
1972-05-24,78.91,78.91,78.91,78.91
1972-05-25,78.88,78.88,78.88,78.88
1972-05-26,78.84,78.84,78.84,78.84
1972-05-30,79.3,79.3,79.3,79.3
1972-05-31,79.28,79.28,79.28,79.28
1972-06-01,79.26,79.26,79.26,79.26
1972-06-02,79.23,79.23,79.23,79.23
1972-06-05,79.18,79.18,79.18,79.18
1972-06-06,79.24,79.24,79.24,79.24
1972-06-07,79.36,79.36,79.36,79.36
1972-06-08,79.37,79.37,79.37,79.37
1972-06-09,79.38,79.38,79.38,79.38
1972-06-12,79.61,79.61,79.61,79.61
1972-06-13,79.58,79.58,79.58,79.58
1972-06-14,79.55,79.55,79.55,79.55
1972-06-15,79.75,79.75,79.75,79.75
1972-06-16,79.82,79.82,79.82,79.82
1972-06-19,79.77,79.77,79.77,79.77
1972-06-20,79.83,79.83,79.83,79.83
1972-06-21,79.95,79.95,79.95,79.95
1972-06-22,79.91,79.91,79.91,79.91
1972-06-23,80.91,80.91,80.91,80.91
1972-06-26,78.88,78.88,78.88,78.88
1972-06-27,79.52,79.52,79.52,79.52
1972-06-28,79.44,79.44,79.44,79.44
1972-06-29,80.57,80.57,80.57,80.57
1972-06-30,80.42,80.42,80.42,80.42
1972-07-03,80.28,80.28,80.28,80.28
1972-07-05,79.97,79.97,79.97,79.97
1972-07-06,80.1,80.1,80.1,80.1
1972-07-07,80.27,80.27,80.27,80.27
1972-07-10,80.24,80.24,80.24,80.24
1972-07-11,80.26,80.26,80.26,80.26
1972-07-12,80.29,80.29,80.29,80.29
1972-07-13,80.33,80.33,80.33,80.33
1972-07-14,80.11,80.11,80.11,80.11
1972-07-17,80.04,80.04,80.04,80.04
1972-07-18,79.92,79.92,79.92,79.92
1972-07-19,79.7,79.7,79.7,79.7
1972-07-20,79.94,79.94,79.94,79.94
1972-07-21,79.76,79.76,79.76,79.76
1972-07-24,79.67,79.67,79.67,79.67
1972-07-25,79.76,79.76,79.76,79.76
1972-07-26,79.88,79.88,79.88,79.88
1972-07-27,79.73,79.73,79.73,79.73
