time,open,high,low,close
1972-04-03,78.56,79.01,78.02,78.81
1972-05-01,78.73,79.3,78.64,79.28
1972-06-01,79.26,80.91,78.88,80.42
1972-07-03,80.28,80.33,79.67,79.82
1972-08-01,79.82,79.82,79.43,79.64
1972-09-01,79.6,79.73,79.19,79.22
1972-10-02,79.1,79.38,79.1,79.22
1972-11-01,79.2,79.88,79.08,79.88
1972-12-01,79.94,80.63,79.67,80.05
1973-01-01,79.95,83.34,79.95,83.25
1973-02-01,83.62,84.8,78.13,84.8
1973-03-01,84.79,84.79,78.55,82.1
1973-04-02,81.44,82.48,81.44,81.97
1973-05-01,81.97,85.71,81.62,85.71
1973-06-01,85.95,90.13,85.44,90.13
1973-07-02,91.57,96.55,91.57,92.95
1973-08-01,92.36,93.13,86.6,87.49
1973-09-03,87.76,88.55,87.52,87.65
1973-10-01,88.23,89.01,86.14,86.14
1973-11-01,87.17,89.83,86.87,87.42
1973-12-03,87.42,88.4,86.15,86.15
1974-01-01,83.79,91.41,83.79,91.41
1974-02-01,91.8,92.94,90.72,91.5
1974-03-01,92.42,93.17,90.92,91.69
1974-04-01,91.9,95.64,90.01,95.1
1974-05-01,95.19,98.47,93.43,94.62
1974-06-03,95.61,96.33,93.07,94.71
1974-07-01,94.87,101.38,94.87,100.65
1974-08-01,101.38,102.36,100.18,100.58
1974-09-02,100.79,101.67,98.73,101.67
1974-10-01,101.31,105.49,101.31,104.5
1974-11-01,105.32,114.39,105.32,110.18
1974-12-02,109.43,119.66,109.43,117.98
1975-01-01,117.44,122.85,116.47,119.52
1975-02-03,117.76,119.25,116.39,119.25
1975-03-03,118.87,118.87,114.53,115.91
1975-04-01,115.42,115.42,112.9,114.23
1975-05-01,114.23,118.23,113.44,116.7
1975-06-02,116.92,118.97,116.43,118.06
1975-07-01,117.6,117.6,109.87,110.36
1975-08-01,110.46,112.52,110.46,110.94
1975-09-01,111.08,111.52,109.51,110.13
1975-10-01,111.71,114.84,111.36,114.84
1975-11-03,115.06,115.06,113.05,113.34
1975-12-01,114.09,117.09,114.09,116.42
1976-01-01,116.51,117.82,116.51,116.71
1976-02-02,117.25,118.09,115.93,117.8
1976-03-01,116.35,118.53,116.28,118.01
1976-04-01,118.48,118.98,117.42,118.91
1976-05-03,119.34,121.96,118.41,121.96
1976-06-01,123.9,124.9,119.78,120.48
1976-07-01,120.35,120.38,116.98,118.8
1976-08-02,118.33,118.34,116.39,116.78
1976-09-01,116.8,117.5,115.39,117.5
1976-10-01,117.09,121.14,116.68,121.14
1976-11-01,121.11,121.6,120.47,121.38
1976-12-01,120.95,121.36,119.21,119.74
1977-01-03,119.74,119.74,114.25,114.96
1977-02-01,114.34,114.61,110.66,110.77
1977-03-01,110.48,110.54,108.78,109.05
1977-04-01,108.51,110.48,107.08,110.3
1977-05-02,110.26,110.84,109.77,110.64
