time,open,high,low,close
2007-05-07,82.49,82.73,82.49,82.57
2007-05-08,82.49,82.73,82.03,82.08
2007-05-09,82.2,82.21,82.03,82.08
2007-05-10,82.2,82.21,81.82,81.97
2007-05-11,82.2,82.21,81.82,82.07
2007-05-14,82.07,82.09,82.01,82.03
2007-05-15,82.07,82.43,81.97,82.29
2007-05-16,82.07,82.43,81.66,81.74
2007-05-17,82.07,82.43,81.43,81.49
2007-05-18,81.5,81.66,81.44,81.5
2007-05-21,81.5,81.66,81.19,81.25
2007-05-22,81.5,81.66,81.19,81.36
2007-05-23,81.56,81.56,81.35,81.48
2007-05-24,81.56,81.56,81.19,81.44
2007-05-25,81.56,81.58,81.19,81.46
2007-05-29,81.64,81.64,81.59,81.64
2007-05-30,81.64,81.66,81.5,81.61
2007-05-31,81.64,81.74,81.49,81.64
2007-06-01,81.64,81.74,81.12,81.31
2007-06-04,81.73,81.81,81.66,81.72
2007-06-05,81.73,82.2,81.66,82.09
2007-06-06,81.73,82.33,81.66,82.22
2007-06-07,81.59,81.66,81.58,81.64
2007-06-08,81.59,81.66,80.86,80.95
2007-06-11,81.59,81.66,80.65,80.76
2007-06-12,80.48,80.5,80.47,80.47
2007-06-13,80.48,80.5,80.29,80.33
2007-06-14,80.48,80.5,80.19,80.23
2007-06-15,80.48,80.57,80.19,80.49
2007-06-18,80.56,80.64,80.5,80.5
2007-06-19,80.56,80.67,80.5,80.6
2007-06-20,80.56,80.93,80.5,80.82
2007-06-21,80.58,80.64,80.47,80.55
2007-06-22,80.58,81.4,80.47,81.35
2007-06-25,81.43,81.47,81.42,81.43
2007-06-26,81.43,81.49,81.36,81.44
2007-06-27,81.43,81.49,81.33,81.37
2007-06-28,81.19,81.22,81.07,81.16
2007-06-29,81.21,81.91,81.07,81.86
2007-07-02,81.21,82.67,81.07,82.59
2007-07-03,82.28,82.28,82.26,82.26
2007-07-05,82.28,82.28,81.98,82.16
2007-07-06,82.28,82.28,81.98,82.09
2007-07-09,82.2,82.25,82.15,82.18
2007-07-10,82.2,83.14,82.15,83.13
2007-07-11,82.2,83.29,82.15,82.9
