time,open,high,low,close
2007-05-01,82.49,82.73,81.19,81.64
2007-06-01,81.64,82.33,80.19,81.86
2007-07-02,81.21,83.45,81.07,83.25
2007-08-01,83.25,84.41,81.98,82.71999
2007-09-04,82.61,86.00999,82.29999,85.89
2007-10-01,85.74001,86.48,84.09999,86.32999
2007-11-01,86.32999,91.27,86.14999,88.34
2007-12-03,88.53,89.59,86.28,88.2
2008-01-02,88.64999,92.59,88.64999,92.48
2008-02-01,92.48,96.12,90.06999,96.12
2008-03-03,96.12,101.66,95.64,100.68999
2008-04-01,99.35001,100.61,95.76999,96.62
2008-05-01,95.69,97.87,94.35999,95.95999
2008-06-02,95.95999,98.39,95.00999,97.90999
2008-07-01,97.90999,99.78,95.06999,95.46999
2008-08-01,95.46999,95.8,90.59,90.84999
2008-09-02,90.45,93.47,87.59,89.06999
2008-10-01,89.06999,89.53,85.45,86.39
2008-11-03,86.14,86.5,81.35999,82.40999
2008-12-01,82.46999,96.41,81.62999,93.59
2009-01-02,93.59,93.75,85.35999,86.12999
2009-02-02,86.12999,87.7,84.31999,85.43999
2009-03-02,85.42999,89.60001,83.62999,87.75
2009-04-01,87.75,88.52,85.17,87.60999
2009-05-01,87.82999,93.83,87.81999,93.73
2009-06-01,93.73,94.41,90.71999,92.07999
2009-07-01,92.26999,94.09,91.37999,93.62
2009-08-03,93.75,94.92,91.87999,94.42
2009-09-01,94.42,98.07001,93.46999,96.48999
2009-10-01,96.17,99.64,95.71999,97.46999
2009-11-02,97.57999,100.42999,96.81999,99.48
2009-12-01,99.85999,100.36,95.18999,96.67
2010-01-04,96.75,98.67,94.01999,94.29999
2010-02-01,94.34999,94.86,92.01999,93.14
2010-03-01,92.78,95.31,92,94.87999
2010-04-01,94.87999,95.82001,91.53999,92.78
2010-05-03,92.45,92.45,85.65999,86.28
2010-06-01,86.28,92.95,83.47,92.81
2010-07-01,93.27,96.41,93.27,96
2010-08-02,96,98.64999,94.17999,98.55
2010-09-01,98.55,102.89,97.27,101.77
2010-10-01,102.00999,105.39999,100.73,101.61
2010-11-01,101.42999,104.50999,99.53,99.63
2010-12-01,99.63,107.49001,99.38,107.08
2011-01-03,107.08,107.25999,102.22,105.97
2011-02-01,105.97,108.28999,102.31,107.64999
2011-03-01,107.64999,111.55,106.78999,108.86
2011-04-01,108.48,115.94,107.06,115.11
2011-05-02,115.25,118.13,111.78,117.10001
2011-06-01,118.25,120.84,116.94,119.03999
2011-07-01,118.22,127.37,117.28,127.23
2011-08-01,127.5,141.44,121.34,124.08
2011-09-01,124.60001,129.64,109.00999,110.16
2011-10-03,110,116.72,107.34,114.03
2011-11-01,113.17,114.14,107.17999,109.44
2011-12-01,109.44,110.24001,104.84,106.47
2012-01-03,106.75,109.72,104.39999,108.67999
2012-02-01,109.13,111.98,107.52,110.61
2012-03-01,110.61,110.99001,107.16,110.86
2012-04-02,110.8,110.92,108.25999,110.21001
2012-05-01,110.21001,110.58,102.72,102.92
2012-06-01,102.92,106.12,102.34,105.45
2012-07-02,104.95,105.12,100.28,102.42
2012-08-01,102.42,105.24001,101.02,104.75
2012-09-04,104.75,108.23,104.19,106.42
2012-10-01,106.47,108.52,106.2,107.37
2012-11-01,107.37,108.07001,105.23,107.75999
2012-12-03,107.86,110.11,106.58,109.3
2013-01-02,109.3,110.2,106.84,109.87
2013-02-01,110.07001,110.85001,106.7,106.75999
2013-03-01,106.3,106.62,104.53,105.31
2013-04-01,105.31,108.61,104.97,107.58
2013-05-01,107.67,108.14999,101.64,104.71001
2013-06-03,104.71001,109.02,103.89999,105.85001
2013-07-01,105.85001,108.37,102.55,107.99001
2013-08-01,107.53999,109.33,106.42,107.56
2013-09-03,106.92,110.87,105.76,110.53
2013-10-01,110.54,112.48,108.98,110.27
2013-11-01,109.8,110.82,108.11,110.31
2013-12-02,109.9,113.22,109.83,111.96
2014-01-02,110.91,111.95,109.43,110.36
2014-02-03,110.43,113.93,110.33,113.34
2014-03-03,113.51,114.9,112.42,113.1
2014-04-01,113.23,114.38,111.7,113.61
2014-05-01,113.8,114.9,111.23,111.74
2014-06-02,111.43,112.83,110.66,112.76
2014-07-01,112.78,112.91,109.8,110.03
2014-08-01,110.15,110.94,106.75,106.75
2014-09-02,108.84,109,104.26,104.7
2014-10-01,104.32,106.83,103.27,103.68
2014-11-03,103.64,104.92,102.65,103.63
2014-12-01,103.66,104.56,100.5,100.57
2015-01-02,100.14,119.73,97.87,108.56
2015-02-02,107.33,109.32,104.74,104.86
2015-03-02,104.58,105.08,98.89,102.86
2015-04-01,103.14,107.43,101.61,107.22
2015-05-01,107.6,110.07,104.78,106.37
2015-06-01,105.86,109.28,105.24,106.85
2015-07-01,106.22,107,102.86,103.47
2015-08-03,103.27,108.01,100.91,103.4
2015-09-01,103.81,104.79,101.13,102.73
2015-10-01,102.2,105.46,100.38,101.24
2015-11-02,101.4,101.67,96.91,97.2
2015-12-01,97.15,102.18,96.99,99.86
2016-01-04,100.13,100.78,97.5,97.75
2016-02-01,97.99,103.15,97.86,100.18
2016-03-01,100.14,104.48,99.08,103.99
2016-04-01,104.38,105.24,101.89,104.22
2016-05-02,104.35,105.42,100.07,100.62
2016-06-01,101.11,104.82,100.88,102.48
2016-07-01,102.74,103.79,100.5,103.13
2016-08-01,103.23,105.51,101.39,101.66
2016-09-01,101.55,103.73,101.38,102.95
2016-10-03,102.93,102.94,99.48,101.12
2016-11-01,101.79,103.36,97.99,98.35
2016-12-01,98.67,99.51,96.67,98.24
2017-01-03,97.04,101.41,96.75,101.03
2017-02-01,101.02,101.32,98.64,99.39
2017-03-01,98.89,101.91,98.31,99.71
2017-04-03,99.7,100.98,98.96,100.48
2017-05-01,100.62,103.41,99,103.33
2017-06-01,103.09,104.65,102.34,104.38
2017-07-03,103.87,105.95,102.92,103.46
2017-08-01,103.42,105.93,102.32,104.33
2017-09-01,104.19,105.94,102.35,103.29
2017-10-02,102.99,103.24,99.68,100.25
2017-11-01,99.94,102.2,99.62,101.64
2017-12-01,101.73,102.73,100.27,102.61
2018-01-02,102.97,107.65,101.61,107.3
2018-02-01,107.33,108.58,105.74,105.86
2018-03-01,105.64,107,104.38,104.55
2018-04-02,104.95,104.96,100.8,100.94
2018-05-01,100.64,101.77,99.31,101.45
2018-06-01,101.23,102.17,100.09,100.97
2018-07-02,100.64,101.35,99.32,100.99
2018-08-01,100.91,103.53,100.14,103.21
2018-09-04,102.69,104.8,101.8,101.84
2018-10-01,101.65,101.81,99.01,99.16
2018-11-01,99.69,101.39,98.88,100.17
2018-12-03,100.12,103.04,100.05,101.88
2019-01-02,101.45,102.75,100.04,100.61
2019-02-01,100.68,100.77,99.06,100.18
2019-03-01,100.15,101.06,98.75,100.52
2019-04-01,100.49,100.9,97.69,98.11
2019-05-01,98.44,100,97.78,99.96
2019-06-03,100.13,102.99,99.87,102.42
2019-07-01,101.86,102,100.49,100.59
2019-08-01,100.46,103.53,100.35,101.02
2019-09-03,101,102.81,100.12,100.22
2019-10-01,99.89,101.8,99.73,101.39
2019-11-01,101.35,101.61,99.76,99.99
2019-12-02,100.25,104.06,100.24,103.44
2020-01-02,103.21,104.03,102.38,103.8
2020-02-03,103.76,103.83,101.56,103.66
2020-03-02,104.38,108.54,101,103.91
2020-04-01,103.56,104.21,102.07,103.58
2020-05-01,103.85,104.3,102.21,103.99
2020-06-01,104.03,106.66,103.62,105.59
2020-07-01,105.49,110.11,105.34,109.47
2020-08-03,108.72,111.13,108.23,110.67
2020-09-01,110.3041,110.5094,107.5616,108.5505
2020-10-01,109.0394,110.742,108.4834,109.0739
2020-11-02,108.885,111.3338,108.6012,110.0837
2020-12-01,110.3984,113.701,110.3966,113.1395
2021-01-04,113.82,114.0934,112.0951,112.2435
2021-02-01,111.6944,112.5556,109.8539,110.0722
2021-03-01,109.3589,109.592,105.7194,105.9614
2021-04-01,105.7541,110.1322,105.7194,109.5428
2021-05-03,109.3583,111.7693,109.3016,111.1204
2021-06-01,111.2842,112.0323,107.9447,108.0731
2021-07-01,108.1081,110.5094,107.8952,110.4405
2021-08-02,110.4716,110.8893,108.2134,109.2896
2021-09-01,109.0073,109.7063,106.8719,107.3077
2021-10-01,107.4755,109.7936,107.2099,109.2538
2021-11-01,109.511,110.0352,106.6667,108.8388
2021-12-01,108.5011,109.866,107.5847,109.7695
2022-01-03,109.517,109.9868,107.0629,107.865
2022-02-01,108.5482,109.0988,107.5616,109.0792
2022-03-01,108.971,109.1465,105.7082,108.3952
2022-04-01,108.1713,108.2603,102.4695,102.6525
2022-05-02,102.6273,104.7674,99.3443,104.2601
2022-06-01,103.9091,105.2189,99.4926,104.7449
2022-07-01,104.1092,105.1857,101.1501,105.0972
2022-08-01,105.2742,106.7145,102.0096,102.3227
2022-09-01,102.1524,105.2964,100.3412,101.2689
2022-10-03,101.2351,102.417,98.5319,99.9201
2022-11-01,100.636,106.8741,98.5416,105.73
2022-12-01,105.856,114.5344,105.7753,108.214
2023-01-03,106.6433,110.0715,106.2761,109.1703
2023-02-01,109.1727,110.2657,106.1121,106.1909
2023-03-01,106.929,110.236,105.921,109.2442
2023-04-03,109.3577,112.9695,109.1465,111.7568
2023-05-01,112.0047,113.2189,109.3016,109.7815
2023-06-01,110.1255,112.3091,109.6491,111.7281
2023-07-03,111.21,116.8846,111.1111,114.6526
2023-08-01,114.2263,115.0622,112.6507,113.1862
2023-09-01,113.2016,113.6984,108.3893,109.2389
2023-10-02,109.3374,112.2965,108.0264,109.9143
2023-11-01,110.011,115.1543,109.7333,114.2857
2023-12-01,114.1553,120.0192,112.9688,118.8354
2024-01-02,117.7225,118.2732,114.5475,116.0901
2024-02-01,115.8587,116.9358,112.5746,113.0199
2024-03-01,112.8923,114.5475,110.2171,110.9946
2024-04-01,110.9016,111.1482,108.3893,108.8258
2024-05-01,108.6957,111.1976,108.5989,110.7665
2024-06-03,110.877,113.3016,110.6807,111.2471
2024-07-01,110.9638,114.0381,110.485,113.8434
2024-08-01,114.0121,118.9343,113.9341,117.6747
2024-09-03,117.3433,119.7031,116.9591,118.2173
2024-10-01,118.0665,118.6099,113.9212,115.7675
2024-11-01,115.2472,119.346,111.4082,113.546
2024-12-02,112.8032,118.2173,110.1079,110.1564
2025-01-02,110.1079,119.2606,108.672,109.7773
2025-02-03,109.3135,112.2209,109.1346,110.8586
2025-03-03,111.0248,114.1944,110.9755,113.0582
2025-04-01,113.2888,124.3008,113.0838,121.1938
2025-05-01,120.7584,122.1598,117.9663,121.6101
2025-06-02,122.2793,126.167,117.855,125.9922
2025-07-01,126.8392,128.8494,122.6693,123.0466
2025-08-01,122.504,125.2348,122.384,124.9211
2025-09-02,124.3781,127.7302,123.8543,125.6913
2025-10-01,125.2505,126.5022,123.793,124.1611
2025-11-03,123.8697,126.9519,123.0618,124.495
2025-12-01,124.9688,127.0325,123.64,126.1909
2026-01-02,126.0867,131.4933,124.3317,129.9292
2026-02-02,128.8129,131.0788,127.91,129.9714
2026-03-02,128.5669,129.0656,124.3425,125.0469
2026-04-01,126.2985,127.081,124.8128,126.5891
