time,open,high,low,close
1986-05-07,1.33510005,1.33510005,1.33510005,1.33510005
1986-05-08,1.32169998,1.32169998,1.32169998,1.32169998
1986-05-09,1.324,1.324,1.324,1.324
1986-05-12,1.30610001,1.30610001,1.30610001,1.30610001
1986-05-13,1.34039998,1.34039998,1.34039998,1.34039998
1986-05-14,1.37360001,1.37360001,1.37360001,1.37360001
1986-05-15,1.3563,1.3563,1.3563,1.3563
1986-05-16,1.33780003,1.33780003,1.33780003,1.33780003
1986-05-19,1.31930006,1.31930006,1.31930006,1.31930006
1986-05-20,1.32290006,1.32290006,1.32290006,1.32290006
1986-05-21,1.30970001,1.30970001,1.30970001,1.30970001
1986-05-22,1.31700003,1.31700003,1.31700003,1.31700003
1986-05-23,1.31270003,1.31270003,1.31270003,1.31270003
1986-05-27,1.30710006,1.30710006,1.30710006,1.30710006
1986-05-28,1.31289995,1.31289995,1.31289995,1.31289995
1986-05-29,1.28470004,1.28470004,1.28470004,1.28470004
1986-05-30,1.29340005,1.29340005,1.29340005,1.29340005
1986-06-02,1.33239996,1.33239996,1.33239996,1.33239996
1986-06-03,1.34800005,1.34800005,1.34800005,1.34800005
1986-06-04,1.36539996,1.36539996,1.36539996,1.36539996
1986-06-05,1.38960004,1.38960004,1.38960004,1.38960004
1986-06-06,1.3707,1.3707,1.3707,1.3707
1986-06-09,1.38880002,1.38880002,1.38880002,1.38880002
1986-06-10,1.39569998,1.39569998,1.39569998,1.39569998
1986-06-11,1.41989994,1.41989994,1.41989994,1.41989994
1986-06-12,1.4052,1.4052,1.4052,1.4052
1986-06-13,1.4023,1.4023,1.4023,1.4023
1986-06-16,1.38110006,1.38110006,1.38110006,1.38110006
1986-06-17,1.37759995,1.37759995,1.37759995,1.37759995
1986-06-18,1.38450003,1.38450003,1.38450003,1.38450003
1986-06-19,1.37810004,1.37810004,1.37810004,1.37810004
1986-06-20,1.37160003,1.37160003,1.37160003,1.37160003
1986-06-23,1.40939999,1.40939999,1.40939999,1.40939999
1986-06-24,1.42499995,1.42499995,1.42499995,1.42499995
1986-06-25,1.44360006,1.44360006,1.44360006,1.44360006
1986-06-26,1.45570004,1.45570004,1.45570004,1.45570004
1986-06-27,1.45410001,1.45410001,1.45410001,1.45410001
1986-06-30,1.45910001,1.45910001,1.45910001,1.45910001
1986-07-01,1.49629998,1.49629998,1.49629998,1.49629998
1986-07-02,1.52139997,1.52139997,1.52139997,1.52139997
1986-07-03,1.55260003,1.55260003,1.55260003,1.55260003
1986-07-07,1.53970003,1.53970003,1.53970003,1.53970003
1986-07-08,1.56760001,1.56760001,1.56760001,1.56760001
1986-07-09,1.55130005,1.55130005,1.55130005,1.55130005
1986-07-10,1.54530001,1.54530001,1.54530001,1.54530001
1986-07-11,1.52670002,1.52670002,1.52670002,1.52670002
1986-07-14,1.5273,1.5273,1.5273,1.5273
1986-07-15,1.53840005,1.53840005,1.53840005,1.53840005
1986-07-16,1.55219996,1.55219996,1.55219996,1.55219996
1986-07-17,1.54849994,1.54849994,1.54849994,1.54849994
1986-07-18,1.56439996,1.56439996,1.56439996,1.56439996
1986-07-21,1.54579997,1.54579997,1.54579997,1.54579997
1986-07-22,1.55569994,1.55569994,1.55569994,1.55569994
1986-07-23,1.58280003,1.58280003,1.58280003,1.58280003
1986-07-24,1.60720003,1.60720003,1.60720003,1.60720003
1986-07-25,1.65269995,1.65269995,1.65269995,1.65269995
1986-07-28,1.63849998,1.63849998,1.63849998,1.63849998
1986-07-29,1.64170003,1.64170003,1.64170003,1.64170003
1986-07-30,1.65190005,1.65190005,1.65190005,1.65190005
1986-07-31,1.69369996,1.69369996,1.69369996,1.69369996
1986-08-01,1.66919994,1.66919994,1.66919994,1.66919994
1986-08-04,1.67340004,1.67340004,1.67340004,1.67340004
1986-08-05,1.64530003,1.64530003,1.64530003,1.64530003
