time,open,high,low,close
1986-05-01,1.33510005,1.37360001,1.28470004,1.29340005
1986-06-02,1.33239996,1.45910001,1.33239996,1.45910001
1986-07-01,1.49629998,1.69369996,1.49629998,1.69369996
1986-08-01,1.66919994,1.6961,1.62829995,1.6961
1986-09-01,1.6983,1.6983,1.61029994,1.63499999
1986-10-01,1.63789999,1.65139997,1.57009995,1.57260001
1986-11-03,1.57840002,1.62049997,1.57060003,1.62049997
1986-12-01,1.61510003,1.6171,1.54960001,1.6171
1987-01-01,1.62100005,1.75670004,1.60749996,1.70710003
1987-02-02,1.71899998,1.72459996,1.66610003,1.67410004
1987-03-02,1.66199994,1.66919994,1.62469995,1.62590003
1987-04-01,1.60909998,1.64750004,1.58089995,1.64549994
1987-05-01,1.66270006,1.66270006,1.58860004,1.59860003
1987-06-01,1.5869,1.62380004,1.56480002,1.57480001
1987-07-01,1.57149994,1.61129999,1.56910002,1.59850001
1987-08-03,1.58249998,1.60969996,1.55719995,1.59389997
1987-09-01,1.59720004,1.60029995,1.55369997,1.5891
1987-10-01,1.58659995,1.77479994,1.57280004,1.77419996
1987-11-02,1.79069996,1.82000005,1.75580001,1.7859
1987-12-01,1.7723,1.81599998,1.75989997,1.81599998
1988-01-01,1.79840004,1.80970001,1.71920002,1.73740005
1988-02-01,1.71949995,1.72300005,1.68110001,1.70239997
1988-03-01,1.69790006,1.70729995,1.65339994,1.68729997
1988-04-01,1.68990004,1.69330001,1.63250005,1.63250005
1988-05-02,1.62469995,1.62469995,1.4921,1.4921
1988-06-01,1.48000002,1.52170002,1.39219999,1.43529999
1988-07-01,1.44369996,1.4655,1.38499999,1.38499999
1988-08-01,1.38610005,1.38610005,1.33940005,1.37899995
1988-09-01,1.39390004,1.42219996,1.38279998,1.41760004
1988-10-03,1.41980004,1.42560005,1.39139998,1.41429996
1988-11-01,1.41700006,1.41700006,1.36759996,1.36810005
1988-12-01,1.37969995,1.41320002,1.35899997,1.375
1989-01-02,1.37030005,1.37030005,1.25510001,1.25510001
1989-02-01,1.24979997,1.42850006,1.24940002,1.41919994
1989-03-01,1.41540003,1.41540003,1.3405,1.3405
1989-04-03,1.34389997,1.41659999,1.34389997,1.3951
1989-05-01,1.39129996,1.41369998,1.36430001,1.39199996
1989-06-01,1.38310003,1.40040004,1.36039996,1.39979994
1989-07-03,1.39830005,1.47570002,1.39830005,1.46780002
1989-08-01,1.46389997,1.46389997,1.38409996,1.38409996
1989-09-01,1.38240004,1.41960001,1.35710001,1.41960001
1989-10-02,1.41770005,1.45899999,1.38230002,1.42719996
1989-11-01,1.42400002,1.46370006,1.39919996,1.45899999
1989-12-01,1.45829999,1.5115,1.45829999,1.5115
1990-01-01,1.50759995,1.58969998,1.48450005,1.56690001
1990-02-01,1.57430005,1.63660002,1.5654,1.57969999
1990-03-01,1.55809999,1.60479999,1.55770004,1.59730005
1990-04-02,1.58150005,1.62339997,1.57060003,1.62179995
1990-05-01,1.63559997,1.65989995,1.57710004,1.5783
1990-06-01,1.57389998,1.58459997,1.55729997,1.55859995
1990-07-02,1.56429994,1.64680004,1.55239999,1.64199996
1990-08-01,1.63499999,1.67299998,1.58060002,1.61650002
1990-09-03,1.60810006,1.64549994,1.56799996,1.59360003
1990-10-01,1.59809995,1.79480004,1.58899999,1.74600005
1990-11-01,1.75150001,1.84179997,1.73000002,1.77110004
1990-12-03,1.74619997,1.83369994,1.71829998,1.76999998
1991-01-01,1.77699995,1.78910005,1.68920004,1.78050005
1991-02-01,1.7881,1.82350004,1.71000004,1.71200001
1991-03-01,1.70120001,1.74349999,1.54569995,1.56770003
1991-04-01,1.56070006,1.60000002,1.48070002,1.53120005
1991-05-01,1.54659998,1.59940004,1.49539995,1.55139995
1991-06-03,1.55289996,1.57000005,1.47440004,1.48090005
1991-07-01,1.46809995,1.52820003,1.4576,1.51429999
1991-08-01,1.50539994,1.54999995,1.4461,1.49689996
1991-09-02,1.49909997,1.55400002,1.49820006,1.53729999
1991-10-01,1.53980005,1.57650006,1.49430001,1.5697
1991-11-01,1.59169996,1.6336,1.55509996,1.60000002
1991-12-02,1.60780001,1.77320004,1.59189999,1.76259995
1992-01-01,1.76020002,1.79639995,1.66820002,1.68990004
1992-02-03,1.69700003,1.74660003,1.6164,1.65929997
1992-03-02,1.65260005,1.66100001,1.58309996,1.61559999
1992-04-01,1.61170006,1.66120005,1.58369994,1.64690006
1992-05-01,1.65279996,1.70739996,1.61039996,1.68939996
1992-06-01,1.6882,1.81130004,1.65429997,1.79719996
1992-07-01,1.79589999,1.88059998,1.78009999,1.8585
1992-08-03,1.85699999,1.9805,1.83340001,1.9539
1992-09-01,1.9527,1.9732,1.7532,1.9414
1992-10-01,1.9464,1.9533,1.7708,1.8221
1992-11-02,1.8232,1.8416,1.746,1.8039
1992-12-01,1.8113,1.8371,1.7483,1.7505
1993-01-01,1.7511,1.8526,1.7403,1.7855
1993-02-01,1.7872,1.7953,1.7043,1.7084
1993-03-01,1.7006,1.7286,1.639,1.7243
1993-04-01,1.7217,1.7726,1.6859,1.7456
1993-05-03,1.7423,1.837,1.7354,1.837
1993-06-01,1.837,1.8485,1.71219,1.75593
1993-07-01,1.75593,1.7643600000000002,1.61347,1.6203
1993-08-02,1.6203,1.73028,1.61679,1.72221
1993-09-01,1.72221,1.86244,1.72221,1.80946
1993-10-01,1.80946,1.8241800000000001,1.69801,1.69801
1993-11-01,1.69801,1.74884,1.67761,1.70158
