time,open,high,low,close
1979-12-24,1.76250005,1.76250005,1.76250005,1.76250005
1979-12-27,1.77240002,1.77240002,1.77240002,1.77240002
1979-12-28,1.76779997,1.76779997,1.76779997,1.76779997
1979-12-31,1.76209998,1.76209998,1.76209998,1.76209998
1980-01-02,1.76610005,1.76610005,1.76610005,1.76610005
1980-01-03,1.77620006,1.77620006,1.77620006,1.77620006
1980-01-04,1.76810002,1.76810002,1.76810002,1.76810002
1980-01-07,1.7737,1.7737,1.7737,1.7737
1980-01-08,1.76730001,1.76730001,1.76730001,1.76730001
1980-01-09,1.77170002,1.77170002,1.77170002,1.77170002
1980-01-10,1.76300001,1.76300001,1.76300001,1.76300001
1980-01-11,1.76010001,1.76010001,1.76010001,1.76010001
1980-01-14,1.76230001,1.76230001,1.76230001,1.76230001
1980-01-15,1.75419998,1.75419998,1.75419998,1.75419998
1980-01-16,1.75520003,1.75520003,1.75520003,1.75520003
1980-01-17,1.75049996,1.75049996,1.75049996,1.75049996
1980-01-18,1.75220001,1.75220001,1.75220001,1.75220001
1980-01-21,1.74779999,1.74779999,1.74779999,1.74779999
1980-01-22,1.7392,1.7392,1.7392,1.7392
1980-01-23,1.74450004,1.74450004,1.74450004,1.74450004
1980-01-24,1.73839998,1.73839998,1.73839998,1.73839998
1980-01-25,1.74179995,1.74179995,1.74179995,1.74179995
1980-01-28,1.74469995,1.74469995,1.74469995,1.74469995
1980-01-29,1.74329996,1.74329996,1.74329996,1.74329996
1980-01-30,1.74090004,1.74090004,1.74090004,1.74090004
1980-01-31,1.73140001,1.73140001,1.73140001,1.73140001
1980-02-01,1.72459996,1.72459996,1.72459996,1.72459996
1980-02-04,1.72930002,1.72930002,1.72930002,1.72930002
1980-02-05,1.73710001,1.73710001,1.73710001,1.73710001
1980-02-06,1.73870003,1.73870003,1.73870003,1.73870003
1980-02-07,1.73539996,1.73539996,1.73539996,1.73539996
1980-02-08,1.73249996,1.73249996,1.73249996,1.73249996
1980-02-11,1.73590004,1.73590004,1.73590004,1.73590004
1980-02-13,1.74269998,1.74269998,1.74269998,1.74269998
1980-02-14,1.74100006,1.74100006,1.74100006,1.74100006
