time,open,high,low,close
1979-12-03,1.76250005,1.77240002,1.76209998,1.76209998
1980-01-01,1.76610005,1.77620006,1.73140001,1.73140001
1980-02-01,1.72459996,1.74269998,1.68190002,1.68190002
1980-03-03,1.67200005,1.68509996,1.60759997,1.60759997
1980-04-01,1.59689999,1.71870005,1.59249997,1.71399999
1980-05-01,1.71640003,1.72130001,1.68529999,1.69719994
1980-06-02,1.6954,1.70009995,1.68850005,1.69700003
1980-07-01,1.69599998,1.73469996,1.68900001,1.69700003
1980-08-01,1.68340003,1.69910002,1.67009997,1.67449999
1980-09-01,1.68519998,1.70500004,1.6674,1.67859995
1980-10-01,1.68229997,1.68229997,1.6142,1.6142
1980-11-03,1.60759997,1.63010001,1.58860004,1.60619998
1980-12-01,1.60150003,1.60360003,1.55089998,1.58570004
1981-01-01,1.57159996,1.59630001,1.47479999,1.47479999
1981-02-02,1.47090006,1.48539996,1.42410004,1.45560002
1981-03-02,1.44070005,1.48300004,1.43379998,1.45270002
1981-04-01,1.44589996,1.44589996,1.38999999,1.38999999
1981-05-01,1.39020002,1.39020002,1.3175,1.32640004
1981-06-01,1.33000004,1.33000004,1.27929997,1.28690004
1981-07-01,1.27869999,1.29260004,1.25580001,1.2845
1981-08-03,1.27030003,1.27030003,1.23070002,1.25310004
1981-09-01,1.25460005,1.36479998,1.25450003,1.32360005
1981-10-01,1.31910002,1.3635,1.30659997,1.33000004
1981-11-02,1.34379995,1.34819996,1.30980003,1.32650006
1981-12-01,1.31649995,1.31910002,1.28980005,1.31040001
1982-01-01,1.31959999,1.31959999,1.27190006,1.2852
1982-02-01,1.27269995,1.28250003,1.26499999,1.26880002
1982-03-01,1.26670003,1.2723,1.23829997,1.24059999
1982-04-01,1.24020004,1.26849997,1.22409999,1.26849997
1982-05-03,1.27020001,1.3161,1.27020001,1.28620005
1982-06-01,1.2773,1.28390002,1.23199999,1.25580001
1982-07-01,1.24179995,1.24820006,1.20889997,1.21529996
1982-08-02,1.2191,1.22449994,1.17770004,1.17980003
1982-09-01,1.1789,1.1911,1.15460002,1.15960002
1982-10-01,1.16030002,1.16139996,1.12890005,1.12890005
1982-11-01,1.13030005,1.16779995,1.11170006,1.16779995
1982-12-01,1.18040001,1.21430004,1.16390002,1.1997
1983-01-03,1.2098,1.2191,1.15970004,1.17130005
1983-02-01,1.16789997,1.18540001,1.15289998,1.17089999
1983-03-01,1.16489995,1.19159997,1.1473,1.15310001
1983-04-01,1.15820003,1.1609,1.12950003,1.13150001
1983-05-02,1.13170004,1.13999999,1.10679996,1.10679996
1983-06-01,1.09689999,1.10370004,1.09220004,1.09350002
1983-07-01,1.09300005,1.09300005,1.05680001,1.05680001
1983-08-01,1.04519999,1.05879998,1.02380002,1.03400004
1983-09-01,1.0345,1.05089998,1.03429997,1.05089998
1983-10-03,1.05449998,1.07000005,1.05079997,1.05079997
1983-11-01,1.04410005,1.04410005,1.0237,1.0316
1983-12-01,1.03009999,1.03059995,1.00699997,1.0237
1984-01-02,1.01400006,1.01400006,0.98650002,0.99409997
1984-02-01,0.99699998,1.07340002,0.99699998,1.07340002
1984-03-01,1.06770003,1.11020005,1.06770003,1.09669995
1984-04-02,1.09609997,1.09609997,1.05560005,1.05560005
1984-05-01,1.05610001,1.06270003,1.04139996,1.05859995
1984-06-01,1.07179999,1.08360004,1.04390001,1.05990005
1984-07-02,1.05190003,1.05190003,1.01479995,1.01499999
1984-08-01,1.00510001,1.02040005,1.0007,1.00370002
1984-09-03,0.99290001,0.99290001,0.9465,0.96280003
1984-10-01,0.96380001,0.97310001,0.94260001,0.9677
1984-11-01,0.97320002,1.00150001,0.95700002,0.95700002
1984-12-03,0.95370001,0.96359998,0.94029999,0.94029999
1985-01-01,0.93419999,0.93940002,0.93169999,0.93940002
1985-02-01,0.93779999,0.93779999,0.9012,0.9253
1985-03-01,0.92470002,0.98580003,0.91229999,0.98580003
1985-04-01,0.98040003,1.00989997,0.96600002,0.98070002
1985-05-01,0.96820003,1.00530005,0.95990002,1.00049996
1985-06-03,0.99589998,1.005,0.98589998,0.9993
1985-07-01,0.99419999,1.06490004,0.99000001,1.06490004
1985-08-01,1.05680001,1.08700001,1.05069995,1.07130003
1985-09-02,1.05690002,1.12189996,1.02219999,1.12189996
1985-10-01,1.12709999,1.14619994,1.12129998,1.14619994
1985-11-01,1.14610004,1.20309997,1.14610004,1.20309997
1985-12-02,1.20640004,1.24489999,1.19509995,1.24489999
1986-01-01,1.24300003,1.29920006,1.22899997,1.29460001
1986-02-03,1.3003,1.38409996,1.27100003,1.38409996
1986-03-03,1.39069998,1.4016,1.30400002,1.30400002
1986-04-01,1.29920006,1.3707,1.24689996,1.36549997
1986-05-01,1.34860003,1.35959995,1.27520001,1.28059995
1986-06-02,1.30920005,1.35510004,1.30920005,1.35510004
1986-07-01,1.34990001,1.39250004,1.3405,1.39250004
1986-08-01,1.39639997,1.43139994,1.38750005,1.43139994
1986-09-01,1.42850006,1.44889998,1.39460003,1.42400002
1986-10-01,1.43200004,1.45669997,1.39839995,1.40009999
1986-11-03,1.40279996,1.45439994,1.39709997,1.45439994
1986-12-01,1.44889998,1.4799,1.40859997,1.4799
1987-01-01,1.48969996,1.54869998,1.47259998,1.50769997
1987-02-02,1.51269996,1.52980006,1.48640001,1.50580001
1987-03-02,1.50510001,1.5079,1.47479999,1.49699998
1987-04-01,1.48559999,1.56050003,1.48370004,1.54949999
1987-05-01,1.56649995,1.57630002,1.52489996,1.52489996
1987-06-01,1.51960003,1.55589998,1.50380003,1.51030004
