time,open,high,low,close
1972-04-14,2.372,2.372,2.372,2.372
1972-04-17,2.374,2.374,2.374,2.374
1972-04-18,2.3718,2.3718,2.3718,2.3718
1972-04-19,2.3738,2.3738,2.3738,2.3738
1972-04-20,2.3748,2.3748,2.3748,2.3748
1972-04-21,2.3744,2.3744,2.3744,2.3744
1972-04-24,2.3773,2.3773,2.3773,2.3773
1972-04-25,2.3773,2.3773,2.3773,2.3773
1972-04-26,2.3767,2.3767,2.3767,2.3767
1972-04-27,2.3767,2.3767,2.3767,2.3767
1972-04-28,2.3775,2.3775,2.3775,2.3775
1972-05-01,2.3775,2.3775,2.3775,2.3775
1972-05-02,2.3746,2.3746,2.3746,2.3746
1972-05-03,2.3752,2.3752,2.3752,2.3752
1972-05-04,2.3757,2.3757,2.3757,2.3757
1972-05-05,2.3759,2.3759,2.3759,2.3759
1972-05-08,2.3767,2.3767,2.3767,2.3767
1972-05-09,2.3757,2.3757,2.3757,2.3757
1972-05-10,2.3771,2.3771,2.3771,2.3771
1972-05-11,2.3763,2.3763,2.3763,2.3763
1972-05-12,2.3767,2.3767,2.3767,2.3767
1972-05-15,2.3763,2.3763,2.3763,2.3763
1972-05-23,2.3712,2.3712,2.3712,2.3712
1972-05-24,2.373,2.373,2.373,2.373
1972-05-25,2.3716,2.3716,2.3716,2.3716
1972-05-26,2.3757,2.3757,2.3757,2.3757
1972-05-30,2.3642,2.3642,2.3642,2.3642
1972-05-31,2.3662,2.3662,2.3662,2.3662
1972-06-01,2.3626,2.3626,2.3626,2.3626
1972-06-02,2.3636,2.3636,2.3636,2.3636
1972-06-05,2.3664,2.3664,2.3664,2.3664
1972-06-06,2.3638,2.3638,2.3638,2.3638
1972-06-07,2.3617,2.3617,2.3617,2.3617
1972-06-08,2.3615,2.3615,2.3615,2.3615
1972-06-09,2.3621,2.3621,2.3621,2.3621
1972-06-12,2.3624,2.3624,2.3624,2.3624
1972-06-13,2.3613,2.3613,2.3613,2.3613
1972-06-14,2.3599,2.3599,2.3599,2.3599
1972-06-15,2.357,2.357,2.357,2.357
1972-06-16,2.3497,2.3497,2.3497,2.3497
1972-06-19,2.3484,2.3484,2.3484,2.3484
1972-06-20,2.3409,2.3409,2.3409,2.3409
1972-06-21,2.327,2.327,2.327,2.327
1972-06-22,2.3175,2.3175,2.3175,2.3175
1972-06-23,2.3235,2.3235,2.3235,2.3235
1972-06-26,2.319,2.319,2.319,2.319
1972-06-27,2.3163,2.3163,2.3163,2.3163
1972-06-28,2.3126,2.3126,2.3126,2.3126
1972-06-29,2.3171,2.3171,2.3171,2.3171
1972-06-30,2.3243,2.3243,2.3243,2.3243
1972-07-03,2.3284,2.3284,2.3284,2.3284
1972-07-05,2.3374,2.3374,2.3374,2.3374
1972-07-06,2.3292,2.3292,2.3292,2.3292
1972-07-07,2.3302,2.3302,2.3302,2.3302
1972-07-10,2.328,2.328,2.328,2.328
1972-07-11,2.3282,2.3282,2.3282,2.3282
1972-07-12,2.3296,2.3296,2.3296,2.3296
1972-07-13,2.329,2.329,2.329,2.329
1972-07-14,2.3312,2.3312,2.3312,2.3312
1972-07-17,2.3312,2.3312,2.3312,2.3312
1972-07-18,2.3329,2.3329,2.3329,2.3329
1972-07-19,2.3327,2.3327,2.3327,2.3327
1972-07-20,2.3294,2.3294,2.3294,2.3294
1972-07-21,2.331,2.331,2.331,2.331
1972-07-24,2.33,2.33,2.33,2.33
1972-07-25,2.328,2.328,2.328,2.328
1972-07-26,2.3253,2.3253,2.3253,2.3253
1972-07-27,2.3261,2.3261,2.3261,2.3261
1972-07-28,2.3241,2.3241,2.3241,2.3241
1972-07-31,2.3249,2.3249,2.3249,2.3249
1972-08-01,2.3227,2.3227,2.3227,2.3227
1972-08-02,2.3233,2.3233,2.3233,2.3233
1972-08-03,2.3237,2.3237,2.3237,2.3237
1972-08-04,2.3245,2.3245,2.3245,2.3245
1972-08-07,2.3237,2.3237,2.3237,2.3237
1972-08-08,2.3247,2.3247,2.3247,2.3247
1972-08-09,2.3231,2.3231,2.3231,2.3231
1972-08-10,2.3202,2.3202,2.3202,2.3202
1972-08-11,2.3218,2.3218,2.3218,2.3218
1972-08-14,2.3233,2.3233,2.3233,2.3233
1972-08-15,2.3212,2.3212,2.3212,2.3212
1972-08-16,2.3194,2.3194,2.3194,2.3194
1972-08-17,2.3202,2.3202,2.3202,2.3202
1972-08-18,2.3196,2.3196,2.3196,2.3196
1972-08-21,2.3177,2.3177,2.3177,2.3177
1972-08-22,2.3194,2.3194,2.3194,2.3194
1972-08-23,2.3188,2.3188,2.3188,2.3188
1972-08-24,2.3188,2.3188,2.3188,2.3188
1972-08-25,2.3186,2.3186,2.3186,2.3186
1972-08-28,2.3167,2.3167,2.3167,2.3167
1972-08-29,2.3175,2.3175,2.3175,2.3175
1972-08-30,2.3188,2.3188,2.3188,2.3188
1972-08-31,2.3182,2.3182,2.3182,2.3182
1972-09-01,2.3173,2.3173,2.3173,2.3173
1972-09-05,2.32,2.32,2.32,2.32
1972-09-06,2.319,2.319,2.319,2.319
1972-09-07,2.3208,2.3208,2.3208,2.3208
1972-09-08,2.3218,2.3218,2.3218,2.3218
1972-09-11,2.318,2.318,2.318,2.318
1972-09-12,2.318,2.318,2.318,2.318
1972-09-13,2.318,2.318,2.318,2.318
1972-09-14,2.3194,2.3194,2.3194,2.3194
1972-09-15,2.3186,2.3186,2.3186,2.3186
1972-09-18,2.3184,2.3184,2.3184,2.3184
1972-09-19,2.3204,2.3204,2.3204,2.3204
1972-09-20,2.3222,2.3222,2.3222,2.3222
1972-09-21,2.3222,2.3222,2.3222,2.3222
