time,open,high,low,close
1972-04-03,2.372,2.3775,2.3718,2.3775
1972-05-01,2.3775,2.3775,2.3642,2.3662
1972-06-01,2.3626,2.3664,2.3126,2.3243
1972-07-03,2.3284,2.3374,2.3241,2.3249
1972-08-01,2.3227,2.3247,2.3167,2.3182
1972-09-01,2.3173,2.3222,2.3173,2.3208
1972-10-02,2.3169,2.32,2.3141,2.3194
1972-11-01,2.3208,2.3212,2.3094,2.3112
1972-12-01,2.3094,2.3106,2.292,2.3024
1973-01-01,2.3018,2.3018,2.239,2.2445
1973-02-01,2.2339,2.2801,2.1489,2.1489
1973-03-01,2.1852,2.267,2.1852,2.2332
1973-04-02,2.2343,2.2412,2.2283,2.2334
1973-05-01,2.2334,2.2361,2.2011,2.2361
1973-06-01,2.2455,2.3969,2.2455,2.3544
1973-07-02,2.3574,2.3971,2.3306,2.3889
1973-08-01,2.3799,2.4227,2.3624,2.4125
1973-09-03,2.4176,2.4555,2.4176,2.4555
1973-10-01,2.4436,2.4802,2.4401,2.4802
1973-11-01,2.472,2.472,2.3681,2.3902
1973-12-03,2.3863,2.3863,2.3261,2.3529
1974-01-01,2.3714,2.3742,2.3018,2.3098
1974-02-01,2.3028,2.3051,2.2519,2.2916
1974-03-01,2.3001,2.328,2.2715,2.328
1974-04-01,2.3421,2.3562,2.3351,2.3378
1974-05-01,2.3386,2.3531,2.2932,2.3077
1974-06-03,2.3048,2.3312,2.2969,2.3042
1974-07-01,2.2938,2.2946,2.2445,2.249
1974-08-01,2.2443,2.2496,2.2068,2.2156
1974-09-02,2.2142,2.2148,2.1676,2.1676
1974-10-01,2.1759,2.223,2.1618,2.1788
1974-11-01,2.1753,2.1837,2.0877,2.1514
1974-12-02,2.1502,2.1502,2.036,2.0691
1975-01-01,2.079,2.1221,2.0448,2.0851
1975-02-03,2.0951,2.0961,2.0544,2.0611
1975-03-03,2.0634,2.118,2.0634,2.1172
1975-04-01,2.1092,2.1148,2.0998,2.1029
1975-05-01,2.1033,2.1035,2.0673,2.0873
1975-06-02,2.0849,2.0923,2.0759,2.0759
1975-07-01,2.0783,2.0855,2.0532,2.0532
1975-08-01,2.056,2.056,2.018,2.0325
1975-09-01,2.0329,2.0354,1.9985,2.0278
1975-10-01,2.0305,2.0305,2.0082,2.0088
1975-11-03,2.0077,2.0122,1.9946,1.9946
1975-12-01,1.9949,1.9949,1.9543,1.9574
1976-01-01,1.9558,1.9685,1.9492,1.9685
1976-02-02,1.9695,1.9746,1.9549,1.9588
1976-03-01,1.9638,1.9689,1.9519,1.9539
1976-04-01,1.9529,1.9558,1.938,1.941
1976-05-03,1.9314,1.9314,1.8557,1.8557
1976-06-01,1.8297,1.9044,1.8156,1.8766
1976-07-01,1.8737,1.9065,1.8713,1.9065
1976-08-02,1.9093,1.9249,1.9069,1.9175
1976-09-01,1.9177,1.9588,1.9177,1.9588
1976-10-01,1.9568,1.9834,1.9568,1.983
1976-11-01,1.9811,1.9879,1.9721,1.9879
1976-12-01,1.9869,2.0325,1.9869,2.029
1977-01-03,2.0376,2.0415,2.0311,2.0384
1977-02-01,2.0366,2.0912,2.0335,2.0912
1977-03-01,2.0869,2.0922,2.0744,2.0822
1977-04-01,2.08,2.0937,2.0761,2.0937
1977-05-02,2.0929,2.0994,2.0765,2.0779
1977-06-01,2.0742,2.0753,2.0573,2.0591
1977-07-01,2.0554,2.0798,2.0554,2.0579
1977-08-01,2.0487,2.0499,2.0114,2.0225
1977-09-01,2.02,2.0206,1.9752,1.9875
1977-10-03,1.9948,1.9948,1.9275,1.9441
1977-11-01,1.932,1.9345,1.8958,1.9013
1977-12-01,1.893,1.9144,1.8561,1.8584
1978-01-02,1.8203,1.8776,1.8166,1.8412
1978-02-01,1.8373,1.8373,1.7409,1.773
1978-03-01,1.7722,1.9024,1.7722,1.8031
1978-04-03,1.8101,1.8477,1.8027,1.8361
1978-05-01,1.8397,1.8535,1.7661,1.7661
1978-06-01,1.7636,1.8007,1.7469,1.7475
1978-07-03,1.7325,1.7389,1.6619,1.6619
1978-08-01,1.6529,1.6642,1.5944,1.6151
1978-09-01,1.5866,1.5948,1.5027,1.5676
1978-10-02,1.6087,1.6808,1.6022,1.6789
1978-11-01,1.6773,1.7645,1.6734,1.7571
1978-12-01,1.7528,1.7528,1.7378,1.7415
1979-01-01,1.7411,1.7816,1.7407,1.7777
1979-02-01,1.7778,1.7778,1.7516,1.7698
1979-03-01,1.7651,1.7749,1.7622,1.7749
1979-04-02,1.7704,1.7765,1.7671,1.7724
1979-05-01,1.7734,1.7735,1.7665,1.7692
1979-06-01,1.7669,1.7734,1.7417,1.7663
1979-07-02,1.7563,1.7753,1.7563,1.7724
1979-08-01,1.7714,1.7782,1.7661,1.7763
1979-09-03,1.7763,1.7763,1.7397,1.7397
1979-10-01,1.7428,1.817,1.7428,1.8001
1979-11-01,1.7984,1.853,1.7855,1.8023
1979-12-03,1.7996,1.814,1.7929,1.8111
1980-01-01,1.8009,1.834,1.7958,1.834
1980-02-01,1.8328,1.8778,1.8103,1.8778
1980-03-03,1.8815,1.8815,1.8481,1.8541
1980-04-01,1.8606,1.8612,1.8109,1.8111
1980-05-01,1.8091,1.8224,1.8089,1.8217
1980-06-02,1.8222,1.8222,1.7988,1.8052
1980-07-01,1.8044,1.8148,1.7857,1.8148
1980-08-01,1.8201,1.8201,1.7986,1.7988
1980-09-01,1.8003,1.8003,1.7827,1.7827
1980-10-01,1.7732,1.7761,1.7376,1.7591
1980-11-03,1.7477,1.7679,1.7477,1.7667
1980-12-01,1.7665,1.787,1.7647,1.7724
1981-01-01,1.7741,1.7825,1.7645,1.7716
1981-02-02,1.7665,1.8052,1.7659,1.8052
1981-03-02,1.8019,1.8019,1.7765,1.7874
1981-04-01,1.7855,1.7882,1.7765,1.7882
1981-05-01,1.7915,1.7915,1.7381,1.7415
1981-06-01,1.7387,1.7387,1.658,1.6754
1981-07-01,1.6806,1.6986,1.6679,1.6986
1981-08-03,1.6957,1.7153,1.6746,1.7153
1981-09-01,1.7157,1.7258,1.6611,1.665
1981-10-01,1.6593,1.6621,1.5936,1.5936
1981-11-02,1.5864,1.5919,1.5455,1.5653
1981-12-01,1.5692,1.5999,1.5508,1.5621
1982-01-01,1.5654,1.5874,1.5557,1.5557
1982-02-01,1.5627,1.5764,1.5486,1.5547
1982-03-01,1.5494,1.5686,1.5363,1.5668
1982-04-01,1.5809,1.6413,1.5809,1.6413
1982-05-03,1.6333,1.6685,1.6136,1.6642
1982-06-01,1.6701,1.6916,1.6583,1.6705
1982-07-01,1.664,1.6724,1.6476,1.6662
1982-08-02,1.6619,1.6797,1.6503,1.667
1982-09-01,1.6689,1.6801,1.6556,1.6799
1982-10-01,1.6851,1.6902,1.6662,1.6824
1982-11-01,1.6793,1.69,1.6642,1.6828
1982-12-01,1.6754,1.6795,1.6431,1.6533
1983-01-03,1.6413,1.6421,1.5967,1.6014
1983-02-01,1.6091,1.6601,1.6036,1.6601
1983-03-01,1.6529,1.6896,1.6529,1.6771
1983-04-01,1.6795,1.6795,1.6361,1.6406
1983-05-02,1.645,1.6484,1.6192,1.6241
1983-06-01,1.6196,1.6294,1.6136,1.6184
1983-07-01,1.6186,1.6214,1.577,1.5823
1983-08-01,1.5717,1.5954,1.5645,1.5858
1983-09-01,1.5875,1.593,1.5746,1.5793
1983-10-03,1.5754,1.5944,1.5754,1.5944
1983-11-01,1.5913,1.5934,1.5682,1.5682
1983-12-01,1.566,1.5737,1.5561,1.5631
1984-01-02,1.5699,1.5699,1.548,1.5633
1984-02-01,1.5676,1.6269,1.5676,1.6269
1984-03-01,1.6361,1.6361,1.6061,1.6231
1984-04-02,1.6159,1.6269,1.6132,1.6167
1984-05-01,1.6085,1.621,1.605,1.6194
1984-06-01,1.6273,1.639,1.62,1.639
1984-07-02,1.6398,1.6715,1.6398,1.6593
1984-08-01,1.6552,1.6552,1.6241,1.6302
1984-09-03,1.6349,1.6349,1.5987,1.6141
1984-10-01,1.6106,1.6181,1.5981,1.611
1984-11-01,1.6114,1.6253,1.6059,1.6087
1984-12-03,1.6149,1.6194,1.6095,1.6143
1985-01-01,1.6153,1.656,1.6153,1.656
1985-02-01,1.6658,1.6701,1.6454,1.6701
1985-03-01,1.6763,1.6763,1.6525,1.6537
1985-04-01,1.6527,1.6605,1.6263,1.6427
1985-05-01,1.6407,1.6562,1.6407,1.6482
1985-06-03,1.6435,1.6486,1.6304,1.6396
1985-07-01,1.6396,1.6413,1.5889,1.6024
1985-08-01,1.6044,1.6204,1.5985,1.6081
1985-09-02,1.6112,1.6145,1.5993,1.6024
1985-10-01,1.5917,1.612,1.5917,1.6038
1985-11-01,1.6122,1.6206,1.5991,1.6206
1985-12-02,1.6269,1.6509,1.6269,1.6509
1986-01-01,1.6492,1.6638,1.6458,1.6611
1986-02-03,1.6597,1.6605,1.6167,1.6503
1986-03-03,1.6589,1.6628,1.6316,1.6323
1986-04-01,1.6316,1.6472,1.6276,1.6302
1986-05-01,1.6374,1.6374,1.6143,1.6259
1986-06-02,1.6206,1.6206,1.595,1.595
1986-07-01,1.593,1.6012,1.5643,1.5643
1986-08-01,1.5688,1.5813,1.5688,1.5803
1986-09-01,1.5778,1.5962,1.5778,1.5889
1986-10-01,1.5866,1.6257,1.5854,1.6257
1986-11-03,1.6265,1.6374,1.6224,1.6278
1986-12-01,1.6294,1.6558,1.6282,1.6392
1987-01-01,1.6421,1.6505,1.6364,1.6505
1987-02-02,1.6488,1.657,1.6464,1.6464
1987-03-02,1.6447,1.6501,1.6294,1.6327
1987-04-01,1.6364,1.6364,1.5936,1.6028
1987-05-01,1.603,1.6224,1.602,1.6204
1987-06-01,1.6179,1.628,1.6106,1.6228
1987-07-01,1.6231,1.6331,1.6183,1.6184
1987-08-03,1.6198,1.6261,1.6089,1.6134
1987-09-01,1.6147,1.6298,1.6147,1.6298
1987-10-01,1.628,1.6333,1.6108,1.6179
1987-11-02,1.6169,1.6169,1.603,1.6034
1987-12-01,1.6024,1.6024,1.5801,1.5811
1988-01-01,1.5874,1.6014,1.5838,1.5936
1988-02-01,1.5993,1.6124,1.5969,1.6124
1988-03-01,1.6149,1.6224,1.611,1.611
1988-04-01,1.6102,1.6282,1.6102,1.6282
1988-05-02,1.6282,1.6341,1.6253,1.6325
1988-06-01,1.6317,1.637,1.6173,1.6218
1988-07-01,1.6259,1.629,1.6198,1.6276
1988-08-01,1.629,1.6531,1.629,1.6509
1988-09-01,1.6488,1.6574,1.6433,1.6572
1988-10-03,1.6615,1.6615,1.648,1.6499
1988-11-01,1.6433,1.647,1.6345,1.6374
1988-12-01,1.6396,1.6576,1.6378,1.6576
1989-01-02,1.6597,1.6724,1.6572,1.6658
1989-02-01,1.6658,1.6709,1.6591,1.6697
1989-03-01,1.6705,1.7141,1.6695,1.7141
1989-04-03,1.7108,1.7426,1.7074,1.7426
1989-05-01,1.7458,1.7532,1.69,1.69
1989-06-01,1.6799,1.699,1.6777,1.6785
1989-07-03,1.6777,1.6949,1.6752,1.6918
1989-08-01,1.6789,1.6887,1.6789,1.6887
1989-09-01,1.6885,1.6971,1.6857,1.6945
1989-10-02,1.6947,1.718,1.6945,1.7151
1989-11-01,1.719,1.7538,1.7135,1.7487
1989-12-01,1.7507,1.7843,1.7507,1.7843
1990-01-01,1.7888,1.7931,1.7245,1.7403
1990-02-01,1.7424,1.7554,1.7176,1.7205
1990-03-01,1.7168,1.7507,1.7168,1.7297
1990-04-02,1.7301,1.7376,1.6926,1.6926
1990-05-01,1.6947,1.6947,1.6478,1.6478
1990-06-01,1.6548,1.6703,1.6413,1.6662
1990-07-02,1.6531,1.6801,1.6499,1.6576
1990-08-01,1.6673,1.6673,1.5909,1.6237
1990-09-03,1.6243,1.6376,1.612,1.6192
1990-10-01,1.6269,1.6599,1.6269,1.6591
1990-11-01,1.6578,1.6724,1.6409,1.6673
1990-12-03,1.6711,1.6801,1.6644,1.6644
1991-01-01,1.6578,1.6732,1.621,1.664
1991-02-01,1.664,1.7012,1.6527,1.6979
1991-03-01,1.6957,1.718,1.6501,1.6693
1991-04-01,1.6644,1.6816,1.6228,1.6533
1991-05-01,1.6537,1.6734,1.6345,1.6673
1991-06-03,1.6689,1.6982,1.6587,1.6773
1991-07-01,1.6773,1.7131,1.6736,1.708
1991-08-01,1.7086,1.7233,1.6621,1.7117
1991-09-02,1.7098,1.7229,1.6953,1.7049
1991-10-01,1.7043,1.7205,1.6949,1.7178
1991-11-01,1.7174,1.7466,1.7135,1.7252
1991-12-02,1.7282,1.7522,1.7209,1.7458
1992-01-01,1.7497,1.7548,1.719,1.7383
1992-02-03,1.7407,1.7798,1.7358,1.7722
1992-03-02,1.7726,1.7872,1.764,1.7843
1992-04-01,1.7843,1.8181,1.7825,1.7933
1992-05-01,1.7937,1.8226,1.7667,1.7718
1992-06-01,1.7712,1.797,1.7468,1.763
1992-07-01,1.7626,1.7786,1.7172,1.7448
1992-08-03,1.7462,1.7685,1.7258,1.7434
1992-09-01,1.7428,1.752,1.6863,1.7119
1992-10-01,1.7125,1.7548,1.6902,1.7454
1992-11-02,1.745,1.7872,1.7405,1.7626
1992-12-01,1.7616,1.7808,1.7323,1.7728
1993-01-01,1.7661,1.8132,1.7622,1.8062
1993-02-01,1.8033,1.8238,1.7872,1.8164
1993-03-01,1.8123,1.8226,1.7827,1.8125
1993-04-01,1.8125,1.8193,1.7581,1.7657
1993-05-03,1.7649,1.81457,1.7487,1.7581499999999999
1993-06-01,1.7581499999999999,1.79347,1.73396,1.76804
1993-07-01,1.76804,1.78206,1.68407,1.7049
1993-08-02,1.7049,1.7293,1.66581,1.68059
1993-09-01,1.68059,1.70629,1.63712,1.66563
1993-10-01,1.66563,1.7026999999999999,1.6474199999999999,1.68748
1993-11-01,1.68748,1.71606,1.66916,1.67973
1993-12-01,1.67973,1.68956,1.6218299999999999,1.65781
1994-01-03,1.65781,1.6726699999999999,1.62106,1.65213
1994-02-01,1.65213,1.66421,1.61887,1.62289
1994-03-01,1.62289,1.66163,1.62175,1.62611
