time,open,high,low,close
1975-01-02,0.5609,0.5609,0.5609,0.5609
1975-01-03,0.5631,0.5631,0.5631,0.5631
1975-01-06,0.5651,0.5651,0.5651,0.5651
1975-01-07,0.5654,0.5654,0.5654,0.5654
1975-01-08,0.5637,0.5637,0.5637,0.5637
1975-01-09,0.5636,0.5636,0.5636,0.5636
1975-01-10,0.5642,0.5642,0.5642,0.5642
1975-01-13,0.5634,0.5634,0.5634,0.5634
1975-01-14,0.5615,0.5615,0.5615,0.5615
1975-01-15,0.5626,0.5626,0.5626,0.5626
1975-01-16,0.5631,0.5631,0.5631,0.5631
1975-01-17,0.5637,0.5637,0.5637,0.5637
1975-01-20,0.5656,0.5656,0.5656,0.5656
1975-01-21,0.5651,0.5651,0.5651,0.5651
1975-01-22,0.564,0.564,0.564,0.564
1975-01-23,0.5673,0.5673,0.5673,0.5673
1975-01-24,0.5682,0.5682,0.5682,0.5682
1975-01-27,0.5691,0.5691,0.5691,0.5691
1975-01-28,0.5705,0.5705,0.5705,0.5705
1975-01-29,0.5678,0.5678,0.5678,0.5678
1975-01-30,0.5675,0.5675,0.5675,0.5675
1975-01-31,0.5658,0.5658,0.5658,0.5658
1975-02-03,0.5652,0.5652,0.5652,0.5652
1975-02-04,0.5615,0.5615,0.5615,0.5615
1975-02-05,0.5617,0.5617,0.5617,0.5617
1975-02-06,0.5634,0.5634,0.5634,0.5634
1975-02-07,0.5634,0.5634,0.5634,0.5634
1975-02-10,0.5633,0.5633,0.5633,0.5633
1975-02-11,0.5643,0.5643,0.5643,0.5643
1975-02-12,0.5636,0.5636,0.5636,0.5636
1975-02-13,0.5667,0.5667,0.5667,0.5667
1975-02-14,0.5666,0.5666,0.5666,0.5666
1975-02-17,0.5678,0.5678,0.5678,0.5678
1975-02-18,0.5672,0.5672,0.5672,0.5672
1975-02-19,0.5655,0.5655,0.5655,0.5655
1975-02-20,0.5678,0.5678,0.5678,0.5678
1975-02-21,0.5678,0.5678,0.5678,0.5678
1975-02-24,0.5669,0.5669,0.5669,0.5669
1975-02-25,0.5665,0.5665,0.5665,0.5665
1975-02-26,0.5685,0.5685,0.5685,0.5685
1975-02-27,0.5701,0.5701,0.5701,0.5701
1975-02-28,0.57,0.57,0.57,0.57
1975-03-03,0.5699,0.5699,0.5699,0.5699
1975-03-04,0.5675,0.5675,0.5675,0.5675
1975-03-05,0.5671,0.5671,0.5671,0.5671
1975-03-06,0.5661,0.5661,0.5661,0.5661
1975-03-07,0.5654,0.5654,0.5654,0.5654
1975-03-10,0.5661,0.5661,0.5661,0.5661
1975-03-11,0.5664,0.5664,0.5664,0.5664
1975-03-12,0.5654,0.5654,0.5654,0.5654
1975-03-13,0.5649,0.5649,0.5649,0.5649
1975-03-14,0.5659,0.5659,0.5659,0.5659
1975-03-17,0.5658,0.5658,0.5658,0.5658
1975-03-18,0.5665,0.5665,0.5665,0.5665
1975-03-19,0.5672,0.5672,0.5672,0.5672
1975-03-20,0.5663,0.5663,0.5663,0.5663
1975-03-21,0.5654,0.5654,0.5654,0.5654
1975-03-24,0.5646,0.5646,0.5646,0.5646
1975-03-25,0.5644,0.5644,0.5644,0.5644
1975-03-26,0.5637,0.5637,0.5637,0.5637
1975-03-27,0.5644,0.5644,0.5644,0.5644
1975-04-01,0.5649,0.5649,0.5649,0.5649
1975-04-02,0.5651,0.5651,0.5651,0.5651
1975-04-03,0.5645,0.5645,0.5645,0.5645
1975-04-04,0.5628,0.5628,0.5628,0.5628
1975-04-07,0.5657,0.5657,0.5657,0.5657
1975-04-08,0.5671,0.5671,0.5671,0.5671
1975-04-09,0.5675,0.5675,0.5675,0.5675
1975-04-10,0.5675,0.5675,0.5675,0.5675
1975-04-11,0.5674,0.5674,0.5674,0.5674
1975-04-14,0.5679,0.5679,0.5679,0.5679
1975-04-15,0.5679,0.5679,0.5679,0.5679
1975-04-16,0.5683,0.5683,0.5683,0.5683
1975-04-17,0.5683,0.5683,0.5683,0.5683
1975-04-18,0.5668,0.5668,0.5668,0.5668
1975-04-21,0.5689,0.5689,0.5689,0.5689
1975-04-22,0.572,0.572,0.572,0.572
1975-04-23,0.5718,0.5718,0.5718,0.5718
1975-04-24,0.5736,0.5736,0.5736,0.5736
1975-04-25,0.5731,0.5731,0.5731,0.5731
1975-04-28,0.5734,0.5734,0.5734,0.5734
1975-04-29,0.5736,0.5736,0.5736,0.5736
1975-04-30,0.5749,0.5749,0.5749,0.5749
1975-05-01,0.576,0.576,0.576,0.576
1975-05-02,0.5773,0.5773,0.5773,0.5773
1975-05-05,0.579,0.579,0.579,0.579
1975-05-06,0.58,0.58,0.58,0.58
1975-05-07,0.5819,0.5819,0.5819,0.5819
1975-05-08,0.5848,0.5848,0.5848,0.5848
1975-05-09,0.5883,0.5883,0.5883,0.5883
1975-05-12,0.5926,0.5926,0.5926,0.5926
1975-05-13,0.596,0.596,0.596,0.596
1975-05-14,0.5952,0.5952,0.5952,0.5952
1975-05-15,0.5916,0.5916,0.5916,0.5916
1975-05-16,0.5925,0.5925,0.5925,0.5925
1975-05-19,0.594,0.594,0.594,0.594
1975-05-20,0.5936,0.5936,0.5936,0.5936
1975-05-21,0.5942,0.5942,0.5942,0.5942
1975-05-22,0.5921,0.5921,0.5921,0.5921
1975-05-23,0.592,0.592,0.592,0.592
1975-05-27,0.5924,0.5924,0.5924,0.5924
1975-05-28,0.593,0.593,0.593,0.593
1975-05-29,0.5935,0.5935,0.5935,0.5935
1975-05-30,0.5916,0.5916,0.5916,0.5916
1975-06-02,0.5914,0.5914,0.5914,0.5914
1975-06-03,0.5931,0.5931,0.5931,0.5931
1975-06-04,0.5927,0.5927,0.5927,0.5927
1975-06-05,0.5919,0.5919,0.5919,0.5919
1975-06-06,0.5914,0.5914,0.5914,0.5914
1975-06-09,0.5917,0.5917,0.5917,0.5917
1975-06-10,0.5945,0.5945,0.5945,0.5945
1975-06-11,0.6019,0.6019,0.6019,0.6019
1975-06-12,0.6044,0.6044,0.6044,0.6044
1975-06-13,0.6016,0.6016,0.6016,0.6016
1975-06-16,0.6047,0.6047,0.6047,0.6047
1975-06-17,0.607,0.607,0.607,0.607
1975-06-18,0.605,0.605,0.605,0.605
1975-06-19,0.6044,0.6044,0.6044,0.6044
1975-06-20,0.6051,0.6051,0.6051,0.6051
1975-06-23,0.6039,0.6039,0.6039,0.6039
1975-06-24,0.6078,0.6078,0.6078,0.6078
1975-06-25,0.6085,0.6085,0.6085,0.6085
1975-06-26,0.6102,0.6102,0.6102,0.6102
1975-06-27,0.6141,0.6141,0.6141,0.6141
1975-06-30,0.6236,0.6236,0.6236,0.6236
1975-07-01,0.6141,0.6141,0.6141,0.6141
1975-07-02,0.612,0.612,0.612,0.612
1975-07-03,0.6121,0.6121,0.6121,0.6121
1975-07-04,0.6119,0.6119,0.6119,0.6119
1975-07-07,0.6117,0.6117,0.6117,0.6117
1975-07-08,0.6097,0.6097,0.6097,0.6097
1975-07-09,0.6073,0.6073,0.6073,0.6073
1975-07-10,0.6047,0.6047,0.6047,0.6047
1975-07-11,0.6018,0.6018,0.6018,0.6018
1975-07-14,0.6021,0.6021,0.6021,0.6021
1975-07-15,0.6025,0.6025,0.6025,0.6025
1975-07-16,0.5991,0.5991,0.5991,0.5991
1975-07-17,0.5969,0.5969,0.5969,0.5969
1975-07-18,0.5959,0.5959,0.5959,0.5959
1975-07-21,0.5935,0.5935,0.5935,0.5935
1975-07-22,0.5926,0.5926,0.5926,0.5926
1975-07-23,0.5871,0.5871,0.5871,0.5871
1975-07-24,0.5866,0.5866,0.5866,0.5866
1975-07-25,0.588,0.588,0.588,0.588
1975-07-28,0.5849,0.5849,0.5849,0.5849
1975-07-29,0.5834,0.5834,0.5834,0.5834
1975-07-30,0.5849,0.5849,0.5849,0.5849
1975-07-31,0.5874,0.5874,0.5874,0.5874
1975-08-01,0.5879,0.5879,0.5879,0.5879
1975-08-04,0.5904,0.5904,0.5904,0.5904
1975-08-05,0.5934,0.5934,0.5934,0.5934
1975-08-06,0.5946,0.5946,0.5946,0.5946
1975-08-07,0.5981,0.5981,0.5981,0.5981
1975-08-08,0.5989,0.5989,0.5989,0.5989
1975-08-11,0.5981,0.5981,0.5981,0.5981
1975-08-12,0.5975,0.5975,0.5975,0.5975
1975-08-13,0.5971,0.5971,0.5971,0.5971
1975-08-14,0.598,0.598,0.598,0.598
1975-08-15,0.5983,0.5983,0.5983,0.5983
1975-08-18,0.5994,0.5994,0.5994,0.5994
1975-08-19,0.5992,0.5992,0.5992,0.5992
1975-08-20,0.5976,0.5976,0.5976,0.5976
1975-08-21,0.5996,0.5996,0.5996,0.5996
1975-08-22,0.6004,0.6004,0.6004,0.6004
1975-08-26,0.5978,0.5978,0.5978,0.5978
1975-08-27,0.5974,0.5974,0.5974,0.5974
1975-08-28,0.5971,0.5971,0.5971,0.5971
1975-08-29,0.5963,0.5963,0.5963,0.5963
1975-09-01,0.596,0.596,0.596,0.596
1975-09-02,0.5959,0.5959,0.5959,0.5959
1975-09-03,0.5967,0.5967,0.5967,0.5967
1975-09-04,0.5963,0.5963,0.5963,0.5963
1975-09-05,0.5958,0.5958,0.5958,0.5958
1975-09-08,0.5954,0.5954,0.5954,0.5954
1975-09-09,0.5952,0.5952,0.5952,0.5952
1975-09-10,0.5944,0.5944,0.5944,0.5944
1975-09-11,0.5938,0.5938,0.5938,0.5938
1975-09-12,0.5937,0.5937,0.5937,0.5937
1975-09-15,0.5938,0.5938,0.5938,0.5938
1975-09-16,0.5944,0.5944,0.5944,0.5944
1975-09-17,0.5936,0.5936,0.5936,0.5936
1975-09-18,0.5928,0.5928,0.5928,0.5928
1975-09-19,0.5913,0.5913,0.5913,0.5913
1975-09-22,0.5892,0.5892,0.5892,0.5892
1975-09-23,0.5933,0.5933,0.5933,0.5933
1975-09-24,0.5959,0.5959,0.5959,0.5959
1975-09-25,0.5974,0.5974,0.5974,0.5974
1975-09-26,0.5962,0.5962,0.5962,0.5962
1975-09-29,0.5966,0.5966,0.5966,0.5966
1975-09-30,0.5993,0.5993,0.5993,0.5993
1975-10-01,0.6062,0.6062,0.6062,0.6062
1975-10-02,0.6065,0.6065,0.6065,0.6065
1975-10-03,0.6033,0.6033,0.6033,0.6033
1975-10-06,0.605,0.605,0.605,0.605
1975-10-07,0.6082,0.6082,0.6082,0.6082
1975-10-08,0.6063,0.6063,0.6063,0.6063
1975-10-09,0.6064,0.6064,0.6064,0.6064
1975-10-10,0.6082,0.6082,0.6082,0.6082
1975-10-13,0.6102,0.6102,0.6102,0.6102
1975-10-14,0.6081,0.6081,0.6081,0.6081
1975-10-15,0.6102,0.6102,0.6102,0.6102
1975-10-16,0.6124,0.6124,0.6124,0.6124
1975-10-17,0.6112,0.6112,0.6112,0.6112
1975-10-20,0.6099,0.6099,0.6099,0.6099
1975-10-21,0.6105,0.6105,0.6105,0.6105
1975-10-22,0.6088,0.6088,0.6088,0.6088
1975-10-23,0.6099,0.6099,0.6099,0.6099
1975-10-24,0.6095,0.6095,0.6095,0.6095
1975-10-27,0.6087,0.6087,0.6087,0.6087
1975-10-28,0.6083,0.6083,0.6083,0.6083
1975-10-29,0.608,0.608,0.608,0.608
1975-10-30,0.6092,0.6092,0.6092,0.6092
1975-10-31,0.608,0.608,0.608,0.608
1975-11-03,0.6096,0.6096,0.6096,0.6096
1975-11-04,0.6092,0.6092,0.6092,0.6092
1975-11-05,0.6088,0.6088,0.6088,0.6088
1975-11-06,0.6091,0.6091,0.6091,0.6091
1975-11-07,0.6106,0.6106,0.6106,0.6106
1975-11-10,0.6094,0.6094,0.6094,0.6094
1975-11-11,0.6093,0.6093,0.6093,0.6093
1975-11-12,0.6096,0.6096,0.6096,0.6096
1975-11-13,0.6101,0.6101,0.6101,0.6101
1975-11-14,0.6108,0.6108,0.6108,0.6108
1975-11-17,0.6091,0.6091,0.6091,0.6091
1975-11-18,0.609,0.609,0.609,0.609
1975-11-19,0.6092,0.6092,0.6092,0.6092
1975-11-20,0.6104,0.6104,0.6104,0.6104
1975-11-21,0.6093,0.6093,0.6093,0.6093
1975-11-24,0.6095,0.6095,0.6095,0.6095
1975-11-25,0.6105,0.6105,0.6105,0.6105
1975-11-26,0.6099,0.6099,0.6099,0.6099
1975-11-27,0.6096,0.6096,0.6096,0.6096
1975-11-28,0.6111,0.6111,0.6111,0.6111
1975-12-01,0.6122,0.6122,0.6122,0.6122
1975-12-02,0.613,0.613,0.613,0.613
1975-12-03,0.612,0.612,0.612,0.612
1975-12-04,0.611,0.611,0.611,0.611
1975-12-05,0.6112,0.6112,0.6112,0.6112
1975-12-08,0.6121,0.6121,0.6121,0.6121
1975-12-09,0.6104,0.6104,0.6104,0.6104
1975-12-10,0.6104,0.6104,0.6104,0.6104
1975-12-11,0.6109,0.6109,0.6109,0.6109
