time,open,high,low,close
1975-01-01,0.5609,0.5705,0.5609,0.5658
1975-02-03,0.5652,0.5701,0.5615,0.57
1975-03-03,0.5699,0.5699,0.5637,0.5644
1975-04-01,0.5649,0.5749,0.5628,0.5749
1975-05-01,0.576,0.596,0.576,0.5916
1975-06-02,0.5914,0.6236,0.5914,0.6236
1975-07-01,0.6141,0.6141,0.5834,0.5874
1975-08-01,0.5879,0.6004,0.5879,0.5963
1975-09-01,0.596,0.5993,0.5892,0.5993
1975-10-01,0.6062,0.6124,0.6033,0.608
1975-11-03,0.6096,0.6111,0.6088,0.6111
1975-12-01,0.6122,0.6131,0.6095,0.6108
1976-01-01,0.6105,0.6121,0.6027,0.6027
1976-02-02,0.6052,0.6054,0.5986,0.5988
1976-03-01,0.5968,0.6258,0.5957,0.6217
1976-04-01,0.6321,0.6491,0.6321,0.6409
1976-05-03,0.6453,0.6662,0.6431,0.6662
1976-06-01,0.6672,0.6853,0.659,0.659
1976-07-01,0.6561,0.6599,0.6516,0.6585
1976-08-02,0.6584,0.6664,0.6551,0.6643
1976-09-01,0.6666,0.7183,0.6664,0.7183
1976-10-01,0.7184,0.7689,0.7148,0.7591
1976-11-01,0.7583,0.7583,0.7132,0.7282
1976-12-01,0.7231,0.7279,0.7146,0.7151
1977-01-03,0.7157,0.7157,0.6939,0.6988
1977-02-01,0.6982,0.7074,0.697,0.7025
1977-03-01,0.7011,0.7011,0.6972,0.6985
1977-04-01,0.6984,0.7049,0.6984,0.7049
1977-05-02,0.7045,0.7058,0.7012,0.7043
1977-06-01,0.704,0.7059,0.7028,0.7059
1977-07-01,0.7062,0.7159,0.6984,0.6984
1977-08-01,0.6971,0.7,0.6888,0.6923
1977-09-01,0.6918,0.6918,0.6872,0.6909
1977-10-03,0.6913,0.6913,0.6666,0.6666
1977-11-01,0.6689,0.6811,0.6689,0.6785
1977-12-01,0.681,0.6869,0.672,0.672
1978-01-02,0.6659,0.6724,0.6582,0.659
1978-02-01,0.6578,0.6784,0.6557,0.6784
1978-03-01,0.6814,0.7154,0.6778,0.7154
1978-04-03,0.7136,0.7151,0.7086,0.7131
1978-05-01,0.7098,0.7126,0.7018,0.7074
1978-06-01,0.7084,0.7113,0.7022,0.7036
1978-07-03,0.7038,0.7073,0.6894,0.6909
1978-08-01,0.6923,0.7015,0.692,0.6995
1978-09-01,0.6996,0.7021,0.6923,0.7017
1978-10-02,0.7035,0.7271,0.7035,0.7245
1978-11-01,0.7199,0.7199,0.7067,0.708
1978-12-01,0.7115,0.7136,0.7036,0.7083
1979-01-01,0.7101,0.7157,0.7075,0.7097
1979-02-01,0.7088,0.7131,0.7035,0.7035
1979-03-01,0.7023,0.7023,0.6851,0.6851
1979-04-02,0.6808,0.6851,0.6643,0.6756
1979-05-01,0.6788,0.6823,0.6691,0.6691
1979-06-01,0.6669,0.6706,0.6575,0.6582
1979-07-02,0.6533,0.6533,0.6207,0.6359
1979-08-01,0.6338,0.6512,0.6332,0.6398
1979-09-03,0.6415,0.6858,0.6415,0.679
1979-10-01,0.6836,0.6986,0.6739,0.6958
1979-11-01,0.6971,0.7058,0.6738,0.6811
1979-12-03,0.6838,0.6838,0.6733,0.6778
1980-01-01,0.6784,0.6784,0.6578,0.6592
1980-02-01,0.6551,0.6562,0.6458,0.6458
1980-03-03,0.6493,0.6555,0.6234,0.6234
1980-04-01,0.6233,0.6398,0.6231,0.6398
1980-05-01,0.638,0.638,0.6217,0.6245
1980-06-02,0.6254,0.6367,0.6254,0.6254
1980-07-01,0.6248,0.6296,0.623,0.6231
1980-08-01,0.6227,0.6227,0.6034,0.6042
1980-09-01,0.6024,0.6095,0.5974,0.6005
1980-10-01,0.6013,0.6019,0.5635,0.5635
1980-11-03,0.5578,0.5779,0.5507,0.5723
1980-12-01,0.5713,0.5721,0.555,0.555
1981-01-01,0.5527,0.5549,0.5199,0.5199
1981-02-02,0.5242,0.55,0.515,0.55
1981-03-02,0.5487,0.5527,0.5407,0.5458
1981-04-01,0.5452,0.549,0.5416,0.5417
1981-05-01,0.5424,0.5424,0.5322,0.5322
1981-06-01,0.5351,0.5535,0.5329,0.553
1981-07-01,0.5579,0.5654,0.5513,0.5633
1981-08-03,0.5647,0.5666,0.5561,0.5649
1981-09-01,0.567,0.6185,0.567,0.6057
1981-10-01,0.5975,0.6115,0.5946,0.5991
1981-11-02,0.5995,0.5998,0.5735,0.5752
1981-12-01,0.5739,0.5837,0.5722,0.578
1982-01-01,0.577,0.5796,0.5696,0.5696
1982-02-01,0.5673,0.5693,0.5656,0.5665
1982-03-01,0.5664,0.5743,0.563,0.5653
1982-04-01,0.5658,0.5788,0.5658,0.5788
1982-05-03,0.5746,0.5869,0.5746,0.5766
1982-06-01,0.572,0.5721,0.5547,0.5573
1982-07-01,0.5567,0.5623,0.5538,0.5561
1982-08-02,0.5575,0.5586,0.5525,0.5544
1982-09-01,0.5531,0.5544,0.5505,0.5535
1982-10-01,0.5534,0.5534,0.5487,0.5492
1982-11-01,0.5501,0.5875,0.5494,0.5846
1982-12-01,0.5842,0.6058,0.5828,0.6032
1983-01-03,0.6056,0.631,0.6056,0.6209
