time,open,high,low,close
1971-01-04,192.03,192.03,192.03,192.03
1971-01-05,191.96,191.96,191.96,191.96
1971-01-06,192.06,192.06,192.06,192.06
1971-01-07,192.11,192.11,192.11,192.11
1971-01-08,192.11,192.11,192.11,192.11
1971-01-11,192.26,192.26,192.26,192.26
1971-01-12,192.28,192.28,192.28,192.28
1971-01-13,192.55,192.55,192.55,192.55
1971-01-14,192.6,192.6,192.6,192.6
1971-01-15,192.64,192.64,192.64,192.64
1971-01-18,192.69,192.69,192.69,192.69
1971-01-19,192.72,192.72,192.72,192.72
1971-01-20,192.92,192.92,192.92,192.92
1971-01-21,192.92,192.92,192.92,192.92
1971-01-22,192.77,192.77,192.77,192.77
1971-01-25,192.71,192.71,192.71,192.71
1971-01-26,192.73,192.73,192.73,192.73
1971-01-27,192.74,192.74,192.74,192.74
1971-01-28,192.73,192.73,192.73,192.73
1971-01-29,192.67,192.67,192.67,192.67
1971-02-01,192.57,192.57,192.57,192.57
1971-02-02,192.51,192.51,192.51,192.51
1971-02-03,192.57,192.57,192.57,192.57
1971-02-04,192.59,192.59,192.59,192.59
1971-02-05,192.57,192.57,192.57,192.57
1971-02-08,192.55,192.55,192.55,192.55
1971-02-09,192.58,192.58,192.58,192.58
1971-02-10,192.51,192.51,192.51,192.51
1971-02-11,192.44,192.44,192.44,192.44
1971-02-16,192.6,192.6,192.6,192.6
1971-02-17,192.6,192.6,192.6,192.6
1971-02-18,192.57,192.57,192.57,192.57
1971-02-19,192.61,192.61,192.61,192.61
1971-02-22,192.64,192.64,192.64,192.64
1971-02-23,192.61,192.61,192.61,192.61
1971-02-24,192.64,192.64,192.64,192.64
1971-02-25,192.58,192.58,192.58,192.58
1971-02-26,192.29,192.29,192.29,192.29
1971-03-01,192.51,192.51,192.51,192.51
1971-03-02,192.54,192.54,192.54,192.54
1971-03-03,192.62,192.62,192.62,192.62
1971-03-04,192.45,192.45,192.45,192.45
1971-03-05,192.56,192.56,192.56,192.56
1971-03-08,192.61,192.61,192.61,192.61
1971-03-09,192.56,192.56,192.56,192.56
1971-03-10,192.6,192.6,192.6,192.6
1971-03-11,192.58,192.58,192.58,192.58
1971-03-12,192.48,192.48,192.48,192.48
1971-03-15,192.46,192.46,192.46,192.46
1971-03-16,192.4,192.4,192.4,192.4
1971-03-17,192.6,192.6,192.6,192.6
1971-03-18,192.58,192.58,192.58,192.58
1971-03-19,192.58,192.58,192.58,192.58
1971-03-22,192.52,192.52,192.52,192.52
